B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,B12002G_001M,B12002G_001EA,B12002G_001MA,B12002G_002M,B12002G_002EA,B12002G_002MA,B12002G_003M,B12002G_003EA,B12002G_003MA,B12002G_004M,B12002G_004EA,B12002G_004MA,B12002G_005M,B12002G_005EA,B12002G_005MA,B12002G_006M,B12002G_006EA,B12002G_006MA,B12002G_007M,B12002G_007EA,B12002G_007MA,B12002G_008M,B12002G_008EA,B12002G_008MA,B12002G_009M,B12002G_009EA,B12002G_009MA,B12002G_010M,B12002G_010EA,B12002G_010MA,B12002G_011M,B12002G_011EA,B12002G_011MA,B12002G_012M,B12002G_012EA,B12002G_012MA,B12002G_013M,B12002G_013EA,B12002G_013MA,state
321996,13841,162849,7793,85092,5771,59034,4074,2690,964,2839,797,13194,1923,159147,8794,67647,5641,55276,4148,6317,1886,9070,1908,20837,2861,13841,null,null,7793,null,null,5771,null,null,4074,null,null,964,null,null,797,null,null,1923,null,null,8794,null,null,5641,null,null,4148,null,null,1886,null,null,1908,null,null,2861,null,null,12
143217,8539,68316,5495,33016,4065,25976,2970,1113,548,1761,878,6450,1557,74901,5233,35616,3335,26862,3540,1717,746,2186,761,8520,1733,8539,null,null,5495,null,null,4065,null,null,2970,null,null,548,null,null,878,null,null,1557,null,null,5233,null,null,3335,null,null,3540,null,null,746,null,null,761,null,null,1733,null,null,13
233703,9693,119110,6289,60032,4083,44671,3838,1713,919,2074,646,10620,1828,114593,4881,50301,2970,46504,2749,2087,763,6323,1074,9378,1427,9693,null,null,6289,null,null,4083,null,null,3838,null,null,919,null,null,646,null,null,1828,null,null,4881,null,null,2970,null,null,2749,null,null,763,null,null,1074,null,null,1427,null,null,15
26191,2507,12310,1879,6003,1203,4460,1071,53,66,36,68,1758,759,13881,1521,5340,1220,5997,1201,377,320,581,372,1586,703,2507,null,null,1879,null,null,1203,null,null,1071,null,null,66,null,null,68,null,null,759,null,null,1521,null,null,1220,null,null,1201,null,null,320,null,null,372,null,null,703,null,null,16
185114,8725,89305,5312,51268,4054,27456,2571,1708,625,1248,461,7625,1651,95809,5311,50062,4154,29157,2520,2548,888,4767,1042,9275,1422,8725,null,null,5312,null,null,4054,null,null,2571,null,null,625,null,null,461,null,null,1651,null,null,5311,null,null,4154,null,null,2520,null,null,888,null,null,1042,null,null,1422,null,null,17
83608,5486,37626,3382,23059,2721,9552,1310,927,562,245,165,3843,927,45982,4024,25646,3310,13166,1737,598,380,1854,540,4718,1137,5486,null,null,3382,null,null,2721,null,null,1310,null,null,562,null,null,165,null,null,927,null,null,4024,null,null,3310,null,null,1737,null,null,380,null,null,540,null,null,1137,null,null,18
30119,2649,13204,1891,6927,1252,4551,1046,73,93,570,341,1083,389,16915,2291,9513,2028,4540,810,423,342,317,249,2122,825,2649,null,null,1891,null,null,1252,null,null,1046,null,null,93,null,null,341,null,null,389,null,null,2291,null,null,2028,null,null,810,null,null,342,null,null,249,null,null,825,null,null,19
57622,4429,27587,3047,16713,2369,8189,1295,311,202,474,260,1900,562,30035,2547,14170,2144,11196,1717,819,378,1144,431,2706,706,4429,null,null,3047,null,null,2369,null,null,1295,null,null,202,null,null,260,null,null,562,null,null,2547,null,null,2144,null,null,1717,null,null,378,null,null,431,null,null,706,null,null,20
48517,4613,23071,3110,13859,2457,6251,1254,517,294,562,339,1882,685,25446,2830,13778,2064,6594,1248,445,272,1569,590,3060,929,4613,null,null,3110,null,null,2457,null,null,1254,null,null,294,null,null,339,null,null,685,null,null,2830,null,null,2064,null,null,1248,null,null,272,null,null,590,null,null,929,null,null,21
53131,5392,24933,3109,13101,2221,8752,1534,786,478,424,302,1870,851,28198,3935,14383,2746,8997,1629,633,386,1069,457,3116,1136,5392,null,null,3109,null,null,2221,null,null,1534,null,null,478,null,null,302,null,null,851,null,null,3935,null,null,2746,null,null,1629,null,null,386,null,null,457,null,null,1136,null,null,22
16604,2038,8508,1317,4604,983,1836,616,17,37,311,338,1740,552,8096,1310,3545,866,2442,833,327,297,350,257,1432,506,2038,null,null,1317,null,null,983,null,null,616,null,null,37,null,null,338,null,null,552,null,null,1310,null,null,866,null,null,833,null,null,297,null,null,257,null,null,506,null,null,23
115384,7745,53512,4758,30854,3394,17890,2065,1225,596,856,307,2687,965,61872,4692,33051,3533,19875,2068,1188,546,2299,755,5459,1165,7745,null,null,4758,null,null,3394,null,null,2065,null,null,596,null,null,307,null,null,965,null,null,4692,null,null,3533,null,null,2068,null,null,546,null,null,755,null,null,1165,null,null,24
135258,8700,66945,5277,40686,3888,19076,2487,2067,1208,686,407,4430,983,68313,5227,38949,3673,18320,2554,2050,805,3147,867,5847,1275,8700,null,null,5277,null,null,3888,null,null,2487,null,null,1208,null,null,407,null,null,983,null,null,5227,null,null,3673,null,null,2554,null,null,805,null,null,867,null,null,1275,null,null,25
183090,7685,89657,4128,51774,3204,25942,2648,1350,519,1360,455,9231,1656,93433,5287,48874,4196,27706,2095,1744,604,3781,841,11328,1620,7685,null,null,4128,null,null,3204,null,null,2648,null,null,519,null,null,455,null,null,1656,null,null,5287,null,null,4196,null,null,2095,null,null,604,null,null,841,null,null,1620,null,null,26
85270,5097,42296,3353,26189,2329,12151,1533,566,432,566,430,2824,903,42974,3399,23498,2646,13196,1492,917,519,1049,398,4314,988,5097,null,null,3353,null,null,2329,null,null,1533,null,null,432,null,null,430,null,null,903,null,null,3399,null,null,2646,null,null,1492,null,null,519,null,null,398,null,null,988,null,null,27
18545,2774,8573,1845,4277,1416,2645,902,462,414,174,148,1015,603,9972,1574,3968,1022,3245,835,434,392,1005,565,1320,634,2774,null,null,1845,null,null,1416,null,null,902,null,null,414,null,null,148,null,null,603,null,null,1574,null,null,1022,null,null,835,null,null,392,null,null,565,null,null,634,null,null,28
86866,5528,44891,4260,25544,3789,13447,1744,1121,551,548,269,4231,1021,41975,3339,20144,2491,12970,1663,1068,674,2421,844,5372,1142,5528,null,null,4260,null,null,3789,null,null,1744,null,null,551,null,null,269,null,null,1021,null,null,3339,null,null,2491,null,null,1663,null,null,674,null,null,844,null,null,1142,null,null,29
21935,2182,10960,1697,5049,1367,3871,882,86,100,269,188,1685,666,10975,1433,5650,1280,3259,696,19,36,485,360,1562,649,2182,null,null,1697,null,null,1367,null,null,882,null,null,100,null,null,188,null,null,666,null,null,1433,null,null,1280,null,null,696,null,null,36,null,null,360,null,null,649,null,null,30
25865,2993,13554,1735,7393,1236,4747,1068,148,171,92,108,1174,437,12311,1908,6408,1339,4188,1135,131,155,485,310,1099,359,2993,null,null,1735,null,null,1236,null,null,1068,null,null,171,null,null,108,null,null,437,null,null,1908,null,null,1339,null,null,1135,null,null,155,null,null,310,null,null,359,null,null,31
85771,6061,42809,3845,24779,2943,11985,1611,357,224,486,405,5202,1018,42962,3643,21078,2685,13332,1594,1214,718,1243,496,6095,1397,6061,null,null,3845,null,null,2943,null,null,1611,null,null,224,null,null,405,null,null,1018,null,null,3643,null,null,2685,null,null,1594,null,null,718,null,null,496,null,null,1397,null,null,32
18560,2491,9397,1855,5416,1266,2234,896,226,244,158,230,1363,764,9163,1462,4479,1185,2684,748,0,187,1034,493,966,607,2491,null,null,1855,null,null,1266,null,null,896,null,null,244,null,null,230,null,null,764,null,null,1462,null,null,1185,null,null,748,null,null,187,null,null,493,null,null,607,null,null,33
141049,8826,67335,4939,35477,3868,25016,2319,1091,703,851,421,4900,1265,73714,5488,32691,3849,28120,2123,2506,824,4564,1034,5833,1344,8826,null,null,4939,null,null,3868,null,null,2319,null,null,703,null,null,421,null,null,1265,null,null,5488,null,null,3849,null,null,2123,null,null,824,null,null,1034,null,null,1344,null,null,34
44457,4711,23491,3162,12713,2130,8192,1590,116,132,179,178,2291,822,20966,2732,8987,1927,7189,1373,832,730,1461,769,2497,775,4711,null,null,3162,null,null,2130,null,null,1590,null,null,132,null,null,178,null,null,822,null,null,2732,null,null,1927,null,null,1373,null,null,730,null,null,769,null,null,775,null,null,35
393726,16407,187877,10279,104074,7755,66410,4609,4724,1030,2054,677,10615,1763,205849,8226,108037,5396,64851,4428,7117,1521,9199,1565,16645,1940,16407,null,null,10279,null,null,7755,null,null,4609,null,null,1030,null,null,677,null,null,1763,null,null,8226,null,null,5396,null,null,4428,null,null,1521,null,null,1565,null,null,1940,null,null,36
148145,8180,66024,5121,36427,3901,22801,2392,1497,722,1047,498,4252,1060,82121,5405,40171,4043,26009,2602,2652,909,3241,862,10048,2021,8180,null,null,5121,null,null,3901,null,null,2392,null,null,722,null,null,498,null,null,1060,null,null,5405,null,null,4043,null,null,2602,null,null,909,null,null,862,null,null,2021,null,null,37
12443,1736,5951,1124,2773,837,2271,797,86,128,17,30,804,591,6492,1357,3379,1144,2611,730,0,155,112,116,390,290,1736,null,null,1124,null,null,837,null,null,797,null,null,128,null,null,30,null,null,591,null,null,1357,null,null,1144,null,null,730,null,null,155,null,null,116,null,null,290,null,null,38
182248,8455,90232,4932,56136,4452,24283,2616,1129,568,1119,433,7565,1335,92016,5813,50278,4332,24776,2595,2599,881,3971,945,10392,1361,8455,null,null,4932,null,null,4452,null,null,2616,null,null,568,null,null,433,null,null,1335,null,null,5813,null,null,4332,null,null,2595,null,null,881,null,null,945,null,null,1361,null,null,39
192694,5643,94041,3617,42279,3048,36454,2144,1464,372,2029,489,11815,1181,98653,3432,34560,2489,38748,2645,2938,745,7124,917,15283,1446,5643,null,null,3617,null,null,3048,null,null,2144,null,null,372,null,null,489,null,null,1181,null,null,3432,null,null,2489,null,null,2645,null,null,745,null,null,917,null,null,1446,null,null,40
132581,7187,65303,4907,33727,3802,21951,2248,1061,702,1359,585,7205,1328,67278,4337,29948,3226,23903,2413,1570,754,3801,889,8056,1418,7187,null,null,4907,null,null,3802,null,null,2248,null,null,702,null,null,585,null,null,1328,null,null,4337,null,null,3226,null,null,2413,null,null,754,null,null,889,null,null,1418,null,null,41
182681,7890,90497,4388,54245,3638,25593,2486,2199,866,1271,589,7189,1412,92184,5736,49104,4201,26456,2507,3412,947,4189,1007,9023,1408,7890,null,null,4388,null,null,3638,null,null,2486,null,null,866,null,null,589,null,null,1412,null,null,5736,null,null,4201,null,null,2507,null,null,947,null,null,1007,null,null,1408,null,null,42
20330,3022,9538,2003,6193,1504,2661,692,309,306,31,53,344,286,10792,2021,6624,1557,2790,984,367,287,289,216,722,358,3022,null,null,2003,null,null,1504,null,null,692,null,null,306,null,null,53,null,null,286,null,null,2021,null,null,1557,null,null,984,null,null,287,null,null,216,null,null,358,null,null,44
56401,4691,26102,2923,14218,2384,7914,1397,951,497,222,171,2797,895,30299,3270,15414,2247,7135,1353,900,544,1701,639,5149,1172,4691,null,null,2923,null,null,2384,null,null,1397,null,null,497,null,null,171,null,null,895,null,null,3270,null,null,2247,null,null,1353,null,null,544,null,null,639,null,null,1172,null,null,45
11551,1856,5911,1257,3855,945,1514,661,0,157,11,19,531,284,5640,1157,3255,979,1478,634,208,228,468,338,231,153,1856,null,null,1257,null,null,945,null,null,661,null,null,157,null,null,19,null,null,284,null,null,1157,null,null,979,null,null,634,null,null,228,null,null,338,null,null,153,null,null,46
78769,5434,38404,3299,20043,2690,11857,1831,714,398,835,445,4955,1213,40365,3292,17198,2060,14436,1854,1550,751,2032,638,5149,1219,5434,null,null,3299,null,null,2690,null,null,1831,null,null,398,null,null,445,null,null,1213,null,null,3292,null,null,2060,null,null,1854,null,null,751,null,null,638,null,null,1219,null,null,47
432127,15300,212960,9916,109236,6894,78240,4611,3339,973,3442,921,18703,2172,219167,8246,92379,5176,86286,4803,5374,1265,11503,1629,23625,2689,15300,null,null,9916,null,null,6894,null,null,4611,null,null,973,null,null,921,null,null,2172,null,null,8246,null,null,5176,null,null,4803,null,null,1265,null,null,1629,null,null,2689,null,null,48
50959,3793,25613,2393,13686,1810,9325,1645,820,727,567,454,1215,498,25346,2462,12280,1864,10101,1537,282,272,655,432,2028,805,3793,null,null,2393,null,null,1810,null,null,1645,null,null,727,null,null,454,null,null,498,null,null,2462,null,null,1864,null,null,1537,null,null,272,null,null,432,null,null,805,null,null,49
7570,1177,3592,687,1570,505,1376,489,32,55,37,64,577,296,3978,876,1499,594,1348,448,25,48,226,164,880,534,1177,null,null,687,null,null,505,null,null,489,null,null,55,null,null,64,null,null,296,null,null,876,null,null,594,null,null,448,null,null,48,null,null,164,null,null,534,null,null,50
181646,7811,89703,5295,47350,3781,33892,2980,2214,825,1054,507,5193,1067,91943,5173,43322,3803,32961,3364,3040,1026,3111,928,9509,1489,7811,null,null,5295,null,null,3781,null,null,2980,null,null,825,null,null,507,null,null,1067,null,null,5173,null,null,3803,null,null,3364,null,null,1026,null,null,928,null,null,1489,null,null,51
254899,9449,128303,5681,70586,4648,41307,3434,2303,877,1407,593,12700,1854,126596,6144,61374,3975,41559,3861,1972,816,3625,791,18066,2200,9449,null,null,5681,null,null,4648,null,null,3434,null,null,877,null,null,593,null,null,1854,null,null,6144,null,null,3975,null,null,3861,null,null,816,null,null,791,null,null,2200,null,null,53
