B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,B19101I_001M,B19101I_001EA,B19101I_001MA,B19101I_002M,B19101I_002EA,B19101I_002MA,B19101I_003M,B19101I_003EA,B19101I_003MA,B19101I_004M,B19101I_004EA,B19101I_004MA,B19101I_005M,B19101I_005EA,B19101I_005MA,B19101I_006M,B19101I_006EA,B19101I_006MA,B19101I_007M,B19101I_007EA,B19101I_007MA,B19101I_008M,B19101I_008EA,B19101I_008MA,B19101I_009M,B19101I_009EA,B19101I_009MA,B19101I_010M,B19101I_010EA,B19101I_010MA,B19101I_011M,B19101I_011EA,B19101I_011MA,B19101I_012M,B19101I_012EA,B19101I_012MA,B19101I_013M,B19101I_013EA,B19101I_013MA,B19101I_014M,B19101I_014EA,B19101I_014MA,B19101I_015M,B19101I_015EA,B19101I_015MA,B19101I_016M,B19101I_016EA,B19101I_016MA,B19101I_017M,B19101I_017EA,B19101I_017MA,state
1111987,12676,60170,4434,54169,3800,62019,4771,79200,5379,64050,4398,71128,5330,61804,4342,63571,4687,53183,4704,95836,6160,114735,6096,132650,6656,73620,4810,41467,3236,40686,3305,43699,3287,12676,null,null,4434,null,null,3800,null,null,4771,null,null,5379,null,null,4398,null,null,5330,null,null,4342,null,null,4687,null,null,4704,null,null,6160,null,null,6096,null,null,6656,null,null,4810,null,null,3236,null,null,3305,null,null,3287,null,null,12
191205,5476,12350,2138,7846,1631,11052,2081,17182,2667,9800,1677,12569,1837,9907,1784,12515,2071,9283,1631,19536,2866,20424,2527,21751,2543,9901,2037,4316,1356,6734,1571,6039,1432,5476,null,null,2138,null,null,1631,null,null,2081,null,null,2667,null,null,1677,null,null,1837,null,null,1784,null,null,2071,null,null,1631,null,null,2866,null,null,2527,null,null,2543,null,null,2037,null,null,1356,null,null,1571,null,null,1432,null,null,13
25318,1735,1060,493,860,421,427,276,661,421,817,515,1629,545,1212,484,1478,575,691,311,2317,967,3719,1008,4086,1033,1840,598,1497,562,1410,464,1614,593,1735,null,null,493,null,null,421,null,null,276,null,null,421,null,null,515,null,null,545,null,null,484,null,null,575,null,null,311,null,null,967,null,null,1008,null,null,1033,null,null,598,null,null,562,null,null,464,null,null,593,null,null,15
38723,1973,3099,1026,1356,727,2507,839,1765,703,3314,982,1662,743,3706,1152,2475,840,2331,821,4947,1253,3677,875,4360,1284,2172,762,377,305,520,394,455,327,1973,null,null,1026,null,null,727,null,null,839,null,null,703,null,null,982,null,null,743,null,null,1152,null,null,840,null,null,821,null,null,1253,null,null,875,null,null,1284,null,null,762,null,null,305,null,null,394,null,null,327,null,null,16
443100,5761,19525,1888,16110,2141,20897,2355,24753,2710,21804,2649,22635,2445,29559,3193,27089,2780,19876,2292,40253,3269,48269,3823,63218,4168,38808,3200,20677,2296,17622,2246,12005,1634,5761,null,null,1888,null,null,2141,null,null,2355,null,null,2710,null,null,2649,null,null,2445,null,null,3193,null,null,2780,null,null,2292,null,null,3269,null,null,3823,null,null,4168,null,null,3200,null,null,2296,null,null,2246,null,null,1634,null,null,17
86514,3386,5484,1328,3659,1144,3368,883,7351,1558,5701,1320,6166,1334,6613,1480,5510,1247,3284,997,7974,1166,8631,1660,9495,1603,5220,1188,2887,872,3221,1110,1950,875,3386,null,null,1328,null,null,1144,null,null,883,null,null,1558,null,null,1320,null,null,1334,null,null,1480,null,null,1247,null,null,997,null,null,1166,null,null,1660,null,null,1603,null,null,1188,null,null,872,null,null,1110,null,null,875,null,null,18
34197,2195,2909,881,1285,659,1987,730,2398,785,2539,659,1746,834,1631,521,2217,760,2172,751,2955,877,4261,940,4379,1172,1741,542,745,423,626,335,606,360,2195,null,null,881,null,null,659,null,null,730,null,null,785,null,null,659,null,null,834,null,null,521,null,null,760,null,null,751,null,null,877,null,null,940,null,null,1172,null,null,542,null,null,423,null,null,335,null,null,360,null,null,19
63618,2319,3555,947,2113,846,2333,736,4272,1145,4299,1156,4650,1331,4249,1150,3551,786,3939,1006,7376,1466,6000,1297,7034,996,3787,802,2689,837,2249,795,1522,531,2319,null,null,947,null,null,846,null,null,736,null,null,1145,null,null,1156,null,null,1331,null,null,1150,null,null,786,null,null,1006,null,null,1466,null,null,1297,null,null,996,null,null,802,null,null,837,null,null,795,null,null,531,null,null,20
27424,2095,2548,978,1819,725,1840,674,2290,688,2206,748,910,448,1894,857,1197,665,580,345,2734,853,2220,842,2338,848,1605,605,895,546,650,448,1698,728,2095,null,null,978,null,null,725,null,null,674,null,null,688,null,null,748,null,null,448,null,null,857,null,null,665,null,null,345,null,null,853,null,null,842,null,null,848,null,null,605,null,null,546,null,null,448,null,null,728,null,null,21
45688,3118,3362,1174,2410,894,2854,1217,3456,1024,3507,1266,2045,948,2755,1153,2548,862,2136,874,4154,988,4659,1352,3713,1179,3051,905,1727,974,1965,781,1346,613,3118,null,null,1174,null,null,894,null,null,1217,null,null,1024,null,null,1266,null,null,948,null,null,1153,null,null,862,null,null,874,null,null,988,null,null,1352,null,null,1179,null,null,905,null,null,974,null,null,781,null,null,613,null,null,22
