B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,B05003D_001M,B05003D_001EA,B05003D_001MA,B05003D_002M,B05003D_002EA,B05003D_002MA,B05003D_003M,B05003D_003EA,B05003D_003MA,B05003D_004M,B05003D_004EA,B05003D_004MA,B05003D_005M,B05003D_005EA,B05003D_005MA,B05003D_006M,B05003D_006EA,B05003D_006MA,B05003D_007M,B05003D_007EA,B05003D_007MA,B05003D_008M,B05003D_008EA,B05003D_008MA,B05003D_009M,B05003D_009EA,B05003D_009MA,B05003D_010M,B05003D_010EA,B05003D_010MA,B05003D_011M,B05003D_011EA,B05003D_011MA,B05003D_012M,B05003D_012EA,B05003D_012MA,B05003D_013M,B05003D_013EA,B05003D_013MA,B05003D_014M,B05003D_014EA,B05003D_014MA,B05003D_015M,B05003D_015EA,B05003D_015MA,B05003D_016M,B05003D_016EA,B05003D_016MA,B05003D_017M,B05003D_017EA,B05003D_017MA,B05003D_018M,B05003D_018EA,B05003D_018MA,B05003D_019M,B05003D_019EA,B05003D_019MA,B05003D_020M,B05003D_020EA,B05003D_020MA,B05003D_021M,B05003D_021EA,B05003D_021MA,B05003D_022M,B05003D_022EA,B05003D_022MA,B05003D_023M,B05003D_023EA,B05003D_023MA,state
559393,7440,249509,4858,52596,3144,43562,3057,9034,1951,2625,950,6409,1588,196913,3591,41591,3817,155322,4193,98741,4527,56581,4451,309884,5112,55402,3120,42719,2973,12683,2233,4475,1499,8208,1604,254482,3486,40100,2929,214382,4452,138154,4900,76228,4973,7440,null,null,4858,null,null,3144,null,null,3057,null,null,1951,null,null,950,null,null,1588,null,null,3591,null,null,3817,null,null,4193,null,null,4527,null,null,4451,null,null,5112,null,null,3120,null,null,2973,null,null,2233,null,null,1499,null,null,1604,null,null,3486,null,null,2929,null,null,4452,null,null,4900,null,null,4973,null,null,12
398897,6597,191940,4754,44339,3210,33986,3454,10353,1884,1036,380,9317,1827,147601,2976,23990,2867,123611,3482,64015,3429,59596,3977,206957,4447,43787,2359,33573,2241,10214,1719,3393,1105,6821,1314,163170,3260,22901,2483,140269,3742,75171,4283,65098,4226,6597,null,null,4754,null,null,3210,null,null,3454,null,null,1884,null,null,380,null,null,1827,null,null,2976,null,null,2867,null,null,3482,null,null,3429,null,null,3977,null,null,4447,null,null,2359,null,null,2241,null,null,1719,null,null,1105,null,null,1314,null,null,3260,null,null,2483,null,null,3742,null,null,4283,null,null,4226,null,null,13
543448,10631,251958,6804,40254,3251,34446,2920,5808,1556,1901,828,3907,1348,211704,4752,135100,4383,76604,4645,49878,3784,26726,3526,291490,5138,38063,3079,32580,3074,5483,1759,1921,1154,3562,1186,253427,3907,137215,4891,116212,5273,74573,4406,41639,3552,10631,null,null,6804,null,null,3251,null,null,2920,null,null,1556,null,null,828,null,null,1348,null,null,4752,null,null,4383,null,null,4645,null,null,3784,null,null,3526,null,null,5138,null,null,3079,null,null,3074,null,null,1759,null,null,1154,null,null,1186,null,null,3907,null,null,4891,null,null,5273,null,null,4406,null,null,3552,null,null,15
24406,2239,9900,1463,2453,873,2136,840,317,326,0,198,317,326,7447,1113,2647,1160,4800,882,2022,727,2778,703,14506,1529,3224,968,1499,792,1725,820,1189,725,536,352,11282,1228,3233,1164,8049,1292,3910,1270,4139,914,2239,null,null,1463,null,null,873,null,null,840,null,null,326,null,null,198,null,null,326,null,null,1113,null,null,1160,null,null,882,null,null,727,null,null,703,null,null,1529,null,null,968,null,null,792,null,null,820,null,null,725,null,null,352,null,null,1228,null,null,1164,null,null,1292,null,null,1270,null,null,914,null,null,16
684783,5820,330806,3522,73410,2386,59306,2683,14104,1930,4326,982,9778,1642,257396,2533,56319,3734,201077,3927,113140,3959,87937,4136,353977,3805,69096,2420,52294,2736,16802,2334,6620,1274,10182,1767,284881,2906,53896,3418,230985,3998,138298,4603,92687,4485,5820,null,null,3522,null,null,2386,null,null,2683,null,null,1930,null,null,982,null,null,1642,null,null,2533,null,null,3734,null,null,3927,null,null,3959,null,null,4136,null,null,3805,null,null,2420,null,null,2736,null,null,2334,null,null,1274,null,null,1767,null,null,2906,null,null,3418,null,null,3998,null,null,4603,null,null,4485,null,null,17
141451,4471,69647,2348,15312,1504,9552,1525,5760,1115,989,441,4771,1011,54335,1634,7101,1245,47234,1958,17337,1883,29897,2204,71804,3203,16312,1692,10532,1569,5780,1235,2410,957,3370,1110,55492,2146,6566,1110,48926,2219,23103,2317,25823,1846,4471,null,null,2348,null,null,1504,null,null,1525,null,null,1115,null,null,441,null,null,1011,null,null,1634,null,null,1245,null,null,1958,null,null,1883,null,null,2204,null,null,3203,null,null,1692,null,null,1569,null,null,1235,null,null,957,null,null,1110,null,null,2146,null,null,1110,null,null,2219,null,null,2317,null,null,1846,null,null,18
74805,2572,36382,1612,8929,1251,6189,1150,2740,798,1109,590,1631,695,27453,1176,4743,1127,22710,1430,8975,1263,13735,1500,38423,1997,8755,1118,6172,1047,2583,796,997,506,1586,604,29668,1365,4822,1257,24846,1690,11175,1518,13671,1634,2572,null,null,1612,null,null,1251,null,null,1150,null,null,798,null,null,590,null,null,695,null,null,1176,null,null,1127,null,null,1430,null,null,1263,null,null,1500,null,null,1997,null,null,1118,null,null,1047,null,null,796,null,null,506,null,null,604,null,null,1365,null,null,1257,null,null,1690,null,null,1518,null,null,1634,null,null,19
79741,3466,38742,2141,8337,1106,6325,989,2012,738,673,371,1339,623,30405,1741,4785,1236,25620,2097,12982,1819,12638,1674,40999,2234,8208,1282,5711,1074,2497,801,1565,659,932,389,32791,1752,3918,1103,28873,2128,16773,2151,12100,1681,3466,null,null,2141,null,null,1106,null,null,989,null,null,738,null,null,371,null,null,623,null,null,1741,null,null,1236,null,null,2097,null,null,1819,null,null,1674,null,null,2234,null,null,1282,null,null,1074,null,null,801,null,null,659,null,null,389,null,null,1752,null,null,1103,null,null,2128,null,null,2151,null,null,1681,null,null,20
61311,2866,28272,1808,8338,1158,4351,827,3987,1033,1043,618,2944,848,19934,1502,3158,848,16776,1503,6690,1228,10086,1471,33039,1777,6531,900,3183,742,3348,642,1372,488,1976,576,26508,1665,4181,900,22327,1514,11738,1487,10589,1545,2866,null,null,1808,null,null,1158,null,null,827,null,null,1033,null,null,618,null,null,848,null,null,1502,null,null,848,null,null,1503,null,null,1228,null,null,1471,null,null,1777,null,null,900,null,null,742,null,null,642,null,null,488,null,null,576,null,null,1665,null,null,900,null,null,1514,null,null,1487,null,null,1545,null,null,21
77921,2506,37668,1846,6771,1417,4679,1181,2092,923,418,381,1674,764,30897,1679,7190,1608,23707,2271,12529,1569,11178,1798,40253,2165,9174,1437,6880,1298,2294,1055,762,521,1532,915,31079,1521,7016,1509,24063,1784,13814,1554,10249,1613,2506,null,null,1846,null,null,1417,null,null,1181,null,null,923,null,null,381,null,null,764,null,null,1679,null,null,1608,null,null,2271,null,null,1569,null,null,1798,null,null,2165,null,null,1437,null,null,1298,null,null,1055,null,null,521,null,null,915,null,null,1521,null,null,1509,null,null,1784,null,null,1554,null,null,1613,null,null,22
