B19013D_001E,B19013D_001M,B19013D_001M,B19013D_001EA,B19013D_001MA,state
67059,2747,2747,null,null,12
75632,5167,5167,null,null,13
78800,2604,2604,null,null,15
37478,6527,6527,null,null,16
85423,3981,3981,null,null,17
51547,5372,5372,null,null,18
53565,4061,4061,null,null,19
62615,9913,9913,null,null,20
60260,5474,5474,null,null,21
53931,9878,9878,null,null,22
55985,11823,11823,null,null,23
97900,3968,3968,null,null,24
89425,5749,5749,null,null,25
78974,4085,4085,null,null,26
70853,3122,3122,null,null,27
55428,6562,6562,null,null,28
62465,6268,6268,null,null,29
37328,14722,14722,null,null,30
51717,9442,9442,null,null,31
65574,2690,2690,null,null,32
67233,18543,18543,null,null,33
109058,4292,4292,null,null,34
59508,8280,8280,null,null,35
68453,2209,2209,null,null,36
80381,3776,3776,null,null,37
59429,25192,25192,null,null,38
70866,6515,6515,null,null,39
56684,6874,6874,null,null,40
72282,5654,5654,null,null,41
70086,4773,4773,null,null,42
83610,6758,6758,null,null,44
63241,10437,10437,null,null,45
41150,22298,22298,null,null,46
69497,4241,4241,null,null,47
82081,1812,1812,null,null,48
71077,4180,4180,null,null,49
58750,33685,33685,null,null,50
97343,4639,4639,null,null,51
85114,2557,2557,null,null,53
60071,8909,8909,null,null,54
68327,5549,5549,null,null,55
80229,30325,30325,null,null,56
33385,16962,16962,null,null,72
61413,8063,8063,null,null,01
79048,11411,11411,null,null,02
69816,3458,3458,null,null,04
63539,11713,11713,null,null,05
86647,1127,1127,null,null,06
70370,5253,5253,null,null,08
89946,7513,7513,null,null,09
84307,10585,10585,null,null,10
99385,11697,11697,null,null,11
