B17002_001E,B17002_001M,B17002_002E,B17002_002M,B17002_003E,B17002_003M,B17002_004E,B17002_004M,B17002_005E,B17002_005M,B17002_006E,B17002_006M,B17002_007E,B17002_007M,B17002_008E,B17002_008M,B17002_009E,B17002_009M,B17002_010E,B17002_010M,B17002_011E,B17002_011M,B17002_012E,B17002_012M,B17002_013E,B17002_013M,B17002_001M,B17002_001EA,B17002_001MA,B17002_002M,B17002_002EA,B17002_002MA,B17002_003M,B17002_003EA,B17002_003MA,B17002_004M,B17002_004EA,B17002_004MA,B17002_005M,B17002_005EA,B17002_005MA,B17002_006M,B17002_006EA,B17002_006MA,B17002_007M,B17002_007EA,B17002_007MA,B17002_008M,B17002_008EA,B17002_008MA,B17002_009M,B17002_009EA,B17002_009MA,B17002_010M,B17002_010EA,B17002_010MA,B17002_011M,B17002_011EA,B17002_011MA,B17002_012M,B17002_012EA,B17002_012MA,B17002_013M,B17002_013EA,B17002_013MA,state
20191342,6143,1295153,34976,747198,27734,931161,31648,1068495,30641,1076198,33597,1058031,34636,394611,20325,571521,22242,3697172,60083,2739958,48369,1973153,43122,4638691,48860,6143,null,null,34976,null,null,27734,null,null,31648,null,null,30641,null,null,33597,null,null,34636,null,null,20325,null,null,22242,null,null,60083,null,null,48369,null,null,43122,null,null,48860,null,null,12
10040201,4550,727471,25250,399431,18428,476111,24469,481306,21591,491949,23405,503277,26236,171252,13209,282772,18874,1742198,42766,1332104,34726,996702,28195,2435628,40410,4550,null,null,25250,null,null,18428,null,null,24469,null,null,21591,null,null,23405,null,null,26236,null,null,13209,null,null,18874,null,null,42766,null,null,34726,null,null,28195,null,null,40410,null,null,13
1389442,1866,64908,7258,25840,4534,38821,5662,42303,5631,45266,6549,53039,7597,21511,5553,29477,4426,222689,12497,195641,13073,183114,12371,466833,15122,1866,null,null,7258,null,null,4534,null,null,5662,null,null,5631,null,null,6549,null,null,7597,null,null,5553,null,null,4426,null,null,12497,null,null,13073,null,null,12371,null,null,15122,null,null,15
1652592,1607,102062,8519,53004,6762,82379,8854,82651,8520,83168,9364,91669,8675,31802,5909,48420,6754,315918,15585,246938,15830,180078,11826,334503,16177,1607,null,null,8519,null,null,6762,null,null,8854,null,null,8520,null,null,9364,null,null,8675,null,null,5909,null,null,6754,null,null,15585,null,null,15830,null,null,11826,null,null,16177,null,null,16
12502057,3937,738806,22637,405544,18410,477158,19718,513379,19959,498728,17475,527990,20837,215472,15020,304965,15511,1911443,38635,1664077,30782,1391079,28790,3853416,35412,3937,null,null,22637,null,null,18410,null,null,19718,null,null,19959,null,null,17475,null,null,20837,null,null,15020,null,null,15511,null,null,38635,null,null,30782,null,null,28790,null,null,35412,null,null,17
6432804,3045,409184,17566,218436,13075,278457,14583,282721,13351,295491,17070,307027,16363,129803,10875,165823,10487,1177599,26125,956628,24575,726485,20905,1485150,25631,3045,null,null,17566,null,null,13075,null,null,14583,null,null,13351,null,null,17070,null,null,16363,null,null,10875,null,null,10487,null,null,26125,null,null,24575,null,null,20905,null,null,25631,null,null,18
3031338,2083,159453,8423,88103,7737,108822,7375,120484,8792,113555,7879,125210,8791,51329,4372,79369,6566,561068,17030,464672,13453,376251,13914,783022,16099,2083,null,null,8423,null,null,7737,null,null,7375,null,null,8792,null,null,7879,null,null,8791,null,null,4372,null,null,6566,null,null,17030,null,null,13453,null,null,13914,null,null,16099,null,null,19
2825864,1863,151518,8417,84345,7335,106681,8020,127810,7858,132063,9520,134282,8662,53654,6706,76377,7964,495101,15731,421558,15018,327637,14720,714838,17103,1863,null,null,8417,null,null,7335,null,null,8020,null,null,7858,null,null,9520,null,null,8662,null,null,6706,null,null,7964,null,null,15731,null,null,15018,null,null,14720,null,null,17103,null,null,20
4298953,3416,339407,14656,215667,13067,238986,12134,211981,11026,216536,11862,206200,12295,81243,8444,121365,9820,727419,20957,588341,18272,454307,17070,897501,20030,3416,null,null,14656,null,null,13067,null,null,12134,null,null,11026,null,null,11862,null,null,12295,null,null,8444,null,null,9820,null,null,20957,null,null,18272,null,null,17070,null,null,20030,null,null,21
4546017,4194,395474,18532,251454,15015,271259,16545,247659,15374,209489,12322,221837,14118,83860,10009,114261,9270,743398,23018,587533,21968,446821,17748,972972,22497,4194,null,null,18532,null,null,15015,null,null,16545,null,null,15374,null,null,12322,null,null,14118,null,null,10009,null,null,9270,null,null,23018,null,null,21968,null,null,17748,null,null,22497,null,null,22
