B17026_001E,B17026_001M,B17026_002E,B17026_002M,B17026_003E,B17026_003M,B17026_004E,B17026_004M,B17026_005E,B17026_005M,B17026_006E,B17026_006M,B17026_007E,B17026_007M,B17026_008E,B17026_008M,B17026_009E,B17026_009M,B17026_010E,B17026_010M,B17026_011E,B17026_011M,B17026_012E,B17026_012M,B17026_013E,B17026_013M,B17026_001M,B17026_001EA,B17026_001MA,B17026_002M,B17026_002EA,B17026_002MA,B17026_003M,B17026_003EA,B17026_003MA,B17026_004M,B17026_004EA,B17026_004MA,B17026_005M,B17026_005EA,B17026_005MA,B17026_006M,B17026_006EA,B17026_006MA,B17026_007M,B17026_007EA,B17026_007MA,B17026_008M,B17026_008EA,B17026_008MA,B17026_009M,B17026_009EA,B17026_009MA,B17026_010M,B17026_010EA,B17026_010MA,B17026_011M,B17026_011EA,B17026_011MA,B17026_012M,B17026_012EA,B17026_012MA,B17026_013M,B17026_013EA,B17026_013MA,state
4864461,24241,197818,7393,144540,7055,167258,7301,209892,7508,218666,8299,225669,8679,87308,5005,127172,5496,852366,16501,687048,12321,518988,12323,1427736,15390,24241,null,null,7393,null,null,7055,null,null,7301,null,null,7508,null,null,8299,null,null,8679,null,null,5005,null,null,5496,null,null,16501,null,null,12321,null,null,12323,null,null,15390,null,null,12
2479003,18252,126990,6554,79321,4762,89950,5839,97859,5354,108520,5755,107159,6040,41113,3560,63843,4645,409564,11567,343322,10323,263467,8008,747895,13269,18252,null,null,6554,null,null,4762,null,null,5839,null,null,5354,null,null,5755,null,null,6040,null,null,3560,null,null,4645,null,null,11567,null,null,10323,null,null,8008,null,null,13269,null,null,13
315505,5105,8431,1402,4489,1110,5906,1196,8388,1403,9074,1509,10229,1685,4232,984,5788,1235,45979,3187,43335,3519,42549,3195,127105,4202,5105,null,null,1402,null,null,1110,null,null,1196,null,null,1403,null,null,1509,null,null,1685,null,null,984,null,null,1235,null,null,3187,null,null,3519,null,null,3195,null,null,4202,null,null,15
411617,7286,16002,2139,9889,1568,15383,2221,16204,2399,15663,2243,19131,1973,6618,1495,10463,1627,76289,4834,66463,4383,50756,3516,108756,5214,7286,null,null,2139,null,null,1568,null,null,2221,null,null,2399,null,null,2243,null,null,1973,null,null,1495,null,null,1627,null,null,4834,null,null,4383,null,null,3516,null,null,5214,null,null,16
3100613,17145,121550,6028,79635,4647,91859,4837,106390,5734,103738,3809,110585,4988,50366,3696,68779,4295,442212,9831,414827,8232,356062,7926,1154610,12127,17145,null,null,6028,null,null,4647,null,null,4837,null,null,5734,null,null,3809,null,null,4988,null,null,3696,null,null,4295,null,null,9831,null,null,8232,null,null,7926,null,null,12127,null,null,17
1645758,11176,63137,4411,42179,3461,52404,3678,54904,3744,63721,4479,65872,4210,30999,2951,38811,2710,283189,7646,262710,6730,208797,6286,479035,9599,11176,null,null,4411,null,null,3461,null,null,3678,null,null,3744,null,null,4479,null,null,4210,null,null,2951,null,null,2710,null,null,7646,null,null,6730,null,null,6286,null,null,9599,null,null,18
795043,8419,24471,1932,16231,1933,19427,2117,22598,1985,22561,1914,27901,2401,11342,1456,18954,1990,134094,5043,125551,4234,108054,4195,263859,5337,8419,null,null,1932,null,null,1933,null,null,2117,null,null,1985,null,null,1914,null,null,2401,null,null,1456,null,null,1990,null,null,5043,null,null,4234,null,null,4195,null,null,5337,null,null,19
716005,8245,21043,1767,15954,2031,19467,1907,25377,2184,26453,2210,28423,2610,12129,1541,17459,2318,112707,4318,110672,4133,91530,4227,234791,6160,8245,null,null,1767,null,null,2031,null,null,1907,null,null,2184,null,null,2210,null,null,2610,null,null,1541,null,null,2318,null,null,4318,null,null,4133,null,null,4227,null,null,6160,null,null,20
1121404,10897,63380,3512,44502,3463,48900,3302,46826,3286,50611,3444,48058,3675,20384,2639,30098,2561,184632,5839,162936,5874,129034,5523,292043,7079,10897,null,null,3512,null,null,3463,null,null,3302,null,null,3286,null,null,3444,null,null,3675,null,null,2639,null,null,2561,null,null,5839,null,null,5874,null,null,5523,null,null,7079,null,null,21
1097712,12285,67855,5004,49465,3872,51388,4243,54596,4295,44826,3887,48894,3799,19670,2497,26252,2291,176602,6218,150642,5795,115378,5712,292144,7092,12285,null,null,5004,null,null,3872,null,null,4243,null,null,4295,null,null,3887,null,null,3799,null,null,2497,null,null,2291,null,null,6218,null,null,5795,null,null,5712,null,null,7092,null,null,22
329554,6035,8385,1425,7066,1219,9759,1318,10946,1908,11708,2001,12678,1488,5633,1258,8292,1283,50890,3192,53032,2879,46393,3110,104772,4174,6035,null,null,1425,null,null,1219,null,null,1318,null,null,1908,null,null,2001,null,null,1488,null,null,1258,null,null,1283,null,null,3192,null,null,2879,null,null,3110,null,null,4174,null,null,23
1458953,11514,39091,2811,25323,2682,27945,2781,32393,2458,35448,3205,39948,3638,16969,2356,24627,2826,172586,6899,175175,6515,163090,6047,706358,9238,11514,null,null,2811,null,null,2682,null,null,2781,null,null,2458,null,null,3205,null,null,3638,null,null,2356,null,null,2826,null,null,6899,null,null,6515,null,null,6047,null,null,9238,null,null,24
