B01002B_001E,B01002B_001M,B01002B_002E,B01002B_002M,B01002B_003E,B01002B_003M,B01002B_001M,B01002B_001EA,B01002B_001MA,B01002B_002M,B01002B_002EA,B01002B_002MA,B01002B_003M,B01002B_003EA,B01002B_003MA,state
33.3,0.2,31.8,0.3,34.8,0.2,0.2,null,null,0.3,null,null,0.2,null,null,12
33.3,0.2,31.0,0.2,35.1,0.2,0.2,null,null,0.2,null,null,0.2,null,null,13
30.1,1.8,30.9,2.9,27.8,4.7,1.8,null,null,2.9,null,null,4.7,null,null,15
23.9,4.0,26.4,3.6,16.7,5.3,4.0,null,null,3.6,null,null,5.3,null,null,16
34.6,0.2,32.0,0.4,36.8,0.4,0.2,null,null,0.4,null,null,0.4,null,null,17
31.7,0.7,29.1,1.0,34.2,0.6,0.7,null,null,1.0,null,null,0.6,null,null,18
26.5,0.7,25.7,1.1,27.3,1.1,0.7,null,null,1.1,null,null,1.1,null,null,19
32.3,1.4,31.5,1.4,33.9,2.5,1.4,null,null,1.4,null,null,2.5,null,null,20
32.5,0.7,31.0,0.9,33.9,1.2,0.7,null,null,0.9,null,null,1.2,null,null,21
32.6,0.4,30.9,0.4,34.3,0.3,0.4,null,null,0.4,null,null,0.3,null,null,22
21.6,2.4,24.7,2.8,18.2,2.2,2.4,null,null,2.8,null,null,2.2,null,null,23
36.4,0.2,34.1,0.4,38.2,0.3,0.2,null,null,0.4,null,null,0.3,null,null,24
32.8,0.5,31.2,0.7,34.3,0.7,0.5,null,null,0.7,null,null,0.7,null,null,25
34.4,0.3,32.0,0.5,36.3,0.4,0.3,null,null,0.5,null,null,0.4,null,null,26
27.3,0.4,27.4,0.5,27.0,0.8,0.4,null,null,0.5,null,null,0.8,null,null,27
32.7,0.3,30.6,0.4,34.4,0.5,0.3,null,null,0.4,null,null,0.5,null,null,28
33.1,0.6,30.4,0.4,35.8,0.6,0.6,null,null,0.4,null,null,0.6,null,null,29
37.2,2.4,37.6,2.9,30.6,14.9,2.4,null,null,2.9,null,null,14.9,null,null,30
28.7,1.2,28.4,1.7,28.9,1.4,1.2,null,null,1.7,null,null,1.4,null,null,31
32.9,0.9,31.7,0.7,33.9,0.7,0.9,null,null,0.7,null,null,0.7,null,null,32
31.8,3.1,31.8,4.6,31.8,3.8,3.1,null,null,4.6,null,null,3.8,null,null,33
36.1,0.2,33.8,0.3,38.1,0.5,0.2,null,null,0.3,null,null,0.5,null,null,34
32.5,2.5,32.1,2.9,33.3,3.8,2.5,null,null,2.9,null,null,3.8,null,null,35
35.7,0.2,33.2,0.3,38.1,0.3,0.2,null,null,0.3,null,null,0.3,null,null,36
35.5,0.2,33.0,0.4,37.4,0.4,0.2,null,null,0.4,null,null,0.4,null,null,37
27.2,5.4,30.1,7.2,25.4,6.2,5.4,null,null,7.2,null,null,6.2,null,null,38
33.5,0.3,31.9,0.4,35.2,0.3,0.3,null,null,0.4,null,null,0.3,null,null,39
31.8,1.0,30.7,0.9,33.4,1.0,1.0,null,null,0.9,null,null,1.0,null,null,40
30.9,1.8,31.1,2.1,30.8,2.3,1.8,null,null,2.1,null,null,2.3,null,null,41
33.1,0.4,30.9,0.4,35.4,0.4,0.4,null,null,0.4,null,null,0.4,null,null,42
32.0,1.2,30.9,2.1,32.7,1.9,1.2,null,null,2.1,null,null,1.9,null,null,44
35.1,0.3,32.6,0.7,36.9,0.3,0.3,null,null,0.7,null,null,0.3,null,null,45
25.2,2.0,29.3,2.1,23.1,4.6,2.0,null,null,2.1,null,null,4.6,null,null,46
33.0,0.3,31.0,0.5,35.1,0.4,0.3,null,null,0.5,null,null,0.4,null,null,47
32.7,0.2,31.2,0.3,34.1,0.3,0.2,null,null,0.3,null,null,0.3,null,null,48
26.2,1.9,27.4,2.5,24.5,2.0,1.9,null,null,2.5,null,null,2.0,null,null,49
26.3,4.2,31.7,13.0,19.3,6.7,4.2,null,null,13.0,null,null,6.7,null,null,50
36.0,0.3,34.3,0.4,37.5,0.4,0.3,null,null,0.4,null,null,0.4,null,null,51
32.5,1.0,33.4,0.6,31.4,0.9,1.0,null,null,0.6,null,null,0.9,null,null,53
34.4,2.8,34.2,2.8,34.8,7.2,2.8,null,null,2.8,null,null,7.2,null,null,54
29.3,0.4,28.7,0.5,30.1,0.6,0.4,null,null,0.5,null,null,0.6,null,null,55
26.7,8.6,27.2,12.8,24.3,12.3,8.6,null,null,12.8,null,null,12.3,null,null,56
42.0,1.0,41.0,1.6,43.1,1.1,1.0,null,null,1.6,null,null,1.1,null,null,72
34.4,0.3,31.7,0.5,36.4,0.5,0.3,null,null,0.5,null,null,0.5,null,null,01
31.1,3.2,32.2,4.0,30.2,4.4,3.2,null,null,4.0,null,null,4.4,null,null,02
31.1,0.6,30.7,0.7,31.5,0.7,0.6,null,null,0.7,null,null,0.7,null,null,04
32.9,0.6,30.7,0.9,34.4,0.5,0.6,null,null,0.9,null,null,0.5,null,null,05
36.3,0.3,34.9,0.4,38.0,0.4,0.3,null,null,0.4,null,null,0.4,null,null,06
32.3,0.8,32.4,0.8,31.9,1.7,0.8,null,null,0.8,null,null,1.7,null,null,08
34.2,0.5,31.7,1.0,37.0,1.0,0.5,null,null,1.0,null,null,1.0,null,null,09
34.5,0.7,33.2,0.7,36.2,1.2,0.7,null,null,0.7,null,null,1.2,null,null,10
36.7,0.4,34.7,0.4,38.4,0.8,0.4,null,null,0.4,null,null,0.8,null,null,11
