B18101E_001E,B18101E_001M,B18101E_002E,B18101E_002M,B18101E_003E,B18101E_003M,B18101E_004E,B18101E_004M,B18101E_005E,B18101E_005M,B18101E_006E,B18101E_006M,B18101E_007E,B18101E_007M,B18101E_008E,B18101E_008M,B18101E_009E,B18101E_009M,B18101E_010E,B18101E_010M,B18101E_001M,B18101E_001EA,B18101E_001MA,B18101E_002M,B18101E_002EA,B18101E_002MA,B18101E_003M,B18101E_003EA,B18101E_003MA,B18101E_004M,B18101E_004EA,B18101E_004MA,B18101E_005M,B18101E_005EA,B18101E_005MA,B18101E_006M,B18101E_006EA,B18101E_006MA,B18101E_007M,B18101E_007EA,B18101E_007MA,B18101E_008M,B18101E_008EA,B18101E_008MA,B18101E_009M,B18101E_009EA,B18101E_009MA,B18101E_010M,B18101E_010EA,B18101E_010MA,state
12476,2415,2642,938,0,221,2642,938,8217,1854,799,488,7418,1688,1617,806,619,460,998,585,2415,null,null,938,null,null,221,null,null,938,null,null,1854,null,null,488,null,null,1688,null,null,806,null,null,460,null,null,585,null,null,12
6388,1961,1800,986,80,132,1720,971,3750,1439,873,615,2877,1256,838,637,202,211,636,620,1961,null,null,986,null,null,132,null,null,971,null,null,1439,null,null,615,null,null,1256,null,null,637,null,null,211,null,null,620,null,null,13
142357,6673,40453,3719,924,430,39529,3648,86646,3674,9800,1532,76846,3835,15258,1041,6118,891,9140,894,6673,null,null,3719,null,null,430,null,null,3648,null,null,3674,null,null,1532,null,null,3835,null,null,1041,null,null,891,null,null,894,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4686,1347,950,537,64,107,886,499,3325,1056,269,224,3056,1009,411,239,148,160,263,241,1347,null,null,537,null,null,107,null,null,499,null,null,1056,null,null,224,null,null,1009,null,null,239,null,null,160,null,null,241,null,null,17
3395,1498,951,733,0,192,951,733,2258,1097,54,58,2204,1099,186,164,0,192,186,164,1498,null,null,733,null,null,192,null,null,733,null,null,1097,null,null,58,null,null,1099,null,null,164,null,null,192,null,null,164,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2674,837,418,300,42,60,376,291,2145,695,291,191,1854,617,111,130,0,168,111,130,837,null,null,300,null,null,60,null,null,291,null,null,695,null,null,191,null,null,617,null,null,130,null,null,168,null,null,130,null,null,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
8642,2007,2949,1248,425,516,2524,1044,5289,1407,379,376,4910,1361,404,283,205,178,199,208,2007,null,null,1248,null,null,516,null,null,1044,null,null,1407,null,null,376,null,null,1361,null,null,283,null,null,178,null,null,208,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
20082,1780,6307,1461,126,144,6181,1411,12366,799,1328,465,11038,918,1409,251,648,262,761,233,1780,null,null,1461,null,null,144,null,null,1411,null,null,799,null,null,465,null,null,918,null,null,251,null,null,262,null,null,233,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3695,1969,1200,804,122,193,1078,763,2183,1382,231,237,1952,1240,312,265,109,181,203,198,1969,null,null,804,null,null,193,null,null,763,null,null,1382,null,null,237,null,null,1240,null,null,265,null,null,181,null,null,198,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
9008,2192,1932,750,0,192,1932,750,6359,1546,765,454,5594,1420,717,497,206,263,511,412,2192,null,null,750,null,null,192,null,null,750,null,null,1546,null,null,454,null,null,1420,null,null,497,null,null,263,null,null,412,null,null,36
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
4031,1045,962,509,66,120,896,505,2515,941,558,343,1957,908,554,269,97,145,457,241,1045,null,null,509,null,null,120,null,null,505,null,null,941,null,null,343,null,null,908,null,null,269,null,null,145,null,null,241,null,null,39
6143,1280,1582,481,186,202,1396,411,4356,1026,130,113,4226,998,205,166,168,156,37,63,1280,null,null,481,null,null,202,null,null,411,null,null,1026,null,null,113,null,null,998,null,null,166,null,null,156,null,null,63,null,null,40
14742,2564,3635,1147,142,132,3493,1120,9973,1899,977,664,8996,1823,1134,490,559,310,575,488,2564,null,null,1147,null,null,132,null,null,1120,null,null,1899,null,null,664,null,null,1823,null,null,490,null,null,310,null,null,488,null,null,41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
2259,1059,814,584,41,68,773,556,1126,592,146,148,980,571,319,241,63,101,256,225,1059,null,null,584,null,null,68,null,null,556,null,null,592,null,null,148,null,null,571,null,null,241,null,null,101,null,null,225,null,null,45
