B10057_001E,B10057_001M,B10057_002E,B10057_002M,B10057_003E,B10057_003M,B10057_004E,B10057_004M,B10057_005E,B10057_005M,B10057_006E,B10057_006M,B10057_007E,B10057_007M,B10057_008E,B10057_008M,B10057_009E,B10057_009M,B10057_010E,B10057_010M,B10057_011E,B10057_011M,B10057_001M,B10057_001EA,B10057_001MA,B10057_002M,B10057_002EA,B10057_002MA,B10057_003M,B10057_003EA,B10057_003MA,B10057_004M,B10057_004EA,B10057_004MA,B10057_005M,B10057_005EA,B10057_005MA,B10057_006M,B10057_006EA,B10057_006MA,B10057_007M,B10057_007EA,B10057_007MA,B10057_008M,B10057_008EA,B10057_008MA,B10057_009M,B10057_009EA,B10057_009MA,B10057_010M,B10057_010EA,B10057_010MA,B10057_011M,B10057_011EA,B10057_011MA,state
500186,17164,298890,13743,103381,5925,58925,4641,44456,3870,195509,12722,201296,9654,45567,4311,24795,3264,20772,2909,155729,9063,17164,null,null,13743,null,null,5925,null,null,4641,null,null,3870,null,null,12722,null,null,9654,null,null,4311,null,null,3264,null,null,2909,null,null,9063,null,null,12
263332,10927,156944,8267,68811,5871,38649,4510,30162,3413,88133,6018,106388,7528,33331,3241,18497,2491,14834,1856,73057,6105,10927,null,null,8267,null,null,5871,null,null,4510,null,null,3413,null,null,6018,null,null,7528,null,null,3241,null,null,2491,null,null,1856,null,null,6105,null,null,13
55125,3988,36999,3468,9699,1926,5024,1628,4675,1268,27300,3073,18126,2252,3540,933,1586,629,1954,701,14586,2012,3988,null,null,3468,null,null,1926,null,null,1628,null,null,1268,null,null,3073,null,null,2252,null,null,933,null,null,629,null,null,701,null,null,2012,null,null,15
26148,3338,17002,2724,5754,1542,3358,1309,2396,876,11248,2023,9146,1877,3049,1035,1814,788,1235,586,6097,1465,3338,null,null,2724,null,null,1542,null,null,1309,null,null,876,null,null,2023,null,null,1877,null,null,1035,null,null,788,null,null,586,null,null,1465,null,null,16
262714,11384,165259,8762,56644,4628,35210,3676,21434,2595,108615,7093,97455,5649,26737,2950,15483,2144,11254,1714,70718,4247,11384,null,null,8762,null,null,4628,null,null,3676,null,null,2595,null,null,7093,null,null,5649,null,null,2950,null,null,2144,null,null,1714,null,null,4247,null,null,17
126520,6794,80325,5597,41530,3432,27596,3407,13934,1814,38795,3821,46195,3702,18014,2311,11194,1913,6820,1282,28181,2690,6794,null,null,5597,null,null,3432,null,null,3407,null,null,1814,null,null,3821,null,null,3702,null,null,2311,null,null,1913,null,null,1282,null,null,2690,null,null,18
41852,3615,28431,2977,12704,1827,7789,1541,4915,1013,15727,2365,13421,1837,3977,883,2531,774,1446,453,9444,1540,3615,null,null,2977,null,null,1827,null,null,1541,null,null,1013,null,null,2365,null,null,1837,null,null,883,null,null,774,null,null,453,null,null,1540,null,null,19
44033,3266,28586,2863,13753,1782,8627,1362,5126,1316,14833,2184,15447,1968,4013,808,2111,582,1902,581,11434,1698,3266,null,null,2863,null,null,1782,null,null,1362,null,null,1316,null,null,2184,null,null,1968,null,null,808,null,null,582,null,null,581,null,null,1698,null,null,20
100914,5261,64032,4853,37491,3742,22637,2984,14854,2376,26541,3206,36882,3328,17890,2252,9983,1655,7907,1235,18992,2267,5261,null,null,4853,null,null,3742,null,null,2984,null,null,2376,null,null,3206,null,null,3328,null,null,2252,null,null,1655,null,null,1235,null,null,2267,null,null,21
112557,7257,66799,6386,37139,4239,19398,2878,17741,2802,29660,3797,45758,4268,19737,2748,10069,1959,9668,1907,26021,2882,7257,null,null,6386,null,null,4239,null,null,2878,null,null,2802,null,null,3797,null,null,4268,null,null,2748,null,null,1959,null,null,1907,null,null,2882,null,null,22
18529,2342,11383,2077,4293,1252,2405,855,1888,675,7090,1934,7146,1513,2502,916,1173,579,1329,671,4644,1267,2342,null,null,2077,null,null,1252,null,null,855,null,null,675,null,null,1934,null,null,1513,null,null,916,null,null,579,null,null,671,null,null,1267,null,null,23
141930,7371,85992,6126,30957,4229,18813,3518,12144,1964,55035,4952,55938,4493,15079,2153,8609,1691,6470,1246,40859,3594,7371,null,null,6126,null,null,4229,null,null,3518,null,null,1964,null,null,4952,null,null,4493,null,null,2153,null,null,1691,null,null,1246,null,null,3594,null,null,24
124446,7121,74726,5998,20662,2765,10886,1759,9776,1794,54064,5117,49720,4239,11311,1847,6625,1585,4686,1072,38409,3741,7121,null,null,5998,null,null,2765,null,null,1759,null,null,1794,null,null,5117,null,null,4239,null,null,1847,null,null,1585,null,null,1072,null,null,3741,null,null,25
173370,8189,106390,6582,43807,3765,26587,3142,17220,2301,62583,4682,66980,4038,19846,2032,10630,1461,9216,1449,47134,3304,8189,null,null,6582,null,null,3765,null,null,3142,null,null,2301,null,null,4682,null,null,4038,null,null,2032,null,null,1461,null,null,1449,null,null,3304,null,null,26
65256,3825,38867,3461,12078,1629,6439,1235,5639,1195,26789,2699,26389,2551,7560,1147,4853,1008,2707,597,18829,2141,3825,null,null,3461,null,null,1629,null,null,1235,null,null,1195,null,null,2699,null,null,2551,null,null,1147,null,null,1008,null,null,597,null,null,2141,null,null,27
87727,4671,53035,4630,32026,3399,21179,2743,10847,1901,21009,2923,34692,3050,14557,2033,8553,1594,6004,1116,20135,2367,4671,null,null,4630,null,null,3399,null,null,2743,null,null,1901,null,null,2923,null,null,3050,null,null,2033,null,null,1594,null,null,1116,null,null,2367,null,null,28
116684,6123,74614,5323,41776,4091,26273,3252,15503,2690,32838,3141,42070,2969,16129,2414,8853,1800,7276,1518,25941,2212,6123,null,null,5323,null,null,4091,null,null,3252,null,null,2690,null,null,3141,null,null,2969,null,null,2414,null,null,1800,null,null,1518,null,null,2212,null,null,29
14189,1897,9625,1516,4572,1088,2470,809,2102,606,5053,1180,4564,900,2621,676,1212,451,1409,513,1943,554,1897,null,null,1516,null,null,1088,null,null,809,null,null,606,null,null,1180,null,null,900,null,null,676,null,null,451,null,null,513,null,null,554,null,null,30
26799,2725,17055,2429,5865,1280,3513,963,2352,784,11190,2024,9744,1741,3067,851,1670,728,1397,581,6677,1343,2725,null,null,2429,null,null,1280,null,null,963,null,null,784,null,null,2024,null,null,1741,null,null,851,null,null,728,null,null,581,null,null,1343,null,null,31
67783,5396,40915,4483,15739,2616,8749,2093,6990,1570,25176,3205,26868,3379,8152,1652,4359,1067,3793,1081,18716,2962,5396,null,null,4483,null,null,2616,null,null,2093,null,null,1570,null,null,3205,null,null,3379,null,null,1652,null,null,1067,null,null,1081,null,null,2962,null,null,32
22686,2933,14384,2807,6073,1639,4092,1344,1981,1008,8311,2012,8302,1506,1910,712,932,456,978,477,6392,1374,2933,null,null,2807,null,null,1639,null,null,1344,null,null,1008,null,null,2012,null,null,1506,null,null,712,null,null,456,null,null,477,null,null,1374,null,null,33
190847,8276,109785,6589,31453,3409,16223,2234,15230,2779,78332,5547,81062,4664,14281,2211,7743,1831,6538,1278,66781,4139,8276,null,null,6589,null,null,3409,null,null,2234,null,null,2779,null,null,5547,null,null,4664,null,null,2211,null,null,1831,null,null,1278,null,null,4139,null,null,34
55849,4742,34363,4280,16220,2854,10564,2458,5656,1408,18143,3158,21486,2563,7261,1253,3531,833,3730,1140,14225,2279,4742,null,null,4280,null,null,2854,null,null,2458,null,null,1408,null,null,3158,null,null,2563,null,null,1253,null,null,833,null,null,1140,null,null,2279,null,null,35
454703,13176,280345,10963,82997,6706,44288,5080,38709,3598,197348,9165,174358,6761,41246,3385,21220,2716,20026,2454,133112,5556,13176,null,null,10963,null,null,6706,null,null,5080,null,null,3598,null,null,9165,null,null,6761,null,null,3385,null,null,2716,null,null,2454,null,null,5556,null,null,36
213951,9814,129870,7059,65132,5280,41558,4410,23574,2575,64738,5760,84081,5834,26456,2923,15541,2219,10915,1828,57625,4827,9814,null,null,7059,null,null,5280,null,null,4410,null,null,2575,null,null,5760,null,null,5834,null,null,2923,null,null,2219,null,null,1828,null,null,4827,null,null,37
6265,1345,4347,1097,2316,803,1535,604,781,391,2031,660,1918,745,976,557,642,459,334,272,942,399,1345,null,null,1097,null,null,803,null,null,604,null,null,391,null,null,660,null,null,745,null,null,557,null,null,459,null,null,272,null,null,399,null,null,38
212993,7523,127011,6787,58966,5184,36170,3859,22796,2708,68045,4715,85982,4426,32478,2808,18924,2045,13554,1745,53504,3846,7523,null,null,6787,null,null,5184,null,null,3859,null,null,2708,null,null,4715,null,null,4426,null,null,2808,null,null,2045,null,null,1745,null,null,3846,null,null,39
