C16006_001E,C16006_001M,C16006_002E,C16006_002M,C16006_003E,C16006_003M,C16006_004E,C16006_004M,C16006_005E,C16006_005M,C16006_006E,C16006_006M,C16006_001M,C16006_001EA,C16006_001MA,C16006_002M,C16006_002EA,C16006_002MA,C16006_003M,C16006_003EA,C16006_003MA,C16006_004M,C16006_004EA,C16006_004MA,C16006_005M,C16006_005EA,C16006_005MA,C16006_006M,C16006_006EA,C16006_006MA,state
4775277,1513,872953,24226,3880951,24115,2107204,27926,1773747,27865,21373,3923,1513,null,null,24226,null,null,24115,null,null,27926,null,null,27865,null,null,3923,null,null,12
863218,3954,183374,10381,676816,11140,350032,11170,326784,11482,3028,1080,3954,null,null,10381,null,null,11140,null,null,11170,null,null,11482,null,null,1080,null,null,13
128485,-555555555,95453,3844,22692,3570,15592,2477,7100,2071,10340,2094,-555555555,null,*****,3844,null,null,3570,null,null,2477,null,null,2071,null,null,2094,null,null,15
185149,1494,70089,5104,114117,5176,65185,4465,48932,4932,943,553,1494,null,null,5104,null,null,5176,null,null,4465,null,null,4932,null,null,553,null,null,16
1993068,1988,451759,16531,1532824,17142,931671,14642,601153,12870,8485,1953,1988,null,null,16531,null,null,17142,null,null,14642,null,null,12870,null,null,1953,null,null,17
403704,1817,143240,7028,259073,7610,153332,6224,105741,5469,1391,643,1817,null,null,7028,null,null,7610,null,null,6224,null,null,5469,null,null,643,null,null,18
160463,1618,57825,3768,102082,3991,54535,3438,47547,3840,556,411,1618,null,null,3768,null,null,3991,null,null,3438,null,null,3840,null,null,411,null,null,19
299674,1562,104800,5882,193754,6025,111376,4626,82378,5202,1120,626,1562,null,null,5882,null,null,6025,null,null,4626,null,null,5202,null,null,626,null,null,20
135556,2816,54066,4279,80938,4330,42047,3250,38891,3118,552,403,2816,null,null,4279,null,null,4330,null,null,3250,null,null,3118,null,null,403,null,null,21
206944,3116,71249,6815,134373,5711,71184,4791,63189,5255,1322,527,3116,null,null,6815,null,null,5711,null,null,4791,null,null,5255,null,null,527,null,null,22
19462,912,13059,1497,5941,1172,4291,939,1650,715,462,371,912,null,null,1497,null,null,1172,null,null,939,null,null,715,null,null,371,null,null,23
524346,1125,106673,6070,413269,5856,212912,8346,200357,9018,4404,1758,1125,null,null,6070,null,null,5856,null,null,8346,null,null,9018,null,null,1758,null,null,24
706757,1141,167587,8393,533024,8559,305041,7795,227983,8672,6146,1670,1141,null,null,8393,null,null,8559,null,null,7795,null,null,8672,null,null,1670,null,null,25
444270,1471,219044,7699,222543,7441,133972,6714,88571,5854,2683,786,1471,null,null,7699,null,null,7441,null,null,6714,null,null,5854,null,null,786,null,null,26
259027,1162,87199,5187,168337,5445,90998,5099,77339,4276,3491,1587,1162,null,null,5187,null,null,5445,null,null,5099,null,null,4276,null,null,1587,null,null,27
77986,2797,26331,2619,51295,3441,28864,2686,22431,2898,360,357,2797,null,null,2619,null,null,3441,null,null,2686,null,null,2898,null,null,357,null,null,28
219380,2079,100735,5305,116768,4998,74821,5116,41947,3988,1877,811,2079,null,null,5305,null,null,4998,null,null,5116,null,null,3988,null,null,811,null,null,29
33180,1496,27175,1927,5686,1278,4701,1185,985,720,319,221,1496,null,null,1927,null,null,1278,null,null,1185,null,null,720,null,null,221,null,null,30
178825,1624,53830,4719,124878,4842,60155,4143,64723,4290,117,124,1624,null,null,4719,null,null,4842,null,null,4143,null,null,4290,null,null,124,null,null,31
761604,668,182862,10029,575502,9961,339655,9227,235847,8055,3240,971,668,null,null,10029,null,null,9961,null,null,9227,null,null,8055,null,null,971,null,null,32
43355,1000,20593,2365,22507,2418,14061,2121,8446,1843,255,261,1000,null,null,2365,null,null,2418,null,null,2121,null,null,1843,null,null,261,null,null,33
1631899,845,318752,12485,1302581,12644,704882,14696,597699,13921,10566,1740,845,null,null,12485,null,null,12644,null,null,14696,null,null,13921,null,null,1740,null,null,34
933155,783,431513,11593,496641,11338,361969,10516,134672,8281,5001,1245,783,null,null,11593,null,null,11338,null,null,10516,null,null,8281,null,null,1245,null,null,35
3441389,1693,757307,18821,2660064,18112,1421172,22390,1238892,22589,24018,2937,1693,null,null,18821,null,null,18112,null,null,22390,null,null,22589,null,null,2937,null,null,36
830224,2939,189181,8377,638116,8853,347798,9184,290318,8114,2927,1104,2939,null,null,8377,null,null,8853,null,null,9184,null,null,8114,null,null,1104,null,null,37
23612,1929,13464,2329,10076,2092,6713,1449,3363,1213,72,82,1929,null,null,2329,null,null,2092,null,null,1449,null,null,1213,null,null,82,null,null,38
376083,2211,192263,7486,179722,7290,104086,5177,75636,5304,4098,1570,2211,null,null,7486,null,null,7290,null,null,5177,null,null,5304,null,null,1570,null,null,39
358708,1104,127885,5631,229010,6045,130273,5550,98737,4502,1813,1794,1104,null,null,5631,null,null,6045,null,null,5550,null,null,4502,null,null,1794,null,null,40
