B19202H_001E,B19202H_001M,B19202H_001M,B19202H_001EA,B19202H_001MA,state
35373,400,400,null,null,12
36765,802,802,null,null,13
49503,4077,4077,null,null,15
30337,1175,1175,null,null,16
39616,681,681,null,null,17
31964,448,448,null,null,18
31979,539,539,null,null,19
31964,615,615,null,null,20
27769,1035,1035,null,null,21
32130,894,894,null,null,22
31179,937,937,null,null,23
50300,1259,1259,null,null,24
45667,1033,1033,null,null,25
33034,608,608,null,null,26
39357,792,792,null,null,27
27060,1467,1467,null,null,28
32406,646,646,null,null,29
30682,872,872,null,null,30
32268,756,756,null,null,31
39471,1795,1795,null,null,32
39324,2130,2130,null,null,33
46771,1061,1061,null,null,34
34777,2114,2114,null,null,35
43874,906,906,null,null,36
32980,922,922,null,null,37
40283,2097,2097,null,null,38
33241,682,682,null,null,39
30663,653,653,null,null,40
35464,762,762,null,null,41
34899,448,448,null,null,42
37376,1945,1945,null,null,44
33393,1223,1223,null,null,45
33822,1966,1966,null,null,46
30753,533,533,null,null,47
40769,431,431,null,null,48
38395,1662,1662,null,null,49
33666,1999,1999,null,null,50
44277,1070,1070,null,null,51
41718,570,570,null,null,53
24604,827,827,null,null,54
35589,490,490,null,null,55
32510,2578,2578,null,null,56
30145,6069,6069,null,null,72
28259,1062,1062,null,null,01
56255,3809,3809,null,null,02
36211,769,769,null,null,04
26402,896,896,null,null,05
49041,718,718,null,null,06
43243,1484,1484,null,null,08
45556,1546,1546,null,null,09
40412,2221,2221,null,null,10
99471,4610,4610,null,null,11
