B05003C_001E,B05003C_001M,B05003C_002E,B05003C_002M,B05003C_003E,B05003C_003M,B05003C_004E,B05003C_004M,B05003C_005E,B05003C_005M,B05003C_006E,B05003C_006M,B05003C_007E,B05003C_007M,B05003C_008E,B05003C_008M,B05003C_009E,B05003C_009M,B05003C_010E,B05003C_010M,B05003C_011E,B05003C_011M,B05003C_012E,B05003C_012M,B05003C_013E,B05003C_013M,B05003C_014E,B05003C_014M,B05003C_015E,B05003C_015M,B05003C_016E,B05003C_016M,B05003C_017E,B05003C_017M,B05003C_018E,B05003C_018M,B05003C_019E,B05003C_019M,B05003C_020E,B05003C_020M,B05003C_021E,B05003C_021M,B05003C_022E,B05003C_022M,B05003C_023E,B05003C_023M,B05003C_001M,B05003C_001EA,B05003C_001MA,B05003C_002M,B05003C_002EA,B05003C_002MA,B05003C_003M,B05003C_003EA,B05003C_003MA,B05003C_004M,B05003C_004EA,B05003C_004MA,B05003C_005M,B05003C_005EA,B05003C_005MA,B05003C_006M,B05003C_006EA,B05003C_006MA,B05003C_007M,B05003C_007EA,B05003C_007MA,B05003C_008M,B05003C_008EA,B05003C_008MA,B05003C_009M,B05003C_009EA,B05003C_009MA,B05003C_010M,B05003C_010EA,B05003C_010MA,B05003C_011M,B05003C_011EA,B05003C_011MA,B05003C_012M,B05003C_012EA,B05003C_012MA,B05003C_013M,B05003C_013EA,B05003C_013MA,B05003C_014M,B05003C_014EA,B05003C_014MA,B05003C_015M,B05003C_015EA,B05003C_015MA,B05003C_016M,B05003C_016EA,B05003C_016MA,B05003C_017M,B05003C_017EA,B05003C_017MA,B05003C_018M,B05003C_018EA,B05003C_018MA,B05003C_019M,B05003C_019EA,B05003C_019MA,B05003C_020M,B05003C_020EA,B05003C_020MA,B05003C_021M,B05003C_021EA,B05003C_021MA,B05003C_022M,B05003C_022EA,B05003C_022MA,B05003C_023M,B05003C_023EA,B05003C_023MA,state
52738,5590,28304,3668,5042,1336,4745,1275,297,387,59,96,238,375,23262,2974,17969,2165,5293,1995,2114,905,3179,1648,24434,2963,4523,1113,4232,1101,291,289,0,221,291,289,19911,2727,15740,2296,4171,1353,2096,806,2075,1046,5590,null,null,3668,null,null,1336,null,null,1275,null,null,387,null,null,96,null,null,375,null,null,2974,null,null,2165,null,null,1995,null,null,905,null,null,1648,null,null,2963,null,null,1113,null,null,1101,null,null,289,null,null,221,null,null,289,null,null,2727,null,null,2296,null,null,1353,null,null,806,null,null,1046,null,null,12
37939,5767,18047,3279,5563,1699,5483,1720,80,139,0,218,80,139,12484,2633,6155,1392,6329,2265,865,707,5464,2117,19892,3341,5209,1504,4871,1458,338,360,0,218,338,360,14683,2430,10027,1831,4656,1689,506,434,4150,1605,5767,null,null,3279,null,null,1699,null,null,1720,null,null,139,null,null,218,null,null,139,null,null,2633,null,null,1392,null,null,2265,null,null,707,null,null,2117,null,null,3341,null,null,1504,null,null,1458,null,null,360,null,null,218,null,null,360,null,null,2430,null,null,1831,null,null,1689,null,null,434,null,null,1605,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
30470,3672,17022,2633,3497,859,2983,792,514,365,223,230,291,280,13525,2290,9324,1576,4201,1328,1663,780,2538,1060,13448,1789,2775,968,2598,919,177,148,84,137,93,139,10673,1376,9094,1210,1579,574,738,354,841,429,3672,null,null,2633,null,null,859,null,null,792,null,null,365,null,null,230,null,null,280,null,null,2290,null,null,1576,null,null,1328,null,null,780,null,null,1060,null,null,1789,null,null,968,null,null,919,null,null,148,null,null,137,null,null,139,null,null,1376,null,null,1210,null,null,574,null,null,354,null,null,429,null,null,17
17515,2431,9299,1619,1442,575,1442,575,0,192,0,192,0,192,7857,1578,7286,1529,571,379,284,201,287,264,8216,1696,1371,955,1371,955,0,192,0,192,0,192,6845,1261,6402,1328,443,332,129,129,314,317,2431,null,null,1619,null,null,575,null,null,575,null,null,192,null,null,192,null,null,192,null,null,1578,null,null,1529,null,null,379,null,null,201,null,null,264,null,null,1696,null,null,955,null,null,955,null,null,192,null,null,192,null,null,192,null,null,1261,null,null,1328,null,null,332,null,null,129,null,null,317,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
