C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,C14007F_001M,C14007F_001EA,C14007F_001MA,C14007F_002M,C14007F_002EA,C14007F_002MA,C14007F_003M,C14007F_003EA,C14007F_003MA,C14007F_004M,C14007F_004EA,C14007F_004MA,C14007F_005M,C14007F_005EA,C14007F_005MA,C14007F_006M,C14007F_006EA,C14007F_006MA,C14007F_007M,C14007F_007EA,C14007F_007MA,state
545901,24744,162755,10324,18161,2620,65586,6306,30874,3934,48134,5042,383146,17368,24744,null,null,10324,null,null,2620,null,null,6306,null,null,3934,null,null,5042,null,null,17368,null,null,12
281395,20458,100509,10382,12304,2245,49994,6190,23564,3547,14647,3350,180886,12370,20458,null,null,10382,null,null,2245,null,null,6190,null,null,3547,null,null,3350,null,null,12370,null,null,13
11752,2441,3266,1462,375,348,948,782,456,399,1487,690,8486,1568,2441,null,null,1462,null,null,348,null,null,782,null,null,399,null,null,690,null,null,1568,null,null,15
61837,6958,21108,3184,2066,831,10987,2117,4240,1208,3815,1049,40729,4745,6958,null,null,3184,null,null,831,null,null,2117,null,null,1208,null,null,1049,null,null,4745,null,null,16
784129,24070,267812,12535,29878,3270,123314,7654,62089,4753,52531,4331,516317,15187,24070,null,null,12535,null,null,3270,null,null,7654,null,null,4753,null,null,4331,null,null,15187,null,null,17
148383,10495,50545,5176,4680,1079,28550,3448,10132,1452,7183,1612,97838,6993,10495,null,null,5176,null,null,1079,null,null,3448,null,null,1452,null,null,1612,null,null,6993,null,null,18
39557,4453,13972,2548,1338,689,5835,1431,3331,732,3468,1061,25585,2619,4453,null,null,2548,null,null,689,null,null,1431,null,null,732,null,null,1061,null,null,2619,null,null,19
69884,7512,23638,3343,2708,909,11422,1916,5814,1239,3694,1032,46246,5131,7512,null,null,3343,null,null,909,null,null,1916,null,null,1239,null,null,1032,null,null,5131,null,null,20
35720,5062,12263,2328,922,436,6280,1505,2333,879,2728,1149,23457,3589,5062,null,null,2328,null,null,436,null,null,1505,null,null,879,null,null,1149,null,null,3589,null,null,21
65023,6037,20081,2745,2874,894,9320,1814,4174,1245,3713,1194,44942,4596,6037,null,null,2745,null,null,894,null,null,1814,null,null,1245,null,null,1194,null,null,4596,null,null,22
2294,766,589,276,111,128,227,159,19,53,232,173,1705,612,766,null,null,276,null,null,128,null,null,159,null,null,53,null,null,173,null,null,612,null,null,23
216998,11797,62335,4763,6641,1428,30623,3262,11806,1697,13265,2331,154663,8964,11797,null,null,4763,null,null,1428,null,null,3262,null,null,1697,null,null,2331,null,null,8964,null,null,24
274326,15385,87170,7658,9189,1713,37802,4889,18969,2155,21210,2753,187156,10087,15385,null,null,7658,null,null,1713,null,null,4889,null,null,2155,null,null,2753,null,null,10087,null,null,25
112587,8341,40746,4639,5546,1356,17477,2541,10136,1693,7587,1397,71841,5155,8341,null,null,4639,null,null,1356,null,null,2541,null,null,1693,null,null,1397,null,null,5155,null,null,26
106826,6464,38552,3710,3709,900,22403,2617,7750,1583,4690,1155,68274,4376,6464,null,null,3710,null,null,900,null,null,2617,null,null,1583,null,null,1155,null,null,4376,null,null,27
28418,4034,9869,2090,830,564,4910,1476,2790,982,1339,844,18549,3113,4034,null,null,2090,null,null,564,null,null,1476,null,null,982,null,null,844,null,null,3113,null,null,28
66299,5970,26206,3218,3016,851,12826,2019,6590,1207,3774,1174,40093,3598,5970,null,null,3218,null,null,851,null,null,2019,null,null,1207,null,null,1174,null,null,3598,null,null,29
3599,1158,1315,604,195,213,661,447,284,267,175,165,2284,914,1158,null,null,604,null,null,213,null,null,447,null,null,267,null,null,165,null,null,914,null,null,30
35507,5231,12226,2549,2095,745,5189,1211,3249,1134,1693,699,23281,3631,5231,null,null,2549,null,null,745,null,null,1211,null,null,1134,null,null,699,null,null,3631,null,null,31
262227,13618,82289,6235,6587,1580,41712,4077,20729,2422,13261,2433,179938,9893,13618,null,null,6235,null,null,1580,null,null,4077,null,null,2422,null,null,2433,null,null,9893,null,null,32
7661,2075,1952,862,646,454,730,491,292,253,284,364,5709,1500,2075,null,null,862,null,null,454,null,null,491,null,null,253,null,null,364,null,null,1500,null,null,33
518386,20091,163076,8206,26102,2900,74859,5082,30363,2858,31752,3218,355310,14764,20091,null,null,8206,null,null,2900,null,null,5082,null,null,2858,null,null,3218,null,null,14764,null,null,34
198294,10772,52572,5525,5464,1382,24101,3302,11500,2031,11507,2058,145722,7587,10772,null,null,5525,null,null,1382,null,null,3302,null,null,2031,null,null,2058,null,null,7587,null,null,35
1687078,33712,513409,14288,60142,4147,222201,8951,109761,5521,121305,6728,1173669,25068,33712,null,null,14288,null,null,4147,null,null,8951,null,null,5521,null,null,6728,null,null,25068,null,null,36
