B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,B15002H_001M,B15002H_001EA,B15002H_001MA,B15002H_002M,B15002H_002EA,B15002H_002MA,B15002H_003M,B15002H_003EA,B15002H_003MA,B15002H_004M,B15002H_004EA,B15002H_004MA,B15002H_005M,B15002H_005EA,B15002H_005MA,B15002H_006M,B15002H_006EA,B15002H_006MA,B15002H_007M,B15002H_007EA,B15002H_007MA,B15002H_008M,B15002H_008EA,B15002H_008MA,B15002H_009M,B15002H_009EA,B15002H_009MA,B15002H_010M,B15002H_010EA,B15002H_010MA,B15002H_011M,B15002H_011EA,B15002H_011MA,B15002H_012M,B15002H_012EA,B15002H_012MA,B15002H_013M,B15002H_013EA,B15002H_013MA,B15002H_014M,B15002H_014EA,B15002H_014MA,B15002H_015M,B15002H_015EA,B15002H_015MA,B15002H_016M,B15002H_016EA,B15002H_016MA,B15002H_017M,B15002H_017EA,B15002H_017MA,B15002H_018M,B15002H_018EA,B15002H_018MA,B15002H_019M,B15002H_019EA,B15002H_019MA,state
919544,410,442003,280,12732,1777,26210,2898,134483,4704,23531,2192,84371,4490,37979,3376,75997,4340,46700,2879,477541,263,10066,1540,18656,2218,129651,4976,18931,1903,91886,3550,52579,3344,97841,3849,57931,3093,410,null,null,280,null,null,1777,null,null,2898,null,null,4704,null,null,2192,null,null,4490,null,null,3376,null,null,4340,null,null,2879,null,null,263,null,null,1540,null,null,2218,null,null,4976,null,null,1903,null,null,3550,null,null,3344,null,null,3849,null,null,3093,null,null,23
2262748,1218,1089365,916,21272,2207,54625,3356,227544,5414,39400,3586,195604,6289,66879,3830,254597,6394,229444,5257,1173383,629,20678,2331,50939,3597,259435,7979,32973,2741,207406,6502,85644,4207,273345,6208,242963,5939,1218,null,null,916,null,null,2207,null,null,3356,null,null,5414,null,null,3586,null,null,6289,null,null,3830,null,null,6394,null,null,5257,null,null,629,null,null,2331,null,null,3597,null,null,7979,null,null,2741,null,null,6502,null,null,4207,null,null,6208,null,null,5939,null,null,24
3608559,4436,1717331,2213,42666,3107,74205,4902,387312,8311,53406,3118,266808,7943,115805,5222,446539,8127,330590,6585,1891228,2838,41990,3042,61361,3699,394566,9383,37398,3125,292992,7500,178782,5749,491198,7778,392941,7471,4436,null,null,2213,null,null,3107,null,null,4902,null,null,8311,null,null,3118,null,null,7943,null,null,5222,null,null,8127,null,null,6585,null,null,2838,null,null,3042,null,null,3699,null,null,9383,null,null,3125,null,null,7500,null,null,5749,null,null,7778,null,null,7471,null,null,25
5329047,1467,2592071,826,62195,3706,154301,5891,657630,9812,116479,4542,619247,8072,215080,6383,477366,9162,289773,6593,2736976,1174,59418,3225,137251,4809,736094,9172,76493,4036,623059,9500,303031,7387,502187,8838,299443,6394,1467,null,null,826,null,null,3706,null,null,5891,null,null,9812,null,null,4542,null,null,8072,null,null,6383,null,null,9162,null,null,6593,null,null,1174,null,null,3225,null,null,4809,null,null,9172,null,null,4036,null,null,9500,null,null,7387,null,null,8838,null,null,6394,null,null,26
3166229,1823,1551221,1284,21065,1611,56117,3400,364858,6633,54802,2926,334846,6473,174545,4308,368825,7660,176163,5213,1615008,984,18665,1759,41425,2113,358666,6839,34051,2133,347875,5938,207783,4319,404652,6822,201891,5776,1823,null,null,1284,null,null,1611,null,null,3400,null,null,6633,null,null,2926,null,null,6473,null,null,4308,null,null,7660,null,null,5213,null,null,984,null,null,1759,null,null,2113,null,null,6839,null,null,2133,null,null,5938,null,null,4319,null,null,6822,null,null,5776,null,null,27
1191441,2508,572355,1726,25247,2433,55120,3879,128226,5879,44735,3511,131482,5988,48131,3466,85931,4680,53483,3256,619086,1604,18220,2139,48003,3497,144532,6035,40368,3584,138764,6718,64547,4459,102700,4926,61952,3630,2508,null,null,1726,null,null,2433,null,null,3879,null,null,5879,null,null,3511,null,null,5988,null,null,3466,null,null,4680,null,null,3256,null,null,1604,null,null,2139,null,null,3497,null,null,6035,null,null,3584,null,null,6718,null,null,4459,null,null,4926,null,null,3630,null,null,28
3410565,2317,1647668,1684,47426,3185,109372,5023,457591,8155,82941,3854,357451,8071,118418,4933,300359,7460,174110,6047,1762897,1220,48765,3495,111276,4849,456290,7549,66006,3394,395678,8568,153558,5535,331749,8214,199575,6325,2317,null,null,1684,null,null,3185,null,null,5023,null,null,8155,null,null,3854,null,null,8071,null,null,4933,null,null,7460,null,null,6047,null,null,1220,null,null,3495,null,null,4849,null,null,7549,null,null,3394,null,null,8568,null,null,5535,null,null,8214,null,null,6325,null,null,29
639560,1215,318575,892,6033,1246,16518,2141,77863,3524,16525,2088,74947,3172,26509,2354,66731,3142,33449,2440,320985,742,4456,976,14090,1586,77931,3511,12633,1796,76032,2884,31848,2335,70985,3144,33010,2550,1215,null,null,892,null,null,1246,null,null,2141,null,null,3524,null,null,2088,null,null,3172,null,null,2354,null,null,3142,null,null,2440,null,null,742,null,null,976,null,null,1586,null,null,3511,null,null,1796,null,null,2884,null,null,2335,null,null,3144,null,null,2550,null,null,30
1048188,1111,511220,661,8294,1165,20934,2158,127052,4117,19935,1917,117559,3726,55869,3588,107948,3913,53629,2766,536968,811,6813,995,17124,1518,120840,3704,14298,1556,126453,4037,60586,3265,131783,3881,59071,2824,1111,null,null,661,null,null,1165,null,null,2158,null,null,4117,null,null,1917,null,null,3726,null,null,3588,null,null,3913,null,null,2766,null,null,811,null,null,995,null,null,1518,null,null,3704,null,null,1556,null,null,4037,null,null,3265,null,null,3881,null,null,2824,null,null,31
1129799,1230,573088,750,8055,1565,31433,2802,134066,5836,31102,3018,164219,5205,45610,3291,97945,4563,60658,3172,556711,954,6702,1267,28424,3126,135656,4787,23586,2302,158758,5592,49214,3252,94566,4785,59805,3351,1230,null,null,750,null,null,1565,null,null,2802,null,null,5836,null,null,3018,null,null,5205,null,null,3291,null,null,4563,null,null,3172,null,null,954,null,null,1267,null,null,3126,null,null,4787,null,null,2302,null,null,5592,null,null,3252,null,null,4785,null,null,3351,null,null,32
