B18101B_001E,B18101B_001M,B18101B_002E,B18101B_002M,B18101B_003E,B18101B_003M,B18101B_004E,B18101B_004M,B18101B_005E,B18101B_005M,B18101B_006E,B18101B_006M,B18101B_007E,B18101B_007M,B18101B_008E,B18101B_008M,B18101B_009E,B18101B_009M,B18101B_010E,B18101B_010M,B18101B_001M,B18101B_001EA,B18101B_001MA,B18101B_002M,B18101B_002EA,B18101B_002MA,B18101B_003M,B18101B_003EA,B18101B_003MA,B18101B_004M,B18101B_004EA,B18101B_004MA,B18101B_005M,B18101B_005EA,B18101B_005MA,B18101B_006M,B18101B_006EA,B18101B_006MA,B18101B_007M,B18101B_007EA,B18101B_007MA,B18101B_008M,B18101B_008EA,B18101B_008MA,B18101B_009M,B18101B_009EA,B18101B_009MA,B18101B_010M,B18101B_010EA,B18101B_010MA,state
253421,5255,68099,3373,2887,1011,65212,3498,158454,3133,23075,2475,135379,3832,26868,848,10082,1428,16786,1332,5255,null,null,3373,null,null,1011,null,null,3498,null,null,3133,null,null,2475,null,null,3832,null,null,848,null,null,1428,null,null,1332,null,null,32
15409,1659,3945,985,144,183,3801,983,10320,1097,795,582,9525,1206,1144,457,343,261,801,328,1659,null,null,985,null,null,183,null,null,983,null,null,1097,null,null,582,null,null,1206,null,null,457,null,null,261,null,null,328,null,null,33
1158174,11061,275645,5334,10514,1870,265131,5626,749140,7980,82547,5397,666593,8506,133389,2370,53047,2910,80342,3069,11061,null,null,5334,null,null,1870,null,null,5626,null,null,7980,null,null,5397,null,null,8506,null,null,2370,null,null,2910,null,null,3069,null,null,34
38111,2859,9592,1706,520,382,9072,1631,24478,2041,3220,1023,21258,2073,4041,929,1586,558,2455,710,2859,null,null,1706,null,null,382,null,null,1631,null,null,2041,null,null,1023,null,null,2073,null,null,929,null,null,558,null,null,710,null,null,35
2999161,18914,698095,8914,29141,2962,668954,9509,1937289,12159,216196,8593,1721093,13448,363777,3360,132165,4262,231612,4597,18914,null,null,8914,null,null,2962,null,null,9509,null,null,12159,null,null,8593,null,null,13448,null,null,3360,null,null,4262,null,null,4597,null,null,36
2130182,13490,529430,8088,28317,3029,501113,8496,1350919,8185,194196,7087,1156723,9236,249833,2616,104528,4231,145305,4567,13490,null,null,8088,null,null,3029,null,null,8496,null,null,8185,null,null,7087,null,null,9236,null,null,2616,null,null,4231,null,null,4567,null,null,37
18907,2408,5689,1213,67,74,5622,1219,12942,1774,1132,738,11810,1902,276,333,208,320,68,92,2408,null,null,1213,null,null,74,null,null,1219,null,null,1774,null,null,738,null,null,1902,null,null,333,null,null,320,null,null,92,null,null,38
1397065,10444,380859,7161,25846,2952,355013,7611,858616,6719,136069,6178,722547,9339,157590,2352,63397,3314,94193,3430,10444,null,null,7161,null,null,2952,null,null,7611,null,null,6719,null,null,6178,null,null,9339,null,null,2352,null,null,3314,null,null,3430,null,null,39
275256,4863,76327,3592,4922,1347,71405,3733,173128,3151,29763,2309,143365,3416,25801,1052,11280,1051,14521,1265,4863,null,null,3592,null,null,1347,null,null,3733,null,null,3151,null,null,2309,null,null,3416,null,null,1052,null,null,1051,null,null,1265,null,null,40
76741,4194,20448,2465,823,427,19625,2427,50113,2391,8356,1547,41757,2928,6180,801,1972,636,4208,855,4194,null,null,2465,null,null,427,null,null,2427,null,null,2391,null,null,1547,null,null,2928,null,null,801,null,null,636,null,null,855,null,null,41
1350224,11847,351715,7661,20235,2446,331480,7736,848355,6160,131978,7170,716377,8978,150154,2493,63558,3155,86596,3258,11847,null,null,7661,null,null,2446,null,null,7736,null,null,6160,null,null,7170,null,null,8978,null,null,2493,null,null,3155,null,null,3258,null,null,42
66291,4177,16808,2267,1430,860,15378,2174,43800,2515,5919,1435,37881,2841,5683,788,1856,564,3827,790,4177,null,null,2267,null,null,860,null,null,2174,null,null,2515,null,null,1435,null,null,2841,null,null,788,null,null,564,null,null,790,null,null,44
1299725,8662,327591,6285,15726,2182,311865,6543,810057,4503,133293,8138,676764,9005,162077,1622,67514,3458,94563,3433,8662,null,null,6285,null,null,2182,null,null,6543,null,null,4503,null,null,8138,null,null,9005,null,null,1622,null,null,3458,null,null,3433,null,null,45
