B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,B01001G_001M,B01001G_001EA,B01001G_001MA,B01001G_002M,B01001G_002EA,B01001G_002MA,B01001G_003M,B01001G_003EA,B01001G_003MA,B01001G_004M,B01001G_004EA,B01001G_004MA,B01001G_005M,B01001G_005EA,B01001G_005MA,B01001G_006M,B01001G_006EA,B01001G_006MA,B01001G_007M,B01001G_007EA,B01001G_007MA,B01001G_008M,B01001G_008EA,B01001G_008MA,B01001G_009M,B01001G_009EA,B01001G_009MA,B01001G_010M,B01001G_010EA,B01001G_010MA,B01001G_011M,B01001G_011EA,B01001G_011MA,B01001G_012M,B01001G_012EA,B01001G_012MA,B01001G_013M,B01001G_013EA,B01001G_013MA,B01001G_014M,B01001G_014EA,B01001G_014MA,B01001G_015M,B01001G_015EA,B01001G_015MA,B01001G_016M,B01001G_016EA,B01001G_016MA,B01001G_017M,B01001G_017EA,B01001G_017MA,B01001G_018M,B01001G_018EA,B01001G_018MA,B01001G_019M,B01001G_019EA,B01001G_019MA,B01001G_020M,B01001G_020EA,B01001G_020MA,B01001G_021M,B01001G_021EA,B01001G_021MA,B01001G_022M,B01001G_022EA,B01001G_022MA,B01001G_023M,B01001G_023EA,B01001G_023MA,B01001G_024M,B01001G_024EA,B01001G_024MA,B01001G_025M,B01001G_025EA,B01001G_025MA,B01001G_026M,B01001G_026EA,B01001G_026MA,B01001G_027M,B01001G_027EA,B01001G_027MA,B01001G_028M,B01001G_028EA,B01001G_028MA,B01001G_029M,B01001G_029EA,B01001G_029MA,B01001G_030M,B01001G_030EA,B01001G_030MA,B01001G_031M,B01001G_031EA,B01001G_031MA,state
532751,22197,277038,12150,41621,4524,40775,4716,31793,3607,15792,2330,10510,2055,22272,3185,17320,2846,15748,2435,29865,3346,18755,2167,18467,2210,9314,1530,3896,850,910,472,255713,13095,38266,4529,31727,3462,26573,3203,15081,2085,10205,1911,20034,3314,16029,2209,14234,2072,25418,3103,22065,2421,17834,1980,10952,2390,6203,1401,1092,478,22197,null,null,12150,null,null,4524,null,null,4716,null,null,3607,null,null,2330,null,null,2055,null,null,3185,null,null,2846,null,null,2435,null,null,3346,null,null,2167,null,null,2210,null,null,1530,null,null,850,null,null,472,null,null,13095,null,null,4529,null,null,3462,null,null,3203,null,null,2085,null,null,1911,null,null,3314,null,null,2209,null,null,2072,null,null,3103,null,null,2421,null,null,1980,null,null,2390,null,null,1401,null,null,478,null,null,12
258456,13861,126934,8027,22434,3090,19937,2990,16247,2364,8512,2053,5034,1247,9733,2119,7212,1742,6794,1595,11024,1541,9088,1573,6190,1427,2340,659,1960,831,429,324,131522,8391,19976,2404,20217,3237,16428,2776,6916,1378,5918,1506,10120,1932,8326,1871,7171,1506,11707,2219,10536,1716,6939,1469,5163,1427,1210,541,895,624,13861,null,null,8027,null,null,3090,null,null,2990,null,null,2364,null,null,2053,null,null,1247,null,null,2119,null,null,1742,null,null,1595,null,null,1541,null,null,1573,null,null,1427,null,null,659,null,null,831,null,null,324,null,null,8391,null,null,2404,null,null,3237,null,null,2776,null,null,1378,null,null,1506,null,null,1932,null,null,1871,null,null,1506,null,null,2219,null,null,1716,null,null,1469,null,null,1427,null,null,541,null,null,624,null,null,13
341679,13209,175157,8681,20774,2030,19057,2504,16216,1845,8688,1135,4267,783,14254,1792,15651,1964,13186,1548,20836,2186,17597,2150,13166,1530,7624,1159,3177,680,664,355,166522,6123,19442,1641,17747,1903,14740,1800,8551,981,4836,1040,12994,1563,13730,1636,13249,1556,16927,1833,18018,2265,13130,1154,8752,1161,3162,837,1244,462,13209,null,null,8681,null,null,2030,null,null,2504,null,null,1845,null,null,1135,null,null,783,null,null,1792,null,null,1964,null,null,1548,null,null,2186,null,null,2150,null,null,1530,null,null,1159,null,null,680,null,null,355,null,null,6123,null,null,1641,null,null,1903,null,null,1800,null,null,981,null,null,1040,null,null,1563,null,null,1636,null,null,1556,null,null,1833,null,null,2265,null,null,1154,null,null,1161,null,null,837,null,null,462,null,null,15
42070,3150,20385,2240,3095,1112,2805,951,2175,727,992,442,992,505,1996,595,1748,797,1308,575,1331,686,1116,476,1378,576,1170,673,148,142,131,161,21685,2209,3646,1303,2197,986,1961,762,1669,795,692,440,1576,684,1177,713,1648,660,1779,674,1825,705,1863,765,994,441,459,358,199,228,3150,null,null,2240,null,null,1112,null,null,951,null,null,727,null,null,442,null,null,505,null,null,595,null,null,797,null,null,575,null,null,686,null,null,476,null,null,576,null,null,673,null,null,142,null,null,161,null,null,2209,null,null,1303,null,null,986,null,null,762,null,null,795,null,null,440,null,null,684,null,null,713,null,null,660,null,null,674,null,null,705,null,null,765,null,null,441,null,null,358,null,null,228,null,null,16
321411,13961,158970,8144,27518,3361,23117,2530,19030,2448,9807,1487,6764,1514,13633,2019,12049,2027,8277,1602,14338,1989,10176,1488,7962,1315,4061,898,1441,494,797,371,162441,7634,24754,2278,21987,2978,19891,2244,11143,1624,6154,1420,11454,1794,14174,1919,9190,1368,15606,1681,11271,1561,8128,1523,6098,1356,1965,557,626,320,13961,null,null,8144,null,null,3361,null,null,2530,null,null,2448,null,null,1487,null,null,1514,null,null,2019,null,null,2027,null,null,1602,null,null,1989,null,null,1488,null,null,1315,null,null,898,null,null,494,null,null,371,null,null,7634,null,null,2278,null,null,2978,null,null,2244,null,null,1624,null,null,1420,null,null,1794,null,null,1919,null,null,1368,null,null,1681,null,null,1561,null,null,1523,null,null,1356,null,null,557,null,null,320,null,null,17
158643,8640,75269,4356,13337,2001,14082,2039,10224,1641,5699,1170,3809,995,5836,1327,4186,1362,3738,1171,5714,1242,2997,767,3201,1028,1603,562,772,421,71,125,83374,6283,13399,2266,12365,2011,11628,2163,5629,1024,4207,1372,7933,1648,5372,1190,4477,1051,5995,1406,5018,1422,3142,885,2619,694,889,440,701,354,8640,null,null,4356,null,null,2001,null,null,2039,null,null,1641,null,null,1170,null,null,995,null,null,1327,null,null,1362,null,null,1171,null,null,1242,null,null,767,null,null,1028,null,null,562,null,null,421,null,null,125,null,null,6283,null,null,2266,null,null,2011,null,null,2163,null,null,1024,null,null,1372,null,null,1648,null,null,1190,null,null,1051,null,null,1406,null,null,1422,null,null,885,null,null,694,null,null,440,null,null,354,null,null,18
57293,3933,26803,2756,5389,1066,4569,1062,3641,942,2507,796,869,416,1626,605,1780,612,962,517,1444,670,1346,568,1292,446,694,456,415,300,269,242,30490,2756,5091,986,4575,1026,3909,969,2490,841,1161,508,3407,1391,1919,758,1312,537,2020,603,2310,809,1405,498,550,371,301,241,40,57,3933,null,null,2756,null,null,1066,null,null,1062,null,null,942,null,null,796,null,null,416,null,null,605,null,null,612,null,null,517,null,null,670,null,null,568,null,null,446,null,null,456,null,null,300,null,null,242,null,null,2756,null,null,986,null,null,1026,null,null,969,null,null,841,null,null,508,null,null,1391,null,null,758,null,null,537,null,null,603,null,null,809,null,null,498,null,null,371,null,null,241,null,null,57,null,null,19
103366,5640,51238,3456,8772,1384,8044,1547,6835,1267,3986,790,3463,1121,5955,1426,2395,704,1420,650,3701,755,2711,679,2016,525,870,420,967,431,103,120,52128,3710,7108,1526,8237,1717,6748,1463,4000,1158,2993,1190,4632,1372,3693,884,2919,934,4170,984,3293,860,1935,653,1430,506,699,316,271,200,5640,null,null,3456,null,null,1384,null,null,1547,null,null,1267,null,null,790,null,null,1121,null,null,1426,null,null,704,null,null,650,null,null,755,null,null,679,null,null,525,null,null,420,null,null,431,null,null,120,null,null,3710,null,null,1526,null,null,1717,null,null,1463,null,null,1158,null,null,1190,null,null,1372,null,null,884,null,null,934,null,null,984,null,null,860,null,null,653,null,null,506,null,null,316,null,null,200,null,null,20
92135,6909,45689,4669,8434,1685,7499,1654,6685,1652,3356,1060,3380,1147,4001,1105,2309,779,1803,742,2532,814,2010,607,2165,641,1045,403,457,373,13,24,46446,3905,7613,1453,7657,1233,5730,1143,3722,785,3060,887,3575,1189,2780,916,1574,552,2962,911,3006,957,2516,784,1384,487,596,363,271,210,6909,null,null,4669,null,null,1685,null,null,1654,null,null,1652,null,null,1060,null,null,1147,null,null,1105,null,null,779,null,null,742,null,null,814,null,null,607,null,null,641,null,null,403,null,null,373,null,null,24,null,null,3905,null,null,1453,null,null,1233,null,null,1143,null,null,785,null,null,887,null,null,1189,null,null,916,null,null,552,null,null,911,null,null,957,null,null,784,null,null,487,null,null,363,null,null,210,null,null,21
92749,8594,45698,4178,7687,1869,6175,1460,6903,1698,3484,1108,1574,833,3569,1041,2090,778,3154,987,2357,736,3069,937,2794,782,1473,565,1209,562,160,164,47051,5701,7554,1673,7285,1808,4014,1230,2628,781,2736,1075,3845,1237,3741,1137,2574,980,3988,1280,3559,1246,2765,751,1674,679,415,297,273,192,8594,null,null,4178,null,null,1869,null,null,1460,null,null,1698,null,null,1108,null,null,833,null,null,1041,null,null,778,null,null,987,null,null,736,null,null,937,null,null,782,null,null,565,null,null,562,null,null,164,null,null,5701,null,null,1673,null,null,1808,null,null,1230,null,null,781,null,null,1075,null,null,1237,null,null,1137,null,null,980,null,null,1280,null,null,1246,null,null,751,null,null,679,null,null,297,null,null,192,null,null,22
