B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,B25081_001M,B25081_001EA,B25081_001MA,B25081_002M,B25081_002EA,B25081_002MA,B25081_003M,B25081_003EA,B25081_003MA,B25081_004M,B25081_004EA,B25081_004MA,B25081_005M,B25081_005EA,B25081_005MA,B25081_006M,B25081_006EA,B25081_006MA,B25081_007M,B25081_007EA,B25081_007MA,B25081_008M,B25081_008EA,B25081_008MA,state
4857125,26450,2773911,24056,340565,8415,71382,3483,269183,8022,14567,2271,2418779,23799,2083214,20877,26450,null,null,24056,null,null,8415,null,null,3483,null,null,8022,null,null,2271,null,null,23799,null,null,20877,null,null,12
2268606,20528,1475331,16819,175956,6493,48498,3708,127458,5491,7625,1518,1291750,15741,793275,12274,20528,null,null,16819,null,null,6493,null,null,3708,null,null,5491,null,null,1518,null,null,15741,null,null,12274,null,null,13
260626,4898,171834,4886,33322,2814,4669,1071,28653,2650,1635,515,136877,4558,88792,3432,4898,null,null,4886,null,null,2814,null,null,1071,null,null,2650,null,null,515,null,null,4558,null,null,3432,null,null,15
418217,6970,269728,6096,33566,2827,10150,1767,23416,2297,1113,608,235049,6116,148489,4829,6970,null,null,6096,null,null,2827,null,null,1767,null,null,2297,null,null,608,null,null,6116,null,null,4829,null,null,16
3146858,18286,2013765,17881,272731,6594,51128,3094,221603,5401,7813,1330,1733221,17908,1133093,13337,18286,null,null,17881,null,null,6594,null,null,3094,null,null,5401,null,null,1330,null,null,17908,null,null,13337,null,null,17
1731421,12509,1134794,12254,152675,5820,29754,2801,122921,5120,4921,896,977198,13038,596627,8299,12509,null,null,12254,null,null,5820,null,null,2801,null,null,5120,null,null,896,null,null,13038,null,null,8299,null,null,18
881435,7975,534153,6991,73242,3269,18456,1321,54786,2589,2626,646,458285,6953,347282,6064,7975,null,null,6991,null,null,3269,null,null,1321,null,null,2589,null,null,646,null,null,6953,null,null,6064,null,null,19
729392,8711,436010,8186,43695,2729,10261,1375,33434,2469,1052,385,391263,7569,293382,6586,8711,null,null,8186,null,null,2729,null,null,1375,null,null,2469,null,null,385,null,null,7569,null,null,6586,null,null,20
1148175,11051,674045,9323,93537,3626,17463,1675,76074,3359,3122,900,577386,9146,474130,8104,11051,null,null,9323,null,null,3626,null,null,1675,null,null,3359,null,null,900,null,null,9146,null,null,8104,null,null,21
1105710,12317,579291,10107,49521,3328,12864,1950,36657,2768,2165,772,527605,9359,526419,9930,12317,null,null,10107,null,null,3328,null,null,1950,null,null,2768,null,null,772,null,null,9359,null,null,9930,null,null,22
