C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,C17010H_001M,C17010H_001EA,C17010H_001MA,C17010H_002M,C17010H_002EA,C17010H_002MA,C17010H_003M,C17010H_003EA,C17010H_003MA,C17010H_004M,C17010H_004EA,C17010H_004MA,C17010H_005M,C17010H_005EA,C17010H_005MA,C17010H_006M,C17010H_006EA,C17010H_006MA,C17010H_007M,C17010H_007EA,C17010H_007MA,C17010H_008M,C17010H_008EA,C17010H_008MA,C17010H_009M,C17010H_009EA,C17010H_009MA,C17010H_010M,C17010H_010EA,C17010H_010MA,C17010H_011M,C17010H_011EA,C17010H_011MA,C17010H_012M,C17010H_012EA,C17010H_012MA,C17010H_013M,C17010H_013EA,C17010H_013MA,C17010H_014M,C17010H_014EA,C17010H_014MA,C17010H_015M,C17010H_015EA,C17010H_015MA,C17010H_016M,C17010H_016EA,C17010H_016MA,C17010H_017M,C17010H_017EA,C17010H_017MA,state
2907363,16058,189423,6838,97619,4742,34957,3193,91804,4912,18878,2317,12058,1954,72926,4804,57778,4235,2717940,15968,2242045,16299,613777,9916,475895,10930,154401,6743,76363,4599,321494,8355,153157,6296,16058,null,null,6838,null,null,4742,null,null,3193,null,null,4912,null,null,2317,null,null,1954,null,null,4804,null,null,4235,null,null,15968,null,null,16299,null,null,9916,null,null,10930,null,null,6743,null,null,4599,null,null,8355,null,null,6296,null,null,12
1443294,12922,103068,5587,46892,3718,23904,2715,56176,4695,10694,1800,7063,1685,45482,4280,38730,3998,1340226,13942,1121237,13047,434985,7859,218989,8656,69000,4686,35019,3830,149989,7051,79238,5009,12922,null,null,5587,null,null,3718,null,null,2715,null,null,4695,null,null,1800,null,null,1685,null,null,4280,null,null,3998,null,null,13942,null,null,13047,null,null,7859,null,null,8656,null,null,4686,null,null,3830,null,null,7051,null,null,5009,null,null,13
83940,3043,3084,819,1853,603,669,323,1231,520,20,37,20,37,1211,518,893,338,80856,3137,69520,3032,24696,2006,11336,1758,4317,1156,2219,870,7019,1297,3217,854,3043,null,null,819,null,null,603,null,null,323,null,null,520,null,null,37,null,null,37,null,null,518,null,null,338,null,null,3137,null,null,3032,null,null,2006,null,null,1758,null,null,1156,null,null,870,null,null,1297,null,null,854,null,null,15
355897,6153,31391,2982,15398,2256,8280,1551,15993,2177,3008,1025,2563,981,12985,1869,11734,1844,324506,6330,276211,6602,105160,4923,48295,3488,17720,2338,10100,1925,30575,2800,16627,2238,6153,null,null,2982,null,null,2256,null,null,1551,null,null,2177,null,null,1025,null,null,981,null,null,1869,null,null,1844,null,null,6330,null,null,6602,null,null,4923,null,null,3488,null,null,2338,null,null,1925,null,null,2800,null,null,2238,null,null,16
2068322,13403,117333,5899,51846,3611,24698,2617,65487,4487,12992,1792,8999,1636,52495,4076,42483,3320,1950989,12578,1612000,13736,604863,9070,338989,9514,109679,5782,54376,4279,229310,6629,115992,5138,13403,null,null,5899,null,null,3611,null,null,2617,null,null,4487,null,null,1792,null,null,1636,null,null,4076,null,null,3320,null,null,12578,null,null,13736,null,null,9070,null,null,9514,null,null,5782,null,null,4279,null,null,6629,null,null,5138,null,null,17
1381293,9888,100942,5063,39302,2792,21762,2126,61640,4344,9349,1740,8092,1634,52291,4104,45818,3577,1280351,9845,1041178,9602,397112,7470,239173,7398,85383,4312,46841,3391,153790,5942,85633,5221,9888,null,null,5063,null,null,2792,null,null,2126,null,null,4344,null,null,1740,null,null,1634,null,null,4104,null,null,3577,null,null,9845,null,null,9602,null,null,7470,null,null,7398,null,null,4312,null,null,3391,null,null,5942,null,null,5221,null,null,18
715508,7707,43037,2590,15351,1857,7127,1426,27686,2314,5154,949,3641,882,22532,2150,20518,2102,672471,7880,568258,7625,214915,5651,104213,4145,36736,2883,23297,2346,67477,3538,41982,3119,7707,null,null,2590,null,null,1857,null,null,1426,null,null,2314,null,null,949,null,null,882,null,null,2150,null,null,2102,null,null,7880,null,null,7625,null,null,5651,null,null,4145,null,null,2883,null,null,2346,null,null,3538,null,null,3119,null,null,19
581628,7606,34763,2866,13112,1499,5463,960,21651,2415,3845,936,2905,819,17806,2237,14646,1890,546865,6978,455493,6695,175328,4628,91372,4419,31610,2464,18832,1964,59762,3718,35670,2894,7606,null,null,2866,null,null,1499,null,null,960,null,null,2415,null,null,936,null,null,819,null,null,2237,null,null,1890,null,null,6978,null,null,6695,null,null,4628,null,null,4419,null,null,2464,null,null,1964,null,null,3718,null,null,2894,null,null,20
988207,10367,126356,6024,49288,3601,23969,2457,77068,4669,14427,1807,9683,1396,62641,4001,51731,3662,861851,11385,695204,10770,266191,6716,166647,6055,55189,3343,30049,2846,111458,5009,57774,3701,10367,null,null,6024,null,null,3601,null,null,2457,null,null,4669,null,null,1807,null,null,1396,null,null,4001,null,null,3662,null,null,11385,null,null,10770,null,null,6716,null,null,6055,null,null,3343,null,null,2846,null,null,5009,null,null,3701,null,null,21
697094,7809,61020,4865,23634,2438,10366,1826,37386,3869,7537,1492,4609,1314,29849,3521,24225,3263,636074,7878,518629,7977,201306,5400,117445,5611,40997,3376,22513,2684,76448,4181,40731,3403,7809,null,null,4865,null,null,2438,null,null,1826,null,null,3869,null,null,1492,null,null,1314,null,null,3521,null,null,3263,null,null,7878,null,null,7977,null,null,5400,null,null,5611,null,null,3376,null,null,2684,null,null,4181,null,null,3403,null,null,22
313956,6045,22003,2396,9274,1493,3814,1002,12729,1841,3659,1064,3205,1011,9070,1418,7816,1324,291953,5978,237477,5684,73949,3523,54476,2968,19242,1942,10953,1579,35234,2363,18717,1855,6045,null,null,2396,null,null,1493,null,null,1002,null,null,1841,null,null,1064,null,null,1011,null,null,1418,null,null,1324,null,null,5978,null,null,5684,null,null,3523,null,null,2968,null,null,1942,null,null,1579,null,null,2363,null,null,1855,null,null,23
822463,7404,31833,2179,12679,1565,5713,1217,19154,1999,3475,907,2444,787,15679,1980,12713,1693,790630,7401,656261,7752,252481,5887,134369,5459,44599,3240,23016,2717,89770,4106,42453,2938,7404,null,null,2179,null,null,1565,null,null,1217,null,null,1999,null,null,907,null,null,787,null,null,1980,null,null,1693,null,null,7401,null,null,7752,null,null,5887,null,null,5459,null,null,3240,null,null,2717,null,null,4106,null,null,2938,null,null,24
1240664,9894,50542,2775,16674,1702,6161,1260,33868,2463,5567,1269,3693,1170,28301,2520,22984,2234,1190122,9774,957728,10568,364951,7392,232394,6661,69902,3794,30573,3267,162492,6170,74134,4629,9894,null,null,2775,null,null,1702,null,null,1260,null,null,2463,null,null,1269,null,null,1170,null,null,2520,null,null,2234,null,null,9774,null,null,10568,null,null,7392,null,null,6661,null,null,3794,null,null,3267,null,null,6170,null,null,4629,null,null,25
1966914,12382,146559,4563,63500,2787,34974,2551,83059,4056,18242,2160,12815,1734,64817,3541,54200,3517,1820355,12353,1499820,11267,528295,8064,320535,7472,108981,4364,55153,3288,211554,6260,101909,5324,12382,null,null,4563,null,null,2787,null,null,2551,null,null,4056,null,null,2160,null,null,1734,null,null,3541,null,null,3517,null,null,12353,null,null,11267,null,null,8064,null,null,7472,null,null,4364,null,null,3288,null,null,6260,null,null,5324,null,null,26
1171629,8021,46013,2686,17983,1462,6769,947,28030,2105,4256,797,2938,583,23774,2037,21192,1811,1125616,8286,950692,9312,365442,6505,174924,5076,67431,3496,38984,3037,107493,4228,63909,3062,8021,null,null,2686,null,null,1462,null,null,947,null,null,2105,null,null,797,null,null,583,null,null,2037,null,null,1811,null,null,8286,null,null,9312,null,null,6505,null,null,5076,null,null,3496,null,null,3037,null,null,4228,null,null,3062,null,null,27
