B99192_001E,B99192_002E,B99192_003E,B99192_004E,B99192_005E,B99192_006E,B99192_007E,B99192_008E,B99192_001EA,B99192_002EA,B99192_003EA,B99192_004EA,B99192_005EA,B99192_006EA,B99192_007EA,B99192_008EA,state
7573456,4728309,461758,183355,161480,242730,398090,1397734,null,null,null,null,null,null,null,null,12
3686135,2329679,208222,94929,81751,119930,208755,642869,null,null,null,null,null,null,null,null,13
455868,282567,24277,13659,13832,20616,37109,63808,null,null,null,null,null,null,null,null,15
610872,409594,34583,16478,14890,17987,24887,92453,null,null,null,null,null,null,null,null,16
4822046,3105068,293599,135781,105178,145409,232465,804546,null,null,null,null,null,null,null,null,17
2533270,1675684,170255,63293,49259,74621,115298,384860,null,null,null,null,null,null,null,null,18
1247932,823669,80877,37334,23795,34858,57596,189803,null,null,null,null,null,null,null,null,19
1110407,744239,63509,30149,23626,33316,54246,161322,null,null,null,null,null,null,null,null,20
1717706,1138036,109415,41657,39233,50244,77196,261925,null,null,null,null,null,null,null,null,21
1720801,1079852,96193,37857,30455,53155,87414,335875,null,null,null,null,null,null,null,null,22
531660,377842,32487,14463,11320,15248,23018,57282,null,null,null,null,null,null,null,null,23
2194657,1379744,132752,75350,51035,72239,118571,364966,null,null,null,null,null,null,null,null,24
2579398,1606177,158320,80317,60914,89930,156708,427032,null,null,null,null,null,null,null,null,25
3884153,2557946,261021,115516,85320,121170,185574,557606,null,null,null,null,null,null,null,null,26
2148725,1509688,130674,62031,44983,61776,92766,246807,null,null,null,null,null,null,null,null,27
1091245,676365,68142,25820,22839,40904,62568,194607,null,null,null,null,null,null,null,null,28
2372190,1562261,142704,60841,52889,75583,116765,361147,null,null,null,null,null,null,null,null,29
416125,279673,21785,11550,8985,13362,18559,62211,null,null,null,null,null,null,null,null,30
747562,498182,44134,20002,15336,21284,34962,113662,null,null,null,null,null,null,null,null,31
1055158,678610,58098,24413,23150,36802,59099,174986,null,null,null,null,null,null,null,null,32
520643,360986,32093,17186,12734,16605,21287,59752,null,null,null,null,null,null,null,null,33
3194519,1991274,194136,105557,77075,106637,178634,541206,null,null,null,null,null,null,null,null,34
758364,510449,39296,18294,16749,26952,38913,107711,null,null,null,null,null,null,null,null,35
7209054,4285834,449055,207472,166901,249869,460261,1389662,null,null,null,null,null,null,null,null,36
3882423,2582838,231411,93765,70610,118687,188431,596681,null,null,null,null,null,null,null,null,37
315134,211899,18507,7463,5991,9540,14280,47454,null,null,null,null,null,null,null,null,38
4624669,3119903,291920,121678,101899,137123,211906,640240,null,null,null,null,null,null,null,null,39
1469342,943877,81832,35127,30405,44572,73244,260285,null,null,null,null,null,null,null,null,40
1571678,1077329,90673,45404,33293,51198,82407,191374,null,null,null,null,null,null,null,null,41
4937771,3183202,318324,149390,114888,149528,235936,786503,null,null,null,null,null,null,null,null,42
408239,266018,26209,12888,9040,13051,21151,59882,null,null,null,null,null,null,null,null,44
1877887,1184755,111826,43582,34549,55903,107847,339425,null,null,null,null,null,null,null,null,45
334003,235284,18302,8563,6085,10092,15280,40397,null,null,null,null,null,null,null,null,46
2556332,1620211,166663,64466,55631,78789,131165,439407,null,null,null,null,null,null,null,null,47
9535612,6225338,463854,240134,206037,302131,524778,1573340,null,null,null,null,null,null,null,null,48
943147,666434,51706,28490,21739,28395,48774,97609,null,null,null,null,null,null,null,null,49
254851,176325,13969,7515,5035,8926,12634,30447,null,null,null,null,null,null,null,null,50
3120692,2039553,188271,93310,65997,99612,153557,480392,null,null,null,null,null,null,null,null,51
2768076,1936417,155844,80348,58285,83290,131388,322504,null,null,null,null,null,null,null,null,53
722125,483894,41785,19321,14771,19452,35981,106921,null,null,null,null,null,null,null,null,54
2326998,1598546,143018,68554,45534,66940,102208,302198,null,null,null,null,null,null,null,null,55
223619,145198,11430,8365,5288,7579,10782,34977,null,null,null,null,null,null,null,null,56
1208438,843168,55344,18170,22577,41044,69641,158494,null,null,null,null,null,null,null,null,72
1852518,1152376,120160,46565,39929,58089,89539,345860,null,null,null,null,null,null,null,null,01
248468,170949,7256,9894,6740,8249,24118,21262,null,null,null,null,null,null,null,null,02
2519052,1584641,143111,60372,51528,80904,136906,461590,null,null,null,null,null,null,null,null,04
1142718,742050,69057,29202,20671,37002,54054,190682,null,null,null,null,null,null,null,null,05
12944178,8288501,713128,375218,332797,489222,832147,1913165,null,null,null,null,null,null,null,null,06
2108992,1437179,114465,58492,40794,62827,103807,291428,null,null,null,null,null,null,null,null,08
1357269,881562,80078,43009,30743,44928,79069,197880,null,null,null,null,null,null,null,null,09
351085,225661,20568,10158,7266,10314,16600,60518,null,null,null,null,null,null,null,null,10
281241,186630,13834,6744,6117,9367,16470,42079,null,null,null,null,null,null,null,null,11
