C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,C21001H_001M,C21001H_001EA,C21001H_001MA,C21001H_002M,C21001H_002EA,C21001H_002MA,C21001H_003M,C21001H_003EA,C21001H_003MA,C21001H_004M,C21001H_004EA,C21001H_004MA,C21001H_005M,C21001H_005EA,C21001H_005MA,C21001H_006M,C21001H_006EA,C21001H_006MA,C21001H_007M,C21001H_007EA,C21001H_007MA,C21001H_008M,C21001H_008EA,C21001H_008MA,C21001H_009M,C21001H_009EA,C21001H_009MA,C21001H_010M,C21001H_010EA,C21001H_010MA,C21001H_011M,C21001H_011EA,C21001H_011MA,C21001H_012M,C21001H_012EA,C21001H_012MA,C21001H_013M,C21001H_013EA,C21001H_013MA,C21001H_014M,C21001H_014EA,C21001H_014MA,C21001H_015M,C21001H_015EA,C21001H_015MA,state
9472378,6427,4588074,4748,3184172,4439,376676,8920,2807496,10192,1403902,774,673917,8229,729985,8094,4884304,3136,3241156,3057,62702,4382,3178454,5064,1643148,506,23535,2754,1619613,2759,6427,null,null,4748,null,null,4439,null,null,8920,null,null,10192,null,null,774,null,null,8229,null,null,8094,null,null,3136,null,null,3057,null,null,4382,null,null,5064,null,null,506,null,null,2754,null,null,2759,null,null,12
4348369,4048,2106623,3111,1676001,3060,171924,6906,1504077,7434,430622,584,195978,4365,234644,4501,2241746,1813,1707998,1651,26838,2779,1681160,3249,533748,627,5477,1298,528271,1411,4048,null,null,3111,null,null,3060,null,null,6906,null,null,7434,null,null,584,null,null,4365,null,null,4501,null,null,1813,null,null,1651,null,null,2779,null,null,3249,null,null,627,null,null,1298,null,null,1411,null,null,13
251435,1955,129778,1775,96602,1759,19238,2213,77364,2491,33176,149,14118,1291,19058,1294,121657,771,89625,765,3390,801,86235,1104,32032,89,932,472,31100,477,1955,null,null,1775,null,null,1759,null,null,2213,null,null,2491,null,null,149,null,null,1291,null,null,1294,null,null,771,null,null,765,null,null,801,null,null,1104,null,null,89,null,null,472,null,null,477,null,null,15
1055508,790,521087,679,408645,680,42133,3253,366512,3464,112442,64,53031,2366,59411,2364,534421,350,408687,296,5441,1208,403246,1306,125734,141,2154,667,123580,689,790,null,null,679,null,null,680,null,null,3253,null,null,3464,null,null,64,null,null,2366,null,null,2364,null,null,350,null,null,296,null,null,1208,null,null,1306,null,null,141,null,null,667,null,null,689,null,null,16
6368638,2454,3093177,1846,2462406,1842,167746,5416,2294660,6140,630771,301,269506,5056,361265,5037,3275461,1196,2465728,1200,23686,2233,2442042,2684,809733,307,6402,903,803331,939,2454,null,null,1846,null,null,1842,null,null,5416,null,null,6140,null,null,301,null,null,5056,null,null,5037,null,null,1196,null,null,1200,null,null,2233,null,null,2684,null,null,307,null,null,903,null,null,939,null,null,17
4146375,2426,2015116,1660,1621764,1530,137885,4356,1483879,4536,393352,676,174147,4294,219205,4324,2131259,1209,1630753,1074,17332,2093,1613421,2532,500506,525,4721,1012,495785,1131,2426,null,null,1660,null,null,1530,null,null,4356,null,null,4536,null,null,676,null,null,4294,null,null,4324,null,null,1209,null,null,1074,null,null,2093,null,null,2532,null,null,525,null,null,1012,null,null,1131,null,null,18
2133176,1455,1043464,1076,823940,1092,68539,3473,755401,3298,219524,181,96797,2934,122727,2909,1089712,660,814404,624,7736,1221,806668,1378,275308,347,3453,697,271855,779,1455,null,null,1076,null,null,1092,null,null,3473,null,null,3298,null,null,181,null,null,2934,null,null,2909,null,null,660,null,null,624,null,null,1221,null,null,1378,null,null,347,null,null,697,null,null,779,null,null,19
1729683,1407,841308,1211,665748,1185,62292,3939,603456,3813,175560,124,79211,2688,96349,2670,888375,630,670312,621,8187,1224,662125,1447,218063,107,2720,820,215343,847,1407,null,null,1211,null,null,1185,null,null,3939,null,null,3813,null,null,124,null,null,2688,null,null,2670,null,null,630,null,null,621,null,null,1224,null,null,1447,null,null,107,null,null,820,null,null,847,null,null,20
2959735,2662,1429635,1885,1147405,1637,103229,4868,1044176,4843,282230,495,121953,3779,160277,3775,1530100,1362,1174836,1332,12203,1887,1162633,2504,355264,163,4120,966,351144,1001,2662,null,null,1885,null,null,1637,null,null,4868,null,null,4843,null,null,495,null,null,3779,null,null,3775,null,null,1362,null,null,1332,null,null,1887,null,null,2504,null,null,163,null,null,966,null,null,1001,null,null,21
2174879,1721,1056302,1397,842657,1410,67637,3858,775020,4100,213645,303,86688,3346,126957,3274,1118577,818,852811,874,8109,1398,844702,1615,265766,165,2510,763,263256,765,1721,null,null,1397,null,null,1410,null,null,3858,null,null,4100,null,null,303,null,null,3346,null,null,3274,null,null,818,null,null,874,null,null,1398,null,null,1615,null,null,165,null,null,763,null,null,765,null,null,22
