C15010D_001E,C15010D_001M,C15010D_002E,C15010D_002M,C15010D_003E,C15010D_003M,C15010D_004E,C15010D_004M,C15010D_005E,C15010D_005M,C15010D_006E,C15010D_006M,C15010D_001M,C15010D_001EA,C15010D_001MA,C15010D_002M,C15010D_002EA,C15010D_002MA,C15010D_003M,C15010D_003EA,C15010D_003MA,C15010D_004M,C15010D_004EA,C15010D_004MA,C15010D_005M,C15010D_005EA,C15010D_005MA,C15010D_006M,C15010D_006EA,C15010D_006MA,state
201585,6629,90065,5139,29943,3730,40505,3335,11874,2093,29198,3020,6629,null,null,5139,null,null,3730,null,null,3335,null,null,2093,null,null,3020,null,null,12
156417,4683,82772,4632,13679,2289,29067,3181,6817,1532,24082,2414,4683,null,null,4632,null,null,2289,null,null,3181,null,null,1532,null,null,2414,null,null,13
145967,5571,51088,3117,17518,1643,33168,2635,20188,2110,24005,2215,5571,null,null,3117,null,null,1643,null,null,2635,null,null,2110,null,null,2215,null,null,15
6620,1345,3099,927,728,515,674,436,964,617,1155,614,1345,null,null,927,null,null,515,null,null,436,null,null,617,null,null,614,null,null,16
311468,6747,156155,6239,41229,3670,57309,2987,15857,2345,40918,3149,6747,null,null,6239,null,null,3670,null,null,2987,null,null,2345,null,null,3149,null,null,17
44927,3150,27115,2599,4700,1255,5217,1272,2179,626,5716,1328,3150,null,null,2599,null,null,1255,null,null,1272,null,null,626,null,null,1328,null,null,18
23457,2191,12966,1875,1814,695,4353,1199,1093,473,3231,813,2191,null,null,1875,null,null,695,null,null,1199,null,null,473,null,null,813,null,null,19
25901,2587,14888,2156,1995,680,4104,1267,990,507,3924,1187,2587,null,null,2156,null,null,680,null,null,1267,null,null,507,null,null,1187,null,null,20
20564,1963,10660,1523,1935,622,4319,916,761,377,2889,860,1963,null,null,1523,null,null,622,null,null,916,null,null,377,null,null,860,null,null,21
23125,2028,12318,1913,2140,832,4033,1153,1015,601,3619,1015,2028,null,null,1913,null,null,832,null,null,1153,null,null,601,null,null,1015,null,null,22
5163,1124,2815,773,557,274,638,407,461,616,692,431,1124,null,null,773,null,null,274,null,null,407,null,null,616,null,null,431,null,null,23
167890,6104,91847,4463,18858,2295,25765,2784,7961,1545,23459,2384,6104,null,null,4463,null,null,2295,null,null,2784,null,null,1545,null,null,2384,null,null,24
174202,4983,104645,4579,13549,1854,27221,2211,5768,1408,23019,2442,4983,null,null,4579,null,null,1854,null,null,2211,null,null,1408,null,null,2442,null,null,25
119409,3281,70146,3037,15420,1734,16016,1666,4504,967,13323,1469,3281,null,null,3037,null,null,1734,null,null,1666,null,null,967,null,null,1469,null,null,26
64444,3702,38449,3277,5778,1129,9806,1819,1985,570,8426,1459,3702,null,null,3277,null,null,1129,null,null,1819,null,null,570,null,null,1459,null,null,27
7993,1773,4140,1236,986,513,1355,640,213,233,1299,819,1773,null,null,1236,null,null,513,null,null,640,null,null,233,null,null,819,null,null,28
45751,3263,26050,2578,5245,1297,6997,1226,1907,761,5552,1338,3263,null,null,2578,null,null,1297,null,null,1226,null,null,761,null,null,1338,null,null,29
2993,936,1052,569,1006,743,390,195,270,330,275,236,936,null,null,569,null,null,743,null,null,195,null,null,330,null,null,236,null,null,30
10091,1749,6056,1235,1099,545,997,445,444,284,1495,630,1749,null,null,1235,null,null,545,null,null,445,null,null,284,null,null,630,null,null,31
69538,4554,22360,2504,13635,2287,19759,2147,4462,1116,9322,1750,4554,null,null,2504,null,null,2287,null,null,2147,null,null,1116,null,null,1750,null,null,32
11773,1823,7474,1429,1048,514,1271,405,215,199,1765,682,1823,null,null,1429,null,null,514,null,null,405,null,null,199,null,null,682,null,null,33
412934,7289,217606,5655,50801,3804,79251,4390,14598,1710,50678,3790,7289,null,null,5655,null,null,3804,null,null,4390,null,null,1710,null,null,3790,null,null,34
11611,1483,6561,1234,1643,692,1178,556,770,397,1459,567,1483,null,null,1234,null,null,692,null,null,556,null,null,397,null,null,567,null,null,35
