C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,C23002I_001M,C23002I_001EA,C23002I_001MA,C23002I_002M,C23002I_002EA,C23002I_002MA,C23002I_003M,C23002I_003EA,C23002I_003MA,C23002I_004M,C23002I_004EA,C23002I_004MA,C23002I_005M,C23002I_005EA,C23002I_005MA,C23002I_006M,C23002I_006EA,C23002I_006MA,C23002I_007M,C23002I_007EA,C23002I_007MA,C23002I_008M,C23002I_008EA,C23002I_008MA,C23002I_009M,C23002I_009EA,C23002I_009MA,C23002I_010M,C23002I_010EA,C23002I_010MA,C23002I_011M,C23002I_011EA,C23002I_011MA,C23002I_012M,C23002I_012EA,C23002I_012MA,C23002I_013M,C23002I_013EA,C23002I_013MA,C23002I_014M,C23002I_014EA,C23002I_014MA,C23002I_015M,C23002I_015EA,C23002I_015MA,C23002I_016M,C23002I_016EA,C23002I_016MA,C23002I_017M,C23002I_017EA,C23002I_017MA,C23002I_018M,C23002I_018EA,C23002I_018MA,C23002I_019M,C23002I_019EA,C23002I_019MA,C23002I_020M,C23002I_020EA,C23002I_020MA,C23002I_021M,C23002I_021EA,C23002I_021MA,C23002I_022M,C23002I_022EA,C23002I_022MA,C23002I_023M,C23002I_023EA,C23002I_023MA,C23002I_024M,C23002I_024EA,C23002I_024MA,C23002I_025M,C23002I_025EA,C23002I_025MA,C23002I_026M,C23002I_026EA,C23002I_026MA,C23002I_027M,C23002I_027EA,C23002I_027MA,state
4001075,4876,1953023,4411,1706081,4580,1370735,9853,8879,1515,1361856,9542,1296481,10506,65375,4793,335346,9934,246942,1191,52641,3434,50462,3419,2179,790,194301,3630,2048052,4506,1700609,4906,1141838,12495,1935,981,1139903,12532,1065155,13053,74748,5166,558771,13200,347443,1656,33155,3036,31928,3008,1227,583,314288,3530,4876,null,null,4411,null,null,4580,null,null,9853,null,null,1515,null,null,9542,null,null,10506,null,null,4793,null,null,9934,null,null,1191,null,null,3434,null,null,3419,null,null,790,null,null,3630,null,null,4506,null,null,4906,null,null,12495,null,null,981,null,null,12532,null,null,13053,null,null,5166,null,null,13200,null,null,1656,null,null,3036,null,null,3008,null,null,583,null,null,3530,null,null,12
639404,3050,337255,3769,321944,3737,270604,4442,5221,972,265383,4637,256479,4909,8904,1807,51340,3560,15311,1607,4497,1122,4312,1103,185,233,10814,1536,302149,3418,282953,3691,174278,5826,431,334,173847,5808,161121,5683,12726,2404,108675,5524,19196,1908,3078,933,3078,933,0,218,16118,2121,3050,null,null,3769,null,null,3737,null,null,4442,null,null,972,null,null,4637,null,null,4909,null,null,1807,null,null,3560,null,null,1607,null,null,1122,null,null,1103,null,null,233,null,null,1536,null,null,3418,null,null,3691,null,null,5826,null,null,334,null,null,5808,null,null,5683,null,null,2404,null,null,5524,null,null,1908,null,null,933,null,null,933,null,null,218,null,null,2121,null,null,13
97528,561,50287,395,46975,512,37804,1422,5336,1067,32468,1631,30362,1704,2106,889,9171,1479,3312,315,968,452,802,343,166,230,2344,472,47241,528,43133,568,28513,1532,865,376,27648,1566,26017,1541,1631,716,14620,1557,4108,151,791,318,752,300,39,88,3317,363,561,null,null,395,null,null,512,null,null,1422,null,null,1067,null,null,1631,null,null,1704,null,null,889,null,null,1479,null,null,315,null,null,452,null,null,343,null,null,230,null,null,472,null,null,528,null,null,568,null,null,1532,null,null,376,null,null,1566,null,null,1541,null,null,716,null,null,1557,null,null,151,null,null,318,null,null,300,null,null,88,null,null,363,null,null,15
136606,1193,69832,1426,65160,1309,51612,2561,115,95,51497,2570,49145,2688,2352,904,13548,2040,4672,842,1340,552,1233,548,107,153,3332,785,66774,1317,61446,1597,40598,2501,174,203,40424,2485,37633,2640,2791,1053,20848,2360,5328,1012,712,433,712,433,0,198,4616,1016,1193,null,null,1426,null,null,1309,null,null,2561,null,null,95,null,null,2570,null,null,2688,null,null,904,null,null,2040,null,null,842,null,null,552,null,null,548,null,null,153,null,null,785,null,null,1317,null,null,1597,null,null,2501,null,null,203,null,null,2485,null,null,2640,null,null,1053,null,null,2360,null,null,1012,null,null,433,null,null,433,null,null,198,null,null,1016,null,null,16
1540345,3050,785557,2407,730768,2473,609068,5267,2675,938,606393,5049,567451,5939,38942,3767,121700,5249,54789,1072,11378,1254,10244,1353,1134,679,43411,1503,754788,2426,687890,2523,463107,7042,367,481,462740,7092,427512,7472,35228,2926,224783,6736,66898,1121,7312,1084,7248,1070,64,89,59586,1530,3050,null,null,2407,null,null,2473,null,null,5267,null,null,938,null,null,5049,null,null,5939,null,null,3767,null,null,5249,null,null,1072,null,null,1254,null,null,1353,null,null,679,null,null,1503,null,null,2426,null,null,2523,null,null,7042,null,null,481,null,null,7092,null,null,7472,null,null,2926,null,null,6736,null,null,1121,null,null,1084,null,null,1070,null,null,89,null,null,1530,null,null,17
295014,2453,153308,2184,143776,2227,116084,2879,121,125,115963,2874,109349,3000,6614,1530,27692,2596,9532,1129,2511,790,2355,784,156,123,7021,984,141706,2523,131348,2580,82379,3330,175,261,82204,3358,75324,3425,6880,1374,48969,3184,10358,834,1322,495,1284,488,38,70,9036,901,2453,null,null,2184,null,null,2227,null,null,2879,null,null,125,null,null,2874,null,null,3000,null,null,1530,null,null,2596,null,null,1129,null,null,790,null,null,784,null,null,123,null,null,984,null,null,2523,null,null,2580,null,null,3330,null,null,261,null,null,3358,null,null,3425,null,null,1374,null,null,3184,null,null,834,null,null,495,null,null,488,null,null,70,null,null,901,null,null,18
114647,1421,58697,1372,56368,1441,46037,1766,116,133,45921,1766,43264,1992,2657,823,10331,1260,2329,552,236,143,225,148,11,26,2093,546,55950,1364,52737,1418,35071,2080,30,51,35041,2079,32216,2138,2825,842,17666,2024,3213,641,404,250,404,250,0,159,2809,631,1421,null,null,1372,null,null,1441,null,null,1766,null,null,133,null,null,1766,null,null,1992,null,null,823,null,null,1260,null,null,552,null,null,143,null,null,148,null,null,26,null,null,546,null,null,1364,null,null,1418,null,null,2080,null,null,51,null,null,2079,null,null,2138,null,null,842,null,null,2024,null,null,641,null,null,250,null,null,250,null,null,159,null,null,631,null,null,19
221051,1731,114846,1880,107376,1755,89297,2134,1700,488,87597,2207,81678,2354,5919,1253,18079,2015,7470,913,3075,861,2949,863,126,143,4395,768,106205,1651,98630,1790,69181,3157,274,285,68907,3080,64068,2906,4839,1225,29449,2788,7575,652,1218,472,1218,472,0,174,6357,813,1731,null,null,1880,null,null,1755,null,null,2134,null,null,488,null,null,2207,null,null,2354,null,null,1253,null,null,2015,null,null,913,null,null,861,null,null,863,null,null,143,null,null,768,null,null,1651,null,null,1790,null,null,3157,null,null,285,null,null,3080,null,null,2906,null,null,1225,null,null,2788,null,null,652,null,null,472,null,null,472,null,null,174,null,null,813,null,null,20
96941,2737,53081,1993,51319,1967,42251,1963,1284,486,40967,2108,38436,2367,2531,840,9068,1658,1762,394,438,307,438,307,0,190,1324,392,43860,1747,41558,1792,26169,1775,39,60,26130,1774,23896,1713,2234,879,15389,1629,2302,591,452,273,452,273,0,190,1850,531,2737,null,null,1993,null,null,1967,null,null,1963,null,null,486,null,null,2108,null,null,2367,null,null,840,null,null,1658,null,null,394,null,null,307,null,null,307,null,null,190,null,null,392,null,null,1747,null,null,1792,null,null,1775,null,null,60,null,null,1774,null,null,1713,null,null,879,null,null,1629,null,null,591,null,null,273,null,null,273,null,null,190,null,null,531,null,null,21
165394,2831,89471,2342,82240,2056,65636,2444,2203,557,63433,2508,59327,2648,4106,988,16604,2287,7231,941,1874,561,1798,546,76,113,5357,885,75923,2031,67339,1964,42081,2857,30,63,42051,2849,38401,2811,3650,1148,25258,2455,8584,1022,1239,503,1171,494,68,102,7345,1052,2831,null,null,2342,null,null,2056,null,null,2444,null,null,557,null,null,2508,null,null,2648,null,null,988,null,null,2287,null,null,941,null,null,561,null,null,546,null,null,113,null,null,885,null,null,2031,null,null,1964,null,null,2857,null,null,63,null,null,2849,null,null,2811,null,null,1148,null,null,2455,null,null,1022,null,null,503,null,null,494,null,null,102,null,null,1052,null,null,22
