B19013G_001E,B19013G_001M,B19013G_001M,B19013G_001EA,B19013G_001MA,state
47221,2070,2070,null,null,12
57396,5011,5011,null,null,13
79175,5015,5015,null,null,15
41390,5833,5833,null,null,16
49928,3470,3470,null,null,17
35280,3012,3012,null,null,18
45127,11209,11209,null,null,19
51753,3856,3856,null,null,20
34444,5032,5032,null,null,21
42033,5963,5963,null,null,22
34917,9229,9229,null,null,23
71550,6714,6714,null,null,24
65442,8169,8169,null,null,25
43910,4149,4149,null,null,26
58894,4042,4042,null,null,27
36920,3782,3782,null,null,28
39521,3864,3864,null,null,29
37476,3600,3600,null,null,30
41169,8813,8813,null,null,31
55308,5937,5937,null,null,32
41741,10457,10457,null,null,33
61530,6197,6197,null,null,34
51967,4954,4954,null,null,35
52216,3246,3246,null,null,36
44049,5361,5361,null,null,37
42230,12158,12158,null,null,38
37007,2961,2961,null,null,39
44650,2568,2568,null,null,40
50313,3604,3604,null,null,41
45596,3277,3277,null,null,42
34831,8838,8838,null,null,44
46965,4552,4552,null,null,45
35101,13068,13068,null,null,46
37618,4645,4645,null,null,47
54398,1955,1955,null,null,48
58684,5304,5304,null,null,49
20060,14030,14030,null,null,50
62132,6945,6945,null,null,51
55565,3796,3796,null,null,53
34882,8306,8306,null,null,54
45354,7143,7143,null,null,55
63712,15265,15265,null,null,56
20141,1865,1865,null,null,72
44843,9066,9066,null,null,01
62811,4913,4913,null,null,02
51405,5108,5108,null,null,04
36441,6157,6157,null,null,05
68734,3116,3116,null,null,06
58131,4585,4585,null,null,08
53715,8291,8291,null,null,09
40099,17311,17311,null,null,10
81848,20039,20039,null,null,11
