B06007_001E,B06007_001M,B06007_002E,B06007_002M,B06007_003E,B06007_003M,B06007_004E,B06007_004M,B06007_005E,B06007_005M,B06007_006E,B06007_006M,B06007_007E,B06007_007M,B06007_008E,B06007_008M,B06007_009E,B06007_009M,B06007_010E,B06007_010M,B06007_011E,B06007_011M,B06007_012E,B06007_012M,B06007_013E,B06007_013M,B06007_014E,B06007_014M,B06007_015E,B06007_015M,B06007_016E,B06007_016M,B06007_017E,B06007_017M,B06007_018E,B06007_018M,B06007_019E,B06007_019M,B06007_020E,B06007_020M,B06007_021E,B06007_021M,B06007_022E,B06007_022M,B06007_023E,B06007_023M,B06007_024E,B06007_024M,B06007_025E,B06007_025M,B06007_026E,B06007_026M,B06007_027E,B06007_027M,B06007_028E,B06007_028M,B06007_029E,B06007_029M,B06007_030E,B06007_030M,B06007_031E,B06007_031M,B06007_032E,B06007_032M,B06007_033E,B06007_033M,B06007_034E,B06007_034M,B06007_035E,B06007_035M,B06007_036E,B06007_036M,B06007_037E,B06007_037M,B06007_038E,B06007_038M,B06007_039E,B06007_039M,B06007_040E,B06007_040M,B06007_001M,B06007_001EA,B06007_001MA,B06007_002M,B06007_002EA,B06007_002MA,B06007_003M,B06007_003EA,B06007_003MA,B06007_004M,B06007_004EA,B06007_004MA,B06007_005M,B06007_005EA,B06007_005MA,B06007_006M,B06007_006EA,B06007_006MA,B06007_007M,B06007_007EA,B06007_007MA,B06007_008M,B06007_008EA,B06007_008MA,B06007_009M,B06007_009EA,B06007_009MA,B06007_010M,B06007_010EA,B06007_010MA,B06007_011M,B06007_011EA,B06007_011MA,B06007_012M,B06007_012EA,B06007_012MA,B06007_013M,B06007_013EA,B06007_013MA,B06007_014M,B06007_014EA,B06007_014MA,B06007_015M,B06007_015EA,B06007_015MA,B06007_016M,B06007_016EA,B06007_016MA,B06007_017M,B06007_017EA,B06007_017MA,B06007_018M,B06007_018EA,B06007_018MA,B06007_019M,B06007_019EA,B06007_019MA,B06007_020M,B06007_020EA,B06007_020MA,B06007_021M,B06007_021EA,B06007_021MA,B06007_022M,B06007_022EA,B06007_022MA,B06007_023M,B06007_023EA,B06007_023MA,B06007_024M,B06007_024EA,B06007_024MA,B06007_025M,B06007_025EA,B06007_025MA,B06007_026M,B06007_026EA,B06007_026MA,B06007_027M,B06007_027EA,B06007_027MA,B06007_028M,B06007_028EA,B06007_028MA,B06007_029M,B06007_029EA,B06007_029MA,B06007_030M,B06007_030EA,B06007_030MA,B06007_031M,B06007_031EA,B06007_031MA,B06007_032M,B06007_032EA,B06007_032MA,B06007_033M,B06007_033EA,B06007_033MA,B06007_034M,B06007_034EA,B06007_034MA,B06007_035M,B06007_035EA,B06007_035MA,B06007_036M,B06007_036EA,B06007_036MA,B06007_037M,B06007_037EA,B06007_037MA,B06007_038M,B06007_038EA,B06007_038MA,B06007_039M,B06007_039EA,B06007_039MA,B06007_040M,B06007_040EA,B06007_040MA,state
19494972,2952,13884663,39662,4148651,25087,2323178,30594,1825473,27713,1461658,32409,942626,25305,519032,16845,6413919,39418,5369821,35002,851721,20141,757905,20121,93816,7259,192377,11662,174355,11216,18022,2554,8115242,39696,7451124,35201,504872,16481,444168,15410,60704,4587,159246,7682,144659,7170,14587,2199,754291,19940,233054,11056,489985,18876,299736,15584,190249,10573,31252,4045,24654,3515,6598,1838,4211520,35776,830664,18005,2302073,27591,821369,16311,1480704,25261,1078783,25475,598958,18778,479825,16866,2952,null,null,39662,null,null,25087,null,null,30594,null,null,27713,null,null,32409,null,null,25305,null,null,16845,null,null,39418,null,null,35002,null,null,20141,null,null,20121,null,null,7259,null,null,11662,null,null,11216,null,null,2554,null,null,39696,null,null,35201,null,null,16481,null,null,15410,null,null,4587,null,null,7682,null,null,7170,null,null,2199,null,null,19940,null,null,11056,null,null,18876,null,null,15584,null,null,10573,null,null,4045,null,null,3515,null,null,1838,null,null,35776,null,null,18005,null,null,27591,null,null,16311,null,null,25261,null,null,25475,null,null,18778,null,null,16866,null,null,12
9655493,4445,8304044,22424,768220,12843,418787,13092,349433,11883,583229,20345,379437,16825,203792,10082,5067164,30982,4794499,31100,204867,8345,170039,7580,34828,4151,67798,5630,58649,5673,9149,2138,3421897,34433,3229516,33053,127774,8399,107796,6985,19978,3435,64607,6120,59776,5876,4831,1362,137782,8530,85642,6333,37831,5704,27083,4492,10748,2570,14309,2627,12383,2397,1926,760,1028650,21437,194387,10682,397748,10897,113869,7562,283879,10635,436515,16707,248629,12654,187886,9358,4445,null,null,22424,null,null,12843,null,null,13092,null,null,11883,null,null,20345,null,null,16825,null,null,10082,null,null,30982,null,null,31100,null,null,8345,null,null,7580,null,null,4151,null,null,5630,null,null,5673,null,null,2138,null,null,34433,null,null,33053,null,null,8399,null,null,6985,null,null,3435,null,null,6120,null,null,5876,null,null,1362,null,null,8530,null,null,6333,null,null,5704,null,null,4492,null,null,2570,null,null,2627,null,null,2397,null,null,760,null,null,21437,null,null,10682,null,null,10897,null,null,7562,null,null,10635,null,null,16707,null,null,12654,null,null,9358,null,null,13
1337835,28,983020,13479,28811,3893,20909,2828,7902,2091,326004,13547,170733,9891,155271,8536,687940,14430,604569,14706,4750,1289,3821,1127,929,512,78621,5868,63066,5227,15555,2254,346046,7937,313780,7955,13905,2468,11305,1956,2600,1017,18361,2767,15407,2461,2954,1020,42916,4500,23250,2798,1230,628,997,596,233,197,18436,3376,11615,2525,6821,1816,260933,12691,41421,3699,8926,2020,4786,1313,4140,1634,210586,11796,80645,6558,129941,8395,28,null,null,13479,null,null,3893,null,null,2828,null,null,2091,null,null,13547,null,null,9891,null,null,8536,null,null,14430,null,null,14706,null,null,1289,null,null,1127,null,null,512,null,null,5868,null,null,5227,null,null,2254,null,null,7937,null,null,7955,null,null,2468,null,null,1956,null,null,1017,null,null,2767,null,null,2461,null,null,1020,null,null,4500,null,null,2798,null,null,628,null,null,596,null,null,197,null,null,3376,null,null,2525,null,null,1816,null,null,12691,null,null,3699,null,null,2020,null,null,1313,null,null,1634,null,null,11796,null,null,6558,null,null,8395,null,null,15
1568997,1710,1398989,6687,126860,5192,75589,4989,51271,5038,43148,4558,28328,3811,14820,2291,718245,15092,668897,13948,42521,3953,33672,3758,8849,1913,6827,1513,5966,1459,861,415,739565,13257,701111,13092,29563,3914,23196,3023,6367,2108,8891,1736,7656,1616,1235,526,13527,2556,11121,2108,1519,947,1344,936,175,287,887,415,597,393,290,243,97660,5927,17860,2113,53257,4004,17377,2695,35880,3438,26543,3399,14109,2504,12434,2156,1710,null,null,6687,null,null,5192,null,null,4989,null,null,5038,null,null,4558,null,null,3811,null,null,2291,null,null,15092,null,null,13948,null,null,3953,null,null,3758,null,null,1913,null,null,1513,null,null,1459,null,null,415,null,null,13257,null,null,13092,null,null,3914,null,null,3023,null,null,2108,null,null,1736,null,null,1616,null,null,526,null,null,2556,null,null,2108,null,null,947,null,null,936,null,null,287,null,null,415,null,null,393,null,null,243,null,null,5927,null,null,2113,null,null,4004,null,null,2695,null,null,3438,null,null,3399,null,null,2504,null,null,2156,null,null,16
12032049,2349,9270805,25589,1624378,17486,1004455,15160,619923,12983,1136866,19215,714537,16226,422329,12079,7899544,28146,6943118,32177,721715,14174,639968,13708,81747,4919,234711,9791,209208,9852,25503,2289,2224593,23010,2064469,22260,102186,7686,86352,6754,15834,2056,57938,4176,51165,3698,6773,1239,135181,6540,59588,3891,61193,4546,37048,3311,24145,2540,14400,2236,10719,1864,3681,1066,1772731,22474,203630,9071,739284,14664,241087,7986,498197,12369,829817,15977,443445,12045,386372,12036,2349,null,null,25589,null,null,17486,null,null,15160,null,null,12983,null,null,19215,null,null,16226,null,null,12079,null,null,28146,null,null,32177,null,null,14174,null,null,13708,null,null,4919,null,null,9791,null,null,9852,null,null,2289,null,null,23010,null,null,22260,null,null,7686,null,null,6754,null,null,2056,null,null,4176,null,null,3698,null,null,1239,null,null,6540,null,null,3891,null,null,4546,null,null,3311,null,null,2540,null,null,2236,null,null,1864,null,null,1066,null,null,22474,null,null,9071,null,null,14664,null,null,7986,null,null,12369,null,null,15977,null,null,12045,null,null,12036,null,null,17
6212686,3036,5669872,13007,302111,9303,185373,7076,116738,5791,240703,10333,154208,9198,86495,5338,4148701,25790,3996920,25358,86929,5220,72246,4982,14683,2072,64852,6193,51910,5493,12942,2214,1675779,23962,1581919,23210,68938,5158,58950,4773,9988,1883,24922,2818,21087,2467,3835,1146,43369,4361,28517,3376,12328,2217,7251,1790,5077,1277,2524,827,1968,760,556,387,344837,10447,62516,5170,133916,6279,46926,4522,86990,5273,148405,7872,79243,5717,69162,5397,3036,null,null,13007,null,null,9303,null,null,7076,null,null,5791,null,null,10333,null,null,9198,null,null,5338,null,null,25790,null,null,25358,null,null,5220,null,null,4982,null,null,2072,null,null,6193,null,null,5493,null,null,2214,null,null,23962,null,null,23210,null,null,5158,null,null,4773,null,null,1883,null,null,2818,null,null,2467,null,null,1146,null,null,4361,null,null,3376,null,null,2217,null,null,1790,null,null,1277,null,null,827,null,null,760,null,null,387,null,null,10447,null,null,5170,null,null,6279,null,null,4522,null,null,5273,null,null,7872,null,null,5717,null,null,5397,null,null,18
2937206,1804,2711052,7253,118206,4362,66569,3743,51637,3921,107948,5990,59264,4560,48684,5207,2039057,12705,1985753,13164,33430,2754,27268,2751,6162,1152,19874,2523,15774,2263,4100,1175,720013,12590,683250,12972,25725,2595,20846,2320,4879,1184,11038,1834,8150,1532,2888,886,19441,3088,13776,2428,3477,1299,2417,1026,1060,810,2188,922,1416,642,772,592,158695,5672,28273,2915,55574,3860,16038,1848,39536,3407,74848,4530,33924,3148,40924,4580,1804,null,null,7253,null,null,4362,null,null,3743,null,null,3921,null,null,5990,null,null,4560,null,null,5207,null,null,12705,null,null,13164,null,null,2754,null,null,2751,null,null,1152,null,null,2523,null,null,2263,null,null,1175,null,null,12590,null,null,12972,null,null,2595,null,null,2320,null,null,1184,null,null,1834,null,null,1532,null,null,886,null,null,3088,null,null,2428,null,null,1299,null,null,1026,null,null,810,null,null,922,null,null,642,null,null,592,null,null,5672,null,null,2915,null,null,3860,null,null,1848,null,null,3407,null,null,4530,null,null,3148,null,null,4580,null,null,19
2709883,1979,2393978,9282,210787,6813,125123,5534,85664,5269,105118,6836,65669,5086,39449,4125,1548567,14225,1475006,13427,60007,4740,53658,4413,6349,1345,13554,1931,12374,1859,1180,435,931323,15706,871408,15005,46395,4302,39301,3676,7094,1737,13520,2194,12412,2087,1108,530,25712,2657,20053,2495,3165,1066,1888,713,1277,634,2494,861,2378,856,116,171,204281,7463,27511,2698,101220,5382,30276,2773,70944,5201,75550,5619,38505,3729,37045,4044,1979,null,null,9282,null,null,6813,null,null,5534,null,null,5269,null,null,6836,null,null,5086,null,null,4125,null,null,14225,null,null,13427,null,null,4740,null,null,4413,null,null,1345,null,null,1931,null,null,1859,null,null,435,null,null,15706,null,null,15005,null,null,4302,null,null,3676,null,null,1737,null,null,2194,null,null,2087,null,null,530,null,null,2657,null,null,2495,null,null,1066,null,null,713,null,null,634,null,null,861,null,null,856,null,null,171,null,null,7463,null,null,2698,null,null,5382,null,null,2773,null,null,5201,null,null,5619,null,null,3729,null,null,4044,null,null,20
4164025,2784,3946958,8989,106247,5544,62359,4196,43888,3354,110820,7224,65570,5402,45250,4623,2826076,14927,2776374,15755,30466,3099,25757,2720,4709,943,19236,3399,15611,3198,3625,1156,1154559,15082,1117369,15447,21235,2814,17602,2428,3633,1519,15955,2202,14080,2177,1875,648,29218,3059,22782,2739,4618,1114,3698,986,920,541,1818,723,1510,683,308,213,154172,7348,30433,3417,49928,3572,15302,2430,34626,3148,73811,5825,34369,3679,39442,4273,2784,null,null,8989,null,null,5544,null,null,4196,null,null,3354,null,null,7224,null,null,5402,null,null,4623,null,null,14927,null,null,15755,null,null,3099,null,null,2720,null,null,943,null,null,3399,null,null,3198,null,null,1156,null,null,15082,null,null,15447,null,null,2814,null,null,2428,null,null,1519,null,null,2202,null,null,2177,null,null,648,null,null,3059,null,null,2739,null,null,1114,null,null,986,null,null,541,null,null,723,null,null,683,null,null,213,null,null,7348,null,null,3417,null,null,3572,null,null,2430,null,null,3148,null,null,5825,null,null,3679,null,null,4273,null,null,21
4374703,3568,4021725,9938,167160,6946,95505,5836,71655,5558,185818,6717,133295,6141,52523,4051,3378010,16683,3238612,17610,40571,3789,32857,3394,7714,1929,98827,4403,83475,4417,15352,1987,781513,15626,735339,14996,31457,2609,25062,2632,6395,1693,14717,3018,11714,2262,3003,1255,27084,3117,18262,2513,5298,1323,3682,960,1616,873,3524,1193,2549,957,975,656,188096,7203,29512,2770,89834,5662,33904,3918,55930,4928,68750,4339,35557,3498,33193,3499,3568,null,null,9938,null,null,6946,null,null,5836,null,null,5558,null,null,6717,null,null,6141,null,null,4051,null,null,16683,null,null,17610,null,null,3789,null,null,3394,null,null,1929,null,null,4403,null,null,4417,null,null,1987,null,null,15626,null,null,14996,null,null,2609,null,null,2632,null,null,1693,null,null,3018,null,null,2262,null,null,1255,null,null,3117,null,null,2513,null,null,1323,null,null,960,null,null,873,null,null,1193,null,null,957,null,null,656,null,null,7203,null,null,2770,null,null,5662,null,null,3918,null,null,4928,null,null,4339,null,null,3498,null,null,3499,null,null,22
