B28009I_001E,B28009I_001M,B28009I_002E,B28009I_002M,B28009I_003E,B28009I_003M,B28009I_004E,B28009I_004M,B28009I_005E,B28009I_005M,B28009I_006E,B28009I_006M,B28009I_001M,B28009I_001EA,B28009I_001MA,B28009I_002M,B28009I_002EA,B28009I_002MA,B28009I_003M,B28009I_003EA,B28009I_003MA,B28009I_004M,B28009I_004EA,B28009I_004MA,B28009I_005M,B28009I_005EA,B28009I_005MA,B28009I_006M,B28009I_006EA,B28009I_006MA,state
5050476,3973,4673985,23556,10299,3394,4085653,35390,578033,29673,376491,22901,3973,null,null,23556,null,null,3394,null,null,35390,null,null,29673,null,null,22901,null,null,12
943411,3308,875383,9174,2855,2101,750013,13662,122515,12029,68028,9098,3308,null,null,9174,null,null,2101,null,null,13662,null,null,12029,null,null,9098,null,null,13
143254,1185,139591,1565,7,12,127170,4046,12414,3859,3663,1190,1185,null,null,1565,null,null,12,null,null,4046,null,null,3859,null,null,1190,null,null,15
203035,857,187282,4206,108,144,161466,5910,25708,4953,15753,3912,857,null,null,4206,null,null,144,null,null,5910,null,null,4953,null,null,3912,null,null,16
2149444,2450,2018776,9711,4701,1727,1808342,16488,205733,16054,130668,9427,2450,null,null,9711,null,null,1727,null,null,16488,null,null,16054,null,null,9427,null,null,17
438542,1784,403121,5963,217,188,357004,7711,45900,6796,35421,5711,1784,null,null,5963,null,null,188,null,null,7711,null,null,6796,null,null,5711,null,null,18
173490,1422,157960,3878,399,315,133038,5637,24523,5087,15530,3766,1422,null,null,3878,null,null,315,null,null,5637,null,null,5087,null,null,3766,null,null,19
329937,1355,304345,4356,188,209,268553,7419,35604,6559,25592,3884,1355,null,null,4356,null,null,209,null,null,7419,null,null,6559,null,null,3884,null,null,20
145962,2547,134944,3862,28,53,116990,5318,17926,4578,11018,2763,2547,null,null,3862,null,null,53,null,null,5318,null,null,4578,null,null,2763,null,null,21
224579,2104,202805,4777,310,235,169724,7928,32771,6203,21774,4325,2104,null,null,4777,null,null,235,null,null,7928,null,null,6203,null,null,4325,null,null,22
19938,867,19032,808,76,134,18158,1033,798,527,906,666,867,null,null,808,null,null,134,null,null,1033,null,null,527,null,null,666,null,null,23
578904,1332,552657,7334,1214,1251,487975,11901,63468,9818,26247,7114,1332,null,null,7334,null,null,1251,null,null,11901,null,null,9818,null,null,7114,null,null,24
749841,2588,698185,6532,428,308,616489,9428,81268,8042,51656,6221,2588,null,null,6532,null,null,308,null,null,9428,null,null,8042,null,null,6221,null,null,25
476690,1573,442201,5085,410,251,385029,8340,56762,6833,34489,4702,1573,null,null,5085,null,null,251,null,null,8340,null,null,6833,null,null,4702,null,null,26
283267,1212,267450,3009,774,717,238031,5414,28645,4783,15817,2946,1212,null,null,3009,null,null,717,null,null,5414,null,null,4783,null,null,2946,null,null,27
81132,2948,75948,3353,76,105,65826,3865,10046,2649,5184,2348,2948,null,null,3353,null,null,105,null,null,3865,null,null,2649,null,null,2348,null,null,28
237993,1942,215892,4942,130,180,192427,6424,23335,4153,22101,4157,1942,null,null,4942,null,null,180,null,null,6424,null,null,4153,null,null,4157,null,null,29
35742,1108,33790,1301,54,84,31560,1695,2176,857,1952,784,1108,null,null,1301,null,null,84,null,null,1695,null,null,857,null,null,784,null,null,30
199162,790,175489,4815,2919,2121,158661,6433,13909,3401,23673,4856,790,null,null,4815,null,null,2121,null,null,6433,null,null,3401,null,null,4856,null,null,31
828682,963,777355,6993,596,408,657892,10828,118867,9453,51327,6962,963,null,null,6993,null,null,408,null,null,10828,null,null,9453,null,null,6962,null,null,32
44349,1172,43462,1288,139,212,40730,1814,2593,1278,887,525,1172,null,null,1288,null,null,212,null,null,1814,null,null,1278,null,null,525,null,null,33
1759179,2668,1635190,11942,4922,2257,1424206,20288,206062,17063,123989,11222,2668,null,null,11942,null,null,2257,null,null,20288,null,null,17063,null,null,11222,null,null,34
989708,1333,863488,8826,2337,902,743237,12053,117914,10972,126220,8903,1333,null,null,8826,null,null,902,null,null,12053,null,null,10972,null,null,8903,null,null,35
3654625,4010,3378770,15749,8266,2807,2992582,25310,377922,22036,275855,15120,4010,null,null,15749,null,null,2807,null,null,25310,null,null,22036,null,null,15120,null,null,36
913213,1937,846001,8616,3745,2650,719263,14214,122993,12140,67212,8718,1937,null,null,8616,null,null,2650,null,null,14214,null,null,12140,null,null,8718,null,null,37
24759,1993,24131,1985,0,155,20939,1929,3192,1702,628,439,1993,null,null,1985,null,null,155,null,null,1929,null,null,1702,null,null,439,null,null,38
407999,2034,382329,4539,1830,1486,338286,6303,42213,5349,25670,3957,2034,null,null,4539,null,null,1486,null,null,6303,null,null,5349,null,null,3957,null,null,39
393353,1365,356662,5915,880,635,305437,7735,50345,4954,36691,5784,1365,null,null,5915,null,null,635,null,null,7735,null,null,4954,null,null,5784,null,null,40
508966,1711,477411,5921,2748,1847,427224,10683,47439,8719,31555,5831,1711,null,null,5921,null,null,1847,null,null,10683,null,null,8719,null,null,5831,null,null,41
867148,2472,802637,7301,1406,978,723020,12256,78211,9797,64511,7357,2472,null,null,7301,null,null,978,null,null,12256,null,null,9797,null,null,7357,null,null,42
152785,801,142002,2943,0,208,120867,5703,21135,4877,10783,2906,801,null,null,2943,null,null,208,null,null,5703,null,null,4877,null,null,2906,null,null,44
263331,3734,242768,7113,515,357,210571,8592,31682,5892,20563,5162,3734,null,null,7113,null,null,357,null,null,8592,null,null,5892,null,null,5162,null,null,45
30988,1456,28977,1985,231,187,24303,1719,4443,1685,2011,1011,1456,null,null,1985,null,null,187,null,null,1719,null,null,1685,null,null,1011,null,null,46
340809,2258,305653,6388,24,51,257334,9104,48295,7113,35156,6047,2258,null,null,6388,null,null,51,null,null,9104,null,null,7113,null,null,6047,null,null,47
10702668,5651,9683344,32630,20742,5387,8174730,48232,1487872,44985,1019324,33202,5651,null,null,32630,null,null,5387,null,null,48232,null,null,44985,null,null,33202,null,null,48
414856,968,390614,5280,103,185,341345,9583,49166,8021,24242,5184,968,null,null,5280,null,null,185,null,null,9583,null,null,8021,null,null,5184,null,null,49
11358,1119,11025,1130,0,151,9682,1245,1343,668,333,234,1119,null,null,1130,null,null,151,null,null,1245,null,null,668,null,null,234,null,null,50
744629,4024,713646,6325,4985,3156,649679,9972,58982,8616,30983,5314,4024,null,null,6325,null,null,3156,null,null,9972,null,null,8616,null,null,5314,null,null,51
889353,2491,839834,7989,946,701,761339,10204,77549,9088,49519,7041,2491,null,null,7989,null,null,701,null,null,10204,null,null,9088,null,null,7041,null,null,53
24929,2422,22884,2632,81,163,20848,2823,1955,916,2045,809,2422,null,null,2632,null,null,163,null,null,2823,null,null,916,null,null,809,null,null,54
378862,1247,351863,4143,481,430,310632,5675,40750,4691,26999,4012,1247,null,null,4143,null,null,430,null,null,5675,null,null,4691,null,null,4012,null,null,55
54814,773,50945,1571,316,504,47373,2173,3256,1680,3869,1451,773,null,null,1571,null,null,504,null,null,2173,null,null,1680,null,null,1451,null,null,56
3327481,5157,2489201,17613,29075,4834,2122997,21683,337129,15308,838280,17371,5157,null,null,17613,null,null,4834,null,null,21683,null,null,15308,null,null,17371,null,null,72
196570,1952,175162,5103,280,351,147914,7349,26968,5363,21408,4756,1952,null,null,5103,null,null,351,null,null,7349,null,null,5363,null,null,4756,null,null,01
48191,688,46917,1159,0,155,42312,1809,4605,1402,1274,995,688,null,null,1159,null,null,155,null,null,1809,null,null,1402,null,null,995,null,null,02
2098187,2604,1943376,13564,973,517,1724327,18880,218076,15838,154811,13551,2604,null,null,13564,null,null,517,null,null,18880,null,null,15838,null,null,13551,null,null,04
210331,1530,194491,3864,0,197,139401,6474,55090,5685,15840,3600,1530,null,null,3864,null,null,197,null,null,6474,null,null,5685,null,null,3600,null,null,05
15046806,6399,14047386,32013,32314,6583,12576314,50554,1438758,43826,999420,31790,6399,null,null,32013,null,null,6583,null,null,50554,null,null,43826,null,null,31790,null,null,06
1157850,1913,1087202,8139,1861,935,965015,14338,120326,12014,70648,7600,1913,null,null,8139,null,null,935,null,null,14338,null,null,12014,null,null,7600,null,null,08
547872,1591,503388,7237,4860,3126,453295,9161,45233,6972,44484,7263,1591,null,null,7237,null,null,3126,null,null,9161,null,null,6972,null,null,7263,null,null,09
85306,552,77592,2750,0,193,65477,4372,12115,3566,7714,2526,552,null,null,2750,null,null,193,null,null,4372,null,null,3566,null,null,2526,null,null,10
71305,737,65216,2765,0,203,54493,4074,10723,3307,6089,2756,737,null,null,2765,null,null,203,null,null,4074,null,null,3307,null,null,2756,null,null,11
