C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,C27001I_001M,C27001I_001EA,C27001I_001MA,C27001I_002M,C27001I_002EA,C27001I_002MA,C27001I_003M,C27001I_003EA,C27001I_003MA,C27001I_004M,C27001I_004EA,C27001I_004MA,C27001I_005M,C27001I_005EA,C27001I_005MA,C27001I_006M,C27001I_006EA,C27001I_006MA,C27001I_007M,C27001I_007EA,C27001I_007MA,C27001I_008M,C27001I_008EA,C27001I_008MA,C27001I_009M,C27001I_009EA,C27001I_009MA,C27001I_010M,C27001I_010EA,C27001I_010MA,state
5073200,2848,1260080,2435,1161373,9218,98707,8717,3227012,4137,2363251,21801,863761,21533,586108,2403,564111,3884,21997,3320,2848,null,null,2435,null,null,9218,null,null,8717,null,null,4137,null,null,21801,null,null,21533,null,null,2403,null,null,3884,null,null,3320,null,null,12
946178,3086,356377,2532,308608,7026,47769,6410,555534,3798,300609,10151,254925,10173,34267,2578,29738,2774,4529,1285,3086,null,null,2532,null,null,7026,null,null,6410,null,null,3798,null,null,10151,null,null,10173,null,null,2578,null,null,2774,null,null,1285,null,null,13
141006,1335,55296,26,54470,549,826,548,78417,1447,72411,1931,6006,1518,7293,420,7293,420,0,185,1335,null,null,26,null,null,549,null,null,548,null,null,1447,null,null,1931,null,null,1518,null,null,420,null,null,420,null,null,185,null,null,15
204167,822,78964,852,71688,2062,7276,1924,115253,1661,77748,3646,37505,3462,9950,1378,9015,1316,935,585,822,null,null,852,null,null,2062,null,null,1924,null,null,1661,null,null,3646,null,null,3462,null,null,1378,null,null,1316,null,null,585,null,null,16
2160636,2271,718693,1438,698476,3252,20217,2909,1322578,2281,1013424,11706,309154,11449,119365,1809,113072,2095,6293,1519,2271,null,null,1438,null,null,3252,null,null,2909,null,null,2281,null,null,11706,null,null,11449,null,null,1809,null,null,2095,null,null,1519,null,null,17
443016,1638,169629,1585,157116,2682,12513,2326,253844,2384,179769,5759,74075,5568,19543,1517,18289,1630,1254,605,1638,null,null,1585,null,null,2682,null,null,2326,null,null,2384,null,null,5759,null,null,5568,null,null,1517,null,null,1630,null,null,605,null,null,18
177537,1210,70611,1126,66417,2014,4194,1585,101538,1369,79079,2971,22459,2776,5388,802,5295,840,93,178,1210,null,null,1126,null,null,2014,null,null,1585,null,null,1369,null,null,2971,null,null,2776,null,null,802,null,null,840,null,null,178,null,null,19
331860,1256,128823,948,120401,2157,8422,1947,188313,1611,129802,4337,58511,4150,14724,1268,13714,1323,1010,582,1256,null,null,948,null,null,2157,null,null,1947,null,null,1611,null,null,4337,null,null,4150,null,null,1268,null,null,1323,null,null,582,null,null,20
148306,2509,60785,2425,55710,2435,5075,1182,83582,2566,58042,3182,25540,2653,3939,745,3584,746,355,314,2509,null,null,2425,null,null,2435,null,null,1182,null,null,2566,null,null,3182,null,null,2653,null,null,745,null,null,746,null,null,314,null,null,21
224952,2125,71836,1947,64117,2692,7719,1825,137453,2122,77159,5502,60294,4919,15663,1343,15355,1422,308,290,2125,null,null,1947,null,null,2692,null,null,1825,null,null,2122,null,null,5502,null,null,4919,null,null,1343,null,null,1422,null,null,290,null,null,22
20328,842,6013,549,5621,560,392,284,13043,977,10034,914,3009,979,1272,562,1272,562,0,172,842,null,null,549,null,null,560,null,null,284,null,null,977,null,null,914,null,null,979,null,null,562,null,null,562,null,null,172,null,null,23
579918,1186,194934,749,181658,2947,13276,2818,357982,1747,244945,7330,113037,7795,27002,1236,25537,1313,1465,733,1186,null,null,749,null,null,2947,null,null,2818,null,null,1747,null,null,7330,null,null,7795,null,null,1236,null,null,1313,null,null,733,null,null,24
768600,1433,243853,371,240442,1371,3411,1444,481523,1462,444099,4532,37424,4312,43224,720,42907,772,317,247,1433,null,null,371,null,null,1371,null,null,1444,null,null,1462,null,null,4532,null,null,4312,null,null,720,null,null,772,null,null,247,null,null,25
486117,1047,178541,969,170190,2312,8351,2399,281766,1676,228581,5320,53185,4669,25810,1328,25159,1309,651,406,1047,null,null,969,null,null,2312,null,null,2399,null,null,1676,null,null,5320,null,null,4669,null,null,1328,null,null,1309,null,null,406,null,null,26
285726,1004,112064,1304,101406,3256,10658,2898,163530,1609,124489,3970,39041,3565,10132,1202,9637,1242,495,344,1004,null,null,1304,null,null,3256,null,null,2898,null,null,1609,null,null,3970,null,null,3565,null,null,1202,null,null,1242,null,null,344,null,null,27
81265,2998,32103,2605,28881,2611,3222,1415,46476,2256,28906,2436,17570,2340,2686,879,2495,855,191,279,2998,null,null,2605,null,null,2611,null,null,1415,null,null,2256,null,null,2436,null,null,2340,null,null,879,null,null,855,null,null,279,null,null,28
239364,1862,90027,1650,82316,2538,7711,1989,136293,2117,94248,3656,42045,3801,13044,1466,12698,1439,346,275,1862,null,null,1650,null,null,2538,null,null,1989,null,null,2117,null,null,3656,null,null,3801,null,null,1466,null,null,1439,null,null,275,null,null,29
36134,1094,13725,820,12651,1025,1074,637,20599,1064,16889,1104,3710,1065,1810,507,1810,507,0,168,1094,null,null,820,null,null,1025,null,null,637,null,null,1064,null,null,1104,null,null,1065,null,null,507,null,null,507,null,null,168,null,null,30
