B17020E_001E,B17020E_001M,B17020E_002E,B17020E_002M,B17020E_003E,B17020E_003M,B17020E_004E,B17020E_004M,B17020E_005E,B17020E_005M,B17020E_006E,B17020E_006M,B17020E_007E,B17020E_007M,B17020E_008E,B17020E_008M,B17020E_009E,B17020E_009M,B17020E_010E,B17020E_010M,B17020E_011E,B17020E_011M,B17020E_012E,B17020E_012M,B17020E_013E,B17020E_013M,B17020E_014E,B17020E_014M,B17020E_015E,B17020E_015M,B17020E_016E,B17020E_016M,B17020E_017E,B17020E_017M,B17020E_001M,B17020E_001EA,B17020E_001MA,B17020E_002M,B17020E_002EA,B17020E_002MA,B17020E_003M,B17020E_003EA,B17020E_003MA,B17020E_004M,B17020E_004EA,B17020E_004MA,B17020E_005M,B17020E_005EA,B17020E_005MA,B17020E_006M,B17020E_006EA,B17020E_006MA,B17020E_007M,B17020E_007EA,B17020E_007MA,B17020E_008M,B17020E_008EA,B17020E_008MA,B17020E_009M,B17020E_009EA,B17020E_009MA,B17020E_010M,B17020E_010EA,B17020E_010MA,B17020E_011M,B17020E_011EA,B17020E_011MA,B17020E_012M,B17020E_012EA,B17020E_012MA,B17020E_013M,B17020E_013EA,B17020E_013MA,B17020E_014M,B17020E_014EA,B17020E_014MA,B17020E_015M,B17020E_015EA,B17020E_015MA,B17020E_016M,B17020E_016EA,B17020E_016MA,B17020E_017M,B17020E_017EA,B17020E_017MA,state
12325,2377,2149,801,0,221,142,233,55,92,1516,714,196,162,240,239,0,221,10176,2200,869,541,843,422,606,445,6114,1605,1644,677,100,122,0,221,2377,null,null,801,null,null,221,null,null,233,null,null,92,null,null,714,null,null,162,null,null,239,null,null,221,null,null,2200,null,null,541,null,null,422,null,null,445,null,null,1605,null,null,677,null,null,122,null,null,221,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
141512,6763,31912,5100,3298,1006,4201,1382,3870,1193,17303,2699,2225,755,700,441,315,488,109600,7955,8153,1770,8829,1680,11163,2240,62269,3966,14857,1514,2853,653,1476,794,6763,null,null,5100,null,null,1006,null,null,1382,null,null,1193,null,null,2699,null,null,755,null,null,441,null,null,488,null,null,7955,null,null,1770,null,null,1680,null,null,2240,null,null,3966,null,null,1514,null,null,653,null,null,794,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
