C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,C17010I_001M,C17010I_001EA,C17010I_001MA,C17010I_002M,C17010I_002EA,C17010I_002MA,C17010I_003M,C17010I_003EA,C17010I_003MA,C17010I_004M,C17010I_004EA,C17010I_004MA,C17010I_005M,C17010I_005EA,C17010I_005MA,C17010I_006M,C17010I_006EA,C17010I_006MA,C17010I_007M,C17010I_007EA,C17010I_007MA,C17010I_008M,C17010I_008EA,C17010I_008MA,C17010I_009M,C17010I_009EA,C17010I_009MA,C17010I_010M,C17010I_010EA,C17010I_010MA,C17010I_011M,C17010I_011EA,C17010I_011MA,C17010I_012M,C17010I_012EA,C17010I_012MA,C17010I_013M,C17010I_013EA,C17010I_013MA,C17010I_014M,C17010I_014EA,C17010I_014MA,C17010I_015M,C17010I_015EA,C17010I_015MA,C17010I_016M,C17010I_016EA,C17010I_016MA,C17010I_017M,C17010I_017EA,C17010I_017MA,state
1111987,12676,177528,7581,79526,4919,49770,4125,98002,5988,16897,2729,11892,2137,81105,5286,67892,4718,934459,12106,645257,11758,317760,9912,289202,9080,94240,5298,41848,3841,194962,7150,112059,5470,12676,null,null,7581,null,null,4919,null,null,4125,null,null,5988,null,null,2729,null,null,2137,null,null,5286,null,null,4718,null,null,12106,null,null,11758,null,null,9912,null,null,9080,null,null,5298,null,null,3841,null,null,7150,null,null,5470,null,null,12
191205,5476,41556,3933,20237,2911,18188,2799,21319,3025,5620,1746,5112,1643,15699,2294,14683,2277,149649,5305,110953,4773,71743,4026,38696,2973,16876,2148,10010,1953,21820,2306,14691,2187,5476,null,null,3933,null,null,2911,null,null,2799,null,null,3025,null,null,1746,null,null,1643,null,null,2294,null,null,2277,null,null,5305,null,null,4773,null,null,4026,null,null,2973,null,null,2148,null,null,1953,null,null,2306,null,null,2187,null,null,13
25318,1735,2297,772,588,375,306,249,1709,618,359,274,240,203,1350,533,1231,452,23021,1602,15725,1485,9371,1330,7296,1218,2684,909,1104,522,4612,965,3091,834,1735,null,null,772,null,null,375,null,null,249,null,null,618,null,null,274,null,null,203,null,null,533,null,null,452,null,null,1602,null,null,1485,null,null,1330,null,null,1218,null,null,909,null,null,522,null,null,965,null,null,834,null,null,15
38723,1973,7418,1628,2448,834,1727,781,4970,1278,1142,743,1142,743,3828,1062,3538,993,31305,2289,22053,2120,13815,1718,9252,1837,4232,1189,2932,1106,5020,1406,3707,1324,1973,null,null,1628,null,null,834,null,null,781,null,null,1278,null,null,743,null,null,743,null,null,1062,null,null,993,null,null,2289,null,null,2120,null,null,1718,null,null,1837,null,null,1189,null,null,1106,null,null,1406,null,null,1324,null,null,16
443100,5761,68412,3569,27522,2224,22239,2109,40890,3284,7599,1516,6838,1436,33291,3164,29526,2804,374688,6067,264301,6097,165816,6028,110387,4790,45170,3080,24958,2742,65217,3879,41216,3028,5761,null,null,3569,null,null,2224,null,null,2109,null,null,3284,null,null,1516,null,null,1436,null,null,3164,null,null,2804,null,null,6067,null,null,6097,null,null,6028,null,null,4790,null,null,3080,null,null,2742,null,null,3879,null,null,3028,null,null,17
86514,3386,17888,2213,8710,1322,7603,1317,9178,1586,2483,996,1712,823,6695,1290,6081,1295,68626,3412,47827,3238,29046,2704,20799,2089,8786,1475,6342,1323,12013,1774,9043,1589,3386,null,null,2213,null,null,1322,null,null,1317,null,null,1586,null,null,996,null,null,823,null,null,1290,null,null,1295,null,null,3412,null,null,3238,null,null,2704,null,null,2089,null,null,1475,null,null,1323,null,null,1774,null,null,1589,null,null,18
34197,2195,7424,1530,3521,1129,3330,1121,3903,983,260,174,260,174,3643,981,3445,958,26773,2228,18332,2061,12656,1619,8441,1344,3152,685,2124,642,5289,1132,4170,965,2195,null,null,1530,null,null,1129,null,null,1121,null,null,983,null,null,174,null,null,174,null,null,981,null,null,958,null,null,2228,null,null,2061,null,null,1619,null,null,1344,null,null,685,null,null,642,null,null,1132,null,null,965,null,null,19
63618,2319,10566,1592,4769,1109,4110,1008,5797,1216,771,472,400,254,5026,1197,4596,1196,53052,2641,39676,2638,23878,2160,13376,1714,5793,1224,4002,1230,7583,1349,6109,1177,2319,null,null,1592,null,null,1109,null,null,1008,null,null,1216,null,null,472,null,null,254,null,null,1197,null,null,1196,null,null,2641,null,null,2638,null,null,2160,null,null,1714,null,null,1224,null,null,1230,null,null,1349,null,null,1177,null,null,20
27424,2095,7786,1375,2940,1049,2431,795,4846,1086,879,490,835,474,3967,1016,3724,967,19638,1810,15607,1589,8770,1432,4031,973,2328,804,1625,712,1703,763,1156,603,2095,null,null,1375,null,null,1049,null,null,795,null,null,1086,null,null,490,null,null,474,null,null,1016,null,null,967,null,null,1810,null,null,1589,null,null,1432,null,null,973,null,null,804,null,null,712,null,null,763,null,null,603,null,null,21
45688,3118,9595,1850,4344,1367,3275,1218,5251,1399,458,426,377,399,4793,1268,4240,1229,36093,2905,27553,2614,15702,2143,8540,1914,3462,1239,2596,1149,5078,1391,3238,1198,3118,null,null,1850,null,null,1367,null,null,1218,null,null,1399,null,null,426,null,null,399,null,null,1268,null,null,1229,null,null,2905,null,null,2614,null,null,2143,null,null,1914,null,null,1239,null,null,1149,null,null,1391,null,null,1198,null,null,22
