B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,B12002D_001M,B12002D_001EA,B12002D_001MA,B12002D_002M,B12002D_002EA,B12002D_002MA,B12002D_003M,B12002D_003EA,B12002D_003MA,B12002D_004M,B12002D_004EA,B12002D_004MA,B12002D_005M,B12002D_005EA,B12002D_005MA,B12002D_006M,B12002D_006EA,B12002D_006MA,B12002D_007M,B12002D_007EA,B12002D_007MA,B12002D_008M,B12002D_008EA,B12002D_008MA,B12002D_009M,B12002D_009EA,B12002D_009MA,B12002D_010M,B12002D_010EA,B12002D_010MA,B12002D_011M,B12002D_011EA,B12002D_011MA,B12002D_012M,B12002D_012EA,B12002D_012MA,B12002D_013M,B12002D_013EA,B12002D_013MA,state
471011,5998,207178,4102,72117,4006,118187,3900,2159,660,3245,1110,11470,1953,263833,3665,66657,4333,153060,4751,4393,1256,16067,1989,23656,2791,5998,null,null,4102,null,null,4006,null,null,3900,null,null,660,null,null,1110,null,null,1953,null,null,3665,null,null,4333,null,null,4751,null,null,1256,null,null,1989,null,null,2791,null,null,12
324436,4836,153883,3036,50548,2804,95604,2696,1617,756,1703,737,4411,1125,170553,3364,42894,2870,104948,4099,2047,945,9747,1656,10917,2005,4836,null,null,3036,null,null,2804,null,null,2696,null,null,756,null,null,737,null,null,1125,null,null,3364,null,null,2870,null,null,4099,null,null,945,null,null,1656,null,null,2005,null,null,13
480132,7626,219666,4860,74971,3878,119205,3778,2768,1033,7636,1074,15086,1808,260466,4076,59075,3544,137094,4625,3991,1304,36895,2273,23411,2188,7626,null,null,4860,null,null,3878,null,null,3778,null,null,1033,null,null,1074,null,null,1808,null,null,4076,null,null,3544,null,null,4625,null,null,1304,null,null,2273,null,null,2188,null,null,15
19764,1714,7779,1155,2257,919,4836,1009,179,288,166,197,341,363,11985,1236,4159,1392,6715,1110,348,379,467,293,296,288,1714,null,null,1155,null,null,919,null,null,1009,null,null,288,null,null,197,null,null,363,null,null,1236,null,null,1392,null,null,1110,null,null,379,null,null,293,null,null,288,null,null,16
565550,4316,269676,2810,91393,3292,163281,3706,1686,578,5220,1151,8096,1601,295874,2967,78550,3512,179572,4424,3542,1049,19954,2728,14256,1865,4316,null,null,2810,null,null,3292,null,null,3706,null,null,578,null,null,1151,null,null,1601,null,null,2967,null,null,3512,null,null,4424,null,null,1049,null,null,2728,null,null,1865,null,null,17
114256,3392,55994,1805,24433,1973,28475,2059,1351,887,137,140,1598,773,58262,2498,18147,1790,31669,2257,1398,644,2919,831,4129,1119,3392,null,null,1805,null,null,1973,null,null,2059,null,null,887,null,null,140,null,null,773,null,null,2498,null,null,1790,null,null,2257,null,null,644,null,null,831,null,null,1119,null,null,18
59451,1970,28352,1301,11335,1461,14661,1491,268,314,202,178,1886,819,31099,1466,11206,1320,16786,1706,60,81,1010,553,2037,841,1970,null,null,1301,null,null,1461,null,null,1491,null,null,314,null,null,178,null,null,819,null,null,1466,null,null,1320,null,null,1706,null,null,81,null,null,553,null,null,841,null,null,19
65952,2778,31543,1784,12388,1698,16559,1713,151,219,214,257,2231,1010,34409,1823,9336,1492,20141,1574,208,215,1522,573,3202,1585,2778,null,null,1784,null,null,1698,null,null,1713,null,null,219,null,null,257,null,null,1010,null,null,1823,null,null,1492,null,null,1574,null,null,215,null,null,573,null,null,1585,null,null,20
49257,2405,21803,1460,7658,1317,13430,1147,35,53,210,296,470,356,27454,1689,7607,1150,16711,1341,388,318,1515,697,1233,532,2405,null,null,1460,null,null,1317,null,null,1147,null,null,53,null,null,296,null,null,356,null,null,1689,null,null,1150,null,null,1341,null,null,318,null,null,697,null,null,532,null,null,21
64504,2114,31795,1681,12811,1669,16924,1543,49,63,152,147,1859,858,32709,1509,10140,2015,18675,1717,378,287,1890,533,1626,726,2114,null,null,1681,null,null,1669,null,null,1543,null,null,63,null,null,147,null,null,858,null,null,1509,null,null,2015,null,null,1717,null,null,287,null,null,533,null,null,726,null,null,22
14829,1260,5630,878,1937,584,3318,794,0,172,109,153,266,285,9199,1113,3478,965,4340,901,171,284,468,297,742,450,1260,null,null,878,null,null,584,null,null,794,null,null,172,null,null,153,null,null,285,null,null,1113,null,null,965,null,null,901,null,null,284,null,null,297,null,null,450,null,null,23
314166,3653,147736,2777,45186,2715,93509,2418,1833,866,1367,536,5841,1188,166430,2041,41877,2517,102789,2849,2090,737,11376,1366,8298,1493,3653,null,null,2777,null,null,2715,null,null,2418,null,null,866,null,null,536,null,null,1188,null,null,2041,null,null,2517,null,null,2849,null,null,737,null,null,1366,null,null,1493,null,null,24
362330,4520,170353,2487,63658,2643,98494,2909,1099,480,1934,660,5168,1256,191977,2801,62433,3108,108252,3424,3136,845,9628,1372,8528,1619,4520,null,null,2487,null,null,2643,null,null,2909,null,null,480,null,null,660,null,null,1256,null,null,2801,null,null,3108,null,null,3424,null,null,845,null,null,1372,null,null,1619,null,null,25
240906,3455,117722,2028,42479,2220,68363,2222,592,359,1520,497,4768,1183,123184,2378,33444,2330,76901,2391,504,324,6743,1084,5592,1078,3455,null,null,2028,null,null,2220,null,null,2222,null,null,359,null,null,497,null,null,1183,null,null,2378,null,null,2330,null,null,2391,null,null,324,null,null,1084,null,null,1078,null,null,26
197973,3173,95383,2177,43919,2661,45177,2480,987,487,1135,455,4165,1008,102590,2408,36958,2558,52691,2554,1656,580,4332,870,6953,1500,3173,null,null,2177,null,null,2661,null,null,2480,null,null,487,null,null,455,null,null,1008,null,null,2408,null,null,2558,null,null,2554,null,null,580,null,null,870,null,null,1500,null,null,27
21340,2255,8342,1634,2458,1023,5447,1369,315,347,0,213,122,175,12998,1711,3283,1137,7663,1099,0,213,1367,668,685,442,2255,null,null,1634,null,null,1023,null,null,1369,null,null,347,null,null,213,null,null,175,null,null,1711,null,null,1137,null,null,1099,null,null,213,null,null,668,null,null,442,null,null,28
96675,2703,44283,2079,17524,2082,24327,1674,170,138,570,373,1692,646,52392,1753,14378,1523,31874,1958,291,216,3060,1025,2789,898,2703,null,null,2079,null,null,2082,null,null,1674,null,null,138,null,null,373,null,null,646,null,null,1753,null,null,1523,null,null,1958,null,null,216,null,null,1025,null,null,898,null,null,29
