C01001C_001E,C01001C_001M,C01001C_002E,C01001C_002M,C01001C_003E,C01001C_003M,C01001C_004E,C01001C_004M,C01001C_005E,C01001C_005M,C01001C_006E,C01001C_006M,C01001C_007E,C01001C_007M,C01001C_008E,C01001C_008M,C01001C_009E,C01001C_009M,C01001C_001M,C01001C_001EA,C01001C_001MA,C01001C_002M,C01001C_002EA,C01001C_002MA,C01001C_003M,C01001C_003EA,C01001C_003MA,C01001C_004M,C01001C_004EA,C01001C_004MA,C01001C_005M,C01001C_005EA,C01001C_005MA,C01001C_006M,C01001C_006EA,C01001C_006MA,C01001C_007M,C01001C_007EA,C01001C_007MA,C01001C_008M,C01001C_008EA,C01001C_008MA,C01001C_009M,C01001C_009EA,C01001C_009MA,state
52738,5590,28304,3668,5042,1336,19887,2888,3375,763,24434,2963,4523,1113,16593,2397,3318,937,5590,null,null,3668,null,null,1336,null,null,2888,null,null,763,null,null,2963,null,null,1113,null,null,2397,null,null,937,null,null,12
37939,5767,18047,3279,5563,1699,11866,2629,618,367,19892,3341,5209,1504,12473,2272,2210,745,5767,null,null,3279,null,null,1699,null,null,2629,null,null,367,null,null,3341,null,null,1504,null,null,2272,null,null,745,null,null,13
2649,849,1465,709,317,334,981,494,167,166,1184,512,260,254,798,372,126,130,849,null,null,709,null,null,334,null,null,494,null,null,166,null,null,512,null,null,254,null,null,372,null,null,130,null,null,15
26596,2540,13385,1558,3735,747,8262,1387,1388,557,13211,1565,4118,823,7995,1189,1098,487,2540,null,null,1558,null,null,747,null,null,1387,null,null,557,null,null,1565,null,null,823,null,null,1189,null,null,487,null,null,16
30470,3672,17022,2633,3497,859,11407,2014,2118,899,13448,1789,2775,968,9151,1230,1522,534,3672,null,null,2633,null,null,859,null,null,2014,null,null,899,null,null,1789,null,null,968,null,null,1230,null,null,534,null,null,17
17515,2431,9299,1619,1442,575,6693,1437,1164,495,8216,1696,1371,955,5512,1165,1333,457,2431,null,null,1619,null,null,575,null,null,1437,null,null,495,null,null,1696,null,null,955,null,null,1165,null,null,457,null,null,18
10488,1711,5143,1237,965,465,3586,907,592,347,5345,1214,1261,551,3426,953,658,366,1711,null,null,1237,null,null,465,null,null,907,null,null,347,null,null,1214,null,null,551,null,null,953,null,null,366,null,null,19
21620,2567,11338,1501,2910,817,7234,1165,1194,423,10282,1658,2368,709,6536,1320,1378,456,2567,null,null,1501,null,null,817,null,null,1165,null,null,423,null,null,1658,null,null,709,null,null,1320,null,null,456,null,null,20
11140,2294,5372,1168,1167,617,3476,885,729,499,5768,1760,493,485,4209,1542,1066,463,2294,null,null,1168,null,null,617,null,null,885,null,null,499,null,null,1760,null,null,485,null,null,1542,null,null,463,null,null,21
25508,2617,12885,1900,3744,1622,7917,1110,1224,501,12623,1498,3229,803,7609,1202,1785,469,2617,null,null,1900,null,null,1622,null,null,1110,null,null,501,null,null,1498,null,null,803,null,null,1202,null,null,469,null,null,22
7893,1203,3868,733,1123,400,2251,556,494,301,4025,881,1079,486,2454,553,492,191,1203,null,null,733,null,null,400,null,null,556,null,null,301,null,null,881,null,null,486,null,null,553,null,null,191,null,null,23
15234,2478,7641,1442,1376,975,5270,1137,995,397,7593,1591,1247,609,5254,1317,1092,449,2478,null,null,1442,null,null,975,null,null,1137,null,null,397,null,null,1591,null,null,609,null,null,1317,null,null,449,null,null,24
12547,2138,6805,1503,1415,536,4866,1366,524,312,5742,1188,1109,445,4097,886,536,393,2138,null,null,1503,null,null,536,null,null,1366,null,null,312,null,null,1188,null,null,445,null,null,886,null,null,393,null,null,25
51161,3519,25690,2091,6032,1127,16809,1518,2849,620,25471,2195,5578,949,16740,1471,3153,671,3519,null,null,2091,null,null,1127,null,null,1518,null,null,620,null,null,2195,null,null,949,null,null,1471,null,null,671,null,null,26
63229,2949,31544,1810,11978,1346,17996,1286,1570,317,31685,1730,9251,947,19751,1176,2683,528,2949,null,null,1810,null,null,1346,null,null,1286,null,null,317,null,null,1730,null,null,947,null,null,1176,null,null,528,null,null,27
13260,1533,6771,1255,2267,757,4467,906,37,71,6489,955,1721,650,4330,646,438,294,1533,null,null,1255,null,null,757,null,null,906,null,null,71,null,null,955,null,null,650,null,null,646,null,null,294,null,null,28
30888,3351,15606,2030,4677,1271,8948,1488,1981,773,15282,2051,3555,927,10449,1579,1278,466,3351,null,null,2030,null,null,1271,null,null,1488,null,null,773,null,null,2051,null,null,927,null,null,1579,null,null,466,null,null,29
66231,2513,33906,1806,13183,1343,18689,1118,2034,429,32325,1900,11659,943,17867,1210,2799,454,2513,null,null,1806,null,null,1343,null,null,1118,null,null,429,null,null,1900,null,null,943,null,null,1210,null,null,454,null,null,30
15865,1390,8188,964,2945,433,4753,809,490,218,7677,835,2759,455,4311,630,607,250,1390,null,null,964,null,null,433,null,null,809,null,null,218,null,null,835,null,null,455,null,null,630,null,null,250,null,null,31
34267,3549,17850,2230,5876,1197,10202,1266,1772,384,16417,1791,3331,842,10873,1153,2213,539,3549,null,null,2230,null,null,1197,null,null,1266,null,null,384,null,null,1791,null,null,842,null,null,1153,null,null,539,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
20185,3332,10560,2303,3113,1032,6473,1553,974,445,9625,1689,2343,763,6091,1358,1191,470,3332,null,null,2303,null,null,1032,null,null,1553,null,null,445,null,null,1689,null,null,763,null,null,1358,null,null,470,null,null,34
194133,4641,92431,2483,28606,2032,55808,1892,8017,532,101702,2938,26846,1420,63229,1977,11627,843,4641,null,null,2483,null,null,2032,null,null,1892,null,null,532,null,null,2938,null,null,1420,null,null,1977,null,null,843,null,null,35
73052,6204,34779,3498,8330,1570,23329,2661,3120,658,38273,3731,8916,1650,23303,2348,6054,1212,6204,null,null,3498,null,null,1570,null,null,2661,null,null,658,null,null,3731,null,null,1650,null,null,2348,null,null,1212,null,null,36
120843,4912,59708,3064,15616,1970,37626,2384,6466,802,61135,2951,13967,1463,39131,1989,8037,1049,4912,null,null,3064,null,null,1970,null,null,2384,null,null,802,null,null,2951,null,null,1463,null,null,1989,null,null,1049,null,null,37
41649,2292,20751,1701,7862,1146,11870,1124,1019,183,20898,1659,7484,886,11705,1097,1709,445,2292,null,null,1701,null,null,1146,null,null,1124,null,null,183,null,null,1659,null,null,886,null,null,1097,null,null,445,null,null,38
18081,2486,10022,1904,1578,673,7526,1654,918,438,8059,1417,1502,703,5593,1052,964,381,2486,null,null,1904,null,null,673,null,null,1654,null,null,438,null,null,1417,null,null,703,null,null,1052,null,null,381,null,null,39
297948,7020,145325,4181,45599,2238,87770,2861,11956,901,152623,4205,44260,2533,92499,2519,15864,956,7020,null,null,4181,null,null,2238,null,null,2861,null,null,901,null,null,4205,null,null,2533,null,null,2519,null,null,956,null,null,40
45426,4348,24895,2793,6258,1197,15708,2045,2929,922,20531,2350,4627,964,14003,1726,1901,619,4348,null,null,2793,null,null,1197,null,null,2045,null,null,922,null,null,2350,null,null,964,null,null,1726,null,null,619,null,null,41
23556,3760,12969,2136,2238,771,9665,1644,1066,382,10587,2251,2347,889,7326,1652,914,371,3760,null,null,2136,null,null,771,null,null,1644,null,null,382,null,null,2251,null,null,889,null,null,1652,null,null,371,null,null,42
5304,1774,2609,976,135,198,2205,808,269,274,2695,1207,728,614,1736,754,231,201,1774,null,null,976,null,null,198,null,null,808,null,null,274,null,null,1207,null,null,614,null,null,754,null,null,201,null,null,44
16010,2758,8240,1451,2702,1071,4470,883,1068,519,7770,1824,1409,827,5307,1412,1054,484,2758,null,null,1451,null,null,1071,null,null,883,null,null,519,null,null,1824,null,null,827,null,null,1412,null,null,484,null,null,45
77378,3710,38023,2083,15641,1333,20821,1517,1561,223,39355,2458,13916,1590,22295,1507,3144,630,3710,null,null,2083,null,null,1333,null,null,1517,null,null,223,null,null,2458,null,null,1590,null,null,1507,null,null,630,null,null,46
19053,2905,9796,1772,1857,602,7270,1659,669,376,9257,1668,1967,634,6416,1420,874,415,2905,null,null,1772,null,null,602,null,null,1659,null,null,376,null,null,1668,null,null,634,null,null,1420,null,null,415,null,null,47
135275,9522,69959,5386,16083,2156,46717,4876,7159,1403,65316,5400,18295,2443,40574,4124,6447,1107,9522,null,null,5386,null,null,2156,null,null,4876,null,null,1403,null,null,5400,null,null,2443,null,null,4124,null,null,1107,null,null,48
31702,2887,15852,1847,4898,954,9664,1379,1290,490,15850,1676,5219,924,9558,1244,1073,344,2887,null,null,1847,null,null,954,null,null,1379,null,null,490,null,null,1676,null,null,924,null,null,1244,null,null,344,null,null,49
2177,936,977,564,103,75,827,521,47,59,1200,583,57,63,971,531,172,145,936,null,null,564,null,null,75,null,null,521,null,null,59,null,null,583,null,null,63,null,null,531,null,null,145,null,null,50
23156,3519,10784,2072,1301,695,7780,1743,1703,650,12372,2033,2305,1046,8304,1504,1763,618,3519,null,null,2072,null,null,695,null,null,1743,null,null,650,null,null,2033,null,null,1046,null,null,1504,null,null,618,null,null,51
94637,6519,47735,3190,13793,1898,30008,2083,3934,722,46902,4355,13768,2172,28244,2696,4890,965,6519,null,null,3190,null,null,1898,null,null,2083,null,null,722,null,null,4355,null,null,2172,null,null,2696,null,null,965,null,null,53
3851,1223,1599,680,212,248,1285,608,102,178,2252,863,501,381,1435,681,316,270,1223,null,null,680,null,null,248,null,null,608,null,null,178,null,null,863,null,null,381,null,null,681,null,null,270,null,null,54
52608,2643,27066,1810,8322,1060,16604,1413,2140,433,25542,1793,6091,851,17310,1412,2141,475,2643,null,null,1810,null,null,1060,null,null,1413,null,null,433,null,null,1793,null,null,851,null,null,1412,null,null,475,null,null,55
13194,1467,6670,1047,2370,564,3681,677,619,270,6524,704,2197,361,3658,648,669,317,1467,null,null,1047,null,null,564,null,null,677,null,null,270,null,null,704,null,null,361,null,null,648,null,null,317,null,null,56
8082,2395,3269,1061,674,532,2220,758,375,233,4813,1539,1021,544,3007,1099,785,484,2395,null,null,1061,null,null,532,null,null,758,null,null,233,null,null,1539,null,null,544,null,null,1099,null,null,484,null,null,72
24509,3218,10941,2154,2226,874,7620,1757,1095,443,13568,1823,3021,933,8908,1338,1639,446,3218,null,null,2154,null,null,874,null,null,1757,null,null,443,null,null,1823,null,null,933,null,null,1338,null,null,446,null,null,01
108056,3723,55461,2461,18973,1725,32644,1488,3844,410,52595,1929,15156,1072,32453,1356,4986,477,3723,null,null,2461,null,null,1725,null,null,1488,null,null,410,null,null,1929,null,null,1072,null,null,1356,null,null,477,null,null,02
306247,6886,149377,4080,46164,2592,92561,2349,10652,607,156870,4167,47964,2351,94021,2606,14885,1012,6886,null,null,4080,null,null,2592,null,null,2349,null,null,607,null,null,4167,null,null,2351,null,null,2606,null,null,1012,null,null,04
18859,2030,8404,1096,2359,800,5318,1084,727,448,10455,1579,2649,927,6897,1247,909,498,2030,null,null,1096,null,null,800,null,null,1084,null,null,448,null,null,1579,null,null,927,null,null,1247,null,null,498,null,null,05
290133,15511,142773,8002,35049,4013,93705,5652,14019,1443,147360,9274,34559,5317,93466,5330,19335,2187,15511,null,null,8002,null,null,4013,null,null,5652,null,null,1443,null,null,9274,null,null,5317,null,null,5330,null,null,2187,null,null,06
54743,4588,27681,3168,6916,1710,17537,2597,3228,799,27062,2599,4985,941,20082,2114,1995,501,4588,null,null,3168,null,null,1710,null,null,2597,null,null,799,null,null,2599,null,null,941,null,null,2114,null,null,501,null,null,08
9887,2998,5139,1830,1377,831,3371,1216,391,336,4748,1482,1503,772,3047,1134,198,152,2998,null,null,1830,null,null,831,null,null,1216,null,null,336,null,null,1482,null,null,772,null,null,1134,null,null,152,null,null,09
4055,1038,2301,707,348,294,1721,573,232,185,1754,647,380,333,997,394,377,199,1038,null,null,707,null,null,294,null,null,573,null,null,185,null,null,647,null,null,333,null,null,394,null,null,199,null,null,10
2004,567,1239,501,61,114,703,464,475,311,765,447,0,203,540,462,225,183,567,null,null,501,null,null,114,null,null,464,null,null,311,null,null,447,null,null,203,null,null,462,null,null,183,null,null,11
