B99191_001E,B99191_002E,B99191_003E,B99191_004E,B99191_005E,B99191_006E,B99191_007E,B99191_008E,B99191_001EA,B99191_002EA,B99191_003EA,B99191_004EA,B99191_005EA,B99191_006EA,B99191_007EA,B99191_008EA,state
17195240,11927586,1048775,119943,72869,98795,188554,3738718,null,null,null,null,null,null,null,null,12
8232061,5851265,463428,49218,33026,37438,76267,1721419,null,null,null,null,null,null,null,null,13
1168033,797253,66177,10159,4929,6601,14436,268478,null,null,null,null,null,null,null,null,15
1320797,983479,68361,9487,6930,6487,13876,232177,null,null,null,null,null,null,null,null,16
10394067,7431802,616155,81850,45774,56530,97729,2064227,null,null,null,null,null,null,null,null,17
5331071,3898195,322486,40165,24042,31254,56384,958545,null,null,null,null,null,null,null,null,18
2529447,1825449,140712,25015,12687,17515,31152,476917,null,null,null,null,null,null,null,null,19
2310304,1694945,123499,20220,11247,13356,25575,421462,null,null,null,null,null,null,null,null,20
3600690,2641737,209889,23360,17035,20422,32862,655385,null,null,null,null,null,null,null,null,21
3751715,2630580,212509,22413,14068,19322,34295,818528,null,null,null,null,null,null,null,null,22
1123728,859261,56906,11841,5374,6823,12920,170603,null,null,null,null,null,null,null,null,23
4902314,3433872,288464,44064,22483,23424,48818,1041189,null,null,null,null,null,null,null,null,24
5683233,3908135,335216,57963,28620,36586,62843,1253870,null,null,null,null,null,null,null,null,25
8138464,5911302,496017,76097,37230,49283,91881,1476654,null,null,null,null,null,null,null,null,26
4446706,3362926,230440,41523,23091,27732,48630,712364,null,null,null,null,null,null,null,null,27
2388158,1677102,151164,14378,8067,14744,26175,496528,null,null,null,null,null,null,null,null,28
4943723,3569456,273702,34231,22730,30104,57139,956361,null,null,null,null,null,null,null,null,29
852293,624965,38707,8355,4081,5296,12286,158603,null,null,null,null,null,null,null,null,30
1509438,1099306,80584,12703,7281,8841,17554,283169,null,null,null,null,null,null,null,null,31
2376250,1685782,128731,13219,10308,11345,22565,504300,null,null,null,null,null,null,null,null,32
1123706,851998,57923,12457,5736,7190,11496,176906,null,null,null,null,null,null,null,null,33
7313609,5124660,431935,66089,31290,36322,77068,1546245,null,null,null,null,null,null,null,null,34
1676659,1236673,87026,9536,7043,9247,18107,309027,null,null,null,null,null,null,null,null,35
16287464,10860883,1079767,132176,68172,92085,168169,3886212,null,null,null,null,null,null,null,null,36
8250416,6029114,476054,58399,30335,48756,82382,1525376,null,null,null,null,null,null,null,null,37
608512,440122,31600,5622,2659,3950,7371,117188,null,null,null,null,null,null,null,null,38
9469520,7003336,526277,82414,45820,59013,103196,1649464,null,null,null,null,null,null,null,null,39
3117282,2211782,173883,21745,11482,16775,31236,650379,null,null,null,null,null,null,null,null,40
3374727,2532771,172309,29169,16928,23034,35077,565439,null,null,null,null,null,null,null,null,41
10585604,7483756,653794,105946,52632,71107,114997,2103372,null,null,null,null,null,null,null,null,42
886433,626619,53342,9134,4413,6196,9611,177118,null,null,null,null,null,null,null,null,44
4046525,2848883,235562,31291,14808,22650,45416,847915,null,null,null,null,null,null,null,null,45
684721,526718,29410,5668,1868,3976,9179,107902,null,null,null,null,null,null,null,null,46
5405690,3836171,329860,37967,25710,29846,53237,1092899,null,null,null,null,null,null,null,null,47
21772944,15885896,1075080,124060,68933,95207,180875,4342893,null,null,null,null,null,null,null,null,48
2276760,1771351,106749,12919,7190,10122,17832,350597,null,null,null,null,null,null,null,null,49
527074,392305,25608,5597,3369,4491,7664,88040,null,null,null,null,null,null,null,null,50
6860841,4937943,393179,60997,30627,33820,68598,1335677,null,null,null,null,null,null,null,null,51
5929275,4519410,301094,48048,24908,33387,63540,938888,null,null,null,null,null,null,null,null,53
1519860,1110158,85221,11559,7407,9691,18142,277682,null,null,null,null,null,null,null,null,54
4718806,3513630,246570,50408,24306,27544,52553,803795,null,null,null,null,null,null,null,null,55
466401,333509,23189,5134,3302,2789,5102,93376,null,null,null,null,null,null,null,null,56
2854814,2202379,150995,4668,8690,14189,24323,449570,null,null,null,null,null,null,null,null,72
3962122,2758883,249105,27055,17753,25661,37236,846429,null,null,null,null,null,null,null,null,01
584670,433636,15353,7495,5419,4954,36616,81197,null,null,null,null,null,null,null,null,02
5579306,3879897,335460,31472,22168,25937,53280,1231092,null,null,null,null,null,null,null,null,04
2400908,1715291,155730,17268,8658,17247,23650,463064,null,null,null,null,null,null,null,null,05
31696515,22763386,1825277,199149,120354,152293,289360,6346696,null,null,null,null,null,null,null,null,06
4490574,3328891,233586,35340,17206,22901,41023,811627,null,null,null,null,null,null,null,null,08
2966525,2121608,171549,30169,16079,15636,34964,576520,null,null,null,null,null,null,null,null,09
782833,556707,43390,6474,2882,3969,7018,162393,null,null,null,null,null,null,null,null,10
576040,393407,34266,4328,2320,3362,5730,132627,null,null,null,null,null,null,null,null,11
