B19013E_001E,B19013E_001M,B19013E_001M,B19013E_001EA,B19013E_001MA,state
47226,18237,18237,null,null,12
null,null,null,null,null,13
54920,6697,6697,null,null,15
43984,40364,40364,null,null,16
null,null,null,null,null,17
47262,29005,29005,null,null,18
null,null,null,null,null,19
44639,9042,9042,null,null,20
null,null,null,null,null,21
88212,2850,2850,null,null,22
-666666666,-222222222,-222222222,-,**,23
null,null,null,null,null,24
59989,14037,14037,null,null,25
null,null,null,null,null,26
101411,65675,65675,null,null,27
48405,13596,13596,null,null,28
35161,20208,20208,null,null,29
-666666666,-222222222,-222222222,-,**,30
null,null,null,null,null,31
48231,4859,4859,null,null,32
-666666666,-222222222,-222222222,-,**,33
null,null,null,null,null,34
null,null,null,null,null,35
57994,12660,12660,null,null,36
52963,30987,30987,null,null,37
-666666666,-222222222,-222222222,-,**,38
60373,35368,35368,null,null,39
null,null,null,null,null,40
54418,25074,25074,null,null,41
80625,52878,52878,null,null,42
49393,48264,48264,null,null,44
null,null,null,null,null,45
-666666666,-222222222,-222222222,-,**,46
null,null,null,null,null,47
48414,2852,2852,null,null,48
56625,23091,23091,null,null,49
-666666666,-222222222,-222222222,-,**,50
60984,22079,22079,null,null,51
56756,11797,11797,null,null,53
-666666666,-222222222,-222222222,-,**,54
25877,9786,9786,null,null,55
-666666666,-222222222,-222222222,-,**,56
-666666666,-222222222,-222222222,-,**,72
26320,1045,1045,null,null,01
63465,33118,33118,null,null,02
54875,16841,16841,null,null,04
28882,19555,19555,null,null,05
74278,4623,4623,null,null,06
42216,12664,12664,null,null,08
null,null,null,null,null,09
null,null,null,null,null,10
-666666666,-222222222,-222222222,-,**,11
