B05009_001E,B05009_001M,B05009_002E,B05009_002M,B05009_003E,B05009_003M,B05009_004E,B05009_004M,B05009_005E,B05009_005M,B05009_006E,B05009_006M,B05009_007E,B05009_007M,B05009_008E,B05009_008M,B05009_009E,B05009_009M,B05009_010E,B05009_010M,B05009_011E,B05009_011M,B05009_012E,B05009_012M,B05009_013E,B05009_013M,B05009_014E,B05009_014M,B05009_015E,B05009_015M,B05009_016E,B05009_016M,B05009_017E,B05009_017M,B05009_018E,B05009_018M,B05009_019E,B05009_019M,B05009_020E,B05009_020M,B05009_021E,B05009_021M,B05009_022E,B05009_022M,B05009_023E,B05009_023M,B05009_024E,B05009_024M,B05009_025E,B05009_025M,B05009_026E,B05009_026M,B05009_027E,B05009_027M,B05009_028E,B05009_028M,B05009_029E,B05009_029M,B05009_030E,B05009_030M,B05009_031E,B05009_031M,B05009_032E,B05009_032M,B05009_033E,B05009_033M,B05009_034E,B05009_034M,B05009_035E,B05009_035M,B05009_036E,B05009_036M,B05009_037E,B05009_037M,B05009_001M,B05009_001EA,B05009_001MA,B05009_002M,B05009_002EA,B05009_002MA,B05009_003M,B05009_003EA,B05009_003MA,B05009_004M,B05009_004EA,B05009_004MA,B05009_005M,B05009_005EA,B05009_005MA,B05009_006M,B05009_006EA,B05009_006MA,B05009_007M,B05009_007EA,B05009_007MA,B05009_008M,B05009_008EA,B05009_008MA,B05009_009M,B05009_009EA,B05009_009MA,B05009_010M,B05009_010EA,B05009_010MA,B05009_011M,B05009_011EA,B05009_011MA,B05009_012M,B05009_012EA,B05009_012MA,B05009_013M,B05009_013EA,B05009_013MA,B05009_014M,B05009_014EA,B05009_014MA,B05009_015M,B05009_015EA,B05009_015MA,B05009_016M,B05009_016EA,B05009_016MA,B05009_017M,B05009_017EA,B05009_017MA,B05009_018M,B05009_018EA,B05009_018MA,B05009_019M,B05009_019EA,B05009_019MA,B05009_020M,B05009_020EA,B05009_020MA,B05009_021M,B05009_021EA,B05009_021MA,B05009_022M,B05009_022EA,B05009_022MA,B05009_023M,B05009_023EA,B05009_023MA,B05009_024M,B05009_024EA,B05009_024MA,B05009_025M,B05009_025EA,B05009_025MA,B05009_026M,B05009_026EA,B05009_026MA,B05009_027M,B05009_027EA,B05009_027MA,B05009_028M,B05009_028EA,B05009_028MA,B05009_029M,B05009_029EA,B05009_029MA,B05009_030M,B05009_030EA,B05009_030MA,B05009_031M,B05009_031EA,B05009_031MA,B05009_032M,B05009_032EA,B05009_032MA,B05009_033M,B05009_033EA,B05009_033MA,B05009_034M,B05009_034EA,B05009_034MA,B05009_035M,B05009_035EA,B05009_035MA,B05009_036M,B05009_036EA,B05009_036MA,B05009_037M,B05009_037EA,B05009_037MA,state
3916874,10716,1287696,10980,760211,13150,737475,12921,22736,3898,457208,12346,192344,7749,170663,7263,21681,3782,110659,6873,109887,6915,772,507,527485,12965,518079,13145,9406,2292,405950,11631,121535,9499,113124,8853,8411,2126,2629178,12905,1597252,18226,1477535,18019,119717,7620,966039,16171,409539,14686,304189,13435,105350,7370,221674,12207,212930,11859,8744,2214,1031926,21097,976185,21110,55741,5163,760398,18763,271528,11689,217559,10659,53969,5206,10716,null,null,10980,null,null,13150,null,null,12921,null,null,3898,null,null,12346,null,null,7749,null,null,7263,null,null,3782,null,null,6873,null,null,6915,null,null,507,null,null,12965,null,null,13145,null,null,2292,null,null,11631,null,null,9499,null,null,8853,null,null,2126,null,null,12905,null,null,18226,null,null,18019,null,null,7620,null,null,16171,null,null,14686,null,null,13435,null,null,7370,null,null,12207,null,null,11859,null,null,2214,null,null,21097,null,null,21110,null,null,5163,null,null,18763,null,null,11689,null,null,10659,null,null,5206,null,null,12
2370784,8688,745784,8143,439530,11104,431222,11006,8308,1991,316072,9805,85010,6540,77073,5905,7937,1919,38448,4698,38435,4698,13,25,306254,10086,303122,10114,3132,1168,273074,9923,33180,3804,30200,3927,2980,1169,1625000,10481,1002836,15199,959981,16583,42855,4924,750583,16124,183424,10110,147508,10334,35916,4644,68829,6866,65058,6615,3771,1504,622164,16913,612564,17009,9600,1906,539191,15996,82973,8910,73882,8849,9091,1848,8688,null,null,8143,null,null,11104,null,null,11006,null,null,1991,null,null,9805,null,null,6540,null,null,5905,null,null,1919,null,null,4698,null,null,4698,null,null,25,null,null,10086,null,null,10114,null,null,1168,null,null,9923,null,null,3804,null,null,3927,null,null,1169,null,null,10481,null,null,15199,null,null,16583,null,null,4924,null,null,16124,null,null,10110,null,null,10334,null,null,4644,null,null,6866,null,null,6615,null,null,1504,null,null,16913,null,null,17009,null,null,1906,null,null,15996,null,null,8910,null,null,8849,null,null,1848,null,null,13
286037,3464,103327,2623,71172,3506,69532,3535,1640,763,47991,3645,9830,2576,8643,2306,1187,583,13351,2560,13266,2543,85,138,32155,3029,31819,3030,336,244,26982,2768,5173,1456,4948,1465,225,199,182710,3438,126832,4823,119698,4880,7134,1937,81438,4701,21995,3423,16592,3191,5403,1744,23399,3609,22089,3564,1310,754,55878,4231,52506,4219,3372,1501,44413,3990,11465,2330,8491,1835,2974,1477,3464,null,null,2623,null,null,3506,null,null,3535,null,null,763,null,null,3645,null,null,2576,null,null,2306,null,null,583,null,null,2560,null,null,2543,null,null,138,null,null,3029,null,null,3030,null,null,244,null,null,2768,null,null,1456,null,null,1465,null,null,199,null,null,3438,null,null,4823,null,null,4880,null,null,1937,null,null,4701,null,null,3423,null,null,3191,null,null,1744,null,null,3609,null,null,3564,null,null,754,null,null,4231,null,null,4219,null,null,1501,null,null,3990,null,null,2330,null,null,1835,null,null,1477,null,null,15
421469,2724,133275,3252,97624,4178,97264,4265,360,376,84314,4427,7014,1658,6654,1589,360,376,6296,1742,6296,1742,0,198,35651,3883,35651,3883,0,198,30734,3567,4917,1544,4917,1544,0,198,288194,3667,213749,6431,209134,6474,4615,1546,183376,6868,18280,3646,14980,3457,3300,1368,12093,2271,11746,2255,347,374,74445,6318,73313,6274,1132,630,64839,5672,9606,2487,8702,2343,904,612,2724,null,null,3252,null,null,4178,null,null,4265,null,null,376,null,null,4427,null,null,1658,null,null,1589,null,null,376,null,null,1742,null,null,1742,null,null,198,null,null,3883,null,null,3883,null,null,198,null,null,3567,null,null,1544,null,null,1544,null,null,198,null,null,3667,null,null,6431,null,null,6474,null,null,1546,null,null,6868,null,null,3646,null,null,3457,null,null,1368,null,null,2271,null,null,2255,null,null,374,null,null,6318,null,null,6274,null,null,630,null,null,5672,null,null,2487,null,null,2343,null,null,612,null,null,16
2805993,7004,894705,6534,592613,10524,580675,10439,11938,2206,407841,8151,113340,6877,102958,6567,10382,2018,71432,5722,70300,5626,1132,772,302092,8722,300265,8592,1827,921,255011,8162,47081,5239,45675,5108,1406,853,1911288,8466,1258403,15162,1206108,16210,52295,5157,858184,14770,285085,11507,242791,11001,42294,4595,115134,7807,112342,7384,2792,1386,652885,16278,639486,16012,13399,1833,543393,13636,109492,8565,97412,7884,12080,1818,7004,null,null,6534,null,null,10524,null,null,10439,null,null,2206,null,null,8151,null,null,6877,null,null,6567,null,null,2018,null,null,5722,null,null,5626,null,null,772,null,null,8722,null,null,8592,null,null,921,null,null,8162,null,null,5239,null,null,5108,null,null,853,null,null,8466,null,null,15162,null,null,16210,null,null,5157,null,null,14770,null,null,11507,null,null,11001,null,null,4595,null,null,7807,null,null,7384,null,null,1386,null,null,16278,null,null,16012,null,null,1833,null,null,13636,null,null,8565,null,null,7884,null,null,1818,null,null,17
1489601,6338,481661,5904,312007,8055,307182,7865,4825,1326,266679,7159,27155,3441,23557,3057,3598,1203,18173,2901,17727,2833,446,417,169654,7986,168827,7885,827,475,156578,7702,13076,2510,12520,2450,556,449,1007940,7734,661368,10572,642802,10393,18566,3084,569997,11281,57615,4947,44159,4214,13456,2606,33756,5477,32982,5487,774,540,346572,10985,342658,10906,3914,1248,320940,10121,25632,3908,22584,3873,3048,1157,6338,null,null,5904,null,null,8055,null,null,7865,null,null,1326,null,null,7159,null,null,3441,null,null,3057,null,null,1203,null,null,2901,null,null,2833,null,null,417,null,null,7986,null,null,7885,null,null,475,null,null,7702,null,null,2510,null,null,2450,null,null,449,null,null,7734,null,null,10572,null,null,10393,null,null,3084,null,null,11281,null,null,4947,null,null,4214,null,null,2606,null,null,5477,null,null,5487,null,null,540,null,null,10985,null,null,10906,null,null,1248,null,null,10121,null,null,3908,null,null,3873,null,null,1157,null,null,18
695841,3386,229769,3608,158826,4574,157065,4469,1761,751,137925,4570,13392,2098,11905,2068,1487,660,7509,1481,7390,1498,119,140,70943,3992,70547,3954,396,332,65083,4136,5860,1520,5464,1449,396,332,466072,4353,330352,6409,321452,6234,8900,1879,291580,6466,26845,2889,19664,2471,7181,1684,11927,1969,11441,1913,486,383,135720,6452,132042,6277,3678,1403,124288,6323,11432,2216,8316,2034,3116,1345,3386,null,null,3608,null,null,4574,null,null,4469,null,null,751,null,null,4570,null,null,2098,null,null,2068,null,null,660,null,null,1481,null,null,1498,null,null,140,null,null,3992,null,null,3954,null,null,332,null,null,4136,null,null,1520,null,null,1449,null,null,332,null,null,4353,null,null,6409,null,null,6234,null,null,1879,null,null,6466,null,null,2889,null,null,2471,null,null,1684,null,null,1969,null,null,1913,null,null,383,null,null,6452,null,null,6277,null,null,1403,null,null,6323,null,null,2216,null,null,2034,null,null,1345,null,null,19
685239,4100,227350,3967,158771,5014,157508,5069,1263,561,131643,4443,14873,2332,13610,2282,1263,561,12255,2412,12255,2412,0,174,68579,4497,67971,4440,608,616,60541,4233,8038,2123,7430,1883,608,616,457889,4349,317097,8618,308588,8523,8509,1500,257383,7509,39074,3658,32732,3374,6342,1337,20640,3009,19973,2983,667,442,140792,7681,138223,7616,2569,1044,126273,7053,14519,2394,12129,2197,2390,1001,4100,null,null,3967,null,null,5014,null,null,5069,null,null,561,null,null,4443,null,null,2332,null,null,2282,null,null,561,null,null,2412,null,null,2412,null,null,174,null,null,4497,null,null,4440,null,null,616,null,null,4233,null,null,2123,null,null,1883,null,null,616,null,null,4349,null,null,8618,null,null,8523,null,null,1500,null,null,7509,null,null,3658,null,null,3374,null,null,1337,null,null,3009,null,null,2983,null,null,442,null,null,7681,null,null,7616,null,null,1044,null,null,7053,null,null,2394,null,null,2197,null,null,1001,null,null,20
927917,6765,299112,4803,190396,5543,188356,5419,2040,644,170514,5899,12050,2173,10628,1966,1422,665,7832,1647,7832,1647,0,190,108716,5766,108356,5717,360,287,103143,5702,5573,1323,5254,1263,319,281,628805,7243,401712,9385,390135,9384,11577,2259,363060,9621,25938,3747,17631,3153,8307,2068,12714,2459,12180,2349,534,358,227093,7947,223510,7783,3583,1818,214865,8175,12228,2532,9237,1928,2991,1689,6765,null,null,4803,null,null,5543,null,null,5419,null,null,644,null,null,5899,null,null,2173,null,null,1966,null,null,665,null,null,1647,null,null,1647,null,null,190,null,null,5766,null,null,5717,null,null,287,null,null,5702,null,null,1323,null,null,1263,null,null,281,null,null,7243,null,null,9385,null,null,9384,null,null,2259,null,null,9621,null,null,3747,null,null,3153,null,null,2068,null,null,2459,null,null,2349,null,null,358,null,null,7947,null,null,7783,null,null,1818,null,null,8175,null,null,2532,null,null,1928,null,null,1689,null,null,21
1038911,7324,351708,5832,185260,7972,183849,7962,1411,654,159931,7496,14554,2534,13143,2470,1411,654,10775,2491,10775,2491,0,208,166448,8197,165680,8233,768,604,160874,8204,5574,1839,4806,1803,768,604,687203,8243,383369,13209,374978,13155,8391,1745,345698,12013,23129,2932,16136,2738,6993,1668,14542,2861,14121,2842,421,248,303834,11001,301230,11138,2604,1184,294270,11242,9564,2551,7071,2342,2493,1182,7324,null,null,5832,null,null,7972,null,null,7962,null,null,654,null,null,7496,null,null,2534,null,null,2470,null,null,654,null,null,2491,null,null,2491,null,null,208,null,null,8197,null,null,8233,null,null,604,null,null,8204,null,null,1839,null,null,1803,null,null,604,null,null,8243,null,null,13209,null,null,13155,null,null,1745,null,null,12013,null,null,2932,null,null,2738,null,null,1668,null,null,2861,null,null,2842,null,null,248,null,null,11001,null,null,11138,null,null,1184,null,null,11242,null,null,2551,null,null,2342,null,null,1182,null,null,22
