B19202G_001E,B19202G_001M,B19202G_001M,B19202G_001EA,B19202G_001MA,state
32168,2982,2982,null,null,12
31122,4603,4603,null,null,13
39423,2647,2647,null,null,15
19997,10265,10265,null,null,16
40267,2958,2958,null,null,17
27069,3465,3465,null,null,18
28870,5425,5425,null,null,19
21261,6133,6133,null,null,20
21680,9137,9137,null,null,21
27524,11304,11304,null,null,22
17390,9085,9085,null,null,23
50975,3880,3880,null,null,24
50033,9629,9629,null,null,25
30039,4384,4384,null,null,26
33944,6641,6641,null,null,27
31261,8768,8768,null,null,28
26262,3678,3678,null,null,29
23219,8789,8789,null,null,30
27389,4939,4939,null,null,31
36501,5890,5890,null,null,32
32907,12263,12263,null,null,33
35853,10229,10229,null,null,34
22320,5232,5232,null,null,35
37454,4356,4356,null,null,36
34960,5446,5446,null,null,37
35314,3241,3241,null,null,38
24963,3306,3306,null,null,39
25760,2220,2220,null,null,40
36883,7309,7309,null,null,41
27462,3824,3824,null,null,42
20264,11849,11849,null,null,44
33379,9630,9630,null,null,45
14054,5765,5765,null,null,46
25016,8356,8356,null,null,47
34127,4411,4411,null,null,48
30533,11912,11912,null,null,49
16173,2839,2839,null,null,50
49876,7011,7011,null,null,51
40709,3701,3701,null,null,53
15440,9188,9188,null,null,54
31580,1828,1828,null,null,55
29384,14718,14718,null,null,56
11480,1838,1838,null,null,72
24095,5527,5527,null,null,01
51716,6074,6074,null,null,02
31868,3427,3427,null,null,04
25958,5993,5993,null,null,05
45329,2899,2899,null,null,06
35317,4618,4618,null,null,08
37917,9648,9648,null,null,09
25986,11014,11014,null,null,10
71712,8813,8813,null,null,11
