B07403_001E,B07403_001M,B07403_002E,B07403_002M,B07403_003E,B07403_003M,B07403_004E,B07403_004M,B07403_005E,B07403_005M,B07403_006E,B07403_006M,B07403_007E,B07403_007M,B07403_008E,B07403_008M,B07403_009E,B07403_009M,B07403_010E,B07403_010M,B07403_011E,B07403_011M,B07403_012E,B07403_012M,B07403_013E,B07403_013M,B07403_014E,B07403_014M,B07403_015E,B07403_015M,B07403_001M,B07403_001EA,B07403_001MA,B07403_002M,B07403_002EA,B07403_002MA,B07403_003M,B07403_003EA,B07403_003MA,B07403_004M,B07403_004EA,B07403_004MA,B07403_005M,B07403_005EA,B07403_005MA,B07403_006M,B07403_006EA,B07403_006MA,B07403_007M,B07403_007EA,B07403_007MA,B07403_008M,B07403_008EA,B07403_008MA,B07403_009M,B07403_009EA,B07403_009MA,B07403_010M,B07403_010EA,B07403_010MA,B07403_011M,B07403_011EA,B07403_011MA,B07403_012M,B07403_012EA,B07403_012MA,B07403_013M,B07403_013EA,B07403_013MA,B07403_014M,B07403_014EA,B07403_014MA,B07403_015M,B07403_015EA,B07403_015MA,state
19997171,32729,9759681,19312,10237490,22148,17176492,49542,8351601,28899,8824891,28402,1773135,38274,863668,22711,909467,21996,614092,20470,327288,11104,286804,12777,433452,14337,217124,8734,216328,8156,32729,null,null,19312,null,null,22148,null,null,49542,null,null,28899,null,null,28402,null,null,38274,null,null,22711,null,null,21996,null,null,20470,null,null,11104,null,null,12777,null,null,14337,null,null,8734,null,null,8156,null,null,12
10064421,22180,4893637,16185,5170784,13212,8514847,32855,4115765,17128,4399082,22178,792954,23003,392668,12249,400286,13981,497678,20562,252651,9425,245027,13956,258942,15064,132553,8622,126389,8535,22180,null,null,16185,null,null,13212,null,null,32855,null,null,17128,null,null,22178,null,null,23003,null,null,12249,null,null,13981,null,null,20562,null,null,9425,null,null,13956,null,null,15064,null,null,8622,null,null,8535,null,null,13
1399717,10298,705894,6193,693823,5928,1217704,11310,609142,7208,608562,5848,109709,10770,57940,6206,51769,5961,8185,1712,4296,1038,3889,1070,64119,6040,34516,3763,29603,3034,10298,null,null,6193,null,null,5928,null,null,11310,null,null,7208,null,null,5848,null,null,10770,null,null,6206,null,null,5961,null,null,1712,null,null,1038,null,null,1070,null,null,6040,null,null,3763,null,null,3034,null,null,15
1639443,9588,820050,5843,819393,6103,1369449,15368,681842,8705,687607,9313,156143,11559,76369,6634,79774,6360,58079,6087,30905,3628,27174,3759,55772,4979,30934,3212,24838,2821,9588,null,null,5843,null,null,6103,null,null,15368,null,null,8705,null,null,9313,null,null,11559,null,null,6634,null,null,6360,null,null,6087,null,null,3628,null,null,3759,null,null,4979,null,null,3212,null,null,2821,null,null,16
12730071,19092,6246573,12875,6483498,12686,10996695,35598,5380032,20909,5616663,19982,1054837,27544,524014,13785,530823,16441,333011,14338,175268,8966,157743,7748,345528,14879,167259,8342,178269,8559,19092,null,null,12875,null,null,12686,null,null,35598,null,null,20909,null,null,19982,null,null,27544,null,null,13785,null,null,16441,null,null,14338,null,null,8966,null,null,7748,null,null,14879,null,null,8342,null,null,8559,null,null,17
6518924,11964,3204159,9123,3314765,7709,5580090,26152,2739163,15392,2840927,15153,556696,21456,270777,12523,285919,12295,244729,11693,126718,6717,118011,6822,137409,7537,67501,4134,69908,4746,11964,null,null,9123,null,null,7709,null,null,26152,null,null,15392,null,null,15153,null,null,21456,null,null,12523,null,null,12295,null,null,11693,null,null,6717,null,null,6822,null,null,7537,null,null,4134,null,null,4746,null,null,18
3083096,10245,1527326,6018,1555770,7061,2622577,14595,1296936,8207,1325641,8773,270269,12047,136171,7196,134098,6270,113251,6681,55671,4019,57580,4160,76999,6375,38548,3257,38451,4239,10245,null,null,6018,null,null,7061,null,null,14595,null,null,8207,null,null,8773,null,null,12047,null,null,7196,null,null,6270,null,null,6681,null,null,4019,null,null,4160,null,null,6375,null,null,3257,null,null,4239,null,null,19
2857143,10746,1423209,7516,1433934,7078,2394351,14952,1190396,9877,1203955,8652,269550,12338,130362,7189,139188,7122,100421,6322,54196,4519,46225,3500,92821,7545,48255,4216,44566,4450,10746,null,null,7516,null,null,7078,null,null,14952,null,null,9877,null,null,8652,null,null,12338,null,null,7189,null,null,7122,null,null,6322,null,null,4519,null,null,3500,null,null,7545,null,null,4216,null,null,4450,null,null,20
4355885,13428,2140878,8543,2215007,8760,3698797,19715,1809047,10428,1889750,13537,389651,17961,191448,9404,198203,11130,164067,8418,84999,5331,79068,5077,103370,8375,55384,5358,47986,4969,13428,null,null,8543,null,null,8760,null,null,19715,null,null,10428,null,null,13537,null,null,17961,null,null,9404,null,null,11130,null,null,8418,null,null,5331,null,null,5077,null,null,8375,null,null,5358,null,null,4969,null,null,21
4612891,11102,2259417,7830,2353474,7447,3994321,24494,1943290,14322,2051031,14168,376645,19871,183572,10621,193073,11282,149735,9588,83662,6606,66073,5398,92190,8198,48893,4922,43297,4382,11102,null,null,7830,null,null,7447,null,null,24494,null,null,14322,null,null,14168,null,null,19871,null,null,10621,null,null,11282,null,null,9588,null,null,6606,null,null,5398,null,null,8198,null,null,4922,null,null,4382,null,null,22
