B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,B07004G_001M,B07004G_001EA,B07004G_001MA,B07004G_002M,B07004G_002EA,B07004G_002MA,B07004G_003M,B07004G_003EA,B07004G_003MA,B07004G_004M,B07004G_004EA,B07004G_004MA,B07004G_005M,B07004G_005EA,B07004G_005MA,B07004G_006M,B07004G_006EA,B07004G_006MA,state
519083,21906,418335,18881,59191,6447,18286,3219,18488,3648,4783,1630,21906,null,null,18881,null,null,6447,null,null,3219,null,null,3648,null,null,1630,null,null,12
250463,13824,197642,13220,22711,4588,14937,3151,13768,2854,1405,751,13824,null,null,13220,null,null,4588,null,null,3151,null,null,2854,null,null,751,null,null,13
333793,13071,291822,12232,29663,4433,2846,1039,7693,2440,1769,862,13071,null,null,12232,null,null,4433,null,null,1039,null,null,2440,null,null,862,null,null,15
41423,3081,31098,3127,4160,1471,2276,1140,3767,1658,122,202,3081,null,null,3127,null,null,1471,null,null,1140,null,null,1658,null,null,202,null,null,16
310338,13715,248924,12129,39468,4833,11209,2555,7705,2120,3032,1221,13715,null,null,12129,null,null,4833,null,null,2555,null,null,2120,null,null,1221,null,null,17
152986,8363,119923,7171,20813,3977,6146,1341,5518,1454,586,370,8363,null,null,7171,null,null,3977,null,null,1341,null,null,1454,null,null,370,null,null,18
55044,3817,42430,3881,6417,1695,4100,1727,2027,707,70,118,3817,null,null,3881,null,null,1695,null,null,1727,null,null,707,null,null,118,null,null,19
100022,5575,76545,4690,14653,3301,4003,1055,4150,1308,671,712,5575,null,null,4690,null,null,3301,null,null,1055,null,null,1308,null,null,712,null,null,20
89902,6845,66254,5579,12030,2391,5917,1673,4857,1396,844,605,6845,null,null,5579,null,null,2391,null,null,1673,null,null,1396,null,null,605,null,null,21
88671,8446,70444,7514,10837,2350,2782,1075,4203,1592,405,309,8446,null,null,7514,null,null,2350,null,null,1075,null,null,1592,null,null,309,null,null,22
25890,2536,21239,2457,3204,1215,224,215,1149,806,74,137,2536,null,null,2457,null,null,1215,null,null,215,null,null,806,null,null,137,null,null,23
195096,10735,162054,10385,17186,3234,8754,2429,5395,1445,1707,861,10735,null,null,10385,null,null,3234,null,null,2429,null,null,1445,null,null,861,null,null,24
206228,11637,171460,10275,19984,3586,6479,1574,4733,1572,3572,1298,11637,null,null,10275,null,null,3586,null,null,1574,null,null,1572,null,null,1298,null,null,25
297364,11921,234039,10884,43511,4883,13397,2126,4601,1183,1816,592,11921,null,null,10884,null,null,4883,null,null,2126,null,null,1183,null,null,592,null,null,26
151900,7913,118385,7017,16234,2728,11301,2046,5431,2213,549,325,7913,null,null,7017,null,null,2728,null,null,2046,null,null,2213,null,null,325,null,null,27
33133,4756,27671,4491,2281,1039,1238,777,1823,1066,120,142,4756,null,null,4491,null,null,1039,null,null,777,null,null,1066,null,null,142,null,null,28
145441,8410,113548,8030,16467,2963,7663,1689,6728,2295,1035,715,8410,null,null,8030,null,null,2963,null,null,1689,null,null,2295,null,null,715,null,null,29
31917,2932,23782,2800,5095,1636,1651,904,1291,572,98,111,2932,null,null,2800,null,null,1636,null,null,904,null,null,572,null,null,111,null,null,30
44146,4330,32202,2962,7888,3185,1689,725,2021,919,346,275,4330,null,null,2962,null,null,3185,null,null,725,null,null,919,null,null,275,null,null,31
134202,9270,103926,8616,20947,4097,1065,572,8115,1845,149,144,9270,null,null,8616,null,null,4097,null,null,572,null,null,1845,null,null,144,null,null,32
28288,3018,23160,3142,1798,609,1098,532,1870,624,362,506,3018,null,null,3142,null,null,609,null,null,532,null,null,624,null,null,506,null,null,33
231173,12231,200076,12090,17723,3737,7294,2271,3108,945,2972,1400,12231,null,null,12090,null,null,3737,null,null,2271,null,null,945,null,null,1400,null,null,34
64586,6240,49643,5832,9093,2126,1884,905,3849,1444,117,140,6240,null,null,5832,null,null,2126,null,null,905,null,null,1444,null,null,140,null,null,35
597026,22079,509635,21650,50749,5380,20574,3347,9295,2106,6773,1790,22079,null,null,21650,null,null,5380,null,null,3347,null,null,2106,null,null,1790,null,null,36
258757,12357,198758,10514,30190,4483,14500,3283,13631,2549,1678,619,12357,null,null,10514,null,null,4483,null,null,3283,null,null,2549,null,null,619,null,null,37
21359,2940,15459,2437,3152,1394,1501,1090,1165,614,82,127,2940,null,null,2437,null,null,1394,null,null,1090,null,null,614,null,null,127,null,null,38
313421,12691,240110,11685,46394,5433,15603,2077,9344,2255,1970,1006,12691,null,null,11685,null,null,5433,null,null,2077,null,null,2255,null,null,1006,null,null,39
296370,7886,236611,7512,38213,4250,13389,2115,7292,1296,865,591,7886,null,null,7512,null,null,4250,null,null,2115,null,null,1296,null,null,591,null,null,40
203539,10619,154939,9153,26749,4587,12243,3914,8784,2101,824,452,10619,null,null,9153,null,null,4587,null,null,3914,null,null,2101,null,null,452,null,null,41
312808,13066,250785,10655,37387,5469,11067,2240,9827,2201,3742,1750,13066,null,null,10655,null,null,5469,null,null,2240,null,null,2201,null,null,1750,null,null,42
31722,4427,23642,3869,5089,2078,1440,1101,1385,671,166,208,4427,null,null,3869,null,null,2078,null,null,1101,null,null,671,null,null,208,null,null,44
104701,8750,80962,8125,11330,2282,6708,1838,5119,1721,582,470,8750,null,null,8125,null,null,2282,null,null,1838,null,null,1721,null,null,470,null,null,45
20618,2777,14688,2208,3643,1366,992,459,1159,523,136,135,2777,null,null,2208,null,null,1366,null,null,459,null,null,523,null,null,135,null,null,46
135862,9714,106856,8546,16869,3445,5824,1728,4707,1131,1606,973,9714,null,null,8546,null,null,3445,null,null,1728,null,null,1131,null,null,973,null,null,47
691879,21387,551149,17591,77779,7134,34805,4144,19784,3707,8362,1968,21387,null,null,17591,null,null,7134,null,null,4144,null,null,3707,null,null,1968,null,null,48
86339,6527,68280,6421,10884,2476,2615,918,3914,1119,646,398,6527,null,null,6421,null,null,2476,null,null,918,null,null,1119,null,null,398,null,null,49
12043,1631,9926,1462,1084,621,153,122,755,389,125,124,1631,null,null,1462,null,null,621,null,null,122,null,null,389,null,null,124,null,null,50
299488,12105,232565,10566,31621,4517,19311,3075,12037,2827,3954,1513,12105,null,null,10566,null,null,4517,null,null,3075,null,null,2827,null,null,1513,null,null,51
404174,15205,313941,13227,50897,4839,16937,2944,19351,3151,3048,1818,15205,null,null,13227,null,null,4839,null,null,2944,null,null,3151,null,null,1818,null,null,53
