B19301E_001E,B19301E_001M,B19301E_001M,B19301E_001EA,B19301E_001MA,state
25610,9756,9756,null,null,12
19656,6363,6363,null,null,13
19381,1059,1059,null,null,15
12802,5496,5496,null,null,16
32737,7119,7119,null,null,17
27496,9509,9509,null,null,18
11302,4227,4227,null,null,19
29004,17550,17550,null,null,20
15797,10255,10255,null,null,21
16713,8941,8941,null,null,22
24937,14443,14443,null,null,23
27782,9802,9802,null,null,24
29159,12531,12531,null,null,25
28268,20246,20246,null,null,26
28899,9636,9636,null,null,27
null,null,null,null,null,28
18336,9866,9866,null,null,29
19104,9755,9755,null,null,30
10243,4424,4424,null,null,31
18952,3604,3604,null,null,32
null,null,null,null,null,33
26774,12758,12758,null,null,34
19004,6488,6488,null,null,35
26405,5962,5962,null,null,36
18899,4045,4045,null,null,37
null,null,null,null,null,38
16237,5529,5529,null,null,39
16446,4303,4303,null,null,40
19531,4936,4936,null,null,41
24234,6370,6370,null,null,42
32964,8868,8868,null,null,44
12814,3467,3467,null,null,45
null,null,null,null,null,46
14548,5198,5198,null,null,47
20439,3010,3010,null,null,48
17619,2993,2993,null,null,49
null,null,null,null,null,50
28860,5722,5722,null,null,51
21039,2709,2709,null,null,53
25266,6662,6662,null,null,54
22243,6397,6397,null,null,55
null,null,null,null,null,56
null,null,null,null,null,72
28028,7704,7704,null,null,01
18188,3376,3376,null,null,02
21810,5956,5956,null,null,04
8840,1350,1350,null,null,05
25622,1444,1444,null,null,06
22547,7241,7241,null,null,08
46708,20145,20145,null,null,09
15537,12336,12336,null,null,10
null,null,null,null,null,11
