C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,C17018_001M,C17018_001EA,C17018_001MA,C17018_002M,C17018_002EA,C17018_002MA,C17018_003M,C17018_003EA,C17018_003MA,C17018_004M,C17018_004EA,C17018_004MA,C17018_005M,C17018_005EA,C17018_005MA,C17018_006M,C17018_006EA,C17018_006MA,C17018_007M,C17018_007EA,C17018_007MA,C17018_008M,C17018_008EA,C17018_008MA,C17018_009M,C17018_009EA,C17018_009MA,C17018_010M,C17018_010EA,C17018_010MA,C17018_011M,C17018_011EA,C17018_011MA,state
4864461,24241,509616,11766,122723,5819,173718,8184,145473,6055,67702,5131,4354845,24292,358776,9986,1047033,15668,1401479,19291,1547557,20164,24241,null,null,11766,null,null,5819,null,null,8184,null,null,6055,null,null,5131,null,null,24292,null,null,9986,null,null,15668,null,null,19291,null,null,20164,null,null,12
2479003,18252,296261,9486,78700,4728,95603,5946,90958,5684,31000,3359,2182742,17899,199387,7165,507506,10363,665452,13561,810397,13053,18252,null,null,9486,null,null,4728,null,null,5946,null,null,5684,null,null,3359,null,null,17899,null,null,7165,null,null,10363,null,null,13561,null,null,13053,null,null,13
315505,5105,18826,2161,2277,803,6314,1051,6243,1459,3992,1085,296679,5251,17534,1816,66016,3576,103374,4105,109755,3969,5105,null,null,2161,null,null,803,null,null,1051,null,null,1459,null,null,1085,null,null,5251,null,null,1816,null,null,3576,null,null,4105,null,null,3969,null,null,15
411617,7286,41274,3641,5993,1385,13173,2209,16395,1961,5713,1137,370343,7745,28274,3157,81457,4706,135675,6098,124937,4791,7286,null,null,3641,null,null,1385,null,null,2209,null,null,1961,null,null,1137,null,null,7745,null,null,3157,null,null,4706,null,null,6098,null,null,4791,null,null,16
3100613,17145,293044,9264,70751,4573,93265,4571,95570,5231,33458,3092,2807569,16895,225863,7110,610201,11618,868968,12693,1102537,11142,17145,null,null,9264,null,null,4573,null,null,4571,null,null,5231,null,null,3092,null,null,16895,null,null,7110,null,null,11618,null,null,12693,null,null,11142,null,null,17
1645758,11176,157720,5867,38681,3320,57073,3586,51464,3840,10502,1568,1488038,11737,114859,4735,443803,10237,473198,9123,456178,8890,11176,null,null,5867,null,null,3320,null,null,3586,null,null,3840,null,null,1568,null,null,11737,null,null,4735,null,null,10237,null,null,9123,null,null,8890,null,null,18
795043,8419,60129,3265,13061,1679,18449,1688,23578,2436,5041,1083,734914,8832,40965,2036,194405,5726,253441,7446,246103,6295,8419,null,null,3265,null,null,1679,null,null,1688,null,null,2436,null,null,1083,null,null,8832,null,null,2036,null,null,5726,null,null,7446,null,null,6295,null,null,19
716005,8245,56464,3559,11413,1620,19241,2251,20103,1954,5707,1061,659541,7653,41007,3110,137162,5017,218603,5592,262769,6891,8245,null,null,3559,null,null,1620,null,null,2251,null,null,1954,null,null,1061,null,null,7653,null,null,3110,null,null,5017,null,null,5592,null,null,6891,null,null,20
1121404,10897,156782,6330,40606,3538,56473,3690,51190,3774,8513,1652,964622,12227,86314,3827,278385,7156,310948,7451,288975,6975,10897,null,null,6330,null,null,3538,null,null,3690,null,null,3774,null,null,1652,null,null,12227,null,null,3827,null,null,7156,null,null,7451,null,null,6975,null,null,21
1097712,12285,168708,7561,49926,3952,64072,5198,44689,3682,10021,1749,929004,11536,89820,4638,284830,8825,279026,10017,275328,7481,12285,null,null,7561,null,null,3952,null,null,5198,null,null,3682,null,null,1749,null,null,11536,null,null,4638,null,null,8825,null,null,10017,null,null,7481,null,null,22
329554,6035,25210,2646,3563,987,11825,1979,7657,1309,2165,698,304344,6105,13038,1429,80247,3314,98684,4463,112375,4726,6035,null,null,2646,null,null,987,null,null,1979,null,null,1309,null,null,698,null,null,6105,null,null,1429,null,null,3314,null,null,4463,null,null,4726,null,null,23
