B28009E_001E,B28009E_001M,B28009E_002E,B28009E_002M,B28009E_003E,B28009E_003M,B28009E_004E,B28009E_004M,B28009E_005E,B28009E_005M,B28009E_006E,B28009E_006M,B28009E_001M,B28009E_001EA,B28009E_001MA,B28009E_002M,B28009E_002EA,B28009E_002MA,B28009E_003M,B28009E_003EA,B28009E_003MA,B28009E_004M,B28009E_004EA,B28009E_004MA,B28009E_005M,B28009E_005EA,B28009E_005MA,B28009E_006M,B28009E_006EA,B28009E_006MA,state
8588,2022,6883,1828,0,187,5339,1740,1544,1503,1705,1186,2022,null,null,1828,null,null,187,null,null,1740,null,null,1503,null,null,1186,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
20025,1793,18574,2149,531,834,15451,2154,2592,1469,1451,1202,1793,null,null,2149,null,null,834,null,null,2154,null,null,1469,null,null,1202,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
8638,2193,8193,2128,0,192,6936,1795,1257,808,445,358,2193,null,null,2128,null,null,192,null,null,1795,null,null,808,null,null,358,null,null,36
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
4031,1045,3120,919,87,145,2863,897,170,183,911,735,1045,null,null,919,null,null,145,null,null,897,null,null,183,null,null,735,null,null,39
6129,1276,3942,1470,0,159,3638,1497,304,224,2187,1275,1276,null,null,1470,null,null,159,null,null,1497,null,null,224,null,null,1275,null,null,40
14243,2627,12960,2448,0,201,12269,2427,691,474,1283,1300,2627,null,null,2448,null,null,201,null,null,2427,null,null,474,null,null,1300,null,null,41
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
4568,2309,4260,2264,0,204,3476,2135,784,829,308,227,2309,null,null,2264,null,null,204,null,null,2135,null,null,829,null,null,227,null,null,47
24704,3356,23279,3328,0,220,20953,3240,2326,1291,1425,691,3356,null,null,3328,null,null,220,null,null,3240,null,null,1291,null,null,691,null,null,48
28697,2320,28231,2343,13,36,24783,3026,3435,2060,466,455,2320,null,null,2343,null,null,36,null,null,3026,null,null,2060,null,null,455,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
8198,2062,7941,2056,0,201,7306,2087,635,466,257,227,2062,null,null,2056,null,null,201,null,null,2087,null,null,466,null,null,227,null,null,51
47129,3067,45416,3174,0,198,39279,3811,6137,2659,1713,986,3067,null,null,3174,null,null,198,null,null,3811,null,null,2659,null,null,986,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
1514,558,1348,546,0,147,1059,493,289,275,166,153,558,null,null,546,null,null,147,null,null,493,null,null,275,null,null,153,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
9527,872,8730,1216,0,155,8306,1298,424,406,797,820,872,null,null,1216,null,null,155,null,null,1298,null,null,406,null,null,820,null,null,02
12707,1299,12166,1339,140,241,11420,1415,606,377,541,461,1299,null,null,1339,null,null,241,null,null,1415,null,null,377,null,null,461,null,null,04
8746,1280,6798,1712,0,197,4636,2037,2162,1029,1948,1638,1280,null,null,1712,null,null,197,null,null,2037,null,null,1029,null,null,1638,null,null,05
145261,5658,137852,5682,342,342,125956,6271,11554,3660,7409,2219,5658,null,null,5682,null,null,342,null,null,6271,null,null,3660,null,null,2219,null,null,06
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
