B22010_001E,B22010_001M,B22010_002E,B22010_002M,B22010_003E,B22010_003M,B22010_004E,B22010_004M,B22010_005E,B22010_005M,B22010_006E,B22010_006M,B22010_007E,B22010_007M,B22010_001M,B22010_001EA,B22010_001MA,B22010_002M,B22010_002EA,B22010_002MA,B22010_003M,B22010_003EA,B22010_003MA,B22010_004M,B22010_004EA,B22010_004MA,B22010_005M,B22010_005EA,B22010_005MA,B22010_006M,B22010_006EA,B22010_006MA,B22010_007M,B22010_007EA,B22010_007MA,state
7573456,23478,1077995,17496,457537,12849,620458,12854,6495461,22684,1519047,16201,4976414,23202,23478,null,null,17496,null,null,12849,null,null,12854,null,null,22684,null,null,16201,null,null,23202,null,null,12
3686135,15528,516772,11772,224732,7982,292040,8834,3169363,17329,731009,12791,2438354,20305,15528,null,null,11772,null,null,7982,null,null,8834,null,null,17329,null,null,12791,null,null,20305,null,null,13
455868,4824,54008,3530,26296,2777,27712,2311,401860,5330,91342,3420,310518,5268,4824,null,null,3530,null,null,2777,null,null,2311,null,null,5330,null,null,3420,null,null,5268,null,null,15
610872,4143,66302,4555,32337,2805,33965,3283,544570,6501,136521,5042,408049,6384,4143,null,null,4555,null,null,2805,null,null,3283,null,null,6501,null,null,5042,null,null,6384,null,null,16
4822046,12932,642115,11609,261502,7618,380613,10154,4179931,15057,832366,10683,3347565,16418,12932,null,null,11609,null,null,7618,null,null,10154,null,null,15057,null,null,10683,null,null,16418,null,null,17
2533270,10440,272445,7895,132073,5742,140372,5246,2260825,14041,563212,11134,1697613,14093,10440,null,null,7895,null,null,5742,null,null,5246,null,null,14041,null,null,11134,null,null,14093,null,null,18
1247932,7106,136100,5285,56477,3177,79623,4249,1111832,7121,230068,5176,881764,7820,7106,null,null,5285,null,null,3177,null,null,4249,null,null,7121,null,null,5176,null,null,7820,null,null,19
1110407,6778,88187,4495,43921,2644,44266,3579,1022220,7788,243860,5385,778360,8549,6778,null,null,4495,null,null,2644,null,null,3579,null,null,7788,null,null,5385,null,null,8549,null,null,20
1717706,9131,255718,8110,144564,6614,111154,6013,1461988,11667,437780,9654,1024208,11652,9131,null,null,8110,null,null,6614,null,null,6013,null,null,11667,null,null,9654,null,null,11652,null,null,21
1720801,8997,287164,8481,130979,5843,156185,6662,1433637,11102,372265,7841,1061372,10405,8997,null,null,8481,null,null,5843,null,null,6662,null,null,11102,null,null,7841,null,null,10405,null,null,22
531660,5774,75618,3639,42577,2770,33041,2697,456042,6095,110866,3955,345176,5476,5774,null,null,3639,null,null,2770,null,null,2697,null,null,6095,null,null,3955,null,null,5476,null,null,23
2194657,9484,241614,8561,109212,5520,132402,6875,1953043,10702,396058,8762,1556985,12684,9484,null,null,8561,null,null,5520,null,null,6875,null,null,10702,null,null,8762,null,null,12684,null,null,24
2579398,8290,308996,8472,163827,6810,145169,6414,2270402,11643,447963,8754,1822439,12564,8290,null,null,8472,null,null,6810,null,null,6414,null,null,11643,null,null,8754,null,null,12564,null,null,25
3884153,13696,547147,9670,273069,7840,274078,6789,3337006,12719,815575,11757,2521431,16190,13696,null,null,9670,null,null,7840,null,null,6789,null,null,12719,null,null,11757,null,null,16190,null,null,26
2148725,7378,176238,5103,87634,4981,88604,4033,1972487,8530,386232,6400,1586255,9263,7378,null,null,5103,null,null,4981,null,null,4033,null,null,8530,null,null,6400,null,null,9263,null,null,27
1091245,8803,171868,6020,79432,4465,92436,4647,919377,8397,261306,6277,658071,9352,8803,null,null,6020,null,null,4465,null,null,4647,null,null,8397,null,null,6277,null,null,9352,null,null,28
2372190,10844,271761,8679,141812,5997,129949,5987,2100429,13248,529873,8344,1570556,13677,10844,null,null,8679,null,null,5997,null,null,5987,null,null,13248,null,null,8344,null,null,13677,null,null,29
416125,4426,43952,3325,22648,2515,21304,2342,372173,4868,92892,3912,279281,4979,4426,null,null,3325,null,null,2515,null,null,2342,null,null,4868,null,null,3912,null,null,4979,null,null,30
747562,4452,66941,4216,30572,2306,36369,2994,680621,6027,148059,4139,532562,5805,4452,null,null,4216,null,null,2306,null,null,2994,null,null,6027,null,null,4139,null,null,5805,null,null,31
1055158,6433,138304,6792,58880,3848,79424,5592,916854,9019,219426,5872,697428,10227,6433,null,null,6792,null,null,3848,null,null,5592,null,null,9019,null,null,5872,null,null,10227,null,null,32
520643,5191,37102,2960,19772,2080,17330,2072,483541,5443,110078,4657,373463,6130,5191,null,null,2960,null,null,2080,null,null,2072,null,null,5443,null,null,4657,null,null,6130,null,null,33
3194519,10274,300924,8327,123049,5608,177875,7070,2893595,13923,594940,13091,2298655,16240,10274,null,null,8327,null,null,5608,null,null,7070,null,null,13923,null,null,13091,null,null,16240,null,null,34
758364,6296,127832,5229,54650,3523,73182,4828,630532,7224,165721,4891,464811,7649,6296,null,null,5229,null,null,3523,null,null,4828,null,null,7224,null,null,4891,null,null,7649,null,null,35
7209054,17665,1080612,16413,516456,11777,564156,12258,6128442,24705,1197730,15002,4930712,23297,17665,null,null,16413,null,null,11777,null,null,12258,null,null,24705,null,null,15002,null,null,23297,null,null,36
3882423,16063,523899,11421,235117,7383,288782,9778,3358524,16292,795864,11633,2562660,16274,16063,null,null,11421,null,null,7383,null,null,9778,null,null,16292,null,null,11633,null,null,16274,null,null,37
315134,3356,22783,2155,11237,1438,11546,1562,292351,3561,58021,3095,234330,4447,3356,null,null,2155,null,null,1438,null,null,1562,null,null,3561,null,null,3095,null,null,4447,null,null,38
4624669,14929,640303,10648,325479,7706,314824,9199,3984366,17149,938100,12043,3046266,17280,14929,null,null,10648,null,null,7706,null,null,9199,null,null,17149,null,null,12043,null,null,17280,null,null,39
1469342,7193,195296,5758,98769,3904,96527,4359,1274046,8741,363202,6792,910844,8215,7193,null,null,5758,null,null,3904,null,null,4359,null,null,8741,null,null,6792,null,null,8215,null,null,40
1571678,6691,263647,8859,125118,6119,138529,6525,1308031,10124,321860,7051,986171,11036,6691,null,null,8859,null,null,6119,null,null,6525,null,null,10124,null,null,7051,null,null,11036,null,null,41
4937771,13721,660314,12137,340162,8137,320152,8507,4277457,17434,1008952,12655,3268505,16926,13721,null,null,12137,null,null,8137,null,null,8507,null,null,17434,null,null,12655,null,null,16926,null,null,42
