B19301A_001E,B19301A_001M,B19301A_001M,B19301A_001EA,B19301A_001MA,state
31531,247,247,null,null,12
33027,418,418,null,null,13
44408,1664,1664,null,null,15
26704,700,700,null,null,16
36720,287,287,null,null,17
29152,279,279,null,null,18
31222,406,406,null,null,19
30652,383,383,null,null,20
27195,350,350,null,null,21
31175,486,486,null,null,22
30288,552,552,null,null,23
44867,513,513,null,null,24
43306,370,370,null,null,25
31470,232,232,null,null,26
37346,351,351,null,null,27
27827,554,554,null,null,28
30193,355,355,null,null,29
30637,808,808,null,null,30
31564,404,404,null,null,31
31826,566,566,null,null,32
37031,708,708,null,null,33
43199,393,393,null,null,34
27577,640,640,null,null,35
41937,323,323,null,null,36
31848,346,346,null,null,37
35453,1043,1043,null,null,38
31362,250,250,null,null,39
28657,350,350,null,null,40
32356,337,337,null,null,41
33731,205,205,null,null,42
36249,905,905,null,null,44
31518,488,488,null,null,45
31540,967,967,null,null,46
29184,327,327,null,null,47
30546,187,187,null,null,48
28513,427,427,null,null,49
32544,736,736,null,null,50
40210,375,375,null,null,51
37948,405,405,null,null,53
25214,509,509,null,null,54
32935,309,309,null,null,55
30680,839,839,null,null,56
12775,331,331,null,null,72
29115,420,420,null,null,01
41061,1158,1158,null,null,02
30943,370,370,null,null,04
26543,413,413,null,null,05
37847,231,231,null,null,06
36641,386,386,null,null,08
45980,587,587,null,null,09
35127,833,833,null,null,10
78171,2925,2925,null,null,11
