B25003G_001E,B25003G_001M,B25003G_002E,B25003G_002M,B25003G_003E,B25003G_003M,B25003G_001M,B25003G_001EA,B25003G_001MA,B25003G_002M,B25003G_002EA,B25003G_002MA,B25003G_003M,B25003G_003EA,B25003G_003MA,state
120572,5916,61440,4330,59132,4267,5916,null,null,4330,null,null,4267,null,null,12
53596,3851,27817,2196,25779,2913,3851,null,null,2196,null,null,2913,null,null,13
75692,3440,39349,2373,36343,2816,3440,null,null,2373,null,null,2816,null,null,15
11522,1651,5779,1226,5743,1287,1651,null,null,1226,null,null,1287,null,null,16
71132,4250,33714,2312,37418,3175,4250,null,null,2312,null,null,3175,null,null,17
31134,3208,14566,1950,16568,2404,3208,null,null,1950,null,null,2404,null,null,18
11402,1623,5588,990,5814,1311,1623,null,null,990,null,null,1311,null,null,19
22146,2177,12211,1635,9935,1502,2177,null,null,1635,null,null,1502,null,null,20
19627,2419,9370,1623,10257,1777,2419,null,null,1623,null,null,1777,null,null,21
21442,2606,12047,1768,9395,1911,2606,null,null,1768,null,null,1911,null,null,22
7440,1163,3492,898,3948,873,1163,null,null,898,null,null,873,null,null,23
42673,3433,23768,2326,18905,2545,3433,null,null,2326,null,null,2545,null,null,24
47902,4086,17903,2127,29999,3062,4086,null,null,2127,null,null,3062,null,null,25
73615,3838,39381,3032,34234,2807,3838,null,null,3032,null,null,2807,null,null,26
30369,2529,15008,1687,15361,1774,2529,null,null,1687,null,null,1774,null,null,27
7108,1594,4817,1391,2291,841,1594,null,null,1391,null,null,841,null,null,28
34278,2999,17272,2089,17006,2189,2999,null,null,2089,null,null,2189,null,null,29
9077,1756,4716,1120,4361,1320,1756,null,null,1120,null,null,1320,null,null,30
8979,1249,3514,737,5465,1136,1249,null,null,737,null,null,1136,null,null,31
31659,2558,13180,1467,18479,2293,2558,null,null,1467,null,null,2293,null,null,32
7270,1286,3097,793,4173,1099,1286,null,null,793,null,null,1099,null,null,33
52673,3655,26297,2218,26376,2900,3655,null,null,2218,null,null,2900,null,null,34
17033,2405,11155,1986,5878,1133,2405,null,null,1986,null,null,1133,null,null,35
145266,6836,46432,3534,98834,5675,6836,null,null,3534,null,null,5675,null,null,36
58430,4204,27843,2721,30587,2922,4204,null,null,2721,null,null,2922,null,null,37
6607,1293,2639,835,3968,1071,1293,null,null,835,null,null,1071,null,null,38
70181,4263,28114,2227,42067,3292,4263,null,null,2227,null,null,3292,null,null,39
83857,3418,47273,2443,36584,2375,3418,null,null,2443,null,null,2375,null,null,40
54202,3624,26251,2021,27951,3273,3624,null,null,2021,null,null,3273,null,null,41
67414,4429,30348,2499,37066,3427,4429,null,null,2499,null,null,3427,null,null,42
7122,1425,2191,586,4931,1320,1425,null,null,586,null,null,1320,null,null,44
19717,2342,10031,1419,9686,1785,2342,null,null,1419,null,null,1785,null,null,45
4180,1061,1618,640,2562,841,1061,null,null,640,null,null,841,null,null,46
33558,2914,16583,1963,16975,2194,2914,null,null,1963,null,null,2194,null,null,47
176217,7266,88418,4708,87799,5549,7266,null,null,4708,null,null,5549,null,null,48
16870,2009,8391,1423,8479,1555,2009,null,null,1423,null,null,1555,null,null,49
3312,789,1570,428,1742,736,789,null,null,428,null,null,736,null,null,50
68193,4023,34007,3034,34186,2805,4023,null,null,3034,null,null,2805,null,null,51
99218,4566,40564,2865,58654,4166,4566,null,null,2865,null,null,4166,null,null,53
6814,1340,3035,789,3779,1221,1340,null,null,789,null,null,1221,null,null,54
27356,2257,11876,1552,15480,1666,2257,null,null,1552,null,null,1666,null,null,55
4766,1176,2769,920,1997,718,1176,null,null,920,null,null,718,null,null,56
49739,3093,31344,2762,18395,2138,3093,null,null,2762,null,null,2138,null,null,72
21201,2198,14487,1632,6714,1397,2198,null,null,1632,null,null,1397,null,null,01
13072,1589,7106,1306,5966,1112,1589,null,null,1306,null,null,1112,null,null,02
57337,4091,26132,2773,31205,3096,4091,null,null,2773,null,null,3096,null,null,04
20377,2340,9849,1460,10528,1835,2340,null,null,1460,null,null,1835,null,null,05
429861,9383,195586,5522,234275,7791,9383,null,null,5522,null,null,7791,null,null,06
45950,3191,23948,2006,22002,2362,3191,null,null,2006,null,null,2362,null,null,08
25942,2761,10704,1537,15238,2124,2761,null,null,1537,null,null,2124,null,null,09
5922,1267,2739,912,3183,1011,1267,null,null,912,null,null,1011,null,null,10
6578,1162,2471,692,4107,924,1162,null,null,692,null,null,924,null,null,11
