B19013A_001E,B19013A_001M,B19013A_001M,B19013A_001EA,B19013A_001MA,state
53072,426,426,null,null,12
61005,601,601,null,null,13
75327,3683,3683,null,null,15
52485,1139,1139,null,null,16
66582,557,557,null,null,17
55435,516,516,null,null,18
57916,940,940,null,null,19
57117,881,881,null,null,20
48613,715,715,null,null,21
55134,914,914,null,null,22
53640,1486,1486,null,null,23
87776,1069,1069,null,null,24
79488,1034,1034,null,null,25
56526,449,449,null,null,26
68090,665,665,null,null,27
51834,909,909,null,null,28
54829,595,595,null,null,29
51263,1124,1124,null,null,30
59082,1044,1044,null,null,31
58853,1073,1073,null,null,32
71383,1422,1422,null,null,33
81536,680,680,null,null,34
49483,1314,1314,null,null,35
70871,494,494,null,null,36
55656,548,548,null,null,37
63383,2022,2022,null,null,38
56579,333,333,null,null,39
52400,566,566,null,null,40
58457,868,868,null,null,41
60595,326,326,null,null,42
63122,1899,1899,null,null,44
56774,698,698,null,null,45
57070,1124,1124,null,null,46
51488,517,517,null,null,47
59891,390,390,null,null,48
68087,1161,1161,null,null,49
58439,1777,1777,null,null,50
73314,828,828,null,null,51
69048,808,808,null,null,53
43847,1179,1179,null,null,54
59512,679,679,null,null,55
60108,2202,2202,null,null,56
21244,447,447,null,null,72
52104,576,576,null,null,01
82684,1952,1952,null,null,02
56051,593,593,null,null,04
48056,894,894,null,null,05
71225,320,320,null,null,06
67825,899,899,null,null,08
80474,980,980,null,null,09
66664,1782,1782,null,null,10
125747,5102,5102,null,null,11
