B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,B17020A_001M,B17020A_001EA,B17020A_001MA,B17020A_002M,B17020A_002EA,B17020A_002MA,B17020A_003M,B17020A_003EA,B17020A_003MA,B17020A_004M,B17020A_004EA,B17020A_004MA,B17020A_005M,B17020A_005EA,B17020A_005MA,B17020A_006M,B17020A_006EA,B17020A_006MA,B17020A_007M,B17020A_007EA,B17020A_007MA,B17020A_008M,B17020A_008EA,B17020A_008MA,B17020A_009M,B17020A_009EA,B17020A_009MA,B17020A_010M,B17020A_010EA,B17020A_010MA,B17020A_011M,B17020A_011EA,B17020A_011MA,B17020A_012M,B17020A_012EA,B17020A_012MA,B17020A_013M,B17020A_013EA,B17020A_013MA,B17020A_014M,B17020A_014EA,B17020A_014MA,B17020A_015M,B17020A_015EA,B17020A_015MA,B17020A_016M,B17020A_016EA,B17020A_016MA,B17020A_017M,B17020A_017EA,B17020A_017MA,state
15297475,28640,1955736,36079,165984,8507,160197,7201,146216,7990,1027623,23950,298396,9430,105778,5516,51542,3949,13341739,44168,705442,10751,750704,13024,813890,13681,6946569,33395,2708101,18430,1002271,10376,414762,9573,28640,null,null,36079,null,null,8507,null,null,7201,null,null,7990,null,null,23950,null,null,9430,null,null,5516,null,null,3949,null,null,44168,null,null,10751,null,null,13024,null,null,13681,null,null,33395,null,null,18430,null,null,10376,null,null,9573,null,null,12
5921764,18308,702036,23141,68183,4574,76249,7010,57659,5006,390028,13472,78414,4890,23307,2170,8196,1227,5219728,29486,321958,8859,366064,10593,403320,9017,2893100,18140,893846,9313,254102,4519,87338,3985,18308,null,null,23141,null,null,4574,null,null,7010,null,null,5006,null,null,13472,null,null,4890,null,null,2170,null,null,1227,null,null,29486,null,null,8859,null,null,10593,null,null,9017,null,null,18140,null,null,9313,null,null,4519,null,null,3985,null,null,13
342665,5406,29817,3741,1734,791,1220,590,529,296,17447,2534,7610,1657,671,272,606,299,312848,6674,21375,2079,15786,2039,13928,1634,176564,3875,64286,2614,14681,1121,6228,1029,5406,null,null,3741,null,null,791,null,null,590,null,null,296,null,null,2534,null,null,1657,null,null,272,null,null,299,null,null,6674,null,null,2079,null,null,2039,null,null,1634,null,null,3875,null,null,2614,null,null,1121,null,null,1029,null,null,15
1483574,7428,201928,13251,22170,3267,21041,3247,19539,2961,106983,7496,22025,2742,6718,1250,3452,959,1281646,15794,90097,3713,110444,4484,106493,4247,669606,8683,219848,4648,62169,2466,22989,2162,7428,null,null,13251,null,null,3267,null,null,3247,null,null,2961,null,null,7496,null,null,2742,null,null,1250,null,null,959,null,null,15794,null,null,3713,null,null,4484,null,null,4247,null,null,8683,null,null,4648,null,null,2466,null,null,2162,null,null,16
8935694,24352,870223,25547,76877,5583,79925,5591,73075,5130,481361,14732,106361,5046,33249,2626,19375,2059,8065471,33778,510923,7494,550781,8479,592006,9906,4485903,21510,1360901,11169,391751,5436,173206,5209,24352,null,null,25547,null,null,5583,null,null,5591,null,null,5130,null,null,14732,null,null,5046,null,null,2626,null,null,2059,null,null,33778,null,null,7494,null,null,8479,null,null,9906,null,null,21510,null,null,11169,null,null,5436,null,null,5209,null,null,17
5381933,11449,631702,19921,65683,4322,62136,4777,54815,4009,357235,12176,61580,4135,21328,2139,8925,1298,4750231,22404,316311,5525,338545,7109,359527,6156,2587300,15336,822522,7263,235955,4357,90071,3794,11449,null,null,19921,null,null,4322,null,null,4777,null,null,4009,null,null,12176,null,null,4135,null,null,2139,null,null,1298,null,null,22404,null,null,5525,null,null,7109,null,null,6156,null,null,15336,null,null,7263,null,null,4357,null,null,3794,null,null,18
2743375,5730,280867,11409,28733,3189,26258,3137,17963,2134,162725,6407,26561,2128,11044,1490,7583,1412,2462508,12165,167701,3949,182367,4398,187773,5356,1298749,8273,435455,4650,132619,2850,57844,2539,5730,null,null,11409,null,null,3189,null,null,3137,null,null,2134,null,null,6407,null,null,2128,null,null,1490,null,null,1412,null,null,12165,null,null,3949,null,null,4398,null,null,5356,null,null,8273,null,null,4650,null,null,2850,null,null,2539,null,null,19
2395804,7516,258463,12419,23282,3084,26586,3230,18912,2234,147619,7269,26040,2689,10301,1359,5723,964,2137341,13772,159085,3990,165400,5543,168400,4189,1138781,8847,356005,4975,105320,2924,44350,2824,7516,null,null,12419,null,null,3084,null,null,3230,null,null,2234,null,null,7269,null,null,2689,null,null,1359,null,null,964,null,null,13772,null,null,3990,null,null,5543,null,null,4189,null,null,8847,null,null,4975,null,null,2924,null,null,2824,null,null,20
3757964,6878,642088,20993,63351,4932,63553,3941,55327,4721,357364,12038,72268,4871,20764,2465,9461,1601,3115876,21635,193774,5349,216448,5564,223269,5919,1705387,13972,562562,7649,159822,3687,54614,3118,6878,null,null,20993,null,null,4932,null,null,3941,null,null,4721,null,null,12038,null,null,4871,null,null,2465,null,null,1601,null,null,21635,null,null,5349,null,null,5564,null,null,5919,null,null,13972,null,null,7649,null,null,3687,null,null,3118,null,null,21
2839659,6968,362321,16389,31077,4166,31701,3857,27077,3670,207783,9828,44566,3618,13147,1632,6970,1126,2477338,17359,169286,4959,163516,5024,180537,5574,1358813,11295,431726,5920,126671,3267,46789,3005,6968,null,null,16389,null,null,4166,null,null,3857,null,null,3670,null,null,9828,null,null,3618,null,null,1632,null,null,1126,null,null,17359,null,null,4959,null,null,5024,null,null,5574,null,null,11295,null,null,5920,null,null,3267,null,null,3005,null,null,22
