B01002F_001E,B01002F_001M,B01002F_002E,B01002F_002M,B01002F_003E,B01002F_003M,B01002F_001M,B01002F_001EA,B01002F_001MA,B01002F_002M,B01002F_002EA,B01002F_002MA,B01002F_003M,B01002F_003EA,B01002F_003MA,state
31.9,0.8,31.3,1.2,32.7,1.4,0.8,null,null,1.2,null,null,1.4,null,null,12
27.3,1.3,28.1,1.9,26.3,1.8,1.3,null,null,1.9,null,null,1.8,null,null,13
32.0,4.4,32.3,6.5,31.5,5.1,4.4,null,null,6.5,null,null,5.1,null,null,15
22.9,1.0,22.8,2.2,22.9,1.1,1.0,null,null,2.2,null,null,1.1,null,null,16
28.8,0.4,29.0,0.6,28.5,0.6,0.4,null,null,0.6,null,null,0.6,null,null,17
26.5,1.2,27.8,1.2,25.5,0.7,1.2,null,null,1.2,null,null,0.7,null,null,18
27.3,2.6,29.6,4.6,26.1,3.9,2.6,null,null,4.6,null,null,3.9,null,null,19
27.9,2.5,27.5,2.3,28.2,4.1,2.5,null,null,2.3,null,null,4.1,null,null,20
28.7,2.0,30.7,4.9,28.1,2.5,2.0,null,null,4.9,null,null,2.5,null,null,21
29.0,1.9,29.7,2.4,28.6,2.3,1.9,null,null,2.4,null,null,2.3,null,null,22
29.5,5.6,46.6,24.9,29.1,5.6,5.6,null,null,24.9,null,null,5.6,null,null,23
30.3,0.6,30.3,0.7,30.5,1.2,0.6,null,null,0.7,null,null,1.2,null,null,24
29.9,0.8,29.1,1.2,30.8,1.0,0.8,null,null,1.2,null,null,1.0,null,null,25
28.4,1.3,27.9,1.7,29.0,1.9,1.3,null,null,1.7,null,null,1.9,null,null,26
26.7,0.8,27.5,1.4,25.8,2.4,0.8,null,null,1.4,null,null,2.4,null,null,27
28.5,2.9,28.9,4.2,28.4,4.5,2.9,null,null,4.2,null,null,4.5,null,null,28
23.2,1.3,23.1,1.5,23.2,2.5,1.3,null,null,1.5,null,null,2.5,null,null,29
28.4,11.1,28.6,9.3,18.8,24.7,11.1,null,null,9.3,null,null,24.7,null,null,30
26.1,4.0,28.2,2.9,23.4,4.1,4.0,null,null,2.9,null,null,4.1,null,null,31
29.1,1.0,29.6,1.2,28.7,1.1,1.0,null,null,1.2,null,null,1.1,null,null,32
33.8,6.6,33.1,9.7,35.6,6.9,6.6,null,null,9.7,null,null,6.9,null,null,33
30.8,0.5,30.4,0.5,31.5,0.8,0.5,null,null,0.5,null,null,0.8,null,null,34
35.1,1.1,34.1,1.4,37.2,1.6,1.1,null,null,1.4,null,null,1.6,null,null,35
31.1,0.4,30.2,0.4,32.4,0.6,0.4,null,null,0.4,null,null,0.6,null,null,36
25.5,0.8,26.0,1.2,24.7,1.1,0.8,null,null,1.2,null,null,1.1,null,null,37
29.1,6.4,29.3,8.4,27.8,9.8,6.4,null,null,8.4,null,null,9.8,null,null,38
28.3,1.3,30.1,1.9,25.7,2.3,1.3,null,null,1.9,null,null,2.3,null,null,39
26.0,1.0,26.6,1.4,25.4,1.2,1.0,null,null,1.4,null,null,1.2,null,null,40
29.0,1.6,29.6,1.8,27.5,2.7,1.6,null,null,1.8,null,null,2.7,null,null,41
27.5,0.8,26.8,1.2,28.1,1.1,0.8,null,null,1.2,null,null,1.1,null,null,42
27.4,1.8,26.5,3.1,27.8,2.0,1.8,null,null,3.1,null,null,2.0,null,null,44
25.5,2.0,24.9,2.6,26.0,2.9,2.0,null,null,2.6,null,null,2.9,null,null,45
29.1,4.6,29.4,5.4,25.3,21.6,4.6,null,null,5.4,null,null,21.6,null,null,46
23.5,1.6,23.5,1.8,23.6,3.6,1.6,null,null,1.8,null,null,3.6,null,null,47
30.3,0.5,30.4,0.6,30.3,0.6,0.5,null,null,0.6,null,null,0.6,null,null,48
26.6,0.9,26.9,1.3,26.1,1.3,0.9,null,null,1.3,null,null,1.3,null,null,49
17.7,5.8,15.6,2.9,25.0,6.0,5.8,null,null,2.9,null,null,6.0,null,null,50
29.7,1.0,29.9,1.1,29.3,1.7,1.0,null,null,1.1,null,null,1.7,null,null,51
26.0,0.7,26.1,0.9,25.8,1.1,0.7,null,null,0.9,null,null,1.1,null,null,53
33.3,7.3,35.1,9.6,32.5,8.6,7.3,null,null,9.6,null,null,8.6,null,null,54
26.9,1.2,27.5,1.5,26.1,1.7,1.2,null,null,1.5,null,null,1.7,null,null,55
34.9,10.3,40.7,17.2,32.5,9.5,10.3,null,null,17.2,null,null,9.5,null,null,56
37.6,0.9,36.0,1.2,39.0,1.1,0.9,null,null,1.2,null,null,1.1,null,null,72
24.7,1.9,26.0,2.0,22.7,3.5,1.9,null,null,2.0,null,null,3.5,null,null,01
28.7,2.5,30.2,12.9,28.3,3.1,2.5,null,null,12.9,null,null,3.1,null,null,02
27.6,0.6,27.3,0.7,28.0,0.9,0.6,null,null,0.7,null,null,0.9,null,null,04
23.5,2.0,24.7,1.9,21.7,2.2,2.0,null,null,1.9,null,null,2.2,null,null,05
29.7,0.3,29.4,0.3,29.9,0.3,0.3,null,null,0.3,null,null,0.3,null,null,06
30.1,1.0,29.1,1.6,30.9,1.2,1.0,null,null,1.6,null,null,1.2,null,null,08
31.0,1.0,29.6,1.3,32.3,1.7,1.0,null,null,1.3,null,null,1.7,null,null,09
29.1,3.4,29.2,2.6,29.0,9.1,3.4,null,null,2.6,null,null,9.1,null,null,10
27.9,1.8,27.4,0.9,29.5,2.0,1.8,null,null,0.9,null,null,2.0,null,null,11
