B99221_001E,B99221_002E,B99221_003E,B99221_001EA,B99221_002EA,B99221_003EA,state
7573456,165561,7407895,null,null,null,12
3686135,60655,3625480,null,null,null,13
455868,7318,448550,null,null,null,15
610872,9411,601461,null,null,null,16
4822046,72339,4749707,null,null,null,17
2533270,33990,2499280,null,null,null,18
1247932,20695,1227237,null,null,null,19
1110407,16339,1094068,null,null,null,20
1717706,26461,1691245,null,null,null,21
1720801,25612,1695189,null,null,null,22
531660,6654,525006,null,null,null,23
2194657,37753,2156904,null,null,null,24
2579398,44492,2534906,null,null,null,25
3884153,66702,3817451,null,null,null,26
2148725,31797,2116928,null,null,null,27
1091245,15235,1076010,null,null,null,28
2372190,41304,2330886,null,null,null,29
416125,8843,407282,null,null,null,30
747562,10135,737427,null,null,null,31
1055158,14419,1040739,null,null,null,32
520643,7886,512757,null,null,null,33
3194519,49312,3145207,null,null,null,34
758364,8126,750238,null,null,null,35
7209054,150287,7058767,null,null,null,36
3882423,65406,3817017,null,null,null,37
315134,6545,308589,null,null,null,38
4624669,70990,4553679,null,null,null,39
1469342,34595,1434747,null,null,null,40
1571678,25481,1546197,null,null,null,41
4937771,82009,4855762,null,null,null,42
408239,6029,402210,null,null,null,44
1877887,38026,1839861,null,null,null,45
334003,4957,329046,null,null,null,46
2556332,40215,2516117,null,null,null,47
9535612,125789,9409823,null,null,null,48
943147,9180,933967,null,null,null,49
254851,3384,251467,null,null,null,50
3120692,54134,3066558,null,null,null,51
2768076,40208,2727868,null,null,null,53
722125,8760,713365,null,null,null,54
2326998,32899,2294099,null,null,null,55
223619,2712,220907,null,null,null,56
1208438,17570,1190868,null,null,null,72
1852518,61895,1790623,null,null,null,01
248468,2398,246070,null,null,null,02
2519052,40363,2478689,null,null,null,04
1142718,22363,1120355,null,null,null,05
12944178,194146,12750032,null,null,null,06
2108992,30458,2078534,null,null,null,08
1357269,20573,1336696,null,null,null,09
351085,5804,345281,null,null,null,10
281241,7042,274199,null,null,null,11
