C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,C01001H_001M,C01001H_001EA,C01001H_001MA,C01001H_002M,C01001H_002EA,C01001H_002MA,C01001H_003M,C01001H_003EA,C01001H_003MA,C01001H_004M,C01001H_004EA,C01001H_004MA,C01001H_005M,C01001H_005EA,C01001H_005MA,C01001H_006M,C01001H_006EA,C01001H_006MA,C01001H_007M,C01001H_007EA,C01001H_007MA,C01001H_008M,C01001H_008EA,C01001H_008MA,C01001H_009M,C01001H_009EA,C01001H_009MA,state
11271384,6014,5525234,2811,900973,1919,3220359,2204,1403902,774,5746150,4256,856080,2209,3246922,2909,1643148,506,6014,null,null,2811,null,null,1919,null,null,2204,null,null,774,null,null,4256,null,null,2209,null,null,2909,null,null,506,null,null,12
5484889,4687,2697400,4521,565089,3999,1701689,1462,430622,584,2787489,3825,542580,3339,1711161,1312,533748,627,4687,null,null,4521,null,null,3999,null,null,1462,null,null,584,null,null,3825,null,null,3339,null,null,1312,null,null,627,null,null,13
315242,457,170544,1050,21643,1019,115725,165,33176,149,144698,927,20778,918,91888,133,32032,89,457,null,null,1050,null,null,1019,null,null,165,null,null,149,null,null,927,null,null,918,null,null,133,null,null,89,null,null,15
1385885,501,691694,1171,168478,1074,410774,301,112442,64,694191,1054,159520,1096,408937,223,125734,141,501,null,null,1171,null,null,1074,null,null,301,null,null,64,null,null,1054,null,null,1096,null,null,223,null,null,141,null,null,16
7886677,3458,3875242,2491,772140,1794,2472331,1416,630771,301,4011435,2282,734140,1654,2467562,1096,809733,307,3458,null,null,2491,null,null,1794,null,null,1416,null,null,301,null,null,2282,null,null,1654,null,null,1096,null,null,307,null,null,17
5273458,3121,2596881,2563,579603,1825,1623926,1324,393352,676,2676577,2185,545254,1709,1630817,1062,500506,525,3121,null,null,2563,null,null,1825,null,null,1324,null,null,676,null,null,2185,null,null,1709,null,null,1062,null,null,525,null,null,18
2708501,1895,1339476,1372,294828,1088,825124,853,219524,181,1369025,1391,279217,1133,814500,626,275308,347,1895,null,null,1372,null,null,1088,null,null,853,null,null,181,null,null,1391,null,null,1133,null,null,626,null,null,347,null,null,19
2216482,1432,1094832,1782,244418,1731,674854,376,175560,124,1121650,1601,232590,1465,670997,439,218063,107,1432,null,null,1782,null,null,1731,null,null,376,null,null,124,null,null,1601,null,null,1465,null,null,439,null,null,107,null,null,20
3765752,3843,1845747,3062,407309,2314,1156208,1058,282230,495,1920005,2391,388831,2041,1175910,1173,355264,163,3843,null,null,3062,null,null,2314,null,null,1058,null,null,495,null,null,2391,null,null,2041,null,null,1173,null,null,163,null,null,21
2754601,1816,1357580,2289,292740,2104,851195,664,213645,303,1397021,2312,277299,2061,853956,591,265766,165,1816,null,null,2289,null,null,2104,null,null,664,null,null,303,null,null,2312,null,null,2061,null,null,591,null,null,165,null,null,22
1243607,525,608233,590,115520,562,378783,63,113930,120,635374,698,109852,569,388468,310,137054,135,525,null,null,590,null,null,562,null,null,63,null,null,120,null,null,698,null,null,569,null,null,310,null,null,135,null,null,23
3092525,1782,1513568,1248,294190,790,959837,952,259541,127,1578957,1106,281090,767,972714,536,325153,162,1782,null,null,1248,null,null,790,null,null,952,null,null,127,null,null,1106,null,null,767,null,null,536,null,null,162,null,null,24
4928862,6399,2386058,3010,438373,1133,1543833,2583,403852,531,2542804,4300,417272,1849,1596077,2925,529455,910,6399,null,null,3010,null,null,1133,null,null,2583,null,null,531,null,null,4300,null,null,1849,null,null,2925,null,null,910,null,null,25
7474930,2554,3693476,1740,754742,1235,2321098,909,617636,253,3781454,1686,716995,1108,2306907,1029,757552,294,2554,null,null,1740,null,null,1235,null,null,909,null,null,253,null,null,1686,null,null,1108,null,null,1029,null,null,294,null,null,26
4444184,2188,2204136,1344,461862,605,1390000,1105,352274,319,2240048,1308,438832,863,1372273,762,428943,143,2188,null,null,1344,null,null,605,null,null,1105,null,null,319,null,null,1308,null,null,863,null,null,762,null,null,143,null,null,27
1698241,978,833914,3157,181849,3038,508747,601,143318,592,864327,3126,173021,3023,511311,594,179995,457,978,null,null,3157,null,null,3038,null,null,601,null,null,592,null,null,3126,null,null,3023,null,null,594,null,null,457,null,null,28
4852074,2661,2386406,2268,517582,1713,1483261,1062,385563,320,2465668,2222,492790,1819,1490475,915,482403,257,2661,null,null,2268,null,null,1713,null,null,1062,null,null,320,null,null,2222,null,null,1819,null,null,915,null,null,257,null,null,29
900884,698,454336,710,91981,677,278372,190,83983,52,446548,942,86256,726,269512,395,90780,47,698,null,null,710,null,null,677,null,null,190,null,null,52,null,null,942,null,null,726,null,null,395,null,null,47,null,null,30
1519945,1020,752549,1117,168930,870,464436,509,119183,179,767396,1065,160854,959,458807,367,147735,234,1020,null,null,1117,null,null,870,null,null,509,null,null,179,null,null,1065,null,null,959,null,null,367,null,null,234,null,null,31
1463596,1646,745391,1347,124557,1170,466225,473,154609,172,718205,1710,116703,1274,438540,879,162962,215,1646,null,null,1347,null,null,1170,null,null,473,null,null,172,null,null,1710,null,null,1274,null,null,879,null,null,215,null,null,32
1211076,980,597962,965,114306,508,383787,780,99869,18,613114,686,108738,494,385366,394,119010,187,980,null,null,965,null,null,508,null,null,780,null,null,18,null,null,686,null,null,494,null,null,394,null,null,187,null,null,33
4966755,4507,2422632,2831,476154,1514,1514997,1647,431481,489,2544123,2689,452111,1722,1525739,1598,566273,523,4507,null,null,2831,null,null,1514,null,null,1647,null,null,489,null,null,2689,null,null,1722,null,null,1598,null,null,523,null,null,34
787250,1938,389834,1642,61173,1335,234893,924,93768,150,397416,1793,58160,1414,231419,1058,107837,534,1938,null,null,1642,null,null,1335,null,null,924,null,null,150,null,null,1793,null,null,1414,null,null,1058,null,null,534,null,null,35
10962313,6417,5363611,3799,1025621,2044,3414346,2739,923644,634,5598702,3658,975321,1656,3435110,2427,1188271,935,6417,null,null,3799,null,null,2044,null,null,2739,null,null,634,null,null,3658,null,null,1656,null,null,2427,null,null,935,null,null,36
