C18131_001E,C18131_001M,C18131_002E,C18131_002M,C18131_003E,C18131_003M,C18131_004E,C18131_004M,C18131_005E,C18131_005M,C18131_006E,C18131_006M,C18131_007E,C18131_007M,C18131_008E,C18131_008M,C18131_009E,C18131_009M,C18131_010E,C18131_010M,C18131_011E,C18131_011M,C18131_012E,C18131_012M,C18131_013E,C18131_013M,C18131_014E,C18131_014M,C18131_015E,C18131_015M,C18131_016E,C18131_016M,C18131_001M,C18131_001EA,C18131_001MA,C18131_002M,C18131_002EA,C18131_002MA,C18131_003M,C18131_003EA,C18131_003MA,C18131_004M,C18131_004EA,C18131_004MA,C18131_005M,C18131_005EA,C18131_005MA,C18131_006M,C18131_006EA,C18131_006MA,C18131_007M,C18131_007EA,C18131_007MA,C18131_008M,C18131_008EA,C18131_008MA,C18131_009M,C18131_009EA,C18131_009MA,C18131_010M,C18131_010EA,C18131_010MA,C18131_011M,C18131_011EA,C18131_011MA,C18131_012M,C18131_012EA,C18131_012MA,C18131_013M,C18131_013EA,C18131_013MA,C18131_014M,C18131_014EA,C18131_014MA,C18131_015M,C18131_015EA,C18131_015MA,C18131_016M,C18131_016EA,C18131_016MA,state
20145748,7639,1294791,34952,202605,8763,1092186,31833,1678084,45963,348510,13472,1329574,39959,2143003,40995,354704,12532,1788299,37542,2020598,49546,317516,11940,1703082,45058,13009272,66432,1533967,20255,11475305,65331,7639,null,null,34952,null,null,8763,null,null,31833,null,null,45963,null,null,13472,null,null,39959,null,null,40995,null,null,12532,null,null,37542,null,null,49546,null,null,11940,null,null,45058,null,null,66432,null,null,20255,null,null,65331,null,null,12
10005966,5761,727413,25259,110814,8303,616599,21756,874798,25083,170155,8751,704643,23407,971533,31345,177601,9012,793932,28558,952717,33720,152135,7774,800582,30409,6479505,43686,685843,15377,5793662,44966,5761,null,null,25259,null,null,8303,null,null,21756,null,null,25083,null,null,8751,null,null,23407,null,null,31345,null,null,9012,null,null,28558,null,null,33720,null,null,7774,null,null,30409,null,null,43686,null,null,15377,null,null,44966,null,null,13
1363852,2999,64841,7247,12264,2250,52577,6270,64357,7768,14423,2464,49934,6605,85900,9140,14587,1824,71313,8541,101706,9283,14446,2352,87260,8649,1047048,15088,100047,4871,947001,13838,2999,null,null,7247,null,null,2250,null,null,6270,null,null,7768,null,null,2464,null,null,6605,null,null,9140,null,null,1824,null,null,8541,null,null,9283,null,null,2352,null,null,8649,null,null,15088,null,null,4871,null,null,13838,null,null,15
1649941,1659,102062,8519,17258,2628,84804,7465,135329,11223,30983,3384,104346,9819,165641,12743,27761,3071,137880,11638,171553,11161,24930,2859,146623,10800,1075356,21707,123344,5827,952012,19978,1659,null,null,8519,null,null,2628,null,null,7465,null,null,11223,null,null,3384,null,null,9819,null,null,12743,null,null,3071,null,null,11638,null,null,11161,null,null,2859,null,null,10800,null,null,21707,null,null,5827,null,null,19978,null,null,16
12493182,4020,738806,22637,114921,5542,623885,21109,882672,26300,165655,7883,717017,24734,1011875,25648,166510,7607,845365,24743,1047791,31269,148923,6663,898868,29711,8812038,46759,788259,13024,8023779,44409,4020,null,null,22637,null,null,5542,null,null,21109,null,null,26300,null,null,7883,null,null,24734,null,null,25648,null,null,7607,null,null,24743,null,null,31269,null,null,6663,null,null,29711,null,null,46759,null,null,13024,null,null,44409,null,null,17
6429624,3231,409027,17568,73585,4074,335442,16565,496882,20320,114458,5993,382424,17672,578019,18660,111984,5896,466035,15828,602366,20389,101902,5820,500464,18717,4343330,30583,501010,11953,3842320,30378,3231,null,null,17568,null,null,4074,null,null,16565,null,null,20320,null,null,5993,null,null,17672,null,null,18660,null,null,5896,null,null,15828,null,null,20389,null,null,5820,null,null,18717,null,null,30583,null,null,11953,null,null,30378,null,null,18
3029733,2162,159453,8423,21983,2547,137470,8014,196925,10136,43024,3462,153901,9450,234039,11238,46072,3317,187967,9978,255686,11141,40885,3007,214801,10090,2183630,17857,208852,6310,1974778,19160,2162,null,null,8423,null,null,2547,null,null,8014,null,null,10136,null,null,3462,null,null,9450,null,null,11238,null,null,3317,null,null,9978,null,null,11141,null,null,3007,null,null,10090,null,null,17857,null,null,6310,null,null,19160,null,null,19
2814727,2418,151409,8426,25310,2458,126099,7821,190753,10982,41261,3338,149492,10403,258837,11719,46363,3550,212474,11168,262863,12423,40180,3749,222683,11080,1950865,19396,209646,5592,1741219,18580,2418,null,null,8426,null,null,2458,null,null,7821,null,null,10982,null,null,3338,null,null,10403,null,null,11719,null,null,3550,null,null,11168,null,null,12423,null,null,3749,null,null,11080,null,null,19396,null,null,5592,null,null,18580,null,null,20
4290711,3965,339263,14652,75943,4986,263320,12987,454501,18280,135819,6539,318682,15853,427568,15410,108524,6278,319044,13036,407443,15959,90225,5770,317218,13202,2661936,29362,363377,9887,2298559,28445,3965,null,null,14652,null,null,4986,null,null,12987,null,null,18280,null,null,6539,null,null,15853,null,null,15410,null,null,6278,null,null,13036,null,null,15959,null,null,5770,null,null,13202,null,null,29362,null,null,9887,null,null,28445,null,null,21
4533461,4771,395166,18505,69746,4732,325420,16133,522677,20870,118422,7205,404255,19169,456197,18791,102663,6662,353534,18383,418109,18519,83353,5757,334756,16704,2741312,31085,330478,11122,2410834,29568,4771,null,null,18505,null,null,4732,null,null,16133,null,null,20870,null,null,7205,null,null,19169,null,null,18791,null,null,6662,null,null,18383,null,null,18519,null,null,5757,null,null,16704,null,null,31085,null,null,11122,null,null,29568,null,null,22
1294414,1410,58948,5453,15430,2249,43518,4524,102801,7358,32204,3158,70597,6610,110049,9591,27186,3157,82863,8452,120743,8016,27177,2978,93566,6882,901873,13384,104572,4638,797301,12987,1410,null,null,5453,null,null,2249,null,null,4524,null,null,7358,null,null,3158,null,null,6610,null,null,9591,null,null,3157,null,null,8452,null,null,8016,null,null,2978,null,null,6882,null,null,13384,null,null,4638,null,null,12987,null,null,23
5854693,4187,271927,13127,50667,3415,221260,13022,295373,14342,64768,4872,230605,12225,338567,16640,59943,5263,278624,15004,380765,22102,55453,4424,325312,20622,4568061,31972,422843,10510,4145218,32024,4187,null,null,13127,null,null,3415,null,null,13022,null,null,14342,null,null,4872,null,null,12225,null,null,16640,null,null,5263,null,null,15004,null,null,22102,null,null,4424,null,null,20622,null,null,31972,null,null,10510,null,null,32024,null,null,24
