C16009_001E,C16009_001M,C16009_002E,C16009_002M,C16009_003E,C16009_003M,C16009_004E,C16009_004M,C16009_005E,C16009_005M,C16009_006E,C16009_006M,C16009_007E,C16009_007M,C16009_008E,C16009_008M,C16009_009E,C16009_009M,C16009_010E,C16009_010M,C16009_011E,C16009_011M,C16009_012E,C16009_012M,C16009_013E,C16009_013M,C16009_001M,C16009_001EA,C16009_001MA,C16009_002M,C16009_002EA,C16009_002MA,C16009_003M,C16009_003EA,C16009_003MA,C16009_004M,C16009_004EA,C16009_004MA,C16009_005M,C16009_005EA,C16009_005MA,C16009_006M,C16009_006EA,C16009_006MA,C16009_007M,C16009_007EA,C16009_007MA,C16009_008M,C16009_008EA,C16009_008MA,C16009_009M,C16009_009EA,C16009_009MA,C16009_010M,C16009_010EA,C16009_010MA,C16009_011M,C16009_011EA,C16009_011MA,C16009_012M,C16009_012EA,C16009_012MA,C16009_013M,C16009_013EA,C16009_013MA,state
19089947,6849,2717521,44443,1722498,32641,760235,26798,168568,12176,40999,7719,25221,5081,16372426,45338,11830366,48297,3334421,31403,839665,26843,264902,10993,103072,10204,6849,null,null,44443,null,null,32641,null,null,26798,null,null,12176,null,null,7719,null,null,5081,null,null,45338,null,null,48297,null,null,31403,null,null,26843,null,null,10993,null,null,10204,null,null,12
9395502,5405,1431406,30522,1182657,27632,173869,12683,29249,4806,26138,4250,19493,4433,7964096,31784,6892840,36509,577168,16019,221321,15044,194029,10135,78738,11555,5405,null,null,30522,null,null,27632,null,null,12683,null,null,4806,null,null,4250,null,null,4433,null,null,31784,null,null,36509,null,null,16019,null,null,15044,null,null,10135,null,null,11555,null,null,13
1300899,1488,120009,9472,78888,7287,2234,943,2313,976,35800,5491,774,388,1180890,9839,877372,13662,25364,3938,13665,2331,254874,11728,9615,2125,1488,null,null,9472,null,null,7287,null,null,943,null,null,976,null,null,5491,null,null,388,null,null,9839,null,null,13662,null,null,3938,null,null,2331,null,null,11728,null,null,2125,null,null,15
1539706,2154,213779,13990,181562,12641,23041,4451,4422,1731,1997,1074,2757,1903,1325927,13775,1193293,13059,100888,6249,19828,3841,8518,1856,3400,925,2154,null,null,13990,null,null,12641,null,null,4451,null,null,1731,null,null,1074,null,null,1903,null,null,13775,null,null,13059,null,null,6249,null,null,3841,null,null,1856,null,null,925,null,null,16
11745166,3957,1476189,31177,1081055,21766,261199,15399,64834,5780,43989,4826,25112,5366,10268977,32369,7950917,33587,1338679,21174,582171,18426,299474,9006,97736,10157,3957,null,null,31177,null,null,21766,null,null,15399,null,null,5780,null,null,4826,null,null,5366,null,null,32369,null,null,33587,null,null,21174,null,null,18426,null,null,9006,null,null,10157,null,null,17
6022182,3745,819212,20422,702337,18556,71982,7233,14898,2855,22414,3377,7581,2604,5202970,20495,4794218,22465,223523,9309,107396,7148,56938,5195,20895,4886,3745,null,null,20422,null,null,18556,null,null,7233,null,null,2855,null,null,3377,null,null,2604,null,null,20495,null,null,22465,null,null,9309,null,null,7148,null,null,5195,null,null,4886,null,null,18
2837436,2700,321901,10958,279368,9962,23583,3968,5443,1682,7072,1888,6435,2448,2515535,11381,2336759,11774,91853,5406,41370,4769,34667,3244,10886,2620,2700,null,null,10958,null,null,9962,null,null,3968,null,null,1682,null,null,1888,null,null,2448,null,null,11381,null,null,11774,null,null,5406,null,null,4769,null,null,3244,null,null,2620,null,null,19
2631637,2461,312674,12722,255394,10406,39213,5757,9098,2843,5692,1894,3277,1195,2318963,12497,2065457,13490,168734,6862,33448,4032,43206,5062,8118,2236,2461,null,null,12722,null,null,10406,null,null,5757,null,null,2843,null,null,1894,null,null,1195,null,null,12497,null,null,13490,null,null,6862,null,null,4032,null,null,5062,null,null,2236,null,null,20
4033020,3592,721655,21447,670465,19573,28849,3812,8778,2999,4057,1128,9506,3266,3311365,21597,3152638,22177,72857,5227,46542,5733,28236,2455,11092,2986,3592,null,null,21447,null,null,19573,null,null,3812,null,null,2999,null,null,1128,null,null,3266,null,null,21597,null,null,22177,null,null,5227,null,null,5733,null,null,2455,null,null,2986,null,null,21
4244409,5482,825997,22102,757551,21872,36756,5030,20697,2778,7330,1904,3663,2003,3418412,23392,3146111,24040,124256,6914,92176,4960,44544,3611,11325,3620,5482,null,null,22102,null,null,21872,null,null,5030,null,null,2778,null,null,1904,null,null,2003,null,null,23392,null,null,24040,null,null,6914,null,null,4960,null,null,3611,null,null,3620,null,null,22
