B05003E_001E,B05003E_001M,B05003E_002E,B05003E_002M,B05003E_003E,B05003E_003M,B05003E_004E,B05003E_004M,B05003E_005E,B05003E_005M,B05003E_006E,B05003E_006M,B05003E_007E,B05003E_007M,B05003E_008E,B05003E_008M,B05003E_009E,B05003E_009M,B05003E_010E,B05003E_010M,B05003E_011E,B05003E_011M,B05003E_012E,B05003E_012M,B05003E_013E,B05003E_013M,B05003E_014E,B05003E_014M,B05003E_015E,B05003E_015M,B05003E_016E,B05003E_016M,B05003E_017E,B05003E_017M,B05003E_018E,B05003E_018M,B05003E_019E,B05003E_019M,B05003E_020E,B05003E_020M,B05003E_021E,B05003E_021M,B05003E_022E,B05003E_022M,B05003E_023E,B05003E_023M,B05003E_001M,B05003E_001EA,B05003E_001MA,B05003E_002M,B05003E_002EA,B05003E_002MA,B05003E_003M,B05003E_003EA,B05003E_003MA,B05003E_004M,B05003E_004EA,B05003E_004MA,B05003E_005M,B05003E_005EA,B05003E_005MA,B05003E_006M,B05003E_006EA,B05003E_006MA,B05003E_007M,B05003E_007EA,B05003E_007MA,B05003E_008M,B05003E_008EA,B05003E_008MA,B05003E_009M,B05003E_009EA,B05003E_009MA,B05003E_010M,B05003E_010EA,B05003E_010MA,B05003E_011M,B05003E_011EA,B05003E_011MA,B05003E_012M,B05003E_012EA,B05003E_012MA,B05003E_013M,B05003E_013EA,B05003E_013MA,B05003E_014M,B05003E_014EA,B05003E_014MA,B05003E_015M,B05003E_015EA,B05003E_015MA,B05003E_016M,B05003E_016EA,B05003E_016MA,B05003E_017M,B05003E_017EA,B05003E_017MA,B05003E_018M,B05003E_018EA,B05003E_018MA,B05003E_019M,B05003E_019EA,B05003E_019MA,B05003E_020M,B05003E_020EA,B05003E_020MA,B05003E_021M,B05003E_021EA,B05003E_021MA,B05003E_022M,B05003E_022EA,B05003E_022MA,B05003E_023M,B05003E_023EA,B05003E_023MA,state
12540,2425,5637,1492,853,450,816,446,37,59,37,59,0,221,4784,1341,3766,1243,1018,490,575,379,443,286,6903,1551,1789,683,1729,680,60,100,60,100,0,221,5114,1326,4051,1218,1063,476,487,293,576,414,2425,null,null,1492,null,null,450,null,null,446,null,null,59,null,null,59,null,null,221,null,null,1341,null,null,1243,null,null,490,null,null,379,null,null,286,null,null,1551,null,null,683,null,null,680,null,null,100,null,null,100,null,null,221,null,null,1326,null,null,1218,null,null,476,null,null,293,null,null,414,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
144568,6675,72738,4429,20533,2679,19248,2793,1285,737,19,31,1266,737,52205,2807,42654,2724,9551,2332,1396,601,8155,2206,71830,3008,20048,1702,18667,1831,1381,671,0,185,1381,671,51782,1861,38871,2586,12911,2477,1129,548,11782,2492,6675,null,null,4429,null,null,2679,null,null,2793,null,null,737,null,null,31,null,null,737,null,null,2807,null,null,2724,null,null,2332,null,null,601,null,null,2206,null,null,3008,null,null,1702,null,null,1831,null,null,671,null,null,185,null,null,671,null,null,1861,null,null,2586,null,null,2477,null,null,548,null,null,2492,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3949,1754,1814,870,648,487,589,476,59,70,0,159,59,70,1166,628,720,396,446,353,91,90,355,288,2135,1027,1002,632,788,566,214,220,0,159,214,220,1133,620,692,512,441,332,53,96,388,322,1754,null,null,870,null,null,487,null,null,476,null,null,70,null,null,159,null,null,70,null,null,628,null,null,396,null,null,353,null,null,90,null,null,288,null,null,1027,null,null,632,null,null,566,null,null,220,null,null,159,null,null,220,null,null,620,null,null,512,null,null,332,null,null,96,null,null,322,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
