B15002E_001E,B15002E_001M,B15002E_002E,B15002E_002M,B15002E_003E,B15002E_003M,B15002E_004E,B15002E_004M,B15002E_005E,B15002E_005M,B15002E_006E,B15002E_006M,B15002E_007E,B15002E_007M,B15002E_008E,B15002E_008M,B15002E_009E,B15002E_009M,B15002E_010E,B15002E_010M,B15002E_011E,B15002E_011M,B15002E_012E,B15002E_012M,B15002E_013E,B15002E_013M,B15002E_014E,B15002E_014M,B15002E_015E,B15002E_015M,B15002E_016E,B15002E_016M,B15002E_017E,B15002E_017M,B15002E_018E,B15002E_018M,B15002E_019E,B15002E_019M,B15002E_001M,B15002E_001EA,B15002E_001MA,B15002E_002M,B15002E_002EA,B15002E_002MA,B15002E_003M,B15002E_003EA,B15002E_003MA,B15002E_004M,B15002E_004EA,B15002E_004MA,B15002E_005M,B15002E_005EA,B15002E_005MA,B15002E_006M,B15002E_006EA,B15002E_006MA,B15002E_007M,B15002E_007EA,B15002E_007MA,B15002E_008M,B15002E_008EA,B15002E_008MA,B15002E_009M,B15002E_009EA,B15002E_009MA,B15002E_010M,B15002E_010EA,B15002E_010MA,B15002E_011M,B15002E_011EA,B15002E_011MA,B15002E_012M,B15002E_012EA,B15002E_012MA,B15002E_013M,B15002E_013EA,B15002E_013MA,B15002E_014M,B15002E_014EA,B15002E_014MA,B15002E_015M,B15002E_015EA,B15002E_015MA,B15002E_016M,B15002E_016EA,B15002E_016MA,B15002E_017M,B15002E_017EA,B15002E_017MA,B15002E_018M,B15002E_018EA,B15002E_018MA,B15002E_019M,B15002E_019EA,B15002E_019MA,state
8418,1652,3927,983,412,338,380,273,1199,600,242,288,697,399,140,186,615,433,242,267,4491,1297,508,311,249,242,938,488,362,429,922,718,318,206,551,258,643,437,1652,null,null,983,null,null,338,null,null,273,null,null,600,null,null,288,null,null,399,null,null,186,null,null,433,null,null,267,null,null,1297,null,null,311,null,null,242,null,null,488,null,null,429,null,null,718,null,null,206,null,null,258,null,null,437,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
89184,3282,44332,2265,1642,586,3893,1040,19282,1887,1838,574,8925,1437,3678,1027,3620,892,1454,559,44852,1736,1875,829,3842,1088,16591,1771,695,341,10638,1314,5083,1170,4607,958,1521,706,3282,null,null,2265,null,null,586,null,null,1040,null,null,1887,null,null,574,null,null,1437,null,null,1027,null,null,892,null,null,559,null,null,1736,null,null,829,null,null,1088,null,null,1771,null,null,341,null,null,1314,null,null,1170,null,null,958,null,null,706,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
