C16005_001E,C16005_001M,C16005_002E,C16005_002M,C16005_003E,C16005_003M,C16005_004E,C16005_004M,C16005_005E,C16005_005M,C16005_006E,C16005_006M,C16005_007E,C16005_007M,C16005_008E,C16005_008M,C16005_009E,C16005_009M,C16005_010E,C16005_010M,C16005_011E,C16005_011M,C16005_012E,C16005_012M,C16005_013E,C16005_013M,C16005_014E,C16005_014M,C16005_015E,C16005_015M,C16005_016E,C16005_016M,C16005_017E,C16005_017M,C16005_018E,C16005_018M,C16005_019E,C16005_019M,C16005_020E,C16005_020M,C16005_021E,C16005_021M,C16005_022E,C16005_022M,C16005_023E,C16005_023M,C16005_024E,C16005_024M,C16005_025E,C16005_025M,C16005_026E,C16005_026M,C16005_027E,C16005_027M,C16005_028E,C16005_028M,C16005_029E,C16005_029M,C16005_001M,C16005_001EA,C16005_001MA,C16005_002M,C16005_002EA,C16005_002MA,C16005_003M,C16005_003EA,C16005_003MA,C16005_004M,C16005_004EA,C16005_004MA,C16005_005M,C16005_005EA,C16005_005MA,C16005_006M,C16005_006EA,C16005_006MA,C16005_007M,C16005_007EA,C16005_007MA,C16005_008M,C16005_008EA,C16005_008MA,C16005_009M,C16005_009EA,C16005_009MA,C16005_010M,C16005_010EA,C16005_010MA,C16005_011M,C16005_011EA,C16005_011MA,C16005_012M,C16005_012EA,C16005_012MA,C16005_013M,C16005_013EA,C16005_013MA,C16005_014M,C16005_014EA,C16005_014MA,C16005_015M,C16005_015EA,C16005_015MA,C16005_016M,C16005_016EA,C16005_016MA,C16005_017M,C16005_017EA,C16005_017MA,C16005_018M,C16005_018EA,C16005_018MA,C16005_019M,C16005_019EA,C16005_019MA,C16005_020M,C16005_020EA,C16005_020MA,C16005_021M,C16005_021EA,C16005_021MA,C16005_022M,C16005_022EA,C16005_022MA,C16005_023M,C16005_023EA,C16005_023MA,C16005_024M,C16005_024EA,C16005_024MA,C16005_025M,C16005_025EA,C16005_025MA,C16005_026M,C16005_026EA,C16005_026MA,C16005_027M,C16005_027EA,C16005_027MA,C16005_028M,C16005_028EA,C16005_028MA,C16005_029M,C16005_029EA,C16005_029MA,state
19494972,2952,15283452,36108,13053999,35775,1846578,27631,1501809,27494,344769,12782,285904,12963,259622,12829,26282,2992,59663,5254,51209,5020,8454,2020,37308,5698,32837,5392,4471,1640,4211520,35776,830664,18005,2302073,27591,821369,16311,1480704,25261,734462,23611,410093,15706,324369,14773,250458,10430,129506,7527,120952,8163,93863,8226,59359,5884,34504,5119,2952,null,null,36108,null,null,35775,null,null,27631,null,null,27494,null,null,12782,null,null,12963,null,null,12829,null,null,2992,null,null,5254,null,null,5020,null,null,2020,null,null,5698,null,null,5392,null,null,1640,null,null,35776,null,null,18005,null,null,27591,null,null,16311,null,null,25261,null,null,23611,null,null,15706,null,null,14773,null,null,10430,null,null,7527,null,null,8163,null,null,8226,null,null,5884,null,null,5119,null,null,12
9655493,4445,8626843,21913,8109657,25937,370472,11706,304918,10962,65554,5022,73188,6610,65457,6239,7731,1950,49601,4176,44066,3968,5535,1464,23925,5267,21285,5167,2640,1093,1028650,21437,194387,10682,397748,10897,113869,7562,283879,10635,183433,12339,120234,9799,63199,5620,176386,8222,78355,5708,98031,6627,76696,9696,50040,6580,26656,4947,4445,null,null,21913,null,null,25937,null,null,11706,null,null,10962,null,null,5022,null,null,6610,null,null,6239,null,null,1950,null,null,4176,null,null,3968,null,null,1464,null,null,5267,null,null,5167,null,null,1093,null,null,21437,null,null,10682,null,null,10897,null,null,7562,null,null,10635,null,null,12339,null,null,9799,null,null,5620,null,null,8222,null,null,5708,null,null,6627,null,null,9696,null,null,6580,null,null,4947,null,null,13
1337835,28,1076902,12696,941599,13677,19885,3021,16123,2347,3762,1340,8182,1871,6926,1546,1256,697,98457,6297,74952,5552,23505,2998,8779,1959,8210,1888,569,408,260933,12691,41421,3699,8926,2020,4786,1313,4140,1634,8512,1663,6409,1416,2103,734,200451,11391,72996,6336,127455,8229,1623,718,1240,684,383,251,28,null,null,12696,null,null,13677,null,null,3021,null,null,2347,null,null,1340,null,null,1871,null,null,1546,null,null,697,null,null,6297,null,null,5552,null,null,2998,null,null,1959,null,null,1888,null,null,408,null,null,12691,null,null,3699,null,null,2020,null,null,1313,null,null,1634,null,null,1663,null,null,1416,null,null,734,null,null,11391,null,null,6336,null,null,8229,null,null,718,null,null,684,null,null,251,null,null,15
1568997,1710,1471337,6047,1381129,7222,73603,5215,58212,4798,15391,2997,10984,2083,9473,2043,1511,532,2984,843,2542,755,442,317,2637,853,2204,753,433,276,97660,5927,17860,2113,53257,4004,17377,2695,35880,3438,14418,3199,8480,2017,5938,1823,8179,1840,3773,1316,4406,1100,3946,1881,1856,1156,2090,1311,1710,null,null,6047,null,null,7222,null,null,5215,null,null,4798,null,null,2997,null,null,2083,null,null,2043,null,null,532,null,null,843,null,null,755,null,null,317,null,null,853,null,null,753,null,null,276,null,null,5927,null,null,2113,null,null,4004,null,null,2695,null,null,3438,null,null,3199,null,null,2017,null,null,1823,null,null,1840,null,null,1316,null,null,1100,null,null,1881,null,null,1156,null,null,1311,null,null,16
12032049,2349,10259318,22449,9067175,25555,885094,15841,763368,14779,121726,6556,201828,9376,180018,8961,21810,2126,67745,4477,57187,3825,10558,1868,37476,5826,33887,5504,3589,1160,1772731,22474,203630,9071,739284,14664,241087,7986,498197,12369,456442,15152,244078,10007,212364,9825,285960,7719,149614,5838,136346,6533,87415,7941,49753,5407,37662,5180,2349,null,null,22449,null,null,25555,null,null,15841,null,null,14779,null,null,6556,null,null,9376,null,null,8961,null,null,2126,null,null,4477,null,null,3825,null,null,1868,null,null,5826,null,null,5504,null,null,1160,null,null,22474,null,null,9071,null,null,14664,null,null,7986,null,null,12369,null,null,15152,null,null,10007,null,null,9825,null,null,7719,null,null,5838,null,null,6533,null,null,7941,null,null,5407,null,null,5180,null,null,17
6212686,3036,5867849,10265,5607356,13084,168195,6655,138447,6298,29748,2901,71658,5934,56932,5416,14726,2426,13351,2224,11997,2136,1354,610,7289,2174,6036,1925,1253,672,344837,10447,62516,5170,133916,6279,46926,4522,86990,5273,53948,5502,34542,4054,19406,3281,72218,4856,30701,3352,41517,3813,22239,4459,14000,2889,8239,2418,3036,null,null,10265,null,null,13084,null,null,6655,null,null,6298,null,null,2901,null,null,5934,null,null,5416,null,null,2426,null,null,2224,null,null,2136,null,null,610,null,null,2174,null,null,1925,null,null,672,null,null,10447,null,null,5170,null,null,6279,null,null,4522,null,null,5273,null,null,5502,null,null,4054,null,null,3281,null,null,4856,null,null,3352,null,null,3813,null,null,4459,null,null,2889,null,null,2418,null,null,18
2937206,1804,2778511,5594,2682779,6981,62632,3705,50531,3581,12101,1701,20880,2880,16758,2507,4122,1256,8231,1566,5745,1373,2486,816,3989,1243,2837,857,1152,786,158695,5672,28273,2915,55574,3860,16038,1848,39536,3407,27062,3767,15723,2435,11339,2562,34291,3050,12481,2176,21810,2593,13495,3019,5720,1694,7775,2471,1804,null,null,5594,null,null,6981,null,null,3705,null,null,3581,null,null,1701,null,null,2880,null,null,2507,null,null,1256,null,null,1566,null,null,1373,null,null,816,null,null,1243,null,null,857,null,null,786,null,null,5672,null,null,2915,null,null,3860,null,null,1848,null,null,3407,null,null,3767,null,null,2435,null,null,2562,null,null,3050,null,null,2176,null,null,2593,null,null,3019,null,null,1694,null,null,2471,null,null,19
2709883,1979,2505602,7254,2366467,9287,109567,5063,94847,4682,14720,2060,17938,2616,16718,2516,1220,486,8857,1713,7996,1744,861,460,2773,1049,2450,963,323,357,204281,7463,27511,2698,101220,5382,30276,2773,70944,5201,25352,3305,16385,2465,8967,2393,41232,4932,16620,2466,24612,3405,8966,2242,5500,1626,3466,1188,1979,null,null,7254,null,null,9287,null,null,5063,null,null,4682,null,null,2060,null,null,2616,null,null,2516,null,null,486,null,null,1713,null,null,1744,null,null,460,null,null,1049,null,null,963,null,null,357,null,null,7463,null,null,2698,null,null,5382,null,null,2773,null,null,5201,null,null,3305,null,null,2465,null,null,2393,null,null,4932,null,null,2466,null,null,3405,null,null,2242,null,null,1626,null,null,1188,null,null,20
4164025,2784,4009853,7672,3916525,9217,56319,4174,47057,3356,9262,1918,25271,3737,20854,3495,4417,1183,6499,1421,5920,1340,579,316,5239,2061,4427,1969,812,734,154172,7348,30433,3417,49928,3572,15302,2430,34626,3148,31434,4596,17752,2947,13682,2703,26511,2358,11232,1650,15279,1803,15866,3729,5385,1419,10481,2868,2784,null,null,7672,null,null,9217,null,null,4174,null,null,3356,null,null,1918,null,null,3737,null,null,3495,null,null,1183,null,null,1421,null,null,1340,null,null,316,null,null,2061,null,null,1969,null,null,734,null,null,7348,null,null,3417,null,null,3572,null,null,2430,null,null,3148,null,null,4596,null,null,2947,null,null,2703,null,null,2358,null,null,1650,null,null,1803,null,null,3729,null,null,1419,null,null,2868,null,null,21
4374703,3568,4186607,7988,3992213,9650,77326,4856,61601,4379,15725,2704,97448,4421,81774,4304,15674,2037,12414,2192,10780,2010,1634,667,7206,2771,5184,2171,2022,1038,188096,7203,29512,2770,89834,5662,33904,3918,55930,4928,20279,3177,13422,2437,6857,1850,40100,3499,17577,2652,22523,2789,8371,2076,4558,1288,3813,1501,3568,null,null,7988,null,null,9650,null,null,4856,null,null,4379,null,null,2704,null,null,4421,null,null,4304,null,null,2037,null,null,2192,null,null,2010,null,null,667,null,null,2771,null,null,2171,null,null,1038,null,null,7203,null,null,2770,null,null,5662,null,null,3918,null,null,4928,null,null,3177,null,null,2437,null,null,1850,null,null,3499,null,null,2652,null,null,2789,null,null,2076,null,null,1288,null,null,1501,null,null,22
