B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,B27001G_001M,B27001G_001EA,B27001G_001MA,B27001G_002M,B27001G_002EA,B27001G_002MA,B27001G_003M,B27001G_003EA,B27001G_003MA,B27001G_004M,B27001G_004EA,B27001G_004MA,B27001G_005M,B27001G_005EA,B27001G_005MA,B27001G_006M,B27001G_006EA,B27001G_006MA,B27001G_007M,B27001G_007EA,B27001G_007MA,B27001G_008M,B27001G_008EA,B27001G_008MA,B27001G_009M,B27001G_009EA,B27001G_009MA,B27001G_010M,B27001G_010EA,B27001G_010MA,B27001G_011M,B27001G_011EA,B27001G_011MA,B27001G_012M,B27001G_012EA,B27001G_012MA,B27001G_013M,B27001G_013EA,B27001G_013MA,B27001G_014M,B27001G_014EA,B27001G_014MA,B27001G_015M,B27001G_015EA,B27001G_015MA,B27001G_016M,B27001G_016EA,B27001G_016MA,B27001G_017M,B27001G_017EA,B27001G_017MA,B27001G_018M,B27001G_018EA,B27001G_018MA,B27001G_019M,B27001G_019EA,B27001G_019MA,B27001G_020M,B27001G_020EA,B27001G_020MA,B27001G_021M,B27001G_021EA,B27001G_021MA,B27001G_022M,B27001G_022EA,B27001G_022MA,B27001G_023M,B27001G_023EA,B27001G_023MA,B27001G_024M,B27001G_024EA,B27001G_024MA,B27001G_025M,B27001G_025EA,B27001G_025MA,B27001G_026M,B27001G_026EA,B27001G_026MA,B27001G_027M,B27001G_027EA,B27001G_027MA,B27001G_028M,B27001G_028EA,B27001G_028MA,state
525117,21906,96467,7508,91790,7041,4677,1612,144973,9553,136627,9539,8346,2147,61027,5306,48052,4864,12975,2958,60806,5163,45591,4563,15215,2568,53856,5152,44845,4700,9011,2063,40153,3288,32532,3041,7621,1556,35927,2889,29392,2636,6535,1505,19993,3090,19190,3006,803,822,11915,1767,11915,1767,0,221,21906,null,null,7508,null,null,7041,null,null,1612,null,null,9553,null,null,9539,null,null,2147,null,null,5306,null,null,4864,null,null,2958,null,null,5163,null,null,4563,null,null,2568,null,null,5152,null,null,4700,null,null,2063,null,null,3288,null,null,3041,null,null,1556,null,null,2889,null,null,2636,null,null,1505,null,null,3090,null,null,3006,null,null,822,null,null,1767,null,null,1767,null,null,221,null,null,12
253693,14048,48976,3833,46803,3841,2173,877,81613,7227,76717,6721,4896,1497,29717,3589,25200,3368,4517,1471,27907,2999,21858,2682,6049,1404,21910,2809,18469,2755,3441,920,19163,2506,16755,2228,2408,939,12667,2346,11081,2201,1586,767,7322,1594,7197,1608,125,160,4418,1236,4418,1236,0,218,14048,null,null,3833,null,null,3841,null,null,877,null,null,7227,null,null,6721,null,null,1497,null,null,3589,null,null,3368,null,null,1471,null,null,2999,null,null,2682,null,null,1404,null,null,2809,null,null,2755,null,null,920,null,null,2506,null,null,2228,null,null,939,null,null,2346,null,null,2201,null,null,767,null,null,1594,null,null,1608,null,null,160,null,null,1236,null,null,1236,null,null,218,null,null,13
335708,13165,47687,3166,46715,3284,972,998,77452,5055,76042,5001,1410,725,35122,3088,33809,2992,1313,599,54390,3774,52818,3593,1572,624,35771,3161,34785,3135,986,468,35133,3523,33972,3517,1161,522,25574,1772,24648,1711,926,485,16332,1722,16268,1722,64,82,8247,1263,8247,1263,0,185,13165,null,null,3166,null,null,3284,null,null,998,null,null,5055,null,null,5001,null,null,725,null,null,3088,null,null,2992,null,null,599,null,null,3774,null,null,3593,null,null,624,null,null,3161,null,null,3135,null,null,468,null,null,3523,null,null,3517,null,null,522,null,null,1772,null,null,1711,null,null,485,null,null,1722,null,null,1722,null,null,82,null,null,1263,null,null,1263,null,null,185,null,null,15
41442,3100,7604,1957,7364,1907,240,273,10846,1806,10369,1789,477,420,5186,1264,4693,1220,493,368,5676,1342,4857,1296,819,511,2988,1045,2549,980,439,337,2941,871,2459,793,482,458,3157,1065,2678,880,479,389,2164,781,2093,789,71,121,880,396,817,383,63,118,3100,null,null,1957,null,null,1907,null,null,273,null,null,1806,null,null,1789,null,null,420,null,null,1264,null,null,1220,null,null,368,null,null,1342,null,null,1296,null,null,511,null,null,1045,null,null,980,null,null,337,null,null,871,null,null,793,null,null,458,null,null,1065,null,null,880,null,null,389,null,null,781,null,null,789,null,null,121,null,null,396,null,null,383,null,null,118,null,null,16
318610,14066,63015,5465,62305,5475,710,391,94051,6314,91709,5922,2342,1185,36566,3175,33934,3055,2632,836,43327,4007,39262,3687,4065,1093,29891,2869,26621,2676,3270,1114,21024,2315,19627,2244,1397,575,15916,2074,14251,1855,1665,672,10127,1521,10052,1535,75,92,4693,991,4693,991,0,185,14066,null,null,5465,null,null,5475,null,null,391,null,null,6314,null,null,5922,null,null,1185,null,null,3175,null,null,3055,null,null,836,null,null,4007,null,null,3687,null,null,1093,null,null,2869,null,null,2676,null,null,1114,null,null,2315,null,null,2244,null,null,575,null,null,2074,null,null,1855,null,null,672,null,null,1521,null,null,1535,null,null,92,null,null,991,null,null,991,null,null,185,null,null,17
156314,8717,31807,3688,30524,3741,1283,839,54541,4354,52009,4302,2532,1128,21261,2776,19167,2543,2094,817,17296,2375,15263,2177,2033,904,11207,1921,9838,1829,1369,663,7741,1615,6906,1498,835,672,6136,1378,5445,1278,691,399,4125,933,4095,921,30,51,2200,738,2200,738,0,192,8717,null,null,3688,null,null,3741,null,null,839,null,null,4354,null,null,4302,null,null,1128,null,null,2776,null,null,2543,null,null,817,null,null,2375,null,null,2177,null,null,904,null,null,1921,null,null,1829,null,null,663,null,null,1615,null,null,1498,null,null,672,null,null,1378,null,null,1278,null,null,399,null,null,933,null,null,921,null,null,51,null,null,738,null,null,738,null,null,192,null,null,18
56362,3903,12325,1649,12252,1664,73,76,19416,2243,19264,2244,152,152,6823,1696,6563,1691,260,252,5973,1215,5619,1204,354,235,3464,988,3212,937,252,266,3505,932,2362,703,1143,726,2651,688,2503,681,148,124,1188,570,1188,570,0,159,1017,487,1017,487,0,159,3903,null,null,1649,null,null,1664,null,null,76,null,null,2243,null,null,2244,null,null,152,null,null,1696,null,null,1691,null,null,252,null,null,1215,null,null,1204,null,null,235,null,null,988,null,null,937,null,null,266,null,null,932,null,null,703,null,null,726,null,null,688,null,null,681,null,null,124,null,null,570,null,null,570,null,null,159,null,null,487,null,null,487,null,null,159,null,null,19
100830,5502,19405,2410,18371,2307,1034,586,34109,3162,32173,3097,1936,1059,16608,2781,13100,2197,3508,1501,9594,1556,7887,1481,1707,696,7473,1370,7064,1374,409,235,5883,1074,4754,991,1129,560,3754,875,3325,905,429,284,2178,645,2156,632,22,39,1826,572,1719,511,107,175,5502,null,null,2410,null,null,2307,null,null,586,null,null,3162,null,null,3097,null,null,1059,null,null,2781,null,null,2197,null,null,1501,null,null,1556,null,null,1481,null,null,696,null,null,1370,null,null,1374,null,null,235,null,null,1074,null,null,991,null,null,560,null,null,875,null,null,905,null,null,284,null,null,645,null,null,632,null,null,39,null,null,572,null,null,511,null,null,175,null,null,20
90787,6934,18634,2497,18423,2503,211,182,32062,3294,31077,3218,985,510,13897,2359,12404,2074,1493,806,7674,1542,7352,1485,322,249,5329,1386,4955,1379,374,240,4956,1077,4807,1069,149,160,4639,1075,4426,1025,213,313,2311,608,2311,608,0,190,1285,545,1285,545,0,190,6934,null,null,2497,null,null,2503,null,null,182,null,null,3294,null,null,3218,null,null,510,null,null,2359,null,null,2074,null,null,806,null,null,1542,null,null,1485,null,null,249,null,null,1386,null,null,1379,null,null,240,null,null,1077,null,null,1069,null,null,160,null,null,1075,null,null,1025,null,null,313,null,null,608,null,null,608,null,null,190,null,null,545,null,null,545,null,null,190,null,null,21
90812,8606,18047,3216,17034,3191,1013,868,27528,3747,26686,3680,842,588,11113,2228,9196,2129,1917,944,11144,2159,8786,1950,2358,791,6177,1550,5146,1342,1031,653,6253,1774,5357,1644,896,497,5355,1096,4657,963,698,486,3138,925,3095,917,43,73,2057,774,2057,774,0,208,8606,null,null,3216,null,null,3191,null,null,868,null,null,3747,null,null,3680,null,null,588,null,null,2228,null,null,2129,null,null,944,null,null,2159,null,null,1950,null,null,791,null,null,1550,null,null,1342,null,null,653,null,null,1774,null,null,1644,null,null,497,null,null,1096,null,null,963,null,null,486,null,null,925,null,null,917,null,null,73,null,null,774,null,null,774,null,null,208,null,null,22
25574,2537,3614,871,3514,841,100,157,7685,1326,7551,1337,134,155,2648,688,2367,639,281,275,3272,994,2650,792,622,443,1760,552,1198,473,562,342,3237,1085,3053,1038,184,181,1951,681,1474,652,477,357,893,366,893,366,0,172,514,415,514,415,0,172,2537,null,null,871,null,null,841,null,null,157,null,null,1326,null,null,1337,null,null,155,null,null,688,null,null,639,null,null,275,null,null,994,null,null,792,null,null,443,null,null,552,null,null,473,null,null,342,null,null,1085,null,null,1038,null,null,181,null,null,681,null,null,652,null,null,357,null,null,366,null,null,366,null,null,172,null,null,415,null,null,415,null,null,172,null,null,23
197837,10934,37995,3266,36643,3215,1352,907,60928,4946,59204,4715,1724,992,22931,3254,21041,3139,1890,937,25183,2396,22769,2236,2414,984,17808,2122,16912,2095,896,440,14064,2047,12900,1899,1164,774,10329,1648,9627,1567,702,545,5411,1054,5411,1054,0,198,3188,1002,3188,1002,0,198,10934,null,null,3266,null,null,3215,null,null,907,null,null,4946,null,null,4715,null,null,992,null,null,3254,null,null,3139,null,null,937,null,null,2396,null,null,2236,null,null,984,null,null,2122,null,null,2095,null,null,440,null,null,2047,null,null,1899,null,null,774,null,null,1648,null,null,1567,null,null,545,null,null,1054,null,null,1054,null,null,198,null,null,1002,null,null,1002,null,null,198,null,null,24
210084,11290,36201,3779,36034,3748,167,173,53631,4716,53365,4702,266,340,28169,3108,26342,3186,1827,977,31426,3785,28042,3472,3384,1208,22867,2777,21182,2605,1685,1011,17233,2321,16266,2226,967,572,11661,1966,11150,1874,511,429,4989,1152,4989,1152,0,203,3907,1019,3907,1019,0,203,11290,null,null,3779,null,null,3748,null,null,173,null,null,4716,null,null,4702,null,null,340,null,null,3108,null,null,3186,null,null,977,null,null,3785,null,null,3472,null,null,1208,null,null,2777,null,null,2605,null,null,1011,null,null,2321,null,null,2226,null,null,572,null,null,1966,null,null,1874,null,null,429,null,null,1152,null,null,1152,null,null,203,null,null,1019,null,null,1019,null,null,203,null,null,25
301676,11967,50539,3464,49771,3459,768,595,93859,5421,91009,5406,2850,1017,42702,4379,37957,4277,4745,1364,37310,2786,32239,2641,5071,1246,23801,2379,21942,2324,1859,632,20801,2235,18856,2122,1945,688,18122,1736,17234,1640,888,418,9711,1290,9582,1243,129,209,4831,978,4831,978,0,168,11967,null,null,3464,null,null,3459,null,null,595,null,null,5421,null,null,5406,null,null,1017,null,null,4379,null,null,4277,null,null,1364,null,null,2786,null,null,2641,null,null,1246,null,null,2379,null,null,2324,null,null,632,null,null,2235,null,null,2122,null,null,688,null,null,1736,null,null,1640,null,null,418,null,null,1290,null,null,1243,null,null,209,null,null,978,null,null,978,null,null,168,null,null,26
155211,7910,29815,2741,29085,2707,730,412,51931,3883,50483,3700,1448,1187,21681,2420,19742,2365,1939,732,18965,2333,17212,2046,1753,697,13236,1591,12124,1553,1112,441,9112,1388,8434,1324,678,341,6465,1283,5770,1135,695,498,2737,649,2737,649,0,149,1269,424,1269,424,0,149,7910,null,null,2741,null,null,2707,null,null,412,null,null,3883,null,null,3700,null,null,1187,null,null,2420,null,null,2365,null,null,732,null,null,2333,null,null,2046,null,null,697,null,null,1591,null,null,1553,null,null,441,null,null,1388,null,null,1324,null,null,341,null,null,1283,null,null,1135,null,null,498,null,null,649,null,null,649,null,null,149,null,null,424,null,null,424,null,null,149,null,null,27
33486,4730,5273,1469,4779,1390,494,462,11628,2466,10724,2275,904,841,3956,1225,2659,1035,1297,791,3281,1034,2672,995,609,394,2755,967,2127,878,628,425,2312,804,1583,656,729,503,2465,835,2176,857,289,291,897,361,897,361,0,213,919,453,919,453,0,213,4730,null,null,1469,null,null,1390,null,null,462,null,null,2466,null,null,2275,null,null,841,null,null,1225,null,null,1035,null,null,791,null,null,1034,null,null,995,null,null,394,null,null,967,null,null,878,null,null,425,null,null,804,null,null,656,null,null,503,null,null,835,null,null,857,null,null,291,null,null,361,null,null,361,null,null,213,null,null,453,null,null,453,null,null,213,null,null,28
148041,8658,25574,2813,24614,2773,960,639,48805,5099,46230,4869,2575,1225,19132,3095,16550,2925,2582,1094,15576,2407,13346,2180,2230,868,11515,1719,10000,1616,1515,665,9506,1644,8159,1578,1347,595,9443,1269,8441,1303,1002,435,5615,1082,5615,1082,0,187,2875,720,2875,720,0,187,8658,null,null,2813,null,null,2773,null,null,639,null,null,5099,null,null,4869,null,null,1225,null,null,3095,null,null,2925,null,null,1094,null,null,2407,null,null,2180,null,null,868,null,null,1719,null,null,1616,null,null,665,null,null,1644,null,null,1578,null,null,595,null,null,1269,null,null,1303,null,null,435,null,null,1082,null,null,1082,null,null,187,null,null,720,null,null,720,null,null,187,null,null,29
31766,2910,4140,1255,3984,1236,156,187,8233,1762,8020,1744,213,188,5154,1439,4389,1226,765,567,3503,978,2277,684,1226,710,2452,863,2329,841,123,114,2784,692,2315,678,469,395,3510,1059,3188,1105,322,265,1135,456,1135,456,0,168,855,438,823,432,32,55,2910,null,null,1255,null,null,1236,null,null,187,null,null,1762,null,null,1744,null,null,188,null,null,1439,null,null,1226,null,null,567,null,null,978,null,null,684,null,null,710,null,null,863,null,null,841,null,null,114,null,null,692,null,null,678,null,null,395,null,null,1059,null,null,1105,null,null,265,null,null,456,null,null,456,null,null,168,null,null,438,null,null,432,null,null,55,null,null,30
44345,4395,9323,1607,8934,1577,389,313,14073,2166,13196,2170,877,505,5874,1357,4688,1228,1186,586,5950,1468,4941,1316,1009,631,3430,822,2790,650,640,420,3337,1144,3072,1046,265,222,1282,486,1020,407,262,248,717,391,717,391,0,159,359,232,330,237,29,49,4395,null,null,1607,null,null,1577,null,null,313,null,null,2166,null,null,2170,null,null,505,null,null,1357,null,null,1228,null,null,586,null,null,1468,null,null,1316,null,null,631,null,null,822,null,null,650,null,null,420,null,null,1144,null,null,1046,null,null,222,null,null,486,null,null,407,null,null,248,null,null,391,null,null,391,null,null,159,null,null,232,null,null,237,null,null,49,null,null,31
