C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,C17010B_001M,C17010B_001EA,C17010B_001MA,C17010B_002M,C17010B_002EA,C17010B_002MA,C17010B_003M,C17010B_003EA,C17010B_003MA,C17010B_004M,C17010B_004EA,C17010B_004MA,C17010B_005M,C17010B_005EA,C17010B_005MA,C17010B_006M,C17010B_006EA,C17010B_006MA,C17010B_007M,C17010B_007EA,C17010B_007MA,C17010B_008M,C17010B_008EA,C17010B_008MA,C17010B_009M,C17010B_009EA,C17010B_009MA,C17010B_010M,C17010B_010EA,C17010B_010MA,C17010B_011M,C17010B_011EA,C17010B_011MA,C17010B_012M,C17010B_012EA,C17010B_012MA,C17010B_013M,C17010B_013EA,C17010B_013MA,C17010B_014M,C17010B_014EA,C17010B_014MA,C17010B_015M,C17010B_015EA,C17010B_015MA,C17010B_016M,C17010B_016EA,C17010B_016MA,C17010B_017M,C17010B_017EA,C17010B_017MA,state
676286,8401,127317,6382,26673,3075,16604,2414,100644,5881,13808,2257,10558,2011,86836,4941,71489,4574,548969,8861,290322,7180,133191,6050,258647,8237,55572,4751,26001,3031,203075,7627,119751,6425,8401,null,null,6382,null,null,3075,null,null,2414,null,null,5881,null,null,2257,null,null,2011,null,null,4941,null,null,4574,null,null,8861,null,null,7180,null,null,6050,null,null,8237,null,null,4751,null,null,3031,null,null,7627,null,null,6425,null,null,12
718837,10706,138866,5937,24567,2682,12977,2110,114299,5425,13011,2129,8043,1568,101288,5201,86578,5126,579971,10764,320994,8398,151712,6224,258977,8814,52034,4016,28568,2992,206943,8079,127148,7339,10706,null,null,5937,null,null,2682,null,null,2110,null,null,5425,null,null,2129,null,null,1568,null,null,5201,null,null,5126,null,null,10764,null,null,8398,null,null,6224,null,null,8814,null,null,4016,null,null,2992,null,null,8079,null,null,7339,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
388662,6107,87599,4901,9145,1656,4571,1127,78454,4472,8723,1613,6608,1425,69731,3913,57187,3486,301063,6245,138503,5117,57672,3348,162560,6316,30972,2970,16216,2338,131588,6033,75279,5017,6107,null,null,4901,null,null,1656,null,null,1127,null,null,4472,null,null,1613,null,null,1425,null,null,3913,null,null,3486,null,null,6245,null,null,5117,null,null,3348,null,null,6316,null,null,2970,null,null,2338,null,null,6033,null,null,5017,null,null,17
129416,4040,31371,3224,3660,916,2316,758,27711,3031,2653,815,2327,804,25058,2918,23556,2842,98045,4402,48514,2997,19425,2552,49531,3122,8829,1519,4356,1180,40702,2884,24722,2818,4040,null,null,3224,null,null,916,null,null,758,null,null,3031,null,null,815,null,null,804,null,null,2918,null,null,2842,null,null,4402,null,null,2997,null,null,2552,null,null,3122,null,null,1519,null,null,1180,null,null,2884,null,null,2818,null,null,18
22035,1780,7825,1496,1607,707,1261,622,6218,1311,520,332,505,329,5698,1236,5514,1253,14210,1782,6656,1172,3998,1012,7554,1460,2443,912,1800,757,5111,1163,4047,1056,1780,null,null,1496,null,null,707,null,null,622,null,null,1311,null,null,332,null,null,329,null,null,1236,null,null,1253,null,null,1782,null,null,1172,null,null,1012,null,null,1460,null,null,912,null,null,757,null,null,1163,null,null,1056,null,null,19
35048,2183,7624,1511,1487,588,902,440,6137,1344,1245,730,1003,576,4892,1150,4325,1071,27424,2168,14856,1904,6467,1301,12568,1532,3770,1099,2484,1068,8798,1269,5550,1100,2183,null,null,1511,null,null,588,null,null,440,null,null,1344,null,null,730,null,null,576,null,null,1150,null,null,1071,null,null,2168,null,null,1904,null,null,1301,null,null,1532,null,null,1099,null,null,1068,null,null,1269,null,null,1100,null,null,20
78395,3446,18808,2631,2366,855,1818,787,16442,2471,1261,648,1126,630,15181,2325,13901,2314,59587,3213,26939,2267,10173,1459,32648,2778,7907,1467,4562,1225,24741,2558,16168,2189,3446,null,null,2631,null,null,855,null,null,787,null,null,2471,null,null,648,null,null,630,null,null,2325,null,null,2314,null,null,3213,null,null,2267,null,null,1459,null,null,2778,null,null,1467,null,null,1225,null,null,2558,null,null,2189,null,null,21
319304,7102,92184,4924,16102,2186,9015,1970,76082,4911,9533,1919,6716,1832,66549,4148,57896,4089,227120,6669,118610,4822,48864,3220,108510,6401,22379,2906,11822,2110,86131,5455,46497,4072,7102,null,null,4924,null,null,2186,null,null,1970,null,null,4911,null,null,1919,null,null,1832,null,null,4148,null,null,4089,null,null,6669,null,null,4822,null,null,3220,null,null,6401,null,null,2906,null,null,2110,null,null,5455,null,null,4072,null,null,22
