B14007G_001E,B14007G_001M,B14007G_002E,B14007G_002M,B14007G_003E,B14007G_003M,B14007G_004E,B14007G_004M,B14007G_005E,B14007G_005M,B14007G_006E,B14007G_006M,B14007G_007E,B14007G_007M,B14007G_008E,B14007G_008M,B14007G_009E,B14007G_009M,B14007G_010E,B14007G_010M,B14007G_011E,B14007G_011M,B14007G_012E,B14007G_012M,B14007G_013E,B14007G_013M,B14007G_014E,B14007G_014M,B14007G_015E,B14007G_015M,B14007G_016E,B14007G_016M,B14007G_017E,B14007G_017M,B14007G_018E,B14007G_018M,B14007G_019E,B14007G_019M,B14007G_001M,B14007G_001EA,B14007G_001MA,B14007G_002M,B14007G_002EA,B14007G_002MA,B14007G_003M,B14007G_003EA,B14007G_003MA,B14007G_004M,B14007G_004EA,B14007G_004MA,B14007G_005M,B14007G_005EA,B14007G_005MA,B14007G_006M,B14007G_006EA,B14007G_006MA,B14007G_007M,B14007G_007EA,B14007G_007MA,B14007G_008M,B14007G_008EA,B14007G_008MA,B14007G_009M,B14007G_009EA,B14007G_009MA,B14007G_010M,B14007G_010EA,B14007G_010MA,B14007G_011M,B14007G_011EA,B14007G_011MA,B14007G_012M,B14007G_012EA,B14007G_012MA,B14007G_013M,B14007G_013EA,B14007G_013MA,B14007G_014M,B14007G_014EA,B14007G_014MA,B14007G_015M,B14007G_015EA,B14007G_015MA,B14007G_016M,B14007G_016EA,B14007G_016MA,B14007G_017M,B14007G_017EA,B14007G_017MA,B14007G_018M,B14007G_018EA,B14007G_018MA,B14007G_019M,B14007G_019EA,B14007G_019MA,state
482959,20396,222606,13404,19719,3197,13490,2182,12767,2203,13365,2519,15039,2408,13311,2515,11450,2094,12323,2293,13459,2233,11180,2027,11659,2257,9695,1915,10523,1811,9676,1610,38475,3925,6475,1334,260353,10690,20396,null,null,13404,null,null,3197,null,null,2182,null,null,2203,null,null,2519,null,null,2408,null,null,2515,null,null,2094,null,null,2293,null,null,2233,null,null,2027,null,null,2257,null,null,1915,null,null,1811,null,null,1610,null,null,3925,null,null,1334,null,null,10690,null,null,12
231731,13204,117278,9069,10473,1916,8840,2184,7060,1608,9013,1979,6183,1558,6672,1575,6848,1679,6257,1330,6262,1332,7188,1831,5298,1284,5664,1433,4373,1211,5784,1789,18090,2589,3273,1141,114453,7508,13204,null,null,9069,null,null,1916,null,null,2184,null,null,1608,null,null,1979,null,null,1558,null,null,1575,null,null,1679,null,null,1330,null,null,1332,null,null,1831,null,null,1284,null,null,1433,null,null,1211,null,null,1789,null,null,2589,null,null,1141,null,null,7508,null,null,13
317927,12761,118380,5784,12231,1679,6468,1295,5387,1246,6289,1387,8033,1788,7311,1151,6767,1243,6197,1150,5878,1107,6138,1170,5837,1191,5169,1146,6169,1263,5688,929,20577,2036,4241,998,199547,9790,12761,null,null,5784,null,null,1679,null,null,1295,null,null,1246,null,null,1387,null,null,1788,null,null,1151,null,null,1243,null,null,1150,null,null,1107,null,null,1170,null,null,1191,null,null,1146,null,null,1263,null,null,929,null,null,2036,null,null,998,null,null,9790,null,null,15
37725,2947,16264,2161,1113,592,688,479,676,456,1359,616,898,560,744,512,680,342,1026,421,783,454,786,511,778,514,664,317,892,473,1189,695,3161,890,827,647,21461,2354,2947,null,null,2161,null,null,592,null,null,479,null,null,456,null,null,616,null,null,560,null,null,512,null,null,342,null,null,421,null,null,454,null,null,511,null,null,514,null,null,317,null,null,473,null,null,695,null,null,890,null,null,647,null,null,2354,null,null,16
286630,13024,142762,8409,14916,2268,9043,1584,9216,1642,9093,1346,8223,1359,8008,1484,7334,1362,9284,1323,7864,1458,6490,1291,7470,1347,8266,1329,6342,1207,5750,1138,19237,2296,6226,1344,143868,7746,13024,null,null,8409,null,null,2268,null,null,1584,null,null,1642,null,null,1346,null,null,1359,null,null,1484,null,null,1362,null,null,1323,null,null,1458,null,null,1291,null,null,1347,null,null,1329,null,null,1207,null,null,1138,null,null,2296,null,null,1344,null,null,7746,null,null,17
143661,8018,76852,5859,7218,1453,4652,1101,5524,1396,3983,1287,6797,1473,6382,1407,3722,960,4676,1371,3318,984,4094,1057,3714,1119,3093,922,4251,1014,3926,1030,10130,1996,1372,529,66809,5040,8018,null,null,5859,null,null,1453,null,null,1101,null,null,1396,null,null,1287,null,null,1473,null,null,1407,null,null,960,null,null,1371,null,null,984,null,null,1057,null,null,1119,null,null,922,null,null,1014,null,null,1030,null,null,1996,null,null,529,null,null,5040,null,null,18
50794,3642,28911,2932,3153,895,1269,660,2094,729,1556,617,1640,603,2294,807,1646,653,1586,569,1424,549,1008,437,1915,616,1644,670,1778,701,1200,436,4453,1503,251,196,21883,2225,3642,null,null,2932,null,null,895,null,null,660,null,null,729,null,null,617,null,null,603,null,null,807,null,null,653,null,null,569,null,null,549,null,null,437,null,null,616,null,null,670,null,null,701,null,null,436,null,null,1503,null,null,196,null,null,2225,null,null,19
93527,5282,51823,3839,4694,1526,2959,1463,2140,940,2666,678,4243,1184,3825,1109,2295,618,3654,1046,1787,527,2950,830,2593,869,2684,909,2714,743,2498,803,8941,1980,1180,475,41704,3276,5282,null,null,3839,null,null,1526,null,null,1463,null,null,940,null,null,678,null,null,1184,null,null,1109,null,null,618,null,null,1046,null,null,527,null,null,830,null,null,869,null,null,909,null,null,743,null,null,803,null,null,1980,null,null,475,null,null,3276,null,null,20
83118,6523,47580,4867,4139,1068,3402,840,3631,919,2956,955,3618,1012,1965,733,2064,672,2726,994,2876,852,2721,836,2261,730,3269,959,2186,628,1938,818,7352,1639,476,304,35538,3791,6523,null,null,4867,null,null,1068,null,null,840,null,null,919,null,null,955,null,null,1012,null,null,733,null,null,672,null,null,994,null,null,852,null,null,836,null,null,730,null,null,959,null,null,628,null,null,818,null,null,1639,null,null,304,null,null,3791,null,null,21
82796,8006,40221,5233,2719,1209,2635,723,1897,793,3767,1180,3132,1216,2003,994,2420,950,1670,542,2367,1118,1781,737,2240,1054,2183,770,1376,565,2848,1070,6423,1831,760,472,42575,4472,8006,null,null,5233,null,null,1209,null,null,723,null,null,793,null,null,1180,null,null,1216,null,null,994,null,null,950,null,null,542,null,null,1118,null,null,737,null,null,1054,null,null,770,null,null,565,null,null,1070,null,null,1831,null,null,472,null,null,4472,null,null,22
