B25015_001E,B25015_001M,B25015_002E,B25015_002M,B25015_003E,B25015_003M,B25015_004E,B25015_004M,B25015_005E,B25015_005M,B25015_006E,B25015_006M,B25015_007E,B25015_007M,B25015_008E,B25015_008M,B25015_009E,B25015_009M,B25015_010E,B25015_010M,B25015_011E,B25015_011M,B25015_012E,B25015_012M,B25015_013E,B25015_013M,B25015_014E,B25015_014M,B25015_015E,B25015_015M,B25015_016E,B25015_016M,B25015_017E,B25015_017M,B25015_018E,B25015_018M,B25015_019E,B25015_019M,B25015_020E,B25015_020M,B25015_021E,B25015_021M,B25015_022E,B25015_022M,B25015_023E,B25015_023M,B25015_024E,B25015_024M,B25015_025E,B25015_025M,B25015_026E,B25015_026M,B25015_027E,B25015_027M,B25015_001M,B25015_001EA,B25015_001MA,B25015_002M,B25015_002EA,B25015_002MA,B25015_003M,B25015_003EA,B25015_003MA,B25015_004M,B25015_004EA,B25015_004MA,B25015_005M,B25015_005EA,B25015_005MA,B25015_006M,B25015_006EA,B25015_006MA,B25015_007M,B25015_007EA,B25015_007MA,B25015_008M,B25015_008EA,B25015_008MA,B25015_009M,B25015_009EA,B25015_009MA,B25015_010M,B25015_010EA,B25015_010MA,B25015_011M,B25015_011EA,B25015_011MA,B25015_012M,B25015_012EA,B25015_012MA,B25015_013M,B25015_013EA,B25015_013MA,B25015_014M,B25015_014EA,B25015_014MA,B25015_015M,B25015_015EA,B25015_015MA,B25015_016M,B25015_016EA,B25015_016MA,B25015_017M,B25015_017EA,B25015_017MA,B25015_018M,B25015_018EA,B25015_018MA,B25015_019M,B25015_019EA,B25015_019MA,B25015_020M,B25015_020EA,B25015_020MA,B25015_021M,B25015_021EA,B25015_021MA,B25015_022M,B25015_022EA,B25015_022MA,B25015_023M,B25015_023EA,B25015_023MA,B25015_024M,B25015_024EA,B25015_024MA,B25015_025M,B25015_025EA,B25015_025MA,B25015_026M,B25015_026EA,B25015_026MA,B25015_027M,B25015_027EA,B25015_027MA,state
7573456,23478,4857125,26450,336482,9173,326880,9333,7415,1219,2187,784,2580951,18732,2530815,18995,39137,3195,10999,1789,1939692,13491,1930496,13439,5493,1224,3703,698,2716331,20401,827677,11928,771706,11671,34279,3671,21692,2332,1449972,17619,1358780,17758,59652,5066,31540,3588,438682,11003,431093,10931,3476,953,4113,1161,23478,null,null,26450,null,null,9173,null,null,9333,null,null,1219,null,null,784,null,null,18732,null,null,18995,null,null,3195,null,null,1789,null,null,13491,null,null,13439,null,null,1224,null,null,698,null,null,20401,null,null,11928,null,null,11671,null,null,3671,null,null,2332,null,null,17619,null,null,17758,null,null,5066,null,null,3588,null,null,11003,null,null,10931,null,null,953,null,null,1161,null,null,12
3686135,15528,2268606,20528,210938,7705,205529,7681,3498,1023,1911,762,1404499,16136,1385376,16148,14913,2186,4210,1136,653169,8278,650607,8548,1940,845,622,307,1417529,16560,493302,11712,470135,11222,15411,2911,7756,1608,758058,13931,725234,14132,24416,3193,8408,2034,166169,5743,164824,5719,1116,586,229,155,15528,null,null,20528,null,null,7705,null,null,7681,null,null,1023,null,null,762,null,null,16136,null,null,16148,null,null,2186,null,null,1136,null,null,8278,null,null,8548,null,null,845,null,null,307,null,null,16560,null,null,11712,null,null,11222,null,null,2911,null,null,1608,null,null,13931,null,null,14132,null,null,3193,null,null,2034,null,null,5743,null,null,5719,null,null,586,null,null,155,null,null,13
455868,4824,260626,4898,16503,1845,14826,1813,1143,602,534,342,144525,4259,133344,4083,7969,1430,3212,865,99598,2969,96281,2898,2264,534,1053,363,195242,4348,57495,2612,51002,2464,3718,1200,2775,869,106084,3914,88535,3591,9434,1525,8115,1647,31663,2068,30577,1948,504,374,582,270,4824,null,null,4898,null,null,1845,null,null,1813,null,null,602,null,null,342,null,null,4259,null,null,4083,null,null,1430,null,null,865,null,null,2969,null,null,2898,null,null,534,null,null,363,null,null,4348,null,null,2612,null,null,2464,null,null,1200,null,null,869,null,null,3914,null,null,3591,null,null,1525,null,null,1647,null,null,2068,null,null,1948,null,null,374,null,null,270,null,null,15
610872,4143,418217,6970,48343,2946,47318,2881,1014,502,11,20,239953,5371,235217,5376,3536,837,1200,497,129921,2975,129308,3005,273,228,340,286,192655,5870,76366,3419,70723,3274,3719,1165,1924,836,88716,5080,84376,5217,3776,1168,564,440,27573,2324,27087,2325,79,131,407,349,4143,null,null,6970,null,null,2946,null,null,2881,null,null,502,null,null,20,null,null,5371,null,null,5376,null,null,837,null,null,497,null,null,2975,null,null,3005,null,null,228,null,null,286,null,null,5870,null,null,3419,null,null,3274,null,null,1165,null,null,836,null,null,5080,null,null,5217,null,null,1168,null,null,440,null,null,2324,null,null,2325,null,null,131,null,null,349,null,null,16
4822046,12932,3146858,18286,320254,7435,312181,7334,6648,1237,1425,481,1912248,14833,1880729,15296,25764,2635,5755,1170,914356,7930,910400,7998,2515,581,1441,465,1675188,17617,600781,10996,568662,10426,17872,2573,14247,2026,820917,12887,778833,12520,28960,3428,13124,2115,253490,7397,250619,7145,1021,431,1850,775,12932,null,null,18286,null,null,7435,null,null,7334,null,null,1237,null,null,481,null,null,14833,null,null,15296,null,null,2635,null,null,1170,null,null,7930,null,null,7998,null,null,581,null,null,465,null,null,17617,null,null,10996,null,null,10426,null,null,2573,null,null,2026,null,null,12887,null,null,12520,null,null,3428,null,null,2115,null,null,7397,null,null,7145,null,null,431,null,null,775,null,null,17
2533270,10440,1731421,12509,202176,5925,197797,5920,3673,908,706,358,1018888,8186,1006011,8221,9830,1531,3047,915,510357,5841,508575,5882,1459,574,323,254,801849,11165,309947,7370,297241,7477,8936,1674,3770,1004,379925,8663,367785,8647,9116,1398,3024,866,111977,4305,110896,4240,489,330,592,364,10440,null,null,12509,null,null,5925,null,null,5920,null,null,908,null,null,358,null,null,8186,null,null,8221,null,null,1531,null,null,915,null,null,5841,null,null,5882,null,null,574,null,null,254,null,null,11165,null,null,7370,null,null,7477,null,null,1674,null,null,1004,null,null,8663,null,null,8647,null,null,1398,null,null,866,null,null,4305,null,null,4240,null,null,330,null,null,364,null,null,18
1247932,7106,881435,7975,118832,4637,116652,4588,1790,729,390,236,502434,6074,495676,6122,5480,1455,1278,511,260169,3801,259599,3803,537,307,33,30,366497,6811,151901,4841,144830,4591,4496,992,2575,949,153057,5406,146791,5297,4851,1281,1415,646,61539,3021,61406,3021,29,27,104,89,7106,null,null,7975,null,null,4637,null,null,4588,null,null,729,null,null,236,null,null,6074,null,null,6122,null,null,1455,null,null,511,null,null,3801,null,null,3803,null,null,307,null,null,30,null,null,6811,null,null,4841,null,null,4591,null,null,992,null,null,949,null,null,5406,null,null,5297,null,null,1281,null,null,646,null,null,3021,null,null,3021,null,null,27,null,null,89,null,null,19
1110407,6778,729392,8711,88631,4046,86194,4033,1993,663,444,272,425603,6451,419407,6548,4696,986,1500,581,215158,3757,214892,3764,56,98,210,167,381015,7352,152484,5095,144820,4982,4208,1196,3456,1113,170464,5623,163810,5713,4906,1045,1748,839,58067,2900,57924,2884,105,99,38,55,6778,null,null,8711,null,null,4046,null,null,4033,null,null,663,null,null,272,null,null,6451,null,null,6548,null,null,986,null,null,581,null,null,3757,null,null,3764,null,null,98,null,null,167,null,null,7352,null,null,5095,null,null,4982,null,null,1196,null,null,1113,null,null,5623,null,null,5713,null,null,1045,null,null,839,null,null,2900,null,null,2884,null,null,99,null,null,55,null,null,20
1717706,9131,1148175,11051,119483,5297,116460,5238,2831,912,192,184,671771,7843,662849,7866,7034,1009,1888,569,356921,5088,355490,5126,1118,514,313,257,569531,9504,205081,5710,196677,5445,7130,1775,1274,443,285556,7387,273803,7156,8287,1637,3466,1075,78894,4377,77872,4349,465,348,557,323,9131,null,null,11051,null,null,5297,null,null,5238,null,null,912,null,null,184,null,null,7843,null,null,7866,null,null,1009,null,null,569,null,null,5088,null,null,5126,null,null,514,null,null,257,null,null,9504,null,null,5710,null,null,5445,null,null,1775,null,null,443,null,null,7387,null,null,7156,null,null,1637,null,null,1075,null,null,4377,null,null,4349,null,null,348,null,null,323,null,null,21
1720801,8997,1105710,12317,127851,5704,123167,5703,3939,1245,745,660,635095,10307,624008,10324,8939,1805,2148,915,342764,4681,341169,4645,988,470,607,344,615091,11467,221362,8000,209483,7780,7919,1816,3960,1200,311626,8562,300948,8514,7318,1673,3360,1135,82103,4311,81260,4368,336,249,507,327,8997,null,null,12317,null,null,5704,null,null,5703,null,null,1245,null,null,660,null,null,10307,null,null,10324,null,null,1805,null,null,915,null,null,4681,null,null,4645,null,null,470,null,null,344,null,null,11467,null,null,8000,null,null,7780,null,null,1816,null,null,1200,null,null,8562,null,null,8514,null,null,1673,null,null,1135,null,null,4311,null,null,4368,null,null,249,null,null,327,null,null,22
