B12007_001E,B12007_001M,B12007_002E,B12007_002M,B12007_001M,B12007_001EA,B12007_001MA,B12007_002M,B12007_002EA,B12007_002MA,state
30.7,0.3,29.0,0.2,0.3,null,null,0.2,null,null,12
29.3,0.4,27.1,0.3,0.4,null,null,0.3,null,null,13
28.9,0.9,27.7,1.0,0.9,null,null,1.0,null,null,15
27.0,0.9,25.1,0.6,0.9,null,null,0.6,null,null,16
30.4,0.2,28.8,0.2,0.2,null,null,0.2,null,null,17
28.9,0.4,26.9,0.3,0.4,null,null,0.3,null,null,18
28.6,0.5,26.8,0.4,0.5,null,null,0.4,null,null,19
27.5,0.6,26.0,0.4,0.6,null,null,0.4,null,null,20
28.4,0.7,26.3,0.4,0.7,null,null,0.4,null,null,21
29.8,0.4,27.5,0.5,0.4,null,null,0.5,null,null,22
30.0,0.5,27.0,0.7,0.5,null,null,0.7,null,null,23
30.5,0.3,28.9,0.4,0.3,null,null,0.4,null,null,24
31.2,0.3,29.8,0.3,0.3,null,null,0.3,null,null,25
29.9,0.3,27.9,0.3,0.3,null,null,0.3,null,null,26
29.6,0.3,27.6,0.4,0.3,null,null,0.4,null,null,27
28.6,0.8,26.6,0.5,0.8,null,null,0.5,null,null,28
28.7,0.4,27.3,0.4,0.4,null,null,0.4,null,null,29
29.6,0.9,26.4,0.7,0.9,null,null,0.7,null,null,30
28.7,0.4,26.2,0.3,0.4,null,null,0.3,null,null,31
29.7,0.5,28.2,0.6,0.5,null,null,0.6,null,null,32
30.6,0.4,28.4,0.7,0.4,null,null,0.7,null,null,33
30.9,0.2,29.3,0.3,0.2,null,null,0.3,null,null,34
28.5,0.9,26.8,0.9,0.9,null,null,0.9,null,null,35
31.0,0.2,29.8,0.2,0.2,null,null,0.2,null,null,36
29.2,0.3,27.7,0.4,0.3,null,null,0.4,null,null,37
28.1,1.1,26.7,1.0,1.1,null,null,1.0,null,null,38
29.5,0.2,27.8,0.4,0.2,null,null,0.4,null,null,39
27.7,0.5,25.7,0.3,0.5,null,null,0.3,null,null,40
29.7,0.3,27.6,0.6,0.3,null,null,0.6,null,null,41
30.4,0.3,28.9,0.2,0.3,null,null,0.2,null,null,42
30.9,0.8,30.0,1.1,0.8,null,null,1.1,null,null,44
29.9,0.5,28.4,0.5,0.5,null,null,0.5,null,null,45
28.0,0.9,26.0,0.5,0.9,null,null,0.5,null,null,46
28.4,0.4,27.0,0.4,0.4,null,null,0.4,null,null,47
28.9,0.2,26.9,0.3,0.2,null,null,0.3,null,null,48
26.3,0.4,24.7,0.3,0.4,null,null,0.3,null,null,49
30.7,1.4,28.4,1.3,1.4,null,null,1.3,null,null,50
29.9,0.3,27.4,0.4,0.3,null,null,0.4,null,null,51
29.5,0.2,27.0,0.4,0.2,null,null,0.4,null,null,53
28.8,0.7,26.5,0.7,0.7,null,null,0.7,null,null,54
29.8,0.3,28.1,0.3,0.3,null,null,0.3,null,null,55
28.8,1.2,26.0,0.5,1.2,null,null,0.5,null,null,56
33.1,0.7,31.0,1.3,0.7,null,null,1.3,null,null,72
28.3,0.5,26.3,0.3,0.5,null,null,0.3,null,null,01
30.6,1.7,26.8,1.1,1.7,null,null,1.1,null,null,02
29.8,0.3,28.0,0.5,0.3,null,null,0.5,null,null,04
27.2,0.7,25.6,0.3,0.7,null,null,0.3,null,null,05
30.6,0.2,28.7,0.2,0.2,null,null,0.2,null,null,06
29.3,0.3,27.3,0.4,0.3,null,null,0.4,null,null,08
31.6,0.5,29.5,0.4,0.5,null,null,0.4,null,null,09
30.6,0.7,28.6,1.1,0.7,null,null,1.1,null,null,10
30.9,0.7,30.3,0.7,0.7,null,null,0.7,null,null,11
