B25003F_001E,B25003F_001M,B25003F_002E,B25003F_002M,B25003F_003E,B25003F_003M,B25003F_001M,B25003F_001EA,B25003F_001MA,B25003F_002M,B25003F_002EA,B25003F_002MA,B25003F_003M,B25003F_003EA,B25003F_003MA,state
155110,6741,65997,4346,89113,5884,6741,null,null,4346,null,null,5884,null,null,12
74279,5675,28050,2979,46229,4449,5675,null,null,2979,null,null,4449,null,null,13
2476,691,945,372,1531,564,691,null,null,372,null,null,564,null,null,15
16329,1899,7568,1379,8761,1533,1899,null,null,1379,null,null,1533,null,null,16
214464,6607,99184,4723,115280,6387,6607,null,null,4723,null,null,6387,null,null,17
42437,3160,19239,2362,23198,2345,3160,null,null,2362,null,null,2345,null,null,18
11840,1560,5653,1208,6187,1299,1560,null,null,1208,null,null,1299,null,null,19
20091,2347,11081,1536,9010,1662,2347,null,null,1536,null,null,1662,null,null,20
9313,1474,3178,1007,6135,1262,1474,null,null,1007,null,null,1262,null,null,21
20095,2374,6693,1480,13402,2219,2374,null,null,1480,null,null,2219,null,null,22
685,308,327,223,358,197,308,null,null,223,null,null,197,null,null,23
54131,3403,21269,2142,32862,2633,3403,null,null,2142,null,null,2633,null,null,24
90234,5020,24825,2854,65409,4298,5020,null,null,2854,null,null,4298,null,null,25
34198,2703,17418,2032,16780,1937,2703,null,null,2032,null,null,1937,null,null,26
27541,2053,12471,1655,15070,1588,2053,null,null,1655,null,null,1588,null,null,27
7537,1348,2936,1002,4601,1186,1348,null,null,1002,null,null,1186,null,null,28
17504,2092,6546,1189,10958,1922,2092,null,null,1189,null,null,1922,null,null,29
968,480,418,312,550,308,480,null,null,312,null,null,308,null,null,30
10354,1717,4582,929,5772,1495,1717,null,null,929,null,null,1495,null,null,31
73943,4192,26648,2643,47295,3432,4192,null,null,2643,null,null,3432,null,null,32
2583,830,849,395,1734,698,830,null,null,395,null,null,698,null,null,33
151413,6087,43460,3520,107953,5448,6087,null,null,3520,null,null,5448,null,null,34
68705,3889,45564,3607,23141,2789,3889,null,null,3607,null,null,2789,null,null,35
502697,10946,91546,4221,411151,10866,10946,null,null,4221,null,null,10866,null,null,36
77260,4385,30300,3263,46960,3916,4385,null,null,3263,null,null,3916,null,null,37
1015,641,584,363,431,431,641,null,null,363,null,null,431,null,null,38
32459,2878,11254,1578,21205,2630,2878,null,null,1578,null,null,2630,null,null,39
28291,2039,14141,1601,14150,1625,2039,null,null,1601,null,null,1625,null,null,40
28528,2619,13273,1968,15255,2008,2619,null,null,1968,null,null,2008,null,null,41
73961,4091,29040,2757,44921,3493,4091,null,null,2757,null,null,3493,null,null,42
16782,1905,3768,927,13014,1823,1905,null,null,927,null,null,1823,null,null,44
21295,2668,8728,1866,12567,2321,2668,null,null,1866,null,null,2321,null,null,45
1515,502,486,255,1029,512,502,null,null,255,null,null,512,null,null,46
16998,1933,6039,1189,10959,1567,1933,null,null,1189,null,null,1567,null,null,47
453839,10991,232863,8306,220976,8676,10991,null,null,8306,null,null,8676,null,null,48
40813,2991,18246,2128,22567,2914,2991,null,null,2128,null,null,2914,null,null,49
568,335,224,206,344,278,335,null,null,206,null,null,278,null,null,50
56514,3408,22001,2510,34513,3315,3408,null,null,2510,null,null,3315,null,null,51
88533,3712,35861,2953,52672,3086,3712,null,null,2953,null,null,3086,null,null,53
2177,696,661,298,1516,619,696,null,null,298,null,null,619,null,null,54
34775,2687,11923,1650,22852,2557,2687,null,null,1650,null,null,2557,null,null,55
1650,800,598,262,1052,717,800,null,null,262,null,null,717,null,null,56
200125,6763,119926,5700,80199,4817,6763,null,null,5700,null,null,4817,null,null,72
16541,2001,7478,1590,9063,1672,2001,null,null,1590,null,null,1672,null,null,01
2547,719,1302,570,1245,536,719,null,null,570,null,null,536,null,null,02
156519,5734,79063,4754,77456,4220,5734,null,null,4754,null,null,4220,null,null,04
22001,1837,10044,1684,11957,1652,1837,null,null,1684,null,null,1652,null,null,05
1364663,15288,525513,10494,839150,13197,15288,null,null,10494,null,null,13197,null,null,06
67693,4228,28511,2642,39182,3618,4228,null,null,2642,null,null,3618,null,null,08
54843,4171,16013,2685,38830,3486,4171,null,null,2685,null,null,3486,null,null,09
3737,1136,758,505,2979,963,1136,null,null,505,null,null,963,null,null,10
11190,1387,1543,596,9647,1369,1387,null,null,596,null,null,1369,null,null,11
