B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,B19001B_001M,B19001B_001EA,B19001B_001MA,B19001B_002M,B19001B_002EA,B19001B_002MA,B19001B_003M,B19001B_003EA,B19001B_003MA,B19001B_004M,B19001B_004EA,B19001B_004MA,B19001B_005M,B19001B_005EA,B19001B_005MA,B19001B_006M,B19001B_006EA,B19001B_006MA,B19001B_007M,B19001B_007EA,B19001B_007MA,B19001B_008M,B19001B_008EA,B19001B_008MA,B19001B_009M,B19001B_009EA,B19001B_009MA,B19001B_010M,B19001B_010EA,B19001B_010MA,B19001B_011M,B19001B_011EA,B19001B_011MA,B19001B_012M,B19001B_012EA,B19001B_012MA,B19001B_013M,B19001B_013EA,B19001B_013MA,B19001B_014M,B19001B_014EA,B19001B_014MA,B19001B_015M,B19001B_015EA,B19001B_015MA,B19001B_016M,B19001B_016EA,B19001B_016MA,B19001B_017M,B19001B_017EA,B19001B_017MA,state
1041426,10945,125705,6500,65699,4967,70905,4414,74788,5136,72671,5058,70636,4317,67258,4907,52597,4696,48467,3979,87431,5466,98192,5382,94542,5633,51669,3905,24099,2560,21321,2282,15446,1948,10945,null,null,6500,null,null,4967,null,null,4414,null,null,5136,null,null,5058,null,null,4317,null,null,4907,null,null,4696,null,null,3979,null,null,5466,null,null,5382,null,null,5633,null,null,3905,null,null,2560,null,null,2282,null,null,1948,null,null,12
1142075,11043,126089,6497,83418,4742,73504,4391,75821,4968,65151,4811,68667,5016,59064,4080,55951,4171,54003,4153,88249,4201,116999,6818,121736,5778,68311,4494,34424,3195,29729,3102,20959,3013,11043,null,null,6497,null,null,4742,null,null,4391,null,null,4968,null,null,4811,null,null,5016,null,null,4080,null,null,4171,null,null,4153,null,null,4201,null,null,6818,null,null,5778,null,null,4494,null,null,3195,null,null,3102,null,null,3013,null,null,13
9651,1420,312,294,598,433,136,135,234,194,103,122,144,230,288,296,263,297,463,446,1007,564,1609,870,2198,913,1075,706,376,286,402,279,443,371,1420,null,null,294,null,null,433,null,null,135,null,null,194,null,null,122,null,null,230,null,null,296,null,null,297,null,null,446,null,null,564,null,null,870,null,null,913,null,null,706,null,null,286,null,null,279,null,null,371,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
679986,7386,108685,5131,52374,3023,47953,3592,47686,3663,38608,3286,40846,3181,30601,2769,31778,3129,26932,2597,45625,3650,52651,3790,62730,3914,40222,3138,21285,2782,17850,2233,14160,1928,7386,null,null,5131,null,null,3023,null,null,3592,null,null,3663,null,null,3286,null,null,3181,null,null,2769,null,null,3129,null,null,2597,null,null,3650,null,null,3790,null,null,3914,null,null,3138,null,null,2782,null,null,2233,null,null,1928,null,null,17
229634,4529,35908,3254,19220,2145,17736,2331,18566,2231,14349,2124,15806,2280,12324,1972,11252,1938,8800,1554,16857,2571,20238,2020,18023,2445,8810,1704,4466,1382,3764,1038,3515,1153,4529,null,null,3254,null,null,2145,null,null,2331,null,null,2231,null,null,2124,null,null,2280,null,null,1972,null,null,1938,null,null,1554,null,null,2571,null,null,2020,null,null,2445,null,null,1704,null,null,1382,null,null,1038,null,null,1153,null,null,18
37732,2520,6854,1501,2691,873,3699,1139,3379,858,3029,1087,3660,1040,1548,751,2431,894,1464,635,1702,525,1808,640,2405,871,846,560,1243,957,428,280,545,273,2520,null,null,1501,null,null,873,null,null,1139,null,null,858,null,null,1087,null,null,1040,null,null,751,null,null,894,null,null,635,null,null,525,null,null,640,null,null,871,null,null,560,null,null,957,null,null,280,null,null,273,null,null,19
64221,2847,9162,1726,5795,1213,4790,1221,3936,923,5179,1459,4445,1100,3739,1022,3903,1045,2731,823,4796,1154,4581,1089,5836,1188,2200,778,1710,706,545,371,873,447,2847,null,null,1726,null,null,1213,null,null,1221,null,null,923,null,null,1459,null,null,1100,null,null,1022,null,null,1045,null,null,823,null,null,1154,null,null,1089,null,null,1188,null,null,778,null,null,706,null,null,371,null,null,447,null,null,20
139595,3768,23282,2611,10881,1761,12023,1830,8680,1524,8992,1628,10621,2018,8345,1458,7943,1477,5585,1210,10528,1601,10782,1675,12258,2018,3499,853,3462,948,1921,618,793,457,3768,null,null,2611,null,null,1761,null,null,1830,null,null,1524,null,null,1628,null,null,2018,null,null,1458,null,null,1477,null,null,1210,null,null,1601,null,null,1675,null,null,2018,null,null,853,null,null,948,null,null,618,null,null,457,null,null,21
523323,6628,91496,4709,54430,4008,50309,3869,42788,3560,37280,3438,32808,2918,27224,2926,23413,2881,18573,2449,33178,2490,36115,2917,35434,3326,16360,2098,9730,1519,8974,1676,5211,1288,6628,null,null,4709,null,null,4008,null,null,3869,null,null,3560,null,null,3438,null,null,2918,null,null,2926,null,null,2881,null,null,2449,null,null,2490,null,null,2917,null,null,3326,null,null,2098,null,null,1519,null,null,1676,null,null,1288,null,null,22
