C16002_001E,C16002_001M,C16002_002E,C16002_002M,C16002_003E,C16002_003M,C16002_004E,C16002_004M,C16002_005E,C16002_005M,C16002_006E,C16002_006M,C16002_007E,C16002_007M,C16002_008E,C16002_008M,C16002_009E,C16002_009M,C16002_010E,C16002_010M,C16002_011E,C16002_011M,C16002_012E,C16002_012M,C16002_013E,C16002_013M,C16002_014E,C16002_014M,C16002_001M,C16002_001EA,C16002_001MA,C16002_002M,C16002_002EA,C16002_002MA,C16002_003M,C16002_003EA,C16002_003MA,C16002_004M,C16002_004EA,C16002_004MA,C16002_005M,C16002_005EA,C16002_005MA,C16002_006M,C16002_006EA,C16002_006MA,C16002_007M,C16002_007EA,C16002_007MA,C16002_008M,C16002_008EA,C16002_008MA,C16002_009M,C16002_009EA,C16002_009MA,C16002_010M,C16002_010EA,C16002_010MA,C16002_011M,C16002_011EA,C16002_011MA,C16002_012M,C16002_012EA,C16002_012MA,C16002_013M,C16002_013EA,C16002_013MA,C16002_014M,C16002_014EA,C16002_014MA,state
7573456,23478,5407718,22894,1525166,15733,426256,11424,1098910,15913,450239,10237,80571,4836,369668,9838,130765,5887,25868,2873,104897,5036,59568,4547,9237,1763,50331,3838,23478,null,null,22894,null,null,15733,null,null,11424,null,null,15913,null,null,10237,null,null,4836,null,null,9838,null,null,5887,null,null,2873,null,null,5036,null,null,4547,null,null,1763,null,null,3838,null,null,12
3686135,15528,3167055,16477,264997,7063,66460,4944,198537,6895,119509,6446,13927,1836,105582,6322,92594,4468,25335,2794,67259,4087,41980,4280,5602,1448,36378,3839,15528,null,null,16477,null,null,7063,null,null,4944,null,null,6895,null,null,6446,null,null,1836,null,null,6322,null,null,4468,null,null,2794,null,null,4087,null,null,4280,null,null,1448,null,null,3839,null,null,13
455868,4824,308070,5598,14050,1844,394,211,13656,1830,10018,1589,783,359,9235,1493,117928,4432,26803,2566,91125,3913,5802,1114,198,207,5604,1091,4824,null,null,5598,null,null,1844,null,null,211,null,null,1830,null,null,1589,null,null,359,null,null,1493,null,null,4432,null,null,2566,null,null,3913,null,null,1114,null,null,207,null,null,1091,null,null,15
610872,4143,542127,5028,47136,2609,9627,1731,37509,2692,13714,2086,971,525,12743,1909,5056,1091,999,465,4057,1016,2839,860,341,254,2498,827,4143,null,null,5028,null,null,2609,null,null,1731,null,null,2692,null,null,2086,null,null,525,null,null,1909,null,null,1091,null,null,465,null,null,1016,null,null,860,null,null,254,null,null,827,null,null,16
4822046,12932,3751700,13372,557850,6876,105967,4901,451883,6551,307584,7849,64428,4158,243156,6928,152922,4641,39300,2698,113622,4000,51990,3860,10854,1910,41136,3654,12932,null,null,13372,null,null,6876,null,null,4901,null,null,6551,null,null,7849,null,null,4158,null,null,6928,null,null,4641,null,null,2698,null,null,4000,null,null,3860,null,null,1910,null,null,3654,null,null,17
2533270,10440,2308266,10103,119845,3790,23817,2823,96028,4032,56974,3529,6420,1651,50554,3429,34916,2224,11188,1619,23728,2037,13269,1835,2295,728,10974,1658,10440,null,null,10103,null,null,3790,null,null,2823,null,null,4032,null,null,3529,null,null,1651,null,null,3429,null,null,2224,null,null,1619,null,null,2037,null,null,1835,null,null,728,null,null,1658,null,null,18
1247932,7106,1146996,7557,50837,2633,11274,1601,39563,2452,23742,2085,3259,1097,20483,1876,18463,1660,6323,1357,12140,1415,7894,1406,2735,905,5159,1172,7106,null,null,7557,null,null,2633,null,null,1601,null,null,2452,null,null,2085,null,null,1097,null,null,1876,null,null,1660,null,null,1357,null,null,1415,null,null,1406,null,null,905,null,null,1172,null,null,19
1110407,6778,984249,6948,76570,3107,19341,2230,57229,2748,22297,2446,2920,1010,19377,2221,21681,2076,7407,1432,14274,1713,5610,1191,951,551,4659,1054,6778,null,null,6948,null,null,3107,null,null,2230,null,null,2748,null,null,2446,null,null,1010,null,null,2221,null,null,2076,null,null,1432,null,null,1713,null,null,1191,null,null,551,null,null,1054,null,null,20
1717706,9131,1620454,9717,47637,2917,9920,1523,37717,2888,26784,2297,4134,1127,22650,2172,15733,1554,3911,949,11822,1375,7098,1353,2507,884,4591,1098,9131,null,null,9717,null,null,2917,null,null,1523,null,null,2888,null,null,2297,null,null,1127,null,null,2172,null,null,1554,null,null,949,null,null,1375,null,null,1353,null,null,884,null,null,1098,null,null,21
1720801,8997,1541357,10018,72319,3317,18049,2340,54270,3318,79088,3539,5891,1086,73197,3387,21370,1914,5918,1205,15452,1698,6667,1157,835,523,5832,1059,8997,null,null,10018,null,null,3317,null,null,2340,null,null,3318,null,null,3539,null,null,1086,null,null,3387,null,null,1914,null,null,1205,null,null,1698,null,null,1157,null,null,523,null,null,1059,null,null,22
531660,5774,485909,6165,7300,1247,671,485,6629,1263,29151,2451,2727,643,26424,2452,5290,1019,1987,691,3303,768,4010,864,950,531,3060,736,5774,null,null,6165,null,null,1247,null,null,485,null,null,1263,null,null,2451,null,null,643,null,null,2452,null,null,1019,null,null,691,null,null,768,null,null,864,null,null,531,null,null,736,null,null,23
2194657,9484,1768569,10096,161492,4476,34881,3192,126611,4854,119312,5180,13147,1720,106165,5234,89584,3684,19450,2018,70134,3427,55700,3698,5815,1491,49885,3175,9484,null,null,10096,null,null,4476,null,null,3192,null,null,4854,null,null,5180,null,null,1720,null,null,5234,null,null,3684,null,null,2018,null,null,3427,null,null,3698,null,null,1491,null,null,3175,null,null,24
2579398,8290,1924885,11907,238484,5352,62971,3670,175513,5156,271546,8024,48121,3487,223425,7216,107012,3417,32312,2795,74700,3857,37471,2796,6352,1191,31119,2574,8290,null,null,11907,null,null,5352,null,null,3670,null,null,5156,null,null,8024,null,null,3487,null,null,7216,null,null,3417,null,null,2795,null,null,3857,null,null,2796,null,null,1191,null,null,2574,null,null,25
3884153,13696,3492687,15266,122133,3762,18217,2059,103916,3875,129165,4419,18583,2120,110582,4181,70555,3152,17099,2166,53456,3115,69613,4075,15898,2322,53715,3311,13696,null,null,15266,null,null,3762,null,null,2059,null,null,3875,null,null,4419,null,null,2120,null,null,4181,null,null,3152,null,null,2166,null,null,3115,null,null,4075,null,null,2322,null,null,3311,null,null,26
2148725,7378,1898443,7784,80444,3470,16522,1979,63922,3533,55183,3277,7077,1330,48106,3052,65933,2453,14283,1635,51650,2603,48722,3103,14759,2364,33963,2785,7378,null,null,7784,null,null,3470,null,null,1979,null,null,3533,null,null,3277,null,null,1330,null,null,3052,null,null,2453,null,null,1635,null,null,2603,null,null,3103,null,null,2364,null,null,2785,null,null,27
1091245,8803,1041229,9406,29069,2219,5491,1081,23578,2045,8670,1437,750,453,7920,1387,8395,1512,1465,672,6930,1482,3882,891,329,260,3553,865,8803,null,null,9406,null,null,2219,null,null,1081,null,null,2045,null,null,1437,null,null,453,null,null,1387,null,null,1512,null,null,672,null,null,1482,null,null,891,null,null,260,null,null,865,null,null,28
2372190,10844,2205816,10960,69422,3435,9040,1758,60382,3563,51337,3790,5463,1401,45874,3639,32448,2064,8921,1226,23527,1770,13167,2158,3579,1081,9588,1761,10844,null,null,10960,null,null,3435,null,null,1758,null,null,3563,null,null,3790,null,null,1401,null,null,3639,null,null,2064,null,null,1226,null,null,1770,null,null,2158,null,null,1081,null,null,1761,null,null,29
416125,4426,394649,4673,7188,1196,528,417,6660,1158,7689,1371,279,220,7410,1348,2672,642,631,490,2041,657,3927,882,302,260,3625,804,4426,null,null,4673,null,null,1196,null,null,417,null,null,1158,null,null,1371,null,null,220,null,null,1348,null,null,642,null,null,490,null,null,657,null,null,882,null,null,260,null,null,804,null,null,30
