B09021_001E,B09021_001M,B09021_002E,B09021_002M,B09021_003E,B09021_003M,B09021_004E,B09021_004M,B09021_005E,B09021_005M,B09021_006E,B09021_006M,B09021_007E,B09021_007M,B09021_008E,B09021_008M,B09021_009E,B09021_009M,B09021_010E,B09021_010M,B09021_011E,B09021_011M,B09021_012E,B09021_012M,B09021_013E,B09021_013M,B09021_014E,B09021_014M,B09021_015E,B09021_015M,B09021_016E,B09021_016M,B09021_017E,B09021_017M,B09021_018E,B09021_018M,B09021_019E,B09021_019M,B09021_020E,B09021_020M,B09021_021E,B09021_021M,B09021_022E,B09021_022M,B09021_023E,B09021_023M,B09021_024E,B09021_024M,B09021_025E,B09021_025M,B09021_026E,B09021_026M,B09021_027E,B09021_027M,B09021_028E,B09021_028M,B09021_001M,B09021_001EA,B09021_001MA,B09021_002M,B09021_002EA,B09021_002MA,B09021_003M,B09021_003EA,B09021_003MA,B09021_004M,B09021_004EA,B09021_004MA,B09021_005M,B09021_005EA,B09021_005MA,B09021_006M,B09021_006EA,B09021_006MA,B09021_007M,B09021_007EA,B09021_007MA,B09021_008M,B09021_008EA,B09021_008MA,B09021_009M,B09021_009EA,B09021_009MA,B09021_010M,B09021_010EA,B09021_010MA,B09021_011M,B09021_011EA,B09021_011MA,B09021_012M,B09021_012EA,B09021_012MA,B09021_013M,B09021_013EA,B09021_013MA,B09021_014M,B09021_014EA,B09021_014MA,B09021_015M,B09021_015EA,B09021_015MA,B09021_016M,B09021_016EA,B09021_016MA,B09021_017M,B09021_017EA,B09021_017MA,B09021_018M,B09021_018EA,B09021_018MA,B09021_019M,B09021_019EA,B09021_019MA,B09021_020M,B09021_020EA,B09021_020MA,B09021_021M,B09021_021EA,B09021_021MA,B09021_022M,B09021_022EA,B09021_022MA,B09021_023M,B09021_023EA,B09021_023MA,B09021_024M,B09021_024EA,B09021_024MA,B09021_025M,B09021_025EA,B09021_025MA,B09021_026M,B09021_026EA,B09021_026MA,B09021_027M,B09021_027EA,B09021_027MA,B09021_028M,B09021_028EA,B09021_028MA,state
16045192,4293,2183854,22278,7025113,46577,967523,25852,2198781,29436,2581471,39649,1088450,28208,4221719,9539,273112,9197,800839,16407,366724,15068,1626129,23789,638465,19052,516450,17601,7813800,10176,941639,16369,4119539,32546,500331,16617,558078,19380,1253981,25313,440232,16523,4009673,4651,969103,13036,2104735,19111,100468,6691,14574,2626,689025,15259,131768,7115,4293,null,null,22278,null,null,46577,null,null,25852,null,null,29436,null,null,39649,null,null,28208,null,null,9539,null,null,9197,null,null,16407,null,null,15068,null,null,23789,null,null,19052,null,null,17601,null,null,10176,null,null,16369,null,null,32546,null,null,16617,null,null,19380,null,null,25313,null,null,16523,null,null,4651,null,null,13036,null,null,19111,null,null,6691,null,null,2626,null,null,15259,null,null,7115,null,null,12
7548094,3168,1002153,14612,3494605,37280,381881,13617,1035174,19651,1203805,27915,430476,20102,2263746,7892,169091,8503,534037,16445,174039,9196,800148,17655,347498,14436,238933,12825,3957127,7484,499028,11312,2265177,26746,191961,9993,229622,9565,610626,16894,160713,11767,1327221,4150,334034,8343,695391,10496,15881,2095,5404,1295,245681,9709,30830,3967,3168,null,null,14612,null,null,37280,null,null,13617,null,null,19651,null,null,27915,null,null,20102,null,null,7892,null,null,8503,null,null,16445,null,null,9196,null,null,17655,null,null,14436,null,null,12825,null,null,7484,null,null,11312,null,null,26746,null,null,9993,null,null,9565,null,null,16894,null,null,11767,null,null,4150,null,null,8343,null,null,10496,null,null,2095,null,null,1295,null,null,9709,null,null,3967,null,null,13
1077411,839,111818,4753,472189,9768,51668,4572,161868,5800,199075,8314,80793,7356,310572,1851,14155,1683,73987,5110,19731,3138,110291,4839,55445,3522,36963,4546,531798,1972,51292,3356,283304,7511,27550,3312,50273,4175,86326,5489,33053,3956,235041,1475,46371,2826,114898,4395,4387,1197,1304,427,57304,3230,10777,1810,839,null,null,4753,null,null,9768,null,null,4572,null,null,5800,null,null,8314,null,null,7356,null,null,1851,null,null,1683,null,null,5110,null,null,3138,null,null,4839,null,null,3522,null,null,4546,null,null,1972,null,null,3356,null,null,7511,null,null,3312,null,null,4175,null,null,5489,null,null,3956,null,null,1475,null,null,2826,null,null,4395,null,null,1197,null,null,427,null,null,3230,null,null,1810,null,null,15
1217849,1362,162200,6198,658087,14869,70604,6650,125542,6427,128124,7241,73292,7511,362568,3429,24373,2732,118631,7146,37718,4786,96852,5424,37056,3516,47938,5435,603160,3273,74809,4650,389633,10025,29171,3728,26877,3293,64209,5608,18461,3356,252121,1821,63018,3796,149823,5016,3715,1292,1813,839,26859,2904,6893,2242,1362,null,null,6198,null,null,14869,null,null,6650,null,null,6427,null,null,7241,null,null,7511,null,null,3429,null,null,2732,null,null,7146,null,null,4786,null,null,5424,null,null,3516,null,null,5435,null,null,3273,null,null,4650,null,null,10025,null,null,3728,null,null,3293,null,null,5608,null,null,3356,null,null,1821,null,null,3796,null,null,5016,null,null,1292,null,null,839,null,null,2904,null,null,2242,null,null,16
9582631,2744,1425483,17028,4531943,33001,569091,15459,1288195,18586,1288577,22258,479342,17263,2834993,4242,250849,8307,628331,15155,274314,10055,1032195,15747,353635,11646,295669,12675,4946492,5062,642573,12799,2980091,22431,263496,10792,250821,9012,661844,13674,147667,8019,1801146,3791,532061,8560,923521,11221,31281,2957,5179,1040,273098,7883,36006,4032,2744,null,null,17028,null,null,33001,null,null,15459,null,null,18586,null,null,22258,null,null,17263,null,null,4242,null,null,8307,null,null,15155,null,null,10055,null,null,15747,null,null,11646,null,null,12675,null,null,5062,null,null,12799,null,null,22431,null,null,10792,null,null,9012,null,null,13674,null,null,8019,null,null,3791,null,null,8560,null,null,11221,null,null,2957,null,null,1040,null,null,7883,null,null,4032,null,null,17
4874326,3373,723918,10416,2449504,21899,336199,11492,546954,13290,569690,13540,248061,11109,1416052,5387,122227,5846,388239,9067,164594,8340,425622,11564,164147,6975,151223,8233,2502784,5976,329406,7853,1530326,16827,157045,7950,118331,7076,289754,10261,77922,5795,955490,2715,272285,6025,530939,7037,14560,1793,3001,1077,115789,4686,18916,2558,3373,null,null,10416,null,null,21899,null,null,11492,null,null,13290,null,null,13540,null,null,11109,null,null,5387,null,null,5846,null,null,9067,null,null,8340,null,null,11564,null,null,6975,null,null,8233,null,null,5976,null,null,7853,null,null,16827,null,null,7950,null,null,7076,null,null,10261,null,null,5795,null,null,2715,null,null,6025,null,null,7037,null,null,1793,null,null,1077,null,null,4686,null,null,2558,null,null,18
2309602,1944,367051,7256,1263197,15649,166396,7667,187829,8243,194479,7485,130650,8158,656975,3589,66371,4039,197573,7848,92742,5405,149901,6472,60537,3603,89851,6810,1163303,4173,152141,5663,774452,9916,67059,5197,36739,3535,99164,5028,33748,3790,489324,2051,148539,4250,291172,5064,6595,1132,1189,576,34778,2932,7051,1286,1944,null,null,7256,null,null,15649,null,null,7667,null,null,8243,null,null,7485,null,null,8158,null,null,3589,null,null,4039,null,null,7848,null,null,5405,null,null,6472,null,null,3603,null,null,6810,null,null,4173,null,null,5663,null,null,9916,null,null,5197,null,null,3535,null,null,5028,null,null,3790,null,null,2051,null,null,4250,null,null,5064,null,null,1132,null,null,576,null,null,2932,null,null,1286,null,null,19
2115620,2422,328121,7440,1111799,16072,127115,8205,205922,8475,221425,9097,121238,7980,634790,4120,56115,3526,198885,7012,69176,5254,162520,6555,68159,4818,79935,6440,1063310,4335,148119,5680,673731,10908,54106,5069,42458,4074,110850,5396,34046,3994,417520,2062,123887,3875,239183,4480,3833,999,944,436,42416,2968,7257,1640,2422,null,null,7440,null,null,16072,null,null,8205,null,null,8475,null,null,9097,null,null,7980,null,null,4120,null,null,3526,null,null,7012,null,null,5254,null,null,6555,null,null,4818,null,null,6440,null,null,4335,null,null,5680,null,null,10908,null,null,5069,null,null,4074,null,null,5396,null,null,3994,null,null,2062,null,null,3875,null,null,4480,null,null,999,null,null,436,null,null,2968,null,null,1640,null,null,20
3296638,3138,494563,10490,1623600,21956,211294,10368,374194,11038,432557,12457,160430,9730,920033,4759,67957,4921,253805,9357,99321,7170,275328,9254,125402,6407,98220,7269,1712117,4462,237796,7751,1010048,14432,100974,6685,96303,5957,214997,8815,51999,5072,664488,2225,188810,5941,359747,6689,10999,1925,2563,863,92158,4258,10211,1644,3138,null,null,10490,null,null,21956,null,null,10368,null,null,11038,null,null,12457,null,null,9730,null,null,4759,null,null,4921,null,null,9357,null,null,7170,null,null,9254,null,null,6407,null,null,7269,null,null,4462,null,null,7751,null,null,14432,null,null,6685,null,null,5957,null,null,8815,null,null,5072,null,null,2225,null,null,5941,null,null,6689,null,null,1925,null,null,863,null,null,4258,null,null,1644,null,null,21
3437866,2300,520179,10427,1471971,20614,206460,11327,510512,12916,540216,13693,188528,10967,1059868,6158,82517,4381,232081,9251,99092,7523,370064,10801,162887,7612,113227,7690,1726580,7211,251692,7765,911119,14994,96860,8005,136751,7892,267543,8745,62615,6293,651418,2611,185970,5825,328771,7391,10508,2227,3697,930,109786,5429,12686,2117,2300,null,null,10427,null,null,20614,null,null,11327,null,null,12916,null,null,13693,null,null,10967,null,null,6158,null,null,4381,null,null,9251,null,null,7523,null,null,10801,null,null,7612,null,null,7690,null,null,7211,null,null,7765,null,null,14994,null,null,8005,null,null,7892,null,null,8745,null,null,6293,null,null,2611,null,null,5825,null,null,7391,null,null,2227,null,null,930,null,null,5429,null,null,2117,null,null,22
