C23002C_001E,C23002C_001M,C23002C_002E,C23002C_002M,C23002C_003E,C23002C_003M,C23002C_004E,C23002C_004M,C23002C_005E,C23002C_005M,C23002C_006E,C23002C_006M,C23002C_007E,C23002C_007M,C23002C_008E,C23002C_008M,C23002C_009E,C23002C_009M,C23002C_010E,C23002C_010M,C23002C_011E,C23002C_011M,C23002C_012E,C23002C_012M,C23002C_013E,C23002C_013M,C23002C_014E,C23002C_014M,C23002C_015E,C23002C_015M,C23002C_016E,C23002C_016M,C23002C_017E,C23002C_017M,C23002C_018E,C23002C_018M,C23002C_019E,C23002C_019M,C23002C_020E,C23002C_020M,C23002C_021E,C23002C_021M,C23002C_022E,C23002C_022M,C23002C_023E,C23002C_023M,C23002C_024E,C23002C_024M,C23002C_025E,C23002C_025M,C23002C_026E,C23002C_026M,C23002C_027E,C23002C_027M,C23002C_001M,C23002C_001EA,C23002C_001MA,C23002C_002M,C23002C_002EA,C23002C_002MA,C23002C_003M,C23002C_003EA,C23002C_003MA,C23002C_004M,C23002C_004EA,C23002C_004MA,C23002C_005M,C23002C_005EA,C23002C_005MA,C23002C_006M,C23002C_006EA,C23002C_006MA,C23002C_007M,C23002C_007EA,C23002C_007MA,C23002C_008M,C23002C_008EA,C23002C_008MA,C23002C_009M,C23002C_009EA,C23002C_009MA,C23002C_010M,C23002C_010EA,C23002C_010MA,C23002C_011M,C23002C_011EA,C23002C_011MA,C23002C_012M,C23002C_012EA,C23002C_012MA,C23002C_013M,C23002C_013EA,C23002C_013MA,C23002C_014M,C23002C_014EA,C23002C_014MA,C23002C_015M,C23002C_015EA,C23002C_015MA,C23002C_016M,C23002C_016EA,C23002C_016MA,C23002C_017M,C23002C_017EA,C23002C_017MA,C23002C_018M,C23002C_018EA,C23002C_018MA,C23002C_019M,C23002C_019EA,C23002C_019MA,C23002C_020M,C23002C_020EA,C23002C_020MA,C23002C_021M,C23002C_021EA,C23002C_021MA,C23002C_022M,C23002C_022EA,C23002C_022MA,C23002C_023M,C23002C_023EA,C23002C_023MA,C23002C_024M,C23002C_024EA,C23002C_024MA,C23002C_025M,C23002C_025EA,C23002C_025MA,C23002C_026M,C23002C_026EA,C23002C_026MA,C23002C_027M,C23002C_027EA,C23002C_027MA,state
45025,4839,23893,3095,20518,3014,14911,2741,55,80,14856,2732,13766,2540,1090,678,5607,1277,3375,763,522,309,368,262,154,187,2853,740,21132,2783,17814,2447,10827,2182,0,221,10827,2182,9517,1911,1310,723,6987,1321,3318,937,398,316,398,316,0,221,2920,870,4839,null,null,3095,null,null,3014,null,null,2741,null,null,80,null,null,2732,null,null,2540,null,null,678,null,null,1277,null,null,763,null,null,309,null,null,262,null,null,187,null,null,740,null,null,2783,null,null,2447,null,null,2182,null,null,221,null,null,2182,null,null,1911,null,null,723,null,null,1321,null,null,937,null,null,316,null,null,316,null,null,221,null,null,870,null,null,12
29057,4119,13519,2662,12901,2658,10228,2439,144,119,10084,2436,9298,2380,786,693,2673,979,618,367,159,156,159,156,0,218,459,318,15538,2475,13328,2307,7611,1817,0,218,7611,1817,6876,1638,735,542,5717,1354,2210,745,615,446,615,446,0,218,1595,598,4119,null,null,2662,null,null,2658,null,null,2439,null,null,119,null,null,2436,null,null,2380,null,null,693,null,null,979,null,null,367,null,null,156,null,null,156,null,null,218,null,null,318,null,null,2475,null,null,2307,null,null,1817,null,null,218,null,null,1817,null,null,1638,null,null,542,null,null,1354,null,null,745,null,null,446,null,null,446,null,null,218,null,null,598,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
19658,2253,9955,1438,8567,1423,5669,1263,0,198,5669,1263,4515,1244,1154,502,2898,801,1388,557,518,354,518,354,0,198,870,408,9703,1333,8605,1238,4967,1097,0,198,4967,1097,4497,1067,470,316,3638,894,1098,487,13,21,13,21,0,198,1085,488,2253,null,null,1438,null,null,1423,null,null,1263,null,null,198,null,null,1263,null,null,1244,null,null,502,null,null,801,null,null,557,null,null,354,null,null,354,null,null,198,null,null,408,null,null,1333,null,null,1238,null,null,1097,null,null,198,null,null,1097,null,null,1067,null,null,316,null,null,894,null,null,487,null,null,21,null,null,21,null,null,198,null,null,488,null,null,16
24849,3074,13885,2319,11767,2041,9276,1828,0,185,9276,1828,8466,1781,810,464,2491,811,2118,899,633,366,633,366,0,185,1485,854,10964,1442,9442,1293,6004,1109,21,40,5983,1117,5341,1101,642,364,3438,811,1522,534,230,290,230,290,0,185,1292,506,3074,null,null,2319,null,null,2041,null,null,1828,null,null,185,null,null,1828,null,null,1781,null,null,464,null,null,811,null,null,899,null,null,366,null,null,366,null,null,185,null,null,854,null,null,1442,null,null,1293,null,null,1109,null,null,40,null,null,1117,null,null,1101,null,null,364,null,null,811,null,null,534,null,null,290,null,null,290,null,null,185,null,null,506,null,null,17
15283,2068,8145,1612,6981,1483,5320,1221,0,192,5320,1221,5090,1228,230,202,1661,696,1164,495,307,252,307,252,0,192,857,437,7138,1347,5805,1253,3647,1237,0,192,3647,1237,3204,1169,443,286,2158,648,1333,457,254,232,254,232,0,192,1079,435,2068,null,null,1612,null,null,1483,null,null,1221,null,null,192,null,null,1221,null,null,1228,null,null,202,null,null,696,null,null,495,null,null,252,null,null,252,null,null,192,null,null,437,null,null,1347,null,null,1253,null,null,1237,null,null,192,null,null,1237,null,null,1169,null,null,286,null,null,648,null,null,457,null,null,232,null,null,232,null,null,192,null,null,435,null,null,18
8311,1322,4227,1041,3635,910,2882,797,91,109,2791,813,2388,779,403,256,753,419,592,347,181,162,173,157,8,18,411,308,4084,989,3426,953,2224,748,0,159,2224,748,2008,727,216,183,1202,456,658,366,155,181,155,181,0,159,503,326,1322,null,null,1041,null,null,910,null,null,797,null,null,109,null,null,813,null,null,779,null,null,256,null,null,419,null,null,347,null,null,162,null,null,157,null,null,18,null,null,308,null,null,989,null,null,953,null,null,748,null,null,159,null,null,748,null,null,727,null,null,183,null,null,456,null,null,366,null,null,181,null,null,181,null,null,159,null,null,326,null,null,19
17353,2055,8923,1241,7729,1231,5591,978,61,94,5530,952,5128,923,402,271,2138,556,1194,423,202,183,202,183,0,174,992,371,8430,1344,7052,1354,4857,1255,0,174,4857,1255,4560,1240,297,197,2195,618,1378,456,225,214,225,214,0,174,1153,432,2055,null,null,1241,null,null,1231,null,null,978,null,null,94,null,null,952,null,null,923,null,null,271,null,null,556,null,null,423,null,null,183,null,null,183,null,null,174,null,null,371,null,null,1344,null,null,1354,null,null,1255,null,null,174,null,null,1255,null,null,1240,null,null,197,null,null,618,null,null,456,null,null,214,null,null,214,null,null,174,null,null,432,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
19261,1750,9530,1156,8306,1146,5426,1015,0,208,5426,1015,4923,919,503,375,2880,903,1224,501,282,234,282,234,0,208,942,385,9731,1266,7946,1220,4719,954,0,208,4719,954,4240,852,479,367,3227,821,1785,469,152,181,152,181,0,208,1633,438,1750,null,null,1156,null,null,1146,null,null,1015,null,null,208,null,null,1015,null,null,919,null,null,375,null,null,903,null,null,501,null,null,234,null,null,234,null,null,208,null,null,385,null,null,1266,null,null,1220,null,null,954,null,null,208,null,null,954,null,null,852,null,null,367,null,null,821,null,null,469,null,null,181,null,null,181,null,null,208,null,null,438,null,null,22
