B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,B10051D_001M,B10051D_001EA,B10051D_001MA,B10051D_002M,B10051D_002EA,B10051D_002MA,B10051D_003M,B10051D_003EA,B10051D_003MA,B10051D_004M,B10051D_004EA,B10051D_004MA,B10051D_005M,B10051D_005EA,B10051D_005MA,B10051D_006M,B10051D_006EA,B10051D_006MA,B10051D_007M,B10051D_007EA,B10051D_007MA,state
19212,3206,2584,956,1260,818,1324,663,16628,3117,3104,1020,13524,2756,3206,null,null,956,null,null,818,null,null,663,null,null,3117,null,null,1020,null,null,2756,null,null,12
13567,2561,2206,769,1024,622,1182,504,11361,2362,2079,1070,9282,1936,2561,null,null,769,null,null,622,null,null,504,null,null,2362,null,null,1070,null,null,1936,null,null,13
27542,2686,4656,1232,1854,957,2802,1058,22886,2554,4489,1240,18397,2150,2686,null,null,1232,null,null,957,null,null,1058,null,null,2554,null,null,1240,null,null,2150,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
25576,2775,3409,1211,1531,770,1878,741,22167,2552,3417,1075,18750,2332,2775,null,null,1211,null,null,770,null,null,741,null,null,2552,null,null,1075,null,null,2332,null,null,17
4090,1355,245,317,245,317,0,192,3845,1333,1083,693,2762,1009,1355,null,null,317,null,null,317,null,null,192,null,null,1333,null,null,693,null,null,1009,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2194,859,565,330,263,270,302,258,1629,730,374,302,1255,591,859,null,null,330,null,null,270,null,null,258,null,null,730,null,null,302,null,null,591,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
10639,1609,1526,677,292,223,1234,634,9113,1486,1729,631,7384,1411,1609,null,null,677,null,null,223,null,null,634,null,null,1486,null,null,631,null,null,1411,null,null,24
15527,2047,1779,902,745,573,1034,591,13748,1970,3234,1010,10514,1869,2047,null,null,902,null,null,573,null,null,591,null,null,1970,null,null,1010,null,null,1869,null,null,25
7125,1474,730,413,153,198,577,352,6395,1332,1101,516,5294,1217,1474,null,null,413,null,null,198,null,null,352,null,null,1332,null,null,516,null,null,1217,null,null,26
7236,1451,590,345,319,264,271,256,6646,1394,2135,839,4511,1004,1451,null,null,345,null,null,264,null,null,256,null,null,1394,null,null,839,null,null,1004,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3175,1181,714,484,256,253,458,444,2461,1058,883,787,1578,592,1181,null,null,484,null,null,253,null,null,444,null,null,1058,null,null,787,null,null,592,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
9339,2289,1723,903,1031,776,692,327,7616,2026,1654,781,5962,1887,2289,null,null,903,null,null,776,null,null,327,null,null,2026,null,null,781,null,null,1887,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
27299,3148,2533,916,586,393,1947,790,24766,2970,4234,1076,20532,2556,3148,null,null,916,null,null,393,null,null,790,null,null,2970,null,null,1076,null,null,2556,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
73663,5091,13664,2099,5839,1402,7825,1627,59999,4495,12403,2111,47596,3875,5091,null,null,2099,null,null,1402,null,null,1627,null,null,4495,null,null,2111,null,null,3875,null,null,36
8466,1593,1354,473,703,389,651,306,7112,1574,1473,701,5639,1296,1593,null,null,473,null,null,389,null,null,306,null,null,1574,null,null,701,null,null,1296,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
6668,1306,1004,511,693,449,311,266,5664,1204,1336,793,4328,1013,1306,null,null,511,null,null,449,null,null,266,null,null,1204,null,null,793,null,null,1013,null,null,39
2180,735,307,219,303,219,4,8,1873,717,576,380,1297,575,735,null,null,219,null,null,219,null,null,8,null,null,717,null,null,380,null,null,575,null,null,40
6205,1562,344,266,137,162,207,239,5861,1520,779,625,5082,1286,1562,null,null,266,null,null,162,null,null,239,null,null,1520,null,null,625,null,null,1286,null,null,41
14688,2335,2285,799,842,462,1443,613,12403,2248,2668,1002,9735,2115,2335,null,null,799,null,null,462,null,null,613,null,null,2248,null,null,1002,null,null,2115,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
47472,4841,6173,2019,2557,1014,3616,1589,41299,4797,5470,1459,35829,4490,4841,null,null,2019,null,null,1014,null,null,1589,null,null,4797,null,null,1459,null,null,4490,null,null,48
1358,609,158,168,36,57,122,148,1200,578,379,297,821,424,609,null,null,168,null,null,57,null,null,148,null,null,578,null,null,297,null,null,424,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
20786,2970,2711,913,545,300,2166,861,18075,2576,3472,1121,14603,2172,2970,null,null,913,null,null,300,null,null,861,null,null,2576,null,null,1121,null,null,2172,null,null,51
19783,3006,2608,808,1368,677,1240,581,17175,2917,3226,1122,13949,2623,3006,null,null,808,null,null,677,null,null,581,null,null,2917,null,null,1122,null,null,2623,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
3859,1092,647,390,321,254,326,321,3212,1012,1575,709,1637,705,1092,null,null,390,null,null,254,null,null,321,null,null,1012,null,null,709,null,null,705,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
7282,1650,1582,787,437,272,1145,706,5700,1538,1139,797,4561,1171,1650,null,null,787,null,null,272,null,null,706,null,null,1538,null,null,797,null,null,1171,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
