B10051H_001E,B10051H_001M,B10051H_002E,B10051H_002M,B10051H_003E,B10051H_003M,B10051H_004E,B10051H_004M,B10051H_005E,B10051H_005M,B10051H_006E,B10051H_006M,B10051H_007E,B10051H_007M,B10051H_001M,B10051H_001EA,B10051H_001MA,B10051H_002M,B10051H_002EA,B10051H_002MA,B10051H_003M,B10051H_003EA,B10051H_003MA,B10051H_004M,B10051H_004EA,B10051H_004MA,B10051H_005M,B10051H_005EA,B10051H_005MA,B10051H_006M,B10051H_006EA,B10051H_006MA,B10051H_007M,B10051H_007EA,B10051H_007MA,state
194683,9010,74533,5393,41744,4515,32789,3568,120150,7704,44024,5421,76126,5769,9010,null,null,5393,null,null,4515,null,null,3568,null,null,7704,null,null,5421,null,null,5769,null,null,12
115766,7714,50022,5240,26457,3835,23565,3307,65744,5152,28957,4090,36787,3981,7714,null,null,5240,null,null,3835,null,null,3307,null,null,5152,null,null,4090,null,null,3981,null,null,13
6050,1172,1134,426,183,186,951,410,4916,1128,1361,509,3555,952,1172,null,null,426,null,null,186,null,null,410,null,null,1128,null,null,509,null,null,952,null,null,15
19926,3165,7413,1554,4128,1221,3285,957,12513,2388,6536,1820,5977,1442,3165,null,null,1554,null,null,1221,null,null,957,null,null,2388,null,null,1820,null,null,1442,null,null,16
107916,5969,39237,3495,22297,2765,16940,1906,68679,4557,25733,2970,42946,3569,5969,null,null,3495,null,null,2765,null,null,1906,null,null,4557,null,null,2970,null,null,3569,null,null,17
92502,5616,43807,3408,28088,3027,15719,1862,48695,4098,23788,2825,24907,3013,5616,null,null,3408,null,null,3027,null,null,1862,null,null,4098,null,null,2825,null,null,3013,null,null,18
33133,3080,13847,1783,8554,1479,5293,995,19286,2555,9792,1586,9494,1640,3080,null,null,1783,null,null,1479,null,null,995,null,null,2555,null,null,1586,null,null,1640,null,null,19
30999,3176,13276,1794,7290,1148,5986,1234,17723,2433,8935,1647,8788,1581,3176,null,null,1794,null,null,1148,null,null,1234,null,null,2433,null,null,1647,null,null,1581,null,null,20
87264,4664,47705,3780,27607,3195,20098,2282,39559,3536,20259,2576,19300,2383,4664,null,null,3780,null,null,3195,null,null,2282,null,null,3536,null,null,2576,null,null,2383,null,null,21
60405,4870,30563,3109,13834,1823,16729,2582,29842,3122,16674,2673,13168,2161,4870,null,null,3109,null,null,1823,null,null,2582,null,null,3122,null,null,2673,null,null,2161,null,null,22
